A.pt content.tsv
Level	Esperanto	pt	en-us	Grupo	Alternativoj	Pronoco
level	serĉis kvin librojn	estava procurando cinco livros	was searching for five books	grupo	alternativoj	prononco
level	pardonu, mi serĉis mian libron	desculpe, eu estava procurando meu livro.	sorry, I was looking for my book.	grupo	alternativoj	prononco
level	sed vi bone scias	mas você sabe bem	but you know well	grupo	alternativoj	prononco
level	ne estas sur mia tablo	não está na minha mesa	is not on my table	grupo	alternativoj	prononco
level	viaj libroj ne estas sur mia tablo	seus livros não estão na minha mesa	your books are not on my table	grupo	alternativoj	prononco
level	ree donis, redonis	novamente deu, devolveu	again gave, returned	grupo	alternativoj	prononco
level	redonu la leteron al mi.	devolva a carta para mim	return the letter to me	grupo	alternativoj	prononco
level	ricevis bonan lecionon	recebi uma boa lição	received a good lesson	grupo	alternativoj	prononco
level	plu lavis, ne plu manĝis	lavei ainda mais, comi mais	further washed, ate any more	grupo	alternativoj	prononco
level	ne plu legos	não vou mais ler	will no longer read	grupo	alternativoj	prononco
level	ankaŭ mi ricevis	Eu também recebi	I also received	grupo	alternativoj	prononco
level	devas fermi	tem que fechar	has to close	grupo	alternativoj	prononco
level	mi devas bone fermi	tenho que fechar bem	I have to close well	grupo	alternativoj	prononco
level	bone fermis la pordon	fechei a porta com força	closed the door tightly	grupo	alternativoj	prononco
level	trankvila, trankviliĝu	calma, acalme-se	calm, calm down	grupo	alternativoj	prononco
level	aŭdis sed ne aŭskultis	ouvi mas não ouvi	heard but did not listen	grupo	alternativoj	prononco
level	aŭdis trankvilan sonon	ouvi um som calmo	heard a calm sound	grupo	alternativoj	prononco
level	ĉe mi estis kvar poŝoj	para mim, há 4 bolsos	at me, there are 4 pockets	grupo	alternativoj	prononco
level	dek tagoj post la lasta leciono	dez dias após a última aula	ten days after the last lesson	grupo	alternativoj	prononco
level	inter la du tabloj	entre as duas mesas	between the two tables	grupo	alternativoj	prononco
level	tri leteroj, ses paperoj	três cartas, seis papéis	three letters, six papers	grupo	alternativoj	prononco
level	de kapo ĝis piedo	da cabeça aos pés	from head to foot	grupo	alternativoj	prononco
level	kvar, kvara, kvaropo, kvarono	quatro, quarto, um quarteto, um quarto	four, fourth, a quartet, a quarter	grupo	alternativoj	prononco
level	kien iris la triopo?	para onde foi o trio	where did the trio go	grupo	alternativoj	prononco
level	kvin fingroj en ambaŭaj manoj	cinco dedos em ambas as mãos	five fingers in both hands	grupo	alternativoj	prononco
level	si mem, sia poŝo	sozinho, no próprio bolso	by oneself, one's own pocket	grupo	alternativoj	prononco
level	meti, kunmeti, kunmetaĵo	colocar, juntar, um composto	put, put together, a compound	grupo	alternativoj	prononco
level	metis en sian poŝon	colocar no próprio bolso	put in one's own pocket	grupo	alternativoj	prononco
level	du cent nacioj en la mondo	duzentas nações do mundo	two hundred nations in the world	grupo	alternativoj	prononco
level	prenis, forprenis	levou, levou embora	took, took away	grupo	alternativoj	prononco
level	prenis sep el siaj naŭ libroj	pegou sete dos seus nove livros	took seven out of his own nine books	grupo	alternativoj	prononco
level	lasi, forlasita	sair, abandonado	to leave, abandoned	grupo	alternativoj	prononco
level	lasu min sola kaj trankvila	me deixe em paz e calmo	leave me alone and calm	grupo	alternativoj	prononco
level	mil ok cent ok dek sep	mil oitocentos e oitenta e sete (1887)	thousand eight hundred and eighty seven (1887)	grupo	alternativoj	prononco
level	taso da teo	uma xícara de chá	a cup of tea	grupo	alternativoj	prononco
level	oni lavis ok tasojn	alguém lavou oito xícaras	somebody washed eight cups	grupo	alternativoj	prononco
level	du mil dek naŭ	dois mil e dezenove (2019)	two thousand nineteen (2019)	grupo	alternativoj	prononco
level	li lavis sin	ele se lavou	he washed himself	grupo	alternativoj	prononco
level	sia korpo, sia propra posedo	seu corpo, sua própria posse	one's body, one's own possession	grupo	alternativoj	prononco
level	sur la tablo, la kato dormis	em cima da mesa, o gato dormia	on the table, the cat slept	grupo	alternativoj	prononco
level	la kato saltis sur la tablon	o gato pulou na mesa	the cat jumped onto the table	grupo	alternativoj	prononco
level	en la halo, en la halon	no corredor, no corredor	in the hall, into the hall	grupo	alternativoj	prononco
level	enfalis en lian manon	caiu na mão dele	fell into his hand	grupo	alternativoj	prononco
level	labori, ellabori	trabalhar, elaborar	to work, to elaborate	grupo	alternativoj	prononco
level	ellabori por tiu libro	elaborar para esse livro	to elaborate for that book	grupo	alternativoj	prononco
level	scias, scivolas, scivolo	sabe, quer saber, curiosidade	knows, wants to know, curiosity	grupo	alternativoj	prononco
level	dulingva, dulingveco	bilíngue, bilinguismo	bilingual, bilingualism	grupo	alternativoj	prononco
level	scivolas pri trilingva lernanto	se pergunta sobre um aluno trilíngue	wonders about a trilingual learner	grupo	alternativoj	prononco
level	iris, reiris	foi, voltou	went, returned	grupo	alternativoj	prononco
level	la katoj reiris al siaj domoj	os gatos voltaram para suas (próprias) casas	the cats returned to their (own) homes	grupo	alternativoj	prononco
level	en la sako, en la sakon	na bolsa, na bolsa	in the bag, into the bag	grupo	alternativoj	prononco
level	enmetu ĝin en vian sakon	coloque na sua bolsa	put it into your bag	grupo	alternativoj	prononco
level	piedo, piediras, piediranto	um pé, caminha, um pedestre	a foot, walks, a pedestrian	grupo	alternativoj	prononco
level	dek-tage ili piediris	durante dez dias, eles caminharam	for ten days, they walked	grupo	alternativoj	prononco
level	preni, elpreni	tirar, tirar	to take, to take out	grupo	alternativoj	prononco
level	belaj floroj, prenis belajn florojn	lindas flores, peguei lindas flores	beautiful flowers, took beautiful flowers	grupo	alternativoj	prononco
level	li elprenis nur belajn florojn	ele tirou apenas lindas flores	he took out only beautiful flowers	grupo	alternativoj	prononco
level	malfermis, sed tuj fermis	abriu, mas fechou imediatamente	opened, but immediately closed	grupo	alternativoj	prononco
level	malfermis internacian kunvenon	abriu um encontro internacional	opened an international meeting	grupo	alternativoj	prononco
level	eldonis kaj disdonis	publicado e distribuído	published and distributed	grupo	alternativoj	prononco
level	la eldonisto eldonis dudek tri librojn	a editora publicou vinte e três livros	the publisher published twenty-three books	grupo	alternativoj	prononco
level	revenis kaj revidis sian filon	voltou e viu o próprio filho novamente	returned and saw one's own son again	grupo	alternativoj	prononco
level	en la jaro dumil dudek tri	no ano de dois mil e vinte e três (2023)	in the year two thousand and twenty three (2023)	grupo	alternativoj	prononco
level	sinjoro eniris la vendejon	um senhor entrou (na) loja	a gentleman entered (into) the store	grupo	alternativoj	prononco
level	la vendejo de aŭtoj	a loja de carros	the store of cars	grupo	alternativoj	prononco
level	tie li vidas sinjorinon	lá ele vê uma senhora	there he sees a lady	grupo	alternativoj	prononco
level	karaj gesinjoroj	senhoras e senhores	dear ladies and gentlemen	grupo	alternativoj	prononco
level	tio plaĉis al mi	isso me agradou (eu gosto disso)	that pleased me (I like that)	grupo	alternativoj	prononco
level	la sinjorino plaĉis al li	a senhora o agradou (ele gostou da senhora)	the lady pleased him (he liked the lady)	grupo	alternativoj	prononco
level	vidis la belan sinjorinon	vi a bela dama	saw the beautiful lady	grupo	alternativoj	prononco
level	kiu plaĉis al li?	quem o agradou? (de quem ele gostou?)	who pleased him? (whom did he like?)	grupo	alternativoj	prononco
level	la virino, kiu plaĉis al mi	a mulher que me agradou	the woman, who pleased me	grupo	alternativoj	prononco
level	tiu, kiu eniris la domon	aquele que entrou na casa	the one who entered the house	grupo	alternativoj	prononco
level	la viro, kiu donacis ĝin	o homem que doou	the man who donated it	grupo	alternativoj	prononco
level	li donacis ringon al lia edzino	ele deu um anel para sua esposa	he gave a ring to his wife	grupo	alternativoj	prononco
level	la ringo plaĉis al ŝi	ela gostou do anel	she liked the ring	grupo	alternativoj	prononco
level	la edzino, al kiu la ringo plaĉis	a esposa que gostou do anel	the wife who liked the ring	grupo	alternativoj	prononco
level	vendisto laboras en la vendejo	um vendedor trabalha na loja	a salesman works in the store	grupo	alternativoj	prononco
level	vendisto de aŭtoj	um vendedor de carros	a salesman of cars	grupo	alternativoj	prononco
level	la sinjoro demandis al la vendisto	o senhor perguntou ao vendedor	the gentleman asked the salesman	grupo	alternativoj	prononco
level	kiu aŭto plaĉas al vi?	qual carro você gosta?	which car do you like?	grupo	alternativoj	prononco
level	kiun aŭton vi elektos?	qual carro você escolherá?	which car will you choose?	grupo	alternativoj	prononco
level	mi elektis tiun aŭton	Eu escolhi aquele carro	I chose that car	grupo	alternativoj	prononco
level	ĝi estas pli bona	é melhor	it is better	grupo	alternativoj	prononco
level	pli bona ol ĉi tio	melhor que isso	better than this	grupo	alternativoj	prononco
level	plej bona el ili	o melhor deles	best of them	grupo	alternativoj	prononco
level	estas la plej bona	é o melhor	is the best	grupo	alternativoj	prononco
level	kiu aŭto estas la plej bona?	qual carro é o melhor?	which car is the best?	grupo	alternativoj	prononco
level	tiu ĉi aŭto estas pli bona	esse carro é melhor	this car is better	grupo	alternativoj	prononco
level	tiu ĉi estas la plej bona	Esse é o melhor	this one is the best	grupo	alternativoj	prononco
level	vidis ĉiujn aŭtojn	vi todos os carros	saw all the cars	grupo	alternativoj	prononco
level	la plej bona el ĉiuj	o melhor de tudo	the best of all	grupo	alternativoj	prononco
level	ĉu ĝi estas rapida?	é rápido?	is it fast?	grupo	alternativoj	prononco
level	pli rapida ol aliaj	mais rápido que outros	faster than others	grupo	alternativoj	prononco
level	estas ankaŭ forta	também é forte	is also strong	grupo	alternativoj	prononco
level	ho jes, kompreneble!	Ah sim, claro!	oh yes, of course!	grupo	alternativoj	prononco
level	estas tre forta	é muito forte	is very strong	grupo	alternativoj	prononco
level	certe ĝi estas forta	certamente é forte	certainly it is strong	grupo	alternativoj	prononco
level	estas ankaŭ multekosta	também é caro	is also expensive	grupo	alternativoj	prononco
level	la plej multekosta el ĉiuj	o mais caro de todos	the most expensive of all	grupo	alternativoj	prononco
level	malmultekosta sed forta	barato, mas forte	cheap but strong	grupo	alternativoj	prononco
level	bedaŭras kaj bedaŭrindas	sente pena e sente pena (vale a pena sentir pena)	feels sorry and is pityful (worth feeling sorry)	grupo	alternativoj	prononco
level	bedaŭrinde mi ne aĉetos	infelizmente não vou comprar	unfortunately I will not buy	grupo	alternativoj	prononco
level	estas bedaŭrinda afero	é uma coisa lamentável	is an unfortunate thing	grupo	alternativoj	prononco
level	li aĉetis novan aŭton	ele comprou um carro novo	he bought a new car	grupo	alternativoj	prononco
level	ĉar mi ne havas monon	porque eu não tenho dinheiro	because I do not have money	grupo	alternativoj	prononco
level	mia malnova aŭto	meu carro antigo	my old car	grupo	alternativoj	prononco
level	la plej malmultekosta el ĉiuj	o mais barato de todos	the cheapest of all	grupo	alternativoj	prononco
level	mi veturos tien	Eu vou dirigir até lá	I'll drive there	grupo	alternativoj	prononco
level	ankoraŭ veturos per ĝi	ainda vou dirigir com ele	will still drive with it	grupo	alternativoj	prononco
level	dum la tuta tago	o dia inteiro	all day long	grupo	alternativoj	prononco
level	dum li diris tion	enquanto ele disse isso	while he said that	grupo	alternativoj	prononco
level	li denove rigardis ŝin	ele olhou para ela novamente	he looked at her again	grupo	alternativoj	prononco
level	sed la vendisto diris	mas o vendedor disse	but the salesman said	grupo	alternativoj	prononco
level	estus pli bone, ke ~	seria melhor que ~	it would be better that ~	grupo	alternativoj	prononco
level	rigardu tiun ĉi sinjorinon	olha essa senhora	look at this lady	grupo	alternativoj	prononco
level	ankaŭ tio estas tre multekosta	isso também é muito caro	that is also very expensive	grupo	alternativoj	prononco
level	mi estas ŝia edzo	Eu sou o marido dela	I am her husband	grupo	alternativoj	prononco
level	kiom via vojaĝo kostis?	quanto custou sua viagem?	how much did your trip cost?	grupo	alternativoj	prononco
level	aŭskultu la kanton de via edzino	ouça a música da sua esposa	listen to your wife's song	grupo	alternativoj	prononco
level	ne forgesu, ke ĝi tre multe kostas	não esqueça que custa muito	don’t forget that it costs a lot	grupo	alternativoj	prononco
level	li helpis la vendiston dum du horoj	ele ajudou o vendedor por duas horas	he helped the salesman for two hours	grupo	alternativoj	prononco
level	jam pli ol tri jaroj	há mais de três anos	for more than three years	grupo	alternativoj	prononco
level	kovri, kovrilo, malkovri	cobrir, cobrir, descobrir (descobrir)	cover, cover, uncover (discover)	grupo	alternativoj	prononco
level	la kialon li ankoraŭ ne malkovris	a razão pela qual ele ainda não descobriu	the reason he has not yet discovered	grupo	alternativoj	prononco
level	kial vi komencis sendi leterojn?	por que você começou a enviar cartas?	why did you start sending letters?	grupo	alternativoj	prononco
level	dum ok monatoj li vivis tie	por oito meses ele morou lá	for eight months he lived there	grupo	alternativoj	prononco
level	ne havis tempon por aŭskulti	não tive tempo de ouvir	didn't have time to listen	grupo	alternativoj	prononco
level	la aŭto estis jam plena	o carro já estava cheio	the car was already full	grupo	alternativoj	prononco
level	kion vi manĝas?	o que você está comendo	what are you eating	grupo	alternativoj	prononco
level	kia estas la vetero?	como está o tempo?	what's the weather like?	grupo	alternativoj	prononco
level	kian aŭton vi havas?	que tipo de carro você tem?	what kind of car do you have?	grupo	alternativoj	prononco
level	kiaj estis ŝiaj leteroj?	como eram as cartas dela?	what were her letters like?	grupo	alternativoj	prononco
level	kie ni estas?	Onde estamos?	where are we?	grupo	alternativoj	prononco
level	kien vi iras?	Onde você está indo?	where are you going to?	grupo	alternativoj	prononco
level	al kiu vi donis ĝin?	para quem você deu?	to whom did you give it?	grupo	alternativoj	prononco
level	la viro, kun kiu vi vojaĝis	o homem com quem você viajou	the man whom you traveled with	grupo	alternativoj	prononco
level	pli granda ol la aŭto	maior que o carro	bigger than the car	grupo	alternativoj	prononco
level	la plej alta el tiuj homoj	o mais alto dessas pessoas	the tallest of those people	grupo	alternativoj	prononco
level	li sidis dum la manĝo	ele estava sentado no jantar	he was sitting at dinner	grupo	alternativoj	prononco
level	ŝi skribas dum li legas	ela escreve enquanto ele lê	she writes while he reads	grupo	alternativoj	prononco
level	ĉi tie, en ĉi tiu ĉambro	aqui, nesta sala	here, in this room	grupo	alternativoj	prononco
level	tiu ĉi sinjoro	este senhor	this gentleman	grupo	alternativoj	prononco
level	aŭskultinda novaĵo	uma notícia que vale a pena ouvir	a news worth listening	grupo	alternativoj	prononco
level	la libro estas vere leginda	realmente vale a pena ler o livro	the book is really worth reading	grupo	alternativoj	prononco
level	bedaŭra afero	uma coisa infeliz	an unfortunate thing	grupo	alternativoj	prononco
level	bedaŭrinde, mi ne povas	infelizmente não consigo	unfortunately, I can't	grupo	alternativoj	prononco
level	nedankinde. estis mia plezuro	de nada. foi um prazer	you are welcome. it was my pleasure	grupo	alternativoj	prononco
level	eta belulino ege belas	pequena menina bonita é muito bonita	small pretty girl is very beautiful	grupo	alternativoj	prononco
level	ĉiuj amikoj amas ŝin	todos os amigos a amam	all friends love her	grupo	alternativoj	prononco
level	antaŭ tri monatoj	três meses atrás	three months ago	grupo	alternativoj	prononco
level	okazis malbono al ŝi	algo ruim aconteceu com ela	something bad happened to her	grupo	alternativoj	prononco
level	ŝi falis pro aŭto	ela caiu por causa de um carro	she fell because of a car	grupo	alternativoj	prononco
level	malsaniĝis kaj temperaturo altiĝis	adoeceu e a temperatura subiu	became ill and temperature rose	grupo	alternativoj	prononco
level	patrino diris, ke ŝi devas ripozi	mãe disse que ela deveria descansar	mother said she should rest	grupo	alternativoj	prononco
level	ŝi devas resti hejme	ela tem que ficar em casa	she has to stay home	grupo	alternativoj	prononco
level	ŝi vokos doktoron	ela vai chamar um médico	she will call a doctor	grupo	alternativoj	prononco
level	je la naŭa horo	às nove em ponto	at nine o'clock	grupo	alternativoj	prononco
level	matene venis je la oka	de manhã chegou às oito horas	in the morning came at eight o'clock	grupo	alternativoj	prononco
level	je la sepa morgaŭ vespere	amanhã às sete da noite	at seven tomorrow evening	grupo	alternativoj	prononco
level	montris liajn manojn	mostrou as mãos	showed his hands	grupo	alternativoj	prononco
level	vesto, vestiĝas	vestir, está se vestindo	dress, is getting dressed	grupo	alternativoj	prononco
level	vestiĝu kaj varmigu vian korpon	vista-se e aqueça seu corpo	get dressed and warm your body	grupo	alternativoj	prononco
level	hejme tuj malvestis kaj duŝis	em casa imediatamente me despi e tomei banho	at home immediately undressed and showered	grupo	alternativoj	prononco
level	doktoro rigardis ĉion	um médico olhou tudo	a doctor looked at everything	grupo	alternativoj	prononco
level	bone rigardis kaj fine diris	olhou atentamente e finalmente disse	looked throughly and finally said	grupo	alternativoj	prononco
level	unu semajnon restu hejme	fique em casa por uma semana	stay home for a week	grupo	alternativoj	prononco
level	deziras, ke vi estu trankvila	quer que você fique calmo	wants you to be calm	grupo	alternativoj	prononco
level	post unu semajno	depois de uma semana	after one week	grupo	alternativoj	prononco
level	vi fartos pli bone	você vai se sentir melhor	you will feel better	grupo	alternativoj	prononco
level	trinku multe da teo	beba bastante chá	drink plenty of tea	grupo	alternativoj	prononco
level	venos por revidi vin	virei te ver novamente	will come to see you again	grupo	alternativoj	prononco
level	ankaŭ li estu trankvila	deixe ele ficar calmo também	let him be calm too	grupo	alternativoj	prononco
level	sana homo, sanulo	homem saudável, pessoa saudável	healthy man, healthy person	grupo	alternativoj	prononco
level	zorgis pri si mem	cuidou de si	took care of oneself	grupo	alternativoj	prononco
level	tuta afero tuje utilis al mi	a coisa toda foi útil para mim de uma vez	the whole thing was useful to me at once	grupo	alternativoj	prononco
level	rimarkis, ke teruraĵo proksimas	notei que aquela coisa horrível está próxima	noticed that horrible thing is near	grupo	alternativoj	prononco
level	petis tuj rimarki ĝin	pediu para notar imediatamente	asked to notice it immediately	grupo	alternativoj	prononco
level	pensis, ke tio ne necesas	pensei que não era necessário	thought that was not necessary	grupo	alternativoj	prononco
level	loĝis proksime, kaj tio utilis	morava perto, e isso foi útil	lived nearby, and that was useful	grupo	alternativoj	prononco
level	nia lando hodiaŭ teruriĝis	nosso país ficou aterrorizado hoje	our country became terrified today	grupo	alternativoj	prononco
level	karaj infanoj el ĉiuj familioj	queridos filhos de todas as famílias	dear children from all families	grupo	alternativoj	prononco
level	unu fojon hieraŭ, du fojojn morgaŭ	uma vez ontem, duas vezes amanhã	once yesterday, twice tomorrow	grupo	alternativoj	prononco
level	hodiaŭ familioj bezonas infanojn	hoje as famílias precisam de crianças	today families need children	grupo	alternativoj	prononco
level	esperis, ke li fartos bone morgaŭ	esperava que ele estivesse bem amanhã	hoped he would be well tomorrow	grupo	alternativoj	prononco
level	li fartis ege trankvila	ele estava se sentindo (tem estado) muito calmo	he was feeling (has been) very calm	grupo	alternativoj	prononco
level	tri etuloj altigis la monton	três pequeninos levantaram a montanha	three little ones raised the mountain	grupo	alternativoj	prononco
level	gravuloj ne petis helpon	pessoas importantes não pediram ajuda	important people did not ask for help	grupo	alternativoj	prononco
level	piediris tien por helpi	fui até lá para ajudar	walked there to help	grupo	alternativoj	prononco
level	restu hejme se temperaturo altas	fique em casa se a temperatura estiver alta	stay home if temperature is high	grupo	alternativoj	prononco
level	temperaturo restis simila hodiaŭ	temperatura permaneceu semelhante hoje	temperature remained similar today	grupo	alternativoj	prononco
level	voku la doktoron je la naŭa	ligue para o médico às nove	call the doctor at nine	grupo	alternativoj	prononco
level	montru ĝin al via doktoro	mostre ao seu médico	show it to your doctor	grupo	alternativoj	prononco
level	por montri vian piedon	mostrar seu pé	to show your foot	grupo	alternativoj	prononco
level	vestu ĉi tiun ĉemizon	use esta camisa	wear this shirt	grupo	alternativoj	prononco
level	semajnfine ĉio trankviliĝos	no final de semana tudo vai se acalmar	on the weekend everything will calm down	grupo	alternativoj	prononco
level	sub la te-taso kion vi trovis?	debaixo da xícara de chá, o que você encontrou?	under the tea-cup what did you find?	grupo	alternativoj	prononco
level	mi deziras matenan teon	Eu quero chá da manhã	I want morning tea	grupo	alternativoj	prononco
level	esperis trankvilan vesperon	esperava por uma noite tranquila	hoped for a quiet evening	grupo	alternativoj	prononco
level	deziras, ke vi lernu	quer que você aprenda	wants that you learn	grupo	alternativoj	prononco
level	insistis, ke mi iru	insistiu que eu fosse	insisted that I go	grupo	alternativoj	prononco
level	je kioma horo?	a que horas?	at what hour?	grupo	alternativoj	prononco
level	je la sesa, li venos	às seis ele virá	at six he will come	grupo	alternativoj	prononco
level	la libreto estis ĉarma	o libreto era encantador	the libretto was charming	grupo	alternativoj	prononco
level	estu trankvila	fique quieto	be quiet	grupo	alternativoj	prononco
level	li estu trankvila	deixe ele ficar quieto	let him be quiet	grupo	alternativoj	prononco
level	ankaŭ li	ele também	he too	grupo	alternativoj	prononco
level	mi deziras	Eu quero (desejo)	I want (desire)	grupo	alternativoj	prononco
level	mi deziras, ke ~	Eu desejo (desejo) que ~	I wish (desire) that ~	grupo	alternativoj	prononco
level	ke vi lernu	que você aprende	that you learn	grupo	alternativoj	prononco
level	mi deziras, ke vi lernu	Eu quero que você aprenda	I want you to learn	grupo	alternativoj	prononco
level	patro insistas	pai insiste	father insists	grupo	alternativoj	prononco
level	patro insistas, ke ~	pai insiste que ~	father insists that ~	grupo	alternativoj	prononco
level	ke mi iru	que eu vá	that I go	grupo	alternativoj	prononco
level	patro insistas, ke mi iru	pai insiste que eu vá	father insists that I go	grupo	alternativoj	prononco
level	je kioma horo	a que horas	at what hour	grupo	alternativoj	prononco
level	je kioma horo vi venos?	que horas você vem?	what time do you come?	grupo	alternativoj	prononco
level	je la kvina	às cinco horas)	at five (o'clock)	grupo	alternativoj	prononco
level	je la kvina horo	às cinco horas	at five o'clock	grupo	alternativoj	prononco
level	kiel li fartas?	como ele está?	how does he doing?	grupo	alternativoj	prononco
level	kiel vi fartis lastatempe?	como tens estado ultimamente?	how have you been lately?	grupo	alternativoj	prononco
level	etaj libroj belas	livrinhos são lindos	little books are beautiful	grupo	alternativoj	prononco
level	libreto, belaj libroj	um livreto, lindos livros	a booklet, beautiful books	grupo	alternativoj	prononco
level	bela, beleta, belega	lindo, um pouco lindo, muito lindo	beautiful, a little pretty, very beautiful	grupo	alternativoj	prononco
level	varma, varmeta, varmega	morno, morno, muito quente	warm, lukewarm, very hot	grupo	alternativoj	prononco
level	librego, libreto	um grande livro, um livreto	a big book, a booklet	grupo	alternativoj	prononco
level	bona, bonega, bonege	bom, ótimo, bem	good, great, well	grupo	alternativoj	prononco
level	riĉa, riĉiĝi, riĉulo	rico, ficar rico, uma pessoa rica	rich, become rich, a rich person	grupo	alternativoj	prononco
level	trankvila, trankviliĝi, trankviliĝu	acalmar, acalmar, acalmar	calm, to calm down, calm down	grupo	alternativoj	prononco
level	sana, resaniĝi, resaniĝis	saudável, ficar curado, ficar curado	healthy, to become healed, became healed	grupo	alternativoj	prononco
level	edzo, edziĝo, geedziĝis	um marido, casamento, casado	a husband, marriage, married	grupo	alternativoj	prononco
level	leterportisto	um carteiro de cartas	a letter postman	grupo	alternativoj	prononco
level	hejmlando	uma pátria	a homeland	grupo	alternativoj	prononco
level	iom, iomete	um pouco, um pouco	somewhat, a little	grupo	alternativoj	prononco
level	ni bonege vespermanĝis	tivemos um ótimo jantar	we had a great dinner	grupo	alternativoj	prononco
level	espereble, prizorgu vin	esperançosamente, cuide-se	hopefully, take care of yourself	grupo	alternativoj	prononco
level	mi zorgis pri la altkvalita loĝejo	Eu me importava com a habitação de alta qualidade	I cared about the high-quality housing	grupo	alternativoj	prononco
level	pripensu dufoje, multfoje	pense duas vezes, muitas vezes	think twice, many times	grupo	alternativoj	prononco
level	kiu deprenis la libreton?	quem pegou o livreto?	who took down the booklet?	grupo	alternativoj	prononco
level	kato, kiu nomiĝas Cezaro	um gato chamado César	a cat named Caesar	grupo	alternativoj	prononco
level	kuko, kiu estas sur la tablo	um bolo que está na mesa	a cake which is on the table	grupo	alternativoj	prononco
level	manĝu kukon, kiu estas sur la tablo	coma um bolo que está na mesa	eat a cake that is on the table	grupo	alternativoj	prononco
level	fariĝis varmega kaj ruĝiĝis	ficou quente e corou	became hot and blushed	grupo	alternativoj	prononco
level	patro volas, ke lia infano manĝu	um pai quer que seu filho coma	a father wants his child to eat	grupo	alternativoj	prononco
level	en malgranda ĉambro	em uma pequena sala	in a small room	grupo	alternativoj	prononco
level	ni loĝas en ~	vivemos em ~	we live in ~	grupo	alternativoj	prononco
level	mi fariĝis maltrankvila	Fiquei ansioso	I became anxious	grupo	alternativoj	prononco
level	tiam, kiam mi vidis vin	naquela hora em que te vi	at that time when I saw you	grupo	alternativoj	prononco
level	ĉiuj rimarkis tion	todo mundo notou isso	everyone noticed that	grupo	alternativoj	prononco
level	tion, ke ŝi estas belega	o fato de ela ser linda	the fact that she is beautiful	grupo	alternativoj	prononco
level	ĉu vi deziras, ke ~ ?	você quer isso ~? (deziri)	do you want that ~ ? (deziri)	grupo	alternativoj	prononco
level	ke mi montru al vi	que eu possa te mostrar	that I may show you	grupo	alternativoj	prononco
level	ĉu vi deziras, ke mi montru?	você quer que eu mostre?	do you want me to show?	grupo	alternativoj	prononco
level	mian plej novan libron	meu mais novo livro (objetivo)	my newest book (objective)	grupo	alternativoj	prononco
level	morgaŭ matene, kion vi volas?	amanhã de manhã, o que você quer?	tomorrow morning, what do you want?	grupo	alternativoj	prononco
level	matenmanĝis malfrue	tomei café da manhã tarde	had breakfast late	grupo	alternativoj	prononco
level	kiam Marko alvenos?	quando Mark chegará?	when will Mark arrive?	grupo	alternativoj	prononco
level	je la kvina aŭ je la oka horo	às cinco ou oito horas	at five or eight o'clock	grupo	alternativoj	prononco
level	kiam vi rimarkis, ke ~ ?	quando você percebeu isso ~?	when did you notice that ~ ?	grupo	alternativoj	prononco
level	la tuta familio nomas min bonfarulo	toda a família me chama de benfeitor	the whole family calls me a benefactor	grupo	alternativoj	prononco
level	utila por vi	útil para você	useful for you	grupo	alternativoj	prononco
level	ĉu la libreto estis utila?	o livreto foi útil?	was the booklet useful?	grupo	alternativoj	prononco
level	tiu libreto, kiun mi sendis	o livreto que enviei	the booklet, which I sent	grupo	alternativoj	prononco
level	matene dormis tre longe	de manhã dormi muito tempo	in the morning slept for a long time	grupo	alternativoj	prononco
level	kiam li vidis la sunon	quando ele viu o sol	when he saw the sun	grupo	alternativoj	prononco
level	subite li eksaltis	de repente ele pulou	suddenly he jumped up	grupo	alternativoj	prononco
level	li estis ĉiam frua	ele sempre chegava cedo	he was always early	grupo	alternativoj	prononco
level	ĉiam li malfruas	ele está sempre atrasado	he is always late	grupo	alternativoj	prononco
level	tiam, kiam li devas iri	naquela hora, quando ele tem que ir	at that time, when he has to go	grupo	alternativoj	prononco
level	iri al la lernejo	ir para a escola	to go to the school	grupo	alternativoj	prononco
level	li scias, ke ~	ele sabe, isso ~	he knows, that ~	grupo	alternativoj	prononco
level	li scias tion, ke ~	ele sabe o fato, que ~	he knows the fact, that ~	grupo	alternativoj	prononco
level	tion, ke la instruisto malŝatas abelon	o fato de a professora odiar abelhas	the fact that the teacher hates bees	grupo	alternativoj	prononco
level	scias tion, ke la instruisto malŝatas abelon	sabe o fato de que o professor odeia abelhas	knows the fact that the teacher hates bees	grupo	alternativoj	prononco
level	scias, ke la instruisto malŝatas tion	sabe que o professor odeia isso	knows that the teacher hates that	grupo	alternativoj	prononco
level	sed hodiaŭ li trinkis la kafon	mas hoje ele tomou o café	but today he drank the coffee	grupo	alternativoj	prononco
level	li rapide surmetas la vestaĵon	ele rapidamente veste as roupas	he quickly puts on the clothes	grupo	alternativoj	prononco
level	li ne volas malfrui	ele não quer se atrasar	he doesn't want to be late	grupo	alternativoj	prononco
level	rapidege kun la libroj en la mano	muito rapidamente com os livros em mãos	very quickly with the books in hand	grupo	alternativoj	prononco
level	poste li kuris kaj saltis	depois ele correu e pulou	later he ran and jumped	grupo	alternativoj	prononco
level	li kuris kaj saltis	ele correu e pulou	he ran and jumped	grupo	alternativoj	prononco
level	laŭ la strato	ao longo da rua	along the street	grupo	alternativoj	prononco
level	la homoj rigardis lin	as pessoas olharam para ele	the people looked at him	grupo	alternativoj	prononco
