B.da content.tsv
Level	Esperanto	da	en-us	Grupo	Alternativoj	Pronoco
level	mi pripensos	Jeg vil tænke mig om	I will think about	grupo	alternativoj	prononco
level	certe	helt sikkert	for sure	grupo	alternativoj	prononco
level	tamen, problemo estas ~	dog er et problem ~	however, a problem is ~	grupo	alternativoj	prononco
level	tiom da mono	så mange penge	that much money	grupo	alternativoj	prononco
level	mi ne havas tiom da mono nun	Jeg har ikke så mange penge lige nu	I don't have that much money right now	grupo	alternativoj	prononco
level	problemo estas ke mi ne havas tiom da mono	Problemet er at jeg ikke har så mange penge	problem is I don't have that much money	grupo	alternativoj	prononco
level	mi komprenas, sed ne estus multe-koste	Jeg forstår, men det ville ikke koste meget	I understand, but it wouldn't cost much	grupo	alternativoj	prononco
level	ne estus multe-koste, mia-krede	det ville ikke være meget dyrt, tror jeg	it would not be much expensive, I believe	grupo	alternativoj	prononco
level	tabelo de kotizo de programeroj	en tabel over gebyrer for programmer	a table of fees of programs	grupo	alternativoj	prononco
level	jen, se vi rigardas la kotiztabelon	altså hvis man ser på aktie-/gebyrtabellen	that is, if you look at the share/fees table	grupo	alternativoj	prononco
level	la kotiztabelo de la IJK-invitilo	aktie-/gebyrtabellen for IJK-invitation	the share/fees table of IJK-invitation	grupo	alternativoj	prononco
level	vi vidas, ke ~	du finder det ~	you find that ~	grupo	alternativoj	prononco
level	temas pri entute nur 50 eŭroj	det er kun 50 euro i alt	it's only 50 euros in total	grupo	alternativoj	prononco
level	vi vidas, ke por vi temas pri entute nur 50 eŭroj	du kan se, at det for dig kun er 50 euro i alt	you see that for you it's only 50 euros in total	grupo	alternativoj	prononco
level	se ni dormas surplanke	hvis vi sover på gulvet	if we sleep on the floor	grupo	alternativoj	prononco
level	en ordo	okay	all right	grupo	alternativoj	prononco
level	bone, tio sonas en ordo	godt, det lyder fint	well, that sounds fine	grupo	alternativoj	prononco
level	sed kio pri la vojaĝo	men hvad med rejsen	but what about the travel	grupo	alternativoj	prononco
level	trajno kostus ĉirkaŭ 70 eŭrojn	et tog ville koste omkring 70 euro	a train would cost around 70 euros	grupo	alternativoj	prononco
level	ĉu tio eblus por vi?	ville det være muligt for dig?	would that be possible for you?	grupo	alternativoj	prononco
level	espereble	forhåbentlig	hopefully	grupo	alternativoj	prononco
level	sed daŭrus sufiĉe longe per trajno	men ville holde længe nok med tog	but would last long enough by train	grupo	alternativoj	prononco
level	jes, sed ni povas halti en unu aŭ du urboj	ja, men vi kan stoppe i en eller to byer	yes, but we can stop in one or two cities	grupo	alternativoj	prononco
level	dum la vojo	langs vejen	along the way	grupo	alternativoj	prononco
level	kaj la tranoktado?	og overnatningen?	and the night stay?	grupo	alternativoj	prononco
level	ĉu vi pagus por ĝi?	ville du betale for det?	would you pay for it?	grupo	alternativoj	prononco
level	ne, ne mi, sed ne estas problemo	nej, ikke mig, men det er ikke et problem	no, not me, but it's not a problem	grupo	alternativoj	prononco
level	ĉu vere, ke tio ne estas problemo?	er det virkelig, at dette ikke er et problem?	is it really that this is not a problem?	grupo	alternativoj	prononco
level	kiel vi planas solvi tion?	hvordan har du tænkt dig at løse det?	how do you plan to solve that?	grupo	alternativoj	prononco
level	montris la oran kronon	viste den gyldne krone	showed the golden crown	grupo	alternativoj	prononco
level	nu, mi baldaŭ montros al vi	godt, jeg viser dig snart	well, I will show you soon	grupo	alternativoj	prononco
level	sed unue pli da teo	men først mere te	but first more tea	grupo	alternativoj	prononco
level	ĉu ankaŭ vi volas?	vil du også?	do you want too?	grupo	alternativoj	prononco
level	jes, dankon	ja tak	yes, thank you	grupo	alternativoj	prononco
level	en la sama kafejo	i samme cafe'	in the same cafe'	grupo	alternativoj	prononco
level	io daŭras, daŭrigas tion	noget foregår, bliver ved med at gøre det	something goes on, keeps (doing) that on	grupo	alternativoj	prononco
level	plano, plani, planado	en plan, at planlægge, planlægning	a plan, to plan, planning	grupo	alternativoj	prononco
level	ŝi kaj li daŭrigas la planadon	hun og han fortsætter planlægningen	she and he continue the planning	grupo	alternativoj	prononco
level	bonvolu, jen via teo	venligst, her er din te	please, here's your tea	grupo	alternativoj	prononco
level	mi dume rigardis la invitilon	imens kiggede jeg på invitationen	meanwhile I looked at the invitation	grupo	alternativoj	prononco
level	rigardis la invitilon por IJK	kiggede på invitationen fra IJK	looked at the invitation of IJK	grupo	alternativoj	prononco
level	mi multon komprenas, sed ne ĉion	Jeg forstår meget, men ikke alt	I understand much, but not all	grupo	alternativoj	prononco
level	bone bone, nur demandu	okay okay, bare spørg	all right all right, just ask	grupo	alternativoj	prononco
level	jen la aferoj	her er tingene	here are the things	grupo	alternativoj	prononco
level	klaraj aferoj	klare ting	clear things	grupo	alternativoj	prononco
level	la aferoj kiuj estas malklaraj	de ting, der er forvirrende	the things that are confusing	grupo	alternativoj	prononco
level	estas malklaraj por mi	er forvirrende for mig	are confusing to me	grupo	alternativoj	prononco
level	aliĝi, aliĝilo	for at deltage, en registreringsformular	to join, a registration form	grupo	alternativoj	prononco
level	TEJO (la organizo)	Verdensorganisationen for Esperanto-ungdom	The World Esperanto Youth Organization	grupo	alternativoj	prononco
level	Pepo (la TEJO-birdo)	Pepo, en fugl, der repræsenterer TEJO	Pepo, a bird that represents the TEJO	grupo	alternativoj	prononco
level	loĝi, loĝejo	at bo, et sted at bo (et logi)	to stay, a place to stay (a lodging)	grupo	alternativoj	prononco
level	amasloĝejo	et overnatningssted for massefolk	a lodging for mass people	grupo	alternativoj	prononco
level	aliĝilo estas ilo por al-iĝi	en registreringsformular er et værktøj til registrering	a registration form is a tool for registering	grupo	alternativoj	prononco
level	aliĝilo en kiu vi skribas vian nomon, adreson ktp	en medlemsformular, hvor du skriver dit navn, adresse mv	a membership form in which you write your name, address, etc	grupo	alternativoj	prononco
level	longa, mallongigo	lang, en forkortelse	long, an abbreviation	grupo	alternativoj	prononco
level	mallongigo de Tutmonda Esperantista Junulara Organizo	en forkortelse af World Esperanto Youth Organization	an abbreviation of the World Esperanto Youth Organization	grupo	alternativoj	prononco
level	Pepo estas la amuza birdo de TEJO	Pepo er TEJO's sjove fugl	Pepo is the funny bird of TEJO	grupo	alternativoj	prononco
level	amasloĝejo estas ejo kie amaso de homoj loĝas	en masse-logi er et sted, hvor mange mennesker opholder sig	a mass-lodging is a place where a lot of people stay	grupo	alternativoj	prononco
level	dormo, dormigilo, dormosako	en søvn, en sovepille, en sovepose	a sleep, a sleeping pill, a sleeping bag	grupo	alternativoj	prononco
level	kutime oni bezonas dormosakon tie	normalt har man brug for en sovepose der	usually one needs a sleeping bag there	grupo	alternativoj	prononco
level	vi klarigis tro rapide	du forklarede for hurtigt	you explained too quickly	grupo	alternativoj	prononco
level	mi ne kaptis ĉion	Jeg fangede ikke alt	I didn't catch everything	grupo	alternativoj	prononco
level	ne tre gravas	er ikke så vigtigt	is not that important	grupo	alternativoj	prononco
level	mi pensas ke ne tre gravas nun	Jeg tror, det ikke er særlig vigtigt nu	I think it's not very important now	grupo	alternativoj	prononco
level	poste ni povas pli paroli	senere kan vi snakke mere	later we can talk more	grupo	alternativoj	prononco
level	pli paroli pri la IJK-invitilo	mere for at tale om IJK-invitationen	more to talk about the IJK invitation	grupo	alternativoj	prononco
level	do, vi volas plani la vojaĝon nun, ĉu?	så du vil planlægge rejsen nu, ikke?	so you want to plan the travel now, right?	grupo	alternativoj	prononco
level	jes, volonte	ja gerne	yes, gladly	grupo	alternativoj	prononco
level	tiel vi vidos ke ~	så du vil se at ~	so you will see that ~	grupo	alternativoj	prononco
level	kostos tiom multe	vil koste så meget	will cost that much	grupo	alternativoj	prononco
level	vidos ke la vojaĝo ne kostos tiom multe	vil se, at rejsen ikke kommer til at koste så meget	will see that the travel will not cost that much	grupo	alternativoj	prononco
level	mi volas scii	jeg vil vide	I want to know	grupo	alternativoj	prononco
level	mi scivolas pri ~	Jeg vil gerne vide om ~	I want to know about ~	grupo	alternativoj	prononco
level	kiel vi solvos la tranoktadon	hvordan du vil løse overnatningen	how you will solve the night-staying	grupo	alternativoj	prononco
level	ĉar mi ne havas monon	fordi jeg ikke har penge	because I don't have money	grupo	alternativoj	prononco
level	junulara gastejo	et vandrehjem	a youth hostel	grupo	alternativoj	prononco
level	havas monon por hotelo aŭ junulargastejo	har penge til et hotel eller et vandrehjem	has money for a hotel or a youth-hostel	grupo	alternativoj	prononco
level	jen la solvo!	her er løsningen	here's the solution	grupo	alternativoj	prononco
level	pasporto	et pas	a passport	grupo	alternativoj	prononco
level	Pasporta Servo	Passervice, esperantisternes hjemmeophold	Passport Service, Esperantists' Home Stay	grupo	alternativoj	prononco
level	libreto kun la nomo "Pasporta Servo"	hæfte med navnet &quot;Passervice&quot;	booklet with the name "Passport Service"	grupo	alternativoj	prononco
level	servo por kio?	service til hvad?	service for what?	grupo	alternativoj	prononco
level	por homoj kiel ni	for folk som os	for people like us	grupo	alternativoj	prononco
level	sperti, spertulo	at opleve, en ekspert	to experience, an expert	grupo	alternativoj	prononco
level	homoj kiuj ŝatas vojaĝi kaj sperti landojn	mennesker, der kan lide at rejse og opleve lande	people who like to travel and experience countries	grupo	alternativoj	prononco
level	enspezi kaj elspezi	at tjene og at bruge	to earn and to spend	grupo	alternativoj	prononco
level	sen elspezi multe da mono	uden at bruge mange penge	without spending a lot of money	grupo	alternativoj	prononco
level	servo, la servo, tiu servo	en tjeneste, tjenesten, den tjeneste	a service, the service, that service	grupo	alternativoj	prononco
level	bone, kaj kiel funkcias tiu servo?	godt, og hvordan fungerer den service?	well, and how does that service work?	grupo	alternativoj	prononco
level	mi vidas ke en la libreto estas ~	Jeg kan se, at der i hæftet står ~	I see that in the booket there is ~	grupo	alternativoj	prononco
level	multe da adresoj	mange adresser	lots of addresses	grupo	alternativoj	prononco
level	estas multe da adresoj de pluraj landoj	der er mange adresser fra flere lande	there are many addresses from several countries	grupo	alternativoj	prononco
level	ĝuste, jes!	rigtigt, ja!	right, yes!	grupo	alternativoj	prononco
level	je via dispono	til din rådighed	at your disposal	grupo	alternativoj	prononco
level	ili ĉiuj	de alle sammen	they all, all of them	grupo	alternativoj	prononco
level	fakte ili ĉiuj estas je via dispono!	faktisk er de alle til din rådighed!	in fact they are all at your disposal!	grupo	alternativoj	prononco
level	signifis, signifo	ment, betydning	meant, meaning	grupo	alternativoj	prononco
level	"je mia dispono", kion signifas tio?	&quot;til min rådighed&quot;, hvad betyder det?	"at my disposal", what does that mean?	grupo	alternativoj	prononco
level	signifas ke ~	betyder, at ~	means that ~	grupo	alternativoj	prononco
level	gasti, gasto, gastigi	at gæste, en gæst, at være vært for en gæst	to guest, a guest, to host a guest	grupo	alternativoj	prononco
level	estas preta, pretas, pretiĝu!	er klar, er forberedt, gør klar!	is ready, is prepared, get ready!	grupo	alternativoj	prononco
level	homoj ĉe tiuj adresoj pretas gastigi vin	folk på disse adresser er klar til at være vært for dig	people at those addresses are ready to host you	grupo	alternativoj	prononco
level	koni, konata, konatiĝi	at kende (en person), kendt, at blive kendt	to know (a person), known, to get to be known	grupo	alternativoj	prononco
level	kaj helpi vin konatiĝi kun ilia regiono	og hjælpe dig med at blive bekendt med deres region	and help you get acquainted with their region	grupo	alternativoj	prononco
level	signifas ke homoj pretas gastigi vin kaj helpi	betyder, at folk er villige til at være vært for dig og hjælpe	means people are willing to host you and help	grupo	alternativoj	prononco
level	sonas interese!	lyder interessant!	sounds interesting!	grupo	alternativoj	prononco
level	do	så	so	grupo	alternativoj	prononco
level	oni loĝas en la hejmo de aliaj Esperantistoj, ĉu?	nogen bliver i andre esperantisters hjem, ikke?	somebody stays in the home of other Esperantists, right?	grupo	alternativoj	prononco
level	pluraj spertoj per Pasporta Servo	flere erfaringer med passervice	several experiences with Passport Service	grupo	alternativoj	prononco
level	mi havis plurajn interesajn spertojn	Jeg havde flere interessante oplevelser	I had several interesting experiences	grupo	alternativoj	prononco
level	mi uzis ĝin en tri kontinentoj	Jeg har brugt det på tre kontinenter	I have used it on three continents	grupo	alternativoj	prononco
level	malbone funkcias	(det) fungerer dårligt	(it) works poorly	grupo	alternativoj	prononco
level	kaj ĝis nun funkciis tre bone	og indtil videre har det fungeret meget godt	and so far (it) has worked very well	grupo	alternativoj	prononco
level	bonege! kien ni iru?	store! hvor er vi på vej hen?	great! where are we going?	grupo	alternativoj	prononco
level	do, mia plano estas ke ni ~	så min plan er, at vi ~	so, my plan is that we ~	grupo	alternativoj	prononco
level	venas, alvenis	kommer, ankommet	comes, arrived	grupo	alternativoj	prononco
level	post sukcesa vojaĝo	efter en vellykket tur	after a successful trip	grupo	alternativoj	prononco
level	post uzado de Pasporta Servo en du urboj	efter at have brugt passervice i to byer	after using Passport Service in two cities	grupo	alternativoj	prononco
level	ili alvenas post sukcesa vojaĝo	de ankommer efter en vellykket tur	they arrive after a successful trip	grupo	alternativoj	prononco
level	jen, vidu!	se, se!	behold, look!	grupo	alternativoj	prononco
level	tie estas granda Esperanto-flago	der er et stort esperantoflag derovre	there's a big Esperanto flag over there	grupo	alternativoj	prononco
level	ŝildo kun la teksto "Bonvenon al IJK!"	et skilt med teksten &quot;Velkommen til IJK!&quot;	a sign with the text "Welcome to IJK!"	grupo	alternativoj	prononco
level	jes, kaj sub ĝi estas ~	ja, og under den er der ~	yes, and below it there is ~	grupo	alternativoj	prononco
level	hu ra!	Hurra!	Hooray!	grupo	alternativoj	prononco
level	ni do finfine alvenis	så vi endelig ankom	so we finally arrived	grupo	alternativoj	prononco
level	mi estas tre laca kaj malsata	Jeg er meget træt og sulten	I am very tired and hungry	grupo	alternativoj	prononco
level	ĉu vi pensas ke ni povas ~	tror du vi kan ~ ?	do you think we can ~ ?	grupo	alternativoj	prononco
level	manĝi ion	at spise noget	to eat something	grupo	alternativoj	prononco
level	ĉu vi pensas ke ni povas tuj ion manĝi?	tror du, vi kan spise noget med det samme?	do you think we can eat something right away?	grupo	alternativoj	prononco
level	mi dubas pri tio	det tvivler jeg på	I doubt that	grupo	alternativoj	prononco
level	unue ni devas akceptiĝi	vi skal først accepteres	we must first be accepted	grupo	alternativoj	prononco
level	devas akceptiĝi ĉe la akceptejo	skal modtages i receptionen	must be accepted at the reception desk	grupo	alternativoj	prononco
level	kaj tio povas daŭri longe	og det kan holde længe	and that can last a long time	grupo	alternativoj	prononco
level	daŭri longe miasperte	at holde længe efter min erfaring	to last long in my experience	grupo	alternativoj	prononco
level	ho ve!	ak!	alas!	grupo	alternativoj	prononco
level	ĉu tio estas la vico por la akceptejo?	er det køen til receptionen?	is that the line for the reception?	grupo	alternativoj	prononco
level	mi timas ke jes	det er jeg bange for	I'm afraid so	grupo	alternativoj	prononco
level	ne estas tute perfekte fari ~	at gøre ~ er ikke helt perfekt	to do ~ is not totally perfect	grupo	alternativoj	prononco
level	tute perfekte alveni vespere	er helt perfekt at ankomme om aftenen	is totally perfect to arrive in the evening	grupo	alternativoj	prononco
level	ni povas babili kun homoj	vi kan chatte med folk	we can chat with people	grupo	alternativoj	prononco
level	sed ni povas babili kun homoj en la vico	men vi kan chatte med folk i kø	but we can chat with people in line	grupo	alternativoj	prononco
level	jen, mi vidas amikon de rusio!	se, jeg ser en ven af Rusland!	behold, I see a friend of Russia!	grupo	alternativoj	prononco
level	mi estas malsata, mi volas manĝi	Jeg er sulten, jeg vil gerne spise	I'm hungry, I want to eat	grupo	alternativoj	prononco
level	post ĉirkaŭ 2 horoj	efter cirka 2 timer	after about 2 hours	grupo	alternativoj	prononco
level	en la vico kun novaj kaj malnovaj amikoj	på linje med nye og gamle venner	in line with new and old friends	grupo	alternativoj	prononco
level	LKK (Loka Kongresa Komitato)	det lokale kongresudvalg	local congress commitee	grupo	alternativoj	prononco
level	LKK-ano	medlem af det lokale kongresudvalg	a member in the local congress commitee	grupo	alternativoj	prononco
level	bonvenon, kiu vi estas?	velkommen, hvem er du?	welcome, who are you?	grupo	alternativoj	prononco
level	de kiu lando?	fra hvilket land?	from which country?	grupo	alternativoj	prononco
level	ĉu vi antaŭpagis?	forudbetalte du?	did you prepay?	grupo	alternativoj	prononco
level	bonvolu montri	vis venligst	please show	grupo	alternativoj	prononco
level	se jes, bonvolu montri la kvitancon	hvis ja, så vis venligst kvitteringen	if so, please show the receipt	grupo	alternativoj	prononco
level	ĉu vi estas TEJO-membro?	er du medlem af TEJO?	are you a member of TEJO?	grupo	alternativoj	prononco
level	membriĝi ĉe la budo	at blive medlem på en stand	to become a member at a booth	grupo	alternativoj	prononco
level	se ne, vi povas membriĝi ĉe la venonta budo	hvis ikke, kan du deltage på næste stand	if not, you can join at the next booth	grupo	alternativoj	prononco
level	jen kvitancoj de antaŭpagoj	her er kvitteringer for forudbetalinger	here are receipts of advance payments	grupo	alternativoj	prononco
level	membrokartoj kaj niaj pasportoj	medlemskort og vores pas	membership cards and our passports	grupo	alternativoj	prononco
level	tre bone	meget godt	very good	grupo	alternativoj	prononco
level	do, mi vidas ke vi loĝos en amasloĝejo	så jeg kan se, at du kommer til at bo i en masseindkvartering (crash space)	so, I see you will live in a mass-lodging (crash space)	grupo	alternativoj	prononco
level	kaj manĝos en la junulargastejo	og vil spise på vandrehjemmet	and will eat in the youth hostel	grupo	alternativoj	prononco
level	ĉu ĝustas tiuj informoj?	er disse oplysninger korrekte?	are those information correct?	grupo	alternativoj	prononco
level	jes, perfekte	ja, perfekt	yes, perfect	grupo	alternativoj	prononco
level	sako kun programo, mapo ktp	en taske med program, kort mm	a bag with program, map etc	grupo	alternativoj	prononco
level	vi povas pagi kaj ricevi sakon kun programo, mapo ktp	du kan betale og modtage en pose med program, kort mm	you can pay and receive a bag with program, map etc	grupo	alternativoj	prononco
level	ĉe la ruĝa budo, tie	ved den røde bod, der	at the red booth, there	grupo	alternativoj	prononco
level	bone, dankon	godt tak	good, thank you	grupo	alternativoj	prononco
level	aspektas laca sed sana	ser træt, men sund ud	looks tired but healthy	grupo	alternativoj	prononco
level	tiuj personoj vere aspektis lacaj	de mennesker så virkelig trætte ud	those people really looked tired	grupo	alternativoj	prononco
level	kaj ne estis tre afablaj	og var ikke særlig venlige	and were not very kind	grupo	alternativoj	prononco
level	vi pravas	du har ret	you are right	grupo	alternativoj	prononco
level	sed memoru ke ~	men husk at ~	but remember that ~	grupo	alternativoj	prononco
level	laboras dum ok horoj	arbejder i 8 timer	are working for 8 hours	grupo	alternativoj	prononco
level	la LKK laboras jam dum eble ok horoj	LKK har arbejdet i måske otte timer	the LKK has been working for maybe eight hours	grupo	alternativoj	prononco
level	sen multe da paŭzoj	uden megen pause	without much pause	grupo	alternativoj	prononco
level	sed memoru ke la LKK laboras sen paŭzoj	men husk at LKK arbejder uden pauser	but remember that the LKK works without breaks	grupo	alternativoj	prononco
level	babilema dum la semajno	snakkesalig i løbet af ugen	chatty during the week	grupo	alternativoj	prononco
level	mi certas ke ~	Jeg er sikker på, at ~	I'm sure that ~	grupo	alternativoj	prononco
level	mi certas ke ili estos pli afablaj	Jeg er sikker på, at de vil være venligere	I'm sure they'll be kinder	grupo	alternativoj	prononco
level	ili estos pli afablaj kaj babilemaj	de vil være venligere og mere snakkesalige	they will be kinder and more talkative	grupo	alternativoj	prononco
level	ni trovu ĝin	lad os finde det	let's find it	grupo	alternativoj	prononco
level	bone, nun ni trovu la amasloĝejon	Nå, lad os nu finde masseindkvarteringsstedet	well, now let's find the mass-lodging place	grupo	alternativoj	prononco
level	kaj poste mi ŝatus ion manĝi	og så vil jeg gerne have noget at spise	and then I would like something to eat	grupo	alternativoj	prononco
level	ĉu vi vidis la knabinon ĉe la TEJO-budo?	så du pigen ved TEJO standen?	did you see the girl at the TEJO booth?	grupo	alternativoj	prononco
level	jes, kio pri ŝi?	ja hvad med hende?	yes, what about her?	grupo	alternativoj	prononco
level	ĉu vi konas ŝin?	kender du hende?	do you know her?	grupo	alternativoj	prononco
level	bedaŭrinde ne	desværre ikke	unfortunately no	grupo	alternativoj	prononco
level	sed ŝi estas ege bela, ĉu ne?	men hun er meget smuk, ikke?	but she's very pretty, isn't she?	grupo	alternativoj	prononco
level	mi konsentas	jeg er enig	I agree	grupo	alternativoj	prononco
level	tamen ne bone komprenas	forstår dog ikke godt	however does not understand well	grupo	alternativoj	prononco
level	mi konsentas tamen ne komprenas	Jeg er enig, men jeg forstår det ikke	I agree but I don't understand	grupo	alternativoj	prononco
level	ĉu al vi plaĉas inoj?	kan du lide kvinder?	do you like females?	grupo	alternativoj	prononco
level	jes, mi volis diri al vi antaŭe	ja, jeg vil gerne fortælle dig det før	yes, I want tell you before	grupo	alternativoj	prononco
level	sed ial ne faris	men af en eller anden grund ikke	but for some reason did not	grupo	alternativoj	prononco
level	virinoj plaĉas al mi pli ol viroj	virinoj plaĉas al mi pli ol viroj	virinoj plaĉas al mi pli ol viroj	grupo	alternativoj	prononco
level	aspekte ktp	aspekt osv	aspect etc	grupo	alternativoj	prononco
level	ĉu, ĉu vi estas ?	er du, er du?	are you, are you?	grupo	alternativoj	prononco
level	jes, mi estas samseksemulo	ja, jeg er homoseksuel	yes, I am a homosexual	grupo	alternativoj	prononco
level	oni ankaŭ povas diri lesbo	man kan også sige lesbisk	one can also say lesbian	grupo	alternativoj	prononco
level	bone, mi tute ne sciis	godt, det vidste jeg slet ikke	well, I didn't know at all	grupo	alternativoj	prononco
level	sed mi ĝojas ke vi diris	men jeg er glad for du sagde	but I'm glad you said	grupo	alternativoj	prononco
level	fakte mi ankaŭ ĝojas ke vi estas samseksemulo	faktisk er jeg glad for, at du er homoseksuel	in fact I am glad that you are a homosexual	grupo	alternativoj	prononco
level	vi estas la plej afabla kaj agrabla lesbo	du er den sødeste og sødeste lesbiske	you are the kindest and nicest lesbian	grupo	alternativoj	prononco
level	la plej agrabla lesbo kiun mi konas	den dejligste lesbiske jeg kender	the nicest lesbian I know	grupo	alternativoj	prononco
level	dankon! ĉu vi konas aliajn?	tak skal du have! kender du andre?	thank you! do you know others?	grupo	alternativoj	prononco
level	sed kiel vi scias tion?	men hvordan ved du det?	but how do you know that?	grupo	alternativoj	prononco
level	tiu knabino preferas virojn!	den pige foretrækker mænd!	that girl prefers men!	grupo	alternativoj	prononco
level	ĉiukaze mi kredas ke tiu knabino preferas virojn!	under alle omstændigheder tror jeg, at pigen foretrækker mænd!	in any case I believe that girl prefer men!	grupo	alternativoj	prononco
level	tiu knabino pri kiu vi parolis	pigen du talte om	that girl whom you were talking about	grupo	alternativoj	prononco
level	ni vidos	vi får at se	we'll see	grupo	alternativoj	prononco
level	en la amasloĝejo	på masseindkvarteringsstedet (et nedbrudsrum)	in the mass lodging place (a crash space)	grupo	alternativoj	prononco
level	bonan matenon!	god morgen!	good morning!	grupo	alternativoj	prononco
level	ĉu vi bone dormis?	har du sovet godt?	did you sleep well?	grupo	alternativoj	prononco
level	apenaŭ vidas	næppe ses	hardly see	grupo	alternativoj	prononco
level	male, mi apenaŭ dormis	tværtimod kunne jeg næsten ikke sove	on the contrary, I could hardly sleep	grupo	alternativoj	prononco
level	sed kial?	men hvorfor?	but why?	grupo	alternativoj	prononco
level	eble vi estis nervoza pri via unua IJK-tago?	måske var du nervøs for din første IJK-dag?	maybe you were nervous about your first IJK day?	grupo	alternativoj	prononco
level	ne vere	ikke rigtig	not really	grupo	alternativoj	prononco
level	la tutan nokton, dum la tuta nokto	hele natten, hele natten lang	all night, all night long	grupo	alternativoj	prononco
level	tre laŭte ronkis	snorkede meget højt	snored very loudly	grupo	alternativoj	prononco
level	simple iu tre laŭte ronkis la tutan nokton	bare nogen snorkede meget højt hele natten	just someone snored very loudly all night	grupo	alternativoj	prononco
level	ne ĝenu min	generer mig ikke	don't bother me	grupo	alternativoj	prononco
level	kaj tio ege ĝenis min	og det generede mig meget	and that bothered me greatly	grupo	alternativoj	prononco
level	ĉu vi ne aŭdis tion?	hørte du det ikke	didn't you hear that	grupo	alternativoj	prononco
level	tute ne, mi profunde dormis	slet ikke, jeg sov dybt	not at all, I slept deeply	grupo	alternativoj	prononco
level	ĉu mi forgesis diri al vi ke ~?	glemte jeg at fortælle dig det ~?	did I forget to tell you that ~?	grupo	alternativoj	prononco
level	orelo, ŝtopi, orelŝtopiloj	øre, at stikke, ørepropper	ear, to plug, ear plugs	grupo	alternativoj	prononco
level	indas uzi orelŝtopilojn	det er værd at bruge ørepropper	it is worth using earplugs	grupo	alternativoj	prononco
level	indas uzi ~	er værd at bruge ~	is worth using ~	grupo	alternativoj	prononco
level	diris al vi ke indas uzi orelŝtopilojn	fortalte dig, at det er værd at bruge ørepropper	told you it's worth using earplugs	grupo	alternativoj	prononco
level	kiam vi dormas en amasloĝejo	når du sover på en masselogi (crash place)	when you sleep at a mass lodging (crash place)	grupo	alternativoj	prononco
level	evidente jes	åbenbart ja	obviously yes	grupo	alternativoj	prononco
level	ho, kompatinda Kaĉjo!	åh, stakkels Katty!	oh, poor Katty!	grupo	alternativoj	prononco
level	pri kiu vi parolas?	hvad snakker du om?	who are you talking about?	grupo	alternativoj	prononco
level	pri vi	om dig	about you	grupo	alternativoj	prononco
level	karesi, karesa nomo, karesnomo	at kærtegne, kærtegne navn, øgenavn	to caress, caressing name, nickname	grupo	alternativoj	prononco
level	per -ĉjo aŭ -njo eblas krei karesnomojn en Esperanto	med -ĉjo eller -njo er det muligt at oprette kaldenavne på esperanto	with -ĉjo or -njo, it is possible to create nicknames in Esperanto	grupo	alternativoj	prononco
level	ha, jes, mi iam legis pri tio	ah, ja, jeg læste engang om det	ah, yes, I once read about it	grupo	alternativoj	prononco
level	kaj vi do estus Injo?	og så ville du være Injo?	and then you would be Injo?	grupo	alternativoj	prononco
level	se vi volas iri tien	hvis du vil gå derhen	if you want go there	grupo	alternativoj	prononco
level	kioma horo estas nun?	hvad er klokken nu?	what time is it now?	grupo	alternativoj	prononco
level	jam estas kvin minutoj antaŭ la deka	klokken er allerede fem minutter i ti	it's already five minutes to ten	grupo	alternativoj	prononco
level	kvin minutoj antaŭ la deka, aŭ naŭa kvindek kvin	fem minutter før ti, eller ni femoghalvtreds	five minutes before ten, or nine fifty-five	grupo	alternativoj	prononco
level	trafis aŭ maltrafis?	ramt eller savnet?	hit or missed?	grupo	alternativoj	prononco
level	vi maltrafis la matenmanĝon	du gik glip af morgenmad	you missed breakfast	grupo	alternativoj	prononco
level	o, fek!	åh, shit!	oh, shit!	grupo	alternativoj	prononco
level	ĉu vi estas sata?	er du tilfreds ?	are you satisfied ?	grupo	alternativoj	prononco
level	kaj mi kiu estas ege malsata	og jeg som er ekstremt sulten	and I who am extremely hungry	grupo	alternativoj	prononco
level	se vi hastos	hvis du skynder dig	if you hurry	grupo	alternativoj	prononco
level	povas almenaŭ trafi la malfermon	kan i det mindste ramme åbningen	can at least hit the opening	grupo	alternativoj	prononco
level	la malfermo de la kongreso	åbningen af kongressen	the opening of the congress	grupo	alternativoj	prononco
level	vi povas almenaŭ trafi la malfermon de la kongreso	du kan i det mindste ramme åbningen af stævnet	you can at least hit the opening of the convention	grupo	alternativoj	prononco
level	kiam ĝi estos?	hvornår bliver det?	when will it be?	grupo	alternativoj	prononco
level	je kvarono post la deka	klokken kvart over ti	at a quarter past ten	grupo	alternativoj	prononco
level	ĝi daŭros horon	det vil vare en time	it will last an hour	grupo	alternativoj	prononco
level	kaj je la dek dua eblos manĝi	og klokken tolv vil der være mulighed for at spise	and at twelve it will be possible to eat	grupo	alternativoj	prononco
level	bele mi antaŭĝojas	smukt jeg glæder mig	beautifully I'm looking forward to it	grupo	alternativoj	prononco
level	diru, kio okazas dum la malfermo?	fortæl mig, hvad sker der under åbningen?	tell me, what happens during the opening?	grupo	alternativoj	prononco
level	ĉu ĝi estas vizitinda entute?	er det overhovedet værd at besøge?	is it worth visiting at all?	grupo	alternativoj	prononco
level	laŭ mi jes	efter min mening ja	in my opinion yes	grupo	alternativoj	prononco
