B.ko-kr content.tsv
Level	Esperanto	ko-kr	en-us	Grupo	Alternativoj	Pronoco
level	unu por komencantoj	하나는 초급자들을 위한 것 (초급자를 위한 한가지)	one for beginners	grupo	alternativoj	prononco
level	kaj alia por homoj kiuj jam eklernis la lingvon	그리고 다른 것은, 이미 언어를 배웠던 사람들을 위한 것	and the other for those who already learned the language	grupo	alternativoj	prononco
level	jes, kio?	예, 뭐라고요?	jes, what?	grupo	alternativoj	prononco
level	vi diris, "kutime"	당신이, "보통은" 이라고 말했죠	you said, "usually"	grupo	alternativoj	prononco
level	ha, IJK okazas ĉiu-jare	예, 청년대회(IJK)는 매년 열립니다	oh, IJK happens every year	grupo	alternativoj	prononco
level	ĉiu-foje en alia lando	매번 다른 나라에서	every time in other country	grupo	alternativoj	prononco
level	pro tio, ĉiu IJK estas alispeca	그래서 각각의 청년대회는 성격이 다르다	for this reason, every IJK is different	grupo	alternativoj	prononco
level	sed ankaŭ estas programeroj	하지만 프로그램들도 있다	but there are also programs	grupo	alternativoj	prononco
level	programeroj, kiuj ofte revenas	프로그램들, 자주 되돌아 오는	programs that returns often	grupo	alternativoj	prononco
level	sed ankaŭ estas programeroj, kiuj ofte revenas	하지만 자주 되돌아오는 프로그램들도 있다	but there're also programs that returns often	grupo	alternativoj	prononco
level	ekzemple	예를 들어	for example	grupo	alternativoj	prononco
level	ekzemple, preskaŭ ĉiam eblas sportumi, kart-ludi	예를 들어 거의 항상 스포츠와 카드놀이를 할 수 있다	for example, it is almost always possible to play sports and cards	grupo	alternativoj	prononco
level	babili kun amikoj dum la tuta nokto	밤새워 친구들과 대화하기	to talk with friends all night	grupo	alternativoj	prononco
level	kanti ĉirkaŭ fajro kaj danci	모닥불 옆에서 노래하고, 춤추기	to sing around fire and to dance	grupo	alternativoj	prononco
level	partopreni koncertojn, ktp	콘서트 참가하기, 기타등등	to take part in concerts, and so forth	grupo	alternativoj	prononco
level	nu, tion mi povas fari ankaŭ hejme	저기, 그건 집에서도 할 수 있어요	well, I can do that at home too	grupo	alternativoj	prononco
level	prave, sed	맞아요 하지만	right, but	grupo	alternativoj	prononco
level	sed la grava afero dum IJK estas ~	하지만 청년대회 기간동안 중요한 것은 ~이다	but the important thing during IJK is ~	grupo	alternativoj	prononco
level	venas de multaj diversaj landoj	서로 다른 많은 나라에서 온다	comes from many different countries	grupo	alternativoj	prononco
level	estas ke la partoprenantoj venas de diversaj landoj	참가자들이 다양한 나라에서 온다는 것이다	is that the participants come from different countries	grupo	alternativoj	prononco
level	pro tiu mikso de diversaj homoj	다양한 사람이 이렇게 혼합됨으로 인해서	because of that mix of different people	grupo	alternativoj	prononco
level	estas bona etoso, kiu tre plaĉas al mi	분위기가 좋은데, 나는 그게 정말 좋다	it's a good atmosphere that I like very much	grupo	alternativoj	prononco
level	bone, sonas interese	좋아요, 흥미롭게 들리네요	all right, sounds like interest	grupo	alternativoj	prononco
level	mi pripensos	내가 고려해 보겠습니다	I will think about	grupo	alternativoj	prononco
level	certe	꼭 (틀림없이)	for sure	grupo	alternativoj	prononco
level	tamen, problemo estas ~	하지만 문제는 ~ 이다	however, a problem is ~	grupo	alternativoj	prononco
level	tiom da mono	그만큼의 돈	that much money	grupo	alternativoj	prononco
level	mi ne havas tiom da mono nun	나는 지금 그만큼의 돈이 없다	I don't have that much money right now	grupo	alternativoj	prononco
level	problemo estas ke mi ne havas tiom da mono	문제는 내가 그만큼의 돈이 없다는 것이다	problem is I don't have that much money	grupo	alternativoj	prononco
level	mi komprenas, sed ne estus multe-koste	이해하겠는데, 하지만 비용이 많이 들지는 않을 것이다	I understand, but it wouldn't cost much	grupo	alternativoj	prononco
level	ne estus multe-koste, mia-krede	내가 믿기로는, 그리 비용이 많이 들지는 않을 것이다	it would not be much expensive, I believe	grupo	alternativoj	prononco
level	tabelo de kotizo de programeroj	프로그램들의 요금의 표	a table of fees of programs	grupo	alternativoj	prononco
level	jen, se vi rigardas la kotiztabelon	여기 요금표를 봐보시면	that is, if you look at the share/fees table	grupo	alternativoj	prononco
level	la kotiztabelo de la IJK-invitilo	IJK 초청장의 요금표	the share/fees table of IJK-invitation	grupo	alternativoj	prononco
level	vi vidas, ke ~	~임을 보실 수 있어요	you find that ~	grupo	alternativoj	prononco
level	temas pri entute nur 50 eŭroj	단지 총 50유로 밖에 안돼요	it's only 50 euros in total	grupo	alternativoj	prononco
level	vi vidas, ke por vi temas pri entute nur 50 eŭroj	당신에게는 총 50유로 밖에 안되는 것을 볼 수 있어요	you see that for you it's only 50 euros in total	grupo	alternativoj	prononco
level	se ni dormas surplanke	(마룻) 바닥에서 잔다고 하면	if we sleep on the floor	grupo	alternativoj	prononco
level	en ordo	문제없이 정리된	all right	grupo	alternativoj	prononco
level	bone, tio sonas en ordo	좋아요, 그건 문제 없어 보이네요	well, that sounds fine	grupo	alternativoj	prononco
level	sed kio pri la vojaĝo	하지만 여행에 대해서는 어떡하죠?	but what about the travel	grupo	alternativoj	prononco
level	trajno kostus ĉirkaŭ 70 eŭrojn	기차가 70 유로 정도 들겁니다	a train would cost around 70 euros	grupo	alternativoj	prononco
level	ĉu tio eblus por vi?	당신에게 그것이 가능합니까?	would that be possible for you?	grupo	alternativoj	prononco
level	espereble	희망하기를 (그러길 바랍니다)	hopefully	grupo	alternativoj	prononco
level	sed daŭrus sufiĉe longe per trajno	기차로는 충분히 길게 걸릴 것 같습니다	but would last long enough by train	grupo	alternativoj	prononco
level	jes, sed ni povas halti en unu aŭ du urboj	예 하지만 우리는 한두 도시에서 멈출(들를) 수 있습니다	yes, but we can stop in one or two cities	grupo	alternativoj	prononco
level	dum la vojo	그 도중에	along the way	grupo	alternativoj	prononco
level	kaj la tranoktado?	그리고 숙박은?	and the night stay?	grupo	alternativoj	prononco
level	ĉu vi pagus por ĝi?	당신이 그걸 지불할 겁니까?	would you pay for it?	grupo	alternativoj	prononco
level	ne, ne mi, sed ne estas problemo	아뇨, 저는 아닙니다, 하지만 문제가 없습니다	no, not me, but it's not a problem	grupo	alternativoj	prononco
level	ĉu vere, ke tio ne estas problemo?	진짜로 그게 문제가 아닌가요?	is it really that this is not a problem?	grupo	alternativoj	prononco
level	kiel vi planas solvi tion?	당신은 그것을 어떻게 해결할 계획입니까?	how do you plan to solve that?	grupo	alternativoj	prononco
level	montris la oran kronon	그 금관을 보여 줬다	showed the golden crown	grupo	alternativoj	prononco
level	nu, mi baldaŭ montros al vi	저, 제가 잠시후에 당신에게 보여 주겠습니다	well, I will show you soon	grupo	alternativoj	prononco
level	sed unue pli da teo	그러나 우선 차를 조금 더	but first more tea	grupo	alternativoj	prononco
level	ĉu ankaŭ vi volas?	당신도 원하시나요?	do you want too?	grupo	alternativoj	prononco
level	jes, dankon	예, 감사합니다	yes, thank you	grupo	alternativoj	prononco
level	en la sama kafejo	같은 카페안에서	in the same cafe'	grupo	alternativoj	prononco
level	io daŭras, daŭrigas tion	무엇인가가 지속된다, 그것을 계속한다	something goes on, keeps (doing) that on	grupo	alternativoj	prononco
level	plano, plani, planado	계획, 계획하다, 계획하기	a plan, to plan, planning	grupo	alternativoj	prononco
level	ŝi kaj li daŭrigas la planadon	그녀와 그는 계획하기를 계속한다	she and he continue the planning	grupo	alternativoj	prononco
level	bonvolu, jen via teo	드세요(부디~하세요), 여기 차가 있습니다	please, here's your tea	grupo	alternativoj	prononco
level	mi dume rigardis la invitilon	그동안 저는 초청장을 봤습니다	meanwhile I looked at the invitation	grupo	alternativoj	prononco
level	rigardis la invitilon por IJK	청년대회(IJK) 초청장을 봤습니다	looked at the invitation of IJK	grupo	alternativoj	prononco
level	mi multon komprenas, sed ne ĉion	나는 많은 것을 이해했지만, 전부는 아닙니다	I understand much, but not all	grupo	alternativoj	prononco
level	bone bone, nur demandu	좋아요 좋아요, 질문만 해 주세요	all right all right, just ask	grupo	alternativoj	prononco
level	jen la aferoj	여기 그것들이 있어요	here are the things	grupo	alternativoj	prononco
level	klaraj aferoj	명확한 것들	clear things	grupo	alternativoj	prononco
level	la aferoj kiuj estas malklaraj	그것들, 명확하지 않은 그것들	the things that are confusing	grupo	alternativoj	prononco
level	estas malklaraj por mi	나에게 명확하지 않습니다	are confusing to me	grupo	alternativoj	prononco
level	aliĝi, aliĝilo	가입하다, 가입원서	to join, a registration form	grupo	alternativoj	prononco
level	TEJO (la organizo)	세계 에스페란토 청년회	The World Esperanto Youth Organization	grupo	alternativoj	prononco
level	Pepo (la TEJO-birdo)	Pepo, 세계 에스페란토 청년회 상징인 새	Pepo, a bird that represents the TEJO	grupo	alternativoj	prononco
level	loĝi, loĝejo	머무르다 (숙박하다), 숙소	to stay, a place to stay (a lodging)	grupo	alternativoj	prononco
level	amasloĝejo	단체 합숙소 (체육관 바닥 같은 곳)	a lodging for mass people	grupo	alternativoj	prononco
level	aliĝilo estas ilo por al-iĝi	입회원서는 가입-하기 위한 도구이다	a registration form is a tool for registering	grupo	alternativoj	prononco
level	aliĝilo en kiu vi skribas vian nomon, adreson ktp	입회원서, 그 안에 당신이 당신의 이름, 주소 등등을 쓰는	a membership form in which you write your name, address, etc	grupo	alternativoj	prononco
level	longa, mallongigo	긴, 축약(약자)	long, an abbreviation	grupo	alternativoj	prononco
level	mallongigo de Tutmonda Esperantista Junulara Organizo	세계에스페란토청년회의 약자	an abbreviation of the World Esperanto Youth Organization	grupo	alternativoj	prononco
level	Pepo estas la amuza birdo de TEJO	페포(Pepo)는 세계청년회의 익살스런 새이다	Pepo is the funny bird of TEJO	grupo	alternativoj	prononco
level	amasloĝejo estas ejo kie amaso de homoj loĝas	단체합숙장은 다수의 사람들이 숙박하는 그곳이다	a mass-lodging is a place where a lot of people stay	grupo	alternativoj	prononco
level	dormo, dormigilo, dormosako	잠, 수면제, 침낭	a sleep, a sleeping pill, a sleeping bag	grupo	alternativoj	prononco
level	kutime oni bezonas dormosakon tie	보통은 거기에서 침낭을 필요로 한다	usually one needs a sleeping bag there	grupo	alternativoj	prononco
level	vi klarigis tro rapide	당신이 너무 빠르게 설명했습니다	you explained too quickly	grupo	alternativoj	prononco
level	mi ne kaptis ĉion	나는 전부를 잡지(이해하지) 못했습니다	I didn't catch everything	grupo	alternativoj	prononco
level	ne tre gravas	그리 중요하지 않다	is not that important	grupo	alternativoj	prononco
level	mi pensas ke ne tre gravas nun	내 생각에는, 지금 별로 중요하지 않은 것 같습니다	I think it's not very important now	grupo	alternativoj	prononco
level	poste ni povas pli paroli	나중에 더 얘기할 수 있습니다	later we can talk more	grupo	alternativoj	prononco
level	pli paroli pri la IJK-invitilo	청년대회(IJK) 초청장에 대해서 더 얘기해 보다	more to talk about the IJK invitation	grupo	alternativoj	prononco
level	do, vi volas plani la vojaĝon nun, ĉu?	그러면, 당신은 지금 그 여행을 계획하고 싶은 거죠, 그쵸?	so you want to plan the travel now, right?	grupo	alternativoj	prononco
level	jes, volonte	예, 기꺼이	yes, gladly	grupo	alternativoj	prononco
level	tiel vi vidos ke ~	그렇게 당신은 ~를 알게될 겁니다	so you will see that ~	grupo	alternativoj	prononco
level	kostos tiom multe	비용이 그렇게 많이 들 것이다	will cost that much	grupo	alternativoj	prononco
level	vidos ke la vojaĝo ne kostos tiom multe	여행이 그리 비용이 많이 들지 않을 것임을 알게 될 겁니다	will see that the travel will not cost that much	grupo	alternativoj	prononco
level	mi volas scii	나는 알고 싶습니다	I want to know	grupo	alternativoj	prononco
level	mi scivolas pri ~	나는 ~에 대해서 알고 싶습니다	I want to know about ~	grupo	alternativoj	prononco
level	kiel vi solvos la tranoktadon	당신이 어떻게 숙박을 해결할 지	how you will solve the night-staying	grupo	alternativoj	prononco
level	ĉar mi ne havas monon	나는 돈이 없기 때문에	because I don't have money	grupo	alternativoj	prononco
level	junulara gastejo	유스 호스텔	a youth hostel	grupo	alternativoj	prononco
level	havas monon por hotelo aŭ junulargastejo	호텔 또는 유스호스텔을 위한 돈을 가지고 있다	has money for a hotel or a youth-hostel	grupo	alternativoj	prononco
level	jen la solvo!	여기 해결책이야!	here's the solution	grupo	alternativoj	prononco
level	pasporto	여권	a passport	grupo	alternativoj	prononco
level	Pasporta Servo	Pasporta Servo, 에스페란토 민박 서비스	Passport Service, Esperantists' Home Stay	grupo	alternativoj	prononco
level	libreto kun la nomo "Pasporta Servo"	Pasporta Servo(민박서비스)라는 이름의 소책자	booklet with the name "Passport Service"	grupo	alternativoj	prononco
level	servo por kio?	무엇을 위한 서비스?	service for what?	grupo	alternativoj	prononco
level	por homoj kiel ni	우리 같은 사람들을 위해	for people like us	grupo	alternativoj	prononco
level	sperti, spertulo	경험하다, 경험자 (능숙한 사람)	to experience, an expert	grupo	alternativoj	prononco
level	homoj kiuj ŝatas vojaĝi kaj sperti landojn	사람들, 여행하기 좋아하고, 나라들을 경험하기 좋아하는 그런	people who like to travel and experience countries	grupo	alternativoj	prononco
level	enspezi kaj elspezi	벌어들이고, 지출하다	to earn and to spend	grupo	alternativoj	prononco
level	sen elspezi multe da mono	많은 돈을 지출하지 않고	without spending a lot of money	grupo	alternativoj	prononco
level	servo, la servo, tiu servo	서비스(한가지), (그) 서비스, 그런 서비스	a service, the service, that service	grupo	alternativoj	prononco
level	bone, kaj kiel funkcias tiu servo?	좋아요, 그럼 어떻게 그 서비스가 동작하죠?	well, and how does that service work?	grupo	alternativoj	prononco
level	mi vidas ke en la libreto estas ~	나는 본다, 그 책안에는 ~가 있다는 것을	I see that in the booket there is ~	grupo	alternativoj	prononco
level	multe da adresoj	많은 주소들	lots of addresses	grupo	alternativoj	prononco
level	estas multe da adresoj de pluraj landoj	여러 나라의 많은 주소들이 있다	there are many addresses from several countries	grupo	alternativoj	prononco
level	ĝuste, jes!	맞아요, 예!	right, yes!	grupo	alternativoj	prononco
level	je via dispono	당신이 쓸 수 있는 (당신 처분의)	at your disposal	grupo	alternativoj	prononco
level	ili ĉiuj	그들(그것들) 모두	they all, all of them	grupo	alternativoj	prononco
level	fakte ili ĉiuj estas je via dispono!	사실 그것들 모두를 당신이 쓸 수 있어요	in fact they are all at your disposal!	grupo	alternativoj	prononco
level	signifis, signifo	의미했다, 의미	meant, meaning	grupo	alternativoj	prononco
level	"je mia dispono", kion signifas tio?	"내 처분"이라고, 그게 무슨 뜻이죠?	"at my disposal", what does that mean?	grupo	alternativoj	prononco
level	signifas ke ~	~라는 뜻이다	means that ~	grupo	alternativoj	prononco
level	gasti, gasto, gastigi	손님이 되다, 손님, 손님을 맞이하다	to guest, a guest, to host a guest	grupo	alternativoj	prononco
level	estas preta, pretas, pretiĝu!	준비되어 있다, 준비된 상태다, 준비해라!	is ready, is prepared, get ready!	grupo	alternativoj	prononco
level	homoj ĉe tiuj adresoj pretas gastigi vin	그 주소들에 있는 사람들은 당신을 손님으로 맞이할 준비가 되어 있다	people at those addresses are ready to host you	grupo	alternativoj	prononco
level	koni, konata, konatiĝi	(사람을) 알다, 알려진/아는, 알게되다	to know (a person), known, to get to be known	grupo	alternativoj	prononco
level	kaj helpi vin konatiĝi kun ilia regiono	그리고 당신을 그들의 지역에 알려지도록 도와주다 	and help you get acquainted with their region	grupo	alternativoj	prononco
level	signifas ke homoj pretas gastigi vin kaj helpi	사람들이 당신을 손님으로 맞이하고 도와줄 준비가 되어 있다는 뜻이다	means people are willing to host you and help	grupo	alternativoj	prononco
level	sonas interese!	흥미롭게 들리네요!	sounds interesting!	grupo	alternativoj	prononco
level	do	그래서	so	grupo	alternativoj	prononco
level	oni loĝas en la hejmo de aliaj Esperantistoj, ĉu?	누군가가 다른 에스페란티스토 집에서 묵는다는 거죠? 그쵸?	somebody stays in the home of other Esperantists, right?	grupo	alternativoj	prononco
level	pluraj spertoj per Pasporta Servo	Paporta Servo를 이용한 여러번의 경험들	several experiences with Passport Service	grupo	alternativoj	prononco
level	mi havis plurajn interesajn spertojn	나는 여러번의 흥미로운 경험을 했다	I had several interesting experiences	grupo	alternativoj	prononco
level	mi uzis ĝin en tri kontinentoj	나는 그것을 3개의 대륙에서 사용했다	I have used it on three continents	grupo	alternativoj	prononco
level	malbone funkcias	나쁘게 동작한다	(it) works poorly	grupo	alternativoj	prononco
level	kaj ĝis nun funkciis tre bone	그리고 지금까지는 매우 잘 동작했다	and so far (it) has worked very well	grupo	alternativoj	prononco
level	bonege! kien ni iru?	훌륭하네요! 우리 어디로 가죠?	great! where are we going?	grupo	alternativoj	prononco
level	do, mia plano estas ke ni ~	그래서, 내 계획은 우리가 ~	so, my plan is that we ~	grupo	alternativoj	prononco
level	venas, alvenis	온다, 도착했다	comes, arrived	grupo	alternativoj	prononco
level	post sukcesa vojaĝo	성공적인 여행 후에	after a successful trip	grupo	alternativoj	prononco
level	post uzado de Pasporta Servo en du urboj	두 도시에서 Pasporta Servo를 사용한 후에	after using Passport Service in two cities	grupo	alternativoj	prononco
level	ili alvenas post sukcesa vojaĝo	성공적인 여행 후에 그들은 도착한다	they arrive after a successful trip	grupo	alternativoj	prononco
level	jen, vidu!	저기, 봐봐!	behold, look!	grupo	alternativoj	prononco
level	tie estas granda Esperanto-flago	저기에 커다란 에스페란토 깃발이 있다	there's a big Esperanto flag over there	grupo	alternativoj	prononco
level	ŝildo kun la teksto "Bonvenon al IJK!"	청년대회(IJK)에 환영 이라는 텍스트가 적힌 휘장	a sign with the text "Welcome to IJK!"	grupo	alternativoj	prononco
level	jes, kaj sub ĝi estas ~	맞아요 그리고 그 아래에 ~가 있어요	yes, and below it there is ~	grupo	alternativoj	prononco
level	hu ra!	만세!	Hooray!	grupo	alternativoj	prononco
level	ni do finfine alvenis	그래서 우리는 결국 도착했다	so we finally arrived	grupo	alternativoj	prononco
level	mi estas tre laca kaj malsata	나는 매우 피곤하고 배고프다	I am very tired and hungry	grupo	alternativoj	prononco
level	ĉu vi pensas ke ni povas ~	우리가 ~할 수 있을 것이라 생각하는가?	do you think we can ~ ?	grupo	alternativoj	prononco
level	manĝi ion	뭔가를 먹다	to eat something	grupo	alternativoj	prononco
level	ĉu vi pensas ke ni povas tuj ion manĝi?	우리가 곧바로 뭔가를 먹을 수 있을 것이라 생각하는가?	do you think we can eat something right away?	grupo	alternativoj	prononco
level	mi dubas pri tio	난 거기에 의문이 간다 (그렇지 않을 것이라고 생각한다)	I doubt that	grupo	alternativoj	prononco
level	unue ni devas akceptiĝi	우선 우리는 접수되어야(해야) 한다	we must first be accepted	grupo	alternativoj	prononco
level	devas akceptiĝi ĉe la akceptejo	접수대에서 접수되어야(해야) 한다	must be accepted at the reception desk	grupo	alternativoj	prononco
level	kaj tio povas daŭri longe	그리고 그것은 길게 걸릴 수 있다	and that can last a long time	grupo	alternativoj	prononco
level	daŭri longe miasperte	나의 경험에 의하면, 오래 걸린다	to last long in my experience	grupo	alternativoj	prononco
level	ho ve!	어휴 저런!	alas!	grupo	alternativoj	prononco
level	ĉu tio estas la vico por la akceptejo?	저게 접수대의 줄인가?	is that the line for the reception?	grupo	alternativoj	prononco
level	mi timas ke jes	그런 것 같아 걱정이다	I'm afraid so	grupo	alternativoj	prononco
level	ne estas tute perfekte fari ~	~하는 것은 아주 완벽하지는 않다	to do ~ is not totally perfect	grupo	alternativoj	prononco
level	tute perfekte alveni vespere	저녁에 도착하는 것은 매우 완벽하다	is totally perfect to arrive in the evening	grupo	alternativoj	prononco
level	ni povas babili kun homoj	우리는 사람들과 대화할 수 있다	we can chat with people	grupo	alternativoj	prononco
level	sed ni povas babili kun homoj en la vico	하지만 우리는 대기줄에서 사람들과 대화할 수 있다	but we can chat with people in line	grupo	alternativoj	prononco
level	jen, mi vidas amikon de rusio!	여기, 러시아에서 온 친구를 본다	behold, I see a friend of Russia!	grupo	alternativoj	prononco
level	mi estas malsata, mi volas manĝi	난 배고프다, 난 먹고 싶다	I'm hungry, I want to eat	grupo	alternativoj	prononco
level	post ĉirkaŭ 2 horoj	대략 2시간쯤 후에	after about 2 hours	grupo	alternativoj	prononco
level	en la vico kun novaj kaj malnovaj amikoj	대기줄에서 새로운 친구와 오랜 친구들과 함께	in line with new and old friends	grupo	alternativoj	prononco
level	LKK (Loka Kongresa Komitato)	지역의 대회 조직 위원회	local congress commitee	grupo	alternativoj	prononco
level	LKK-ano	대회 조직 위원회 멤버	a member in the local congress commitee	grupo	alternativoj	prononco
level	bonvenon, kiu vi estas?	환영합니다, 누구시죠?	welcome, who are you?	grupo	alternativoj	prononco
level	de kiu lando?	어느 나라로 출신?	from which country?	grupo	alternativoj	prononco
level	ĉu vi antaŭpagis?	선입금을 했습니까?	did you prepay?	grupo	alternativoj	prononco
level	bonvolu montri	보여 주세요	please show	grupo	alternativoj	prononco
level	se jes, bonvolu montri la kvitancon	그렇다면, 영수증을 보여 주세요	if so, please show the receipt	grupo	alternativoj	prononco
level	ĉu vi estas TEJO-membro?	당신은 청년회(TEJO) 회원입니까?	are you a member of TEJO?	grupo	alternativoj	prononco
level	membriĝi ĉe la budo	부스에서 회원 가입하다	to become a member at a booth	grupo	alternativoj	prononco
level	se ne, vi povas membriĝi ĉe la venonta budo	아니라면, 당신은 다음 부스에서 가입할 수 있습니다	if not, you can join at the next booth	grupo	alternativoj	prononco
level	jen kvitancoj de antaŭpagoj	여기 선입금 영수증들(입니다)	here are receipts of advance payments	grupo	alternativoj	prononco
level	membrokartoj kaj niaj pasportoj	멤버쉽 카드들과 우리의 여권들	membership cards and our passports	grupo	alternativoj	prononco
level	tre bone	아주 좋아요	very good	grupo	alternativoj	prononco
level	do, mi vidas ke vi loĝos en amasloĝejo	즉, 여러분이 단체합숙장(예: 체육관)에 묵을 것이라는 걸 알겠네요	so, I see you will live in a mass-lodging (crash space)	grupo	alternativoj	prononco
level	kaj manĝos en la junulargastejo	그리고 식사는 유스호스텔에서 할 겁니다	and will eat in the youth hostel	grupo	alternativoj	prononco
level	ĉu ĝustas tiuj informoj?	그런 정보들이 맞습니까?	are those information correct?	grupo	alternativoj	prononco
level	jes, perfekte	예, 완벽해요	yes, perfect	grupo	alternativoj	prononco
level	sako kun programo, mapo ktp	프로그램과 지도등이 들어있는 가방	a bag with program, map etc	grupo	alternativoj	prononco
level	vi povas pagi kaj ricevi sakon kun programo, mapo ktp	지불 하시면, 프로그램, 맵 등등이 있는 가방을 받으실 수 있습니다	you can pay and receive a bag with program, map etc	grupo	alternativoj	prononco
level	ĉe la ruĝa budo, tie	저기 있는 붉은색 부스에서	at the red booth, there	grupo	alternativoj	prononco
level	bone, dankon	좋아요, 감사합니다	good, thank you	grupo	alternativoj	prononco
level	aspektas laca sed sana	피곤하지만 건강해 보인다	looks tired but healthy	grupo	alternativoj	prononco
level	tiuj personoj vere aspektis lacaj	저 사람들이 매우 피곤해 보입니다	those people really looked tired	grupo	alternativoj	prononco
level	kaj ne estis tre afablaj	그리고 별로 친절하지도 않았다	and were not very kind	grupo	alternativoj	prononco
level	vi pravas	당신이 맞아요	you are right	grupo	alternativoj	prononco
level	sed memoru ke ~	하지만 ~임을 기억하라	but remember that ~	grupo	alternativoj	prononco
level	laboras dum ok horoj	여덟시간 동안 일하고 있다	are working for 8 hours	grupo	alternativoj	prononco
level	la LKK laboras jam dum eble ok horoj	대회조직위원회는 이미 아마 8시간 동안 일하고 있다	the LKK has been working for maybe eight hours	grupo	alternativoj	prononco
level	sen multe da paŭzoj	많은 휴식 없이	without much pause	grupo	alternativoj	prononco
level	sed memoru ke la LKK laboras sen paŭzoj	그러나 대회조직위원회는 쉬지 않고 일한다는 것을 기억하라	but remember that the LKK works without breaks	grupo	alternativoj	prononco
level	babilema dum la semajno	주중에는 더 말을 많이 하는	chatty during the week	grupo	alternativoj	prononco
level	mi certas ke ~	나는 확신한다	I'm sure that ~	grupo	alternativoj	prononco
level	mi certas ke ili estos pli afablaj	그들이 더 친절할 것이라고 나는 확신한다	I'm sure they'll be kinder	grupo	alternativoj	prononco
level	ili estos pli afablaj kaj babilemaj	그들이 더 친절하고 말도 많을 것이다	they will be kinder and more talkative	grupo	alternativoj	prononco
level	ni trovu ĝin	우리 그걸 찾아보자	let's find it	grupo	alternativoj	prononco
level	bone, nun ni trovu la amasloĝejon	좋아요, 이제 우리 단체합숙장을 찾아봅시다	well, now let's find the mass-lodging place	grupo	alternativoj	prononco
level	kaj poste mi ŝatus ion manĝi	그리고 다음에 나는 뭔가 먹고 싶다	and then I would like something to eat	grupo	alternativoj	prononco
level	ĉu vi vidis la knabinon ĉe la TEJO-budo?	청년회(TEJO) 부스의 그 소녀를 봤는가?	did you see the girl at the TEJO booth?	grupo	alternativoj	prononco
level	jes, kio pri ŝi?	예, 그녀에 대해서 뭐가요?	yes, what about her?	grupo	alternativoj	prononco
level	ĉu vi konas ŝin?	당신은 그녀를 압니까?	do you know her?	grupo	alternativoj	prononco
level	bedaŭrinde ne	애석하게도 아니다	unfortunately no	grupo	alternativoj	prononco
level	sed ŝi estas ege bela, ĉu ne?	하지만 그녀가 매우 예쁘죠, 그쵸?	but she's very pretty, isn't she?	grupo	alternativoj	prononco
level	mi konsentas	나도 동의한다	I agree	grupo	alternativoj	prononco
level	tamen ne bone komprenas	하지만 잘 이해하지 못하겠다	however does not understand well	grupo	alternativoj	prononco
level	mi konsentas tamen ne komprenas	동의는 하지만 이해는 못하겠다	I agree but I don't understand	grupo	alternativoj	prononco
level	ĉu al vi plaĉas inoj?	너에게 여자들이 더 맘에 드니?	do you like females?	grupo	alternativoj	prononco
level	jes, mi volis diri al vi antaŭe	예, 내가 전에 얘기하고 싶었어요	yes, I want tell you before	grupo	alternativoj	prononco
level	sed ial ne faris	하지만 어떤 이유론가 하지 못했다	but for some reason did not	grupo	alternativoj	prononco
level	virinoj plaĉas al mi pli ol viroj	여자들이 나에게 남자들보다 더 맘에 들어요	virinoj plaĉas al mi pli ol viroj	grupo	alternativoj	prononco
level	aspekte ktp	겉모습에도 그렇고, 기타등등	aspect etc	grupo	alternativoj	prononco
level	ĉu, ĉu vi estas ?	당신 혹시 인가요?	are you, are you?	grupo	alternativoj	prononco
level	jes, mi estas samseksemulo	예, 나는 동성애자입니다	yes, I am a homosexual	grupo	alternativoj	prononco
level	oni ankaŭ povas diri lesbo	사람들이 또한 레즈비언이라고도 하지요	one can also say lesbian	grupo	alternativoj	prononco
level	bone, mi tute ne sciis	좋아요, 나는 전혀 몰랐습니다	well, I didn't know at all	grupo	alternativoj	prononco
level	sed mi ĝojas ke vi diris	하지만, 당신이 말했다는 것을 기쁘게 생각합니다	but I'm glad you said	grupo	alternativoj	prononco
level	fakte mi ankaŭ ĝojas ke vi estas samseksemulo	실은 당신이 동성애자라는 것도 기쁘게 생각합니다	in fact I am glad that you are a homosexual	grupo	alternativoj	prononco
level	vi estas la plej afabla kaj agrabla lesbo	당신이 가장 상냥하고 친절한 레즈비언입니다	you are the kindest and nicest lesbian	grupo	alternativoj	prononco
level	la plej agrabla lesbo kiun mi konas	내가 알고 있는 가장 친절한 레즈비언	the nicest lesbian I know	grupo	alternativoj	prononco
level	dankon! ĉu vi konas aliajn?	감사합니다 다른 사람을 압니까?	thank you! do you know others?	grupo	alternativoj	prononco
level	sed kiel vi scias tion?	하지만 그걸 어떻게 압니까?	but how do you know that?	grupo	alternativoj	prononco
level	tiu knabino preferas virojn!	저 소녀는 남자들을 선호할 것이다	that girl prefers men!	grupo	alternativoj	prononco
level	ĉiukaze mi kredas ke tiu knabino preferas virojn!	어쨌든 저 소녀는 남자들을 선호할 것이라고 나는 믿는다	in any case I believe that girl prefer men!	grupo	alternativoj	prononco
level	tiu knabino pri kiu vi parolis	너가 얘기했던 그 소녀	that girl whom you were talking about	grupo	alternativoj	prononco
level	ni vidos	(두고보면) 알게 될 거야	we'll see	grupo	alternativoj	prononco
level	en la amasloĝejo	단체합숙장에서	in the mass lodging place (a crash space)	grupo	alternativoj	prononco
