A.ta content.tsv
Level	Esperanto	ta	en-us	Grupo	Alternativoj	Pronoco
level	ne plu legos	இனி படிக்க மாட்டேன்	will no longer read	grupo	alternativoj	prononco
level	ankaŭ mi ricevis	நானும் பெற்றுக்கொண்டேன்	I also received	grupo	alternativoj	prononco
level	devas fermi	மூட வேண்டும்	has to close	grupo	alternativoj	prononco
level	mi devas bone fermi	நான் நன்றாக மூட வேண்டும்	I have to close well	grupo	alternativoj	prononco
level	bone fermis la pordon	கதவை இறுக்கமாக மூடினான்	closed the door tightly	grupo	alternativoj	prononco
level	trankvila, trankviliĝu	அமைதி, அமைதி	calm, calm down	grupo	alternativoj	prononco
level	aŭdis sed ne aŭskultis	கேட்டது ஆனால் கேட்கவில்லை	heard but did not listen	grupo	alternativoj	prononco
level	aŭdis trankvilan sonon	அமைதியான ஒலி கேட்டது	heard a calm sound	grupo	alternativoj	prononco
level	ĉe mi estis kvar poŝoj	என்னிடம், 4 பாக்கெட்டுகள் உள்ளன	at me, there are 4 pockets	grupo	alternativoj	prononco
level	dek tagoj post la lasta leciono	கடைசி பாடத்திற்குப் பத்து நாட்களுக்குப் பிறகு	ten days after the last lesson	grupo	alternativoj	prononco
level	inter la du tabloj	இரண்டு அட்டவணைகளுக்கு இடையில்	between the two tables	grupo	alternativoj	prononco
level	tri leteroj, ses paperoj	மூன்று கடிதங்கள், ஆறு தாள்கள்	three letters, six papers	grupo	alternativoj	prononco
level	de kapo ĝis piedo	தலை முதல் கால் வரை	from head to foot	grupo	alternativoj	prononco
level	kvar, kvara, kvaropo, kvarono	நான்கு, நான்காவது, ஒரு நால்வர், ஒரு கால்	four, fourth, a quartet, a quarter	grupo	alternativoj	prononco
level	kien iris la triopo?	மூவரும் எங்கே போனார்கள்	where did the trio go	grupo	alternativoj	prononco
level	kvin fingroj en ambaŭaj manoj	இரண்டு கைகளிலும் ஐந்து விரல்கள்	five fingers in both hands	grupo	alternativoj	prononco
level	si mem, sia poŝo	சுயமாக, ஒருவரின் சொந்த பாக்கெட்	by oneself, one's own pocket	grupo	alternativoj	prononco
level	meti, kunmeti, kunmetaĵo	போட, ஒன்றாக, ஒரு கலவை	put, put together, a compound	grupo	alternativoj	prononco
level	metis en sian poŝon	சொந்த பாக்கெட்டில் வைத்து	put in one's own pocket	grupo	alternativoj	prononco
level	du cent nacioj en la mondo	உலகில் இருநூறு நாடுகள்	two hundred nations in the world	grupo	alternativoj	prononco
level	prenis, forprenis	எடுத்தது, எடுத்தது	took, took away	grupo	alternativoj	prononco
level	prenis sep el siaj naŭ libroj	தன்னுடைய ஒன்பது புத்தகங்களில் ஏழரை எடுத்தார்	took seven out of his own nine books	grupo	alternativoj	prononco
level	lasi, forlasita	விட்டு, கைவிடப்பட்டது	to leave, abandoned	grupo	alternativoj	prononco
level	lasu min sola kaj trankvila	என்னை அமைதியாக விட்டு விடுங்கள்	leave me alone and calm	grupo	alternativoj	prononco
level	mil ok cent ok dek sep	ஆயிரத்து எண்ணூற்று எண்பத்தேழு (1887)	thousand eight hundred and eighty seven (1887)	grupo	alternativoj	prononco
level	taso da teo	ஒரு கோப்பை தேநீர்	a cup of tea	grupo	alternativoj	prononco
level	oni lavis ok tasojn	ஒருவர் எட்டு கோப்பைகளை கழுவினார்	somebody washed eight cups	grupo	alternativoj	prononco
level	du mil dek naŭ	இரண்டாயிரத்து பத்தொன்பது (2019)	two thousand nineteen (2019)	grupo	alternativoj	prononco
level	li lavis sin	அவர் தன்னை கழுவினார்	he washed himself	grupo	alternativoj	prononco
level	sia korpo, sia propra posedo	ஒருவரின் உடல், ஒருவரின் சொந்த உடைமை	one's body, one's own possession	grupo	alternativoj	prononco
level	sur la tablo, la kato dormis	மேஜையில், பூனை தூங்கியது	on the table, the cat slept	grupo	alternativoj	prononco
level	la kato saltis sur la tablon	பூனை மேசையில் குதித்தது	the cat jumped onto the table	grupo	alternativoj	prononco
level	en la halo, en la halon	மண்டபத்தில், மண்டபத்திற்குள்	in the hall, into the hall	grupo	alternativoj	prononco
level	enfalis en lian manon	அவன் கையில் விழுந்தது	fell into his hand	grupo	alternativoj	prononco
level	labori, ellabori	வேலை செய்ய, விரிவாக	to work, to elaborate	grupo	alternativoj	prononco
level	ellabori por tiu libro	அந்த புத்தகத்திற்கு விரிவாக	to elaborate for that book	grupo	alternativoj	prononco
level	scias, scivolas, scivolo	தெரியும், அறிய வேண்டும், ஆர்வம்	knows, wants to know, curiosity	grupo	alternativoj	prononco
level	dulingva, dulingveco	இருமொழி, இருமொழி	bilingual, bilingualism	grupo	alternativoj	prononco
level	scivolas pri trilingva lernanto	ஒரு மும்மொழி கற்றவரைப் பற்றி ஆச்சரியமாக இருக்கிறது	wonders about a trilingual learner	grupo	alternativoj	prononco
level	iris, reiris	சென்றார், திரும்பினார்	went, returned	grupo	alternativoj	prononco
level	la katoj reiris al siaj domoj	பூனைகள் தங்கள் (சொந்த) வீடுகளுக்குத் திரும்பின	the cats returned to their (own) homes	grupo	alternativoj	prononco
level	en la sako, en la sakon	பையில், பையில்	in the bag, into the bag	grupo	alternativoj	prononco
level	enmetu ĝin en vian sakon	அதை உங்கள் பையில் வைக்கவும்	put it into your bag	grupo	alternativoj	prononco
level	piedo, piediras, piediranto	ஒரு கால், நடைகள், ஒரு பாதசாரி	a foot, walks, a pedestrian	grupo	alternativoj	prononco
level	dek-tage ili piediris	பத்து நாட்கள், அவர்கள் நடந்தார்கள்	for ten days, they walked	grupo	alternativoj	prononco
level	preni, elpreni	எடுக்க, வெளியே எடுக்க	to take, to take out	grupo	alternativoj	prononco
level	belaj floroj, prenis belajn florojn	அழகான பூக்கள், அழகான பூக்கள் எடுத்தது	beautiful flowers, took beautiful flowers	grupo	alternativoj	prononco
level	li elprenis nur belajn florojn	அழகான பூக்களை மட்டும் வெளியே எடுத்தார்	he took out only beautiful flowers	grupo	alternativoj	prononco
level	malfermis, sed tuj fermis	திறக்கப்பட்டது, ஆனால் உடனடியாக மூடப்பட்டது	opened, but immediately closed	grupo	alternativoj	prononco
level	malfermis internacian kunvenon	ஒரு சர்வதேச கூட்டத்தை ஆரம்பித்தார்	opened an international meeting	grupo	alternativoj	prononco
level	eldonis kaj disdonis	வெளியிடப்பட்டு விநியோகிக்கப்பட்டது	published and distributed	grupo	alternativoj	prononco
level	la eldonisto eldonis dudek tri librojn	பதிப்பாளர் இருபத்தி மூன்று புத்தகங்களை வெளியிட்டார்	the publisher published twenty-three books	grupo	alternativoj	prononco
level	revenis kaj revidis sian filon	திரும்பி வந்து சொந்த மகனைப் பார்த்தான்	returned and saw one's own son again	grupo	alternativoj	prononco
level	en la jaro dumil dudek tri	இரண்டாயிரத்து இருபத்து மூன்று ஆண்டு (2023)	in the year two thousand and twenty three (2023)	grupo	alternativoj	prononco
level	sinjoro eniris la vendejon	ஒரு மனிதர் கடைக்குள் நுழைந்தார்	a gentleman entered (into) the store	grupo	alternativoj	prononco
level	la vendejo de aŭtoj	கார்களின் கடை	the store of cars	grupo	alternativoj	prononco
level	tie li vidas sinjorinon	அங்கு அவர் ஒரு பெண்ணைப் பார்க்கிறார்	there he sees a lady	grupo	alternativoj	prononco
level	karaj gesinjoroj	அன்புள்ள பெண்கள் மற்றும் தாய்மார்களே	dear ladies and gentlemen	grupo	alternativoj	prononco
level	tio plaĉis al mi	அது என்னை மகிழ்வித்தது (நான் அதை விரும்புகிறேன்)	that pleased me (I like that)	grupo	alternativoj	prononco
level	la sinjorino plaĉis al li	அந்த பெண் அவரை மகிழ்வித்தார் (அவர் அந்த பெண்ணை விரும்பினார்)	the lady pleased him (he liked the lady)	grupo	alternativoj	prononco
level	vidis la belan sinjorinon	அழகான பெண்ணைப் பார்த்தார்	saw the beautiful lady	grupo	alternativoj	prononco
level	kiu plaĉis al li?	அவரை மகிழ்வித்தது யார்? (அவர் யாரை விரும்பினார்?)	who pleased him? (whom did he like?)	grupo	alternativoj	prononco
level	la virino, kiu plaĉis al mi	என்னை மகிழ்வித்த பெண்	the woman, who pleased me	grupo	alternativoj	prononco
level	tiu, kiu eniris la domon	வீட்டிற்குள் நுழைந்தவன்	the one who entered the house	grupo	alternativoj	prononco
level	la viro, kiu donacis ĝin	அதை தானம் செய்த மனிதன்	the man who donated it	grupo	alternativoj	prononco
level	li donacis ringon al lia edzino	அவர் தனது மனைவிக்கு ஒரு மோதிரத்தை கொடுத்தார்	he gave a ring to his wife	grupo	alternativoj	prononco
level	la ringo plaĉis al ŝi	அவள் மோதிரத்தை விரும்பினாள்	she liked the ring	grupo	alternativoj	prononco
level	la edzino, al kiu la ringo plaĉis	மோதிரத்தை விரும்பிய மனைவி	the wife who liked the ring	grupo	alternativoj	prononco
level	vendisto laboras en la vendejo	ஒரு விற்பனையாளர் கடையில் வேலை செய்கிறார்	a salesman works in the store	grupo	alternativoj	prononco
level	vendisto de aŭtoj	கார் விற்பனையாளர்	a salesman of cars	grupo	alternativoj	prononco
level	la sinjoro demandis al la vendisto	அந்த மனிதர் விற்பனையாளரிடம் கேட்டார்	the gentleman asked the salesman	grupo	alternativoj	prononco
level	kiu aŭto plaĉas al vi?	உனக்கு எந்த கார் பிடிக்கும்?	which car do you like?	grupo	alternativoj	prononco
level	kiun aŭton vi elektos?	எந்த காரை தேர்வு செய்வீர்கள்?	which car will you choose?	grupo	alternativoj	prononco
level	mi elektis tiun aŭton	நான் அந்த காரைத் தேர்ந்தெடுத்தேன்	I chose that car	grupo	alternativoj	prononco
level	ĝi estas pli bona	இது பரவாயில்லை	it is better	grupo	alternativoj	prononco
level	pli bona ol ĉi tio	இதை விட சிறந்தது	better than this	grupo	alternativoj	prononco
level	plej bona el ili	அவற்றில் சிறந்தது	best of them	grupo	alternativoj	prononco
level	estas la plej bona	சிறப்பானது	is the best	grupo	alternativoj	prononco
level	kiu aŭto estas la plej bona?	எந்த கார் சிறந்தது?	which car is the best?	grupo	alternativoj	prononco
level	tiu ĉi aŭto estas pli bona	இந்த கார் சிறந்தது	this car is better	grupo	alternativoj	prononco
level	tiu ĉi estas la plej bona	இதுவே சிறந்தது	this one is the best	grupo	alternativoj	prononco
level	vidis ĉiujn aŭtojn	அனைத்து கார்களையும் பார்த்தேன்	saw all the cars	grupo	alternativoj	prononco
level	la plej bona el ĉiuj	அனைத்து சிறந்த	the best of all	grupo	alternativoj	prononco
level	ĉu ĝi estas rapida?	வேகமா?	is it fast?	grupo	alternativoj	prononco
level	pli rapida ol aliaj	மற்றவர்களை விட வேகமாக	faster than others	grupo	alternativoj	prononco
level	estas ankaŭ forta	வலுவாகவும் உள்ளது	is also strong	grupo	alternativoj	prononco
level	ho jes, kompreneble!	ஆம், நிச்சயமாக!	oh yes, of course!	grupo	alternativoj	prononco
level	estas tre forta	மிகவும் வலுவாக உள்ளது	is very strong	grupo	alternativoj	prononco
level	certe ĝi estas forta	நிச்சயமாக அது வலிமையானது	certainly it is strong	grupo	alternativoj	prononco
level	estas ankaŭ multekosta	விலையுயர்ந்ததாகவும் உள்ளது	is also expensive	grupo	alternativoj	prononco
level	la plej multekosta el ĉiuj	எல்லாவற்றிலும் மிகவும் விலை உயர்ந்தது	the most expensive of all	grupo	alternativoj	prononco
level	malmultekosta sed forta	மலிவான ஆனால் வலுவான	cheap but strong	grupo	alternativoj	prononco
level	bedaŭras kaj bedaŭrindas	வருந்துகிறது மற்றும் பரிதாபமாக இருக்கிறது (வருந்தத்தக்கது)	feels sorry and is pityful (worth feeling sorry)	grupo	alternativoj	prononco
level	bedaŭrinde mi ne aĉetos	துரதிருஷ்டவசமாக நான் வாங்க மாட்டேன்	unfortunately I will not buy	grupo	alternativoj	prononco
level	estas bedaŭrinda afero	ஒரு துரதிருஷ்டவசமான விஷயம்	is an unfortunate thing	grupo	alternativoj	prononco
level	li aĉetis novan aŭton	அவர் ஒரு புதிய கார் வாங்கினார்	he bought a new car	grupo	alternativoj	prononco
level	ĉar mi ne havas monon	ஏனென்றால் என்னிடம் பணம் இல்லை	because I do not have money	grupo	alternativoj	prononco
level	mia malnova aŭto	என் பழைய கார்	my old car	grupo	alternativoj	prononco
level	la plej malmultekosta el ĉiuj	எல்லாவற்றிலும் மலிவானது	the cheapest of all	grupo	alternativoj	prononco
level	mi veturos tien	நான் அங்கே ஓட்டுவேன்	I'll drive there	grupo	alternativoj	prononco
level	ankoraŭ veturos per ĝi	இன்னும் அதனுடன் ஓட்டுவார்	will still drive with it	grupo	alternativoj	prononco
level	dum la tuta tago	நாள் முழுவதும்	all day long	grupo	alternativoj	prononco
level	dum li diris tion	என்று அவர் கூறும்போது	while he said that	grupo	alternativoj	prononco
level	li denove rigardis ŝin	அவன் அவளை மீண்டும் பார்த்தான்	he looked at her again	grupo	alternativoj	prononco
level	sed la vendisto diris	ஆனால் விற்பனையாளர் கூறினார்	but the salesman said	grupo	alternativoj	prononco
level	estus pli bone, ke ~	அது நன்றாக இருக்கும் ~	it would be better that ~	grupo	alternativoj	prononco
level	rigardu tiun ĉi sinjorinon	இந்த பெண்ணை பார்	look at this lady	grupo	alternativoj	prononco
level	ankaŭ tio estas tre multekosta	அதுவும் மிகவும் விலை உயர்ந்தது	that is also very expensive	grupo	alternativoj	prononco
level	mi estas ŝia edzo	நான் அவளுடைய கணவர்	I am her husband	grupo	alternativoj	prononco
level	kiom via vojaĝo kostis?	உங்கள் பயணம் எவ்வளவு செலவானது?	how much did your trip cost?	grupo	alternativoj	prononco
level	aŭskultu la kanton de via edzino	உங்கள் மனைவியின் பாடலைக் கேளுங்கள்	listen to your wife's song	grupo	alternativoj	prononco
level	ne forgesu, ke ĝi tre multe kostas	நிறைய செலவாகும் என்பதை மறந்துவிடாதீர்கள்	don’t forget that it costs a lot	grupo	alternativoj	prononco
level	li helpis la vendiston dum du horoj	அவர் இரண்டு மணி நேரம் விற்பனையாளருக்கு உதவினார்	he helped the salesman for two hours	grupo	alternativoj	prononco
level	jam pli ol tri jaroj	மூன்று வருடங்களுக்கும் மேலாக	for more than three years	grupo	alternativoj	prononco
level	kovri, kovrilo, malkovri	மூடுதல், மறைத்தல், வெளிக்கொணர்தல் (கண்டுபிடித்தல்)	cover, cover, uncover (discover)	grupo	alternativoj	prononco
level	la kialon li ankoraŭ ne malkovris	காரணம் அவர் இன்னும் கண்டுபிடிக்கவில்லை	the reason he has not yet discovered	grupo	alternativoj	prononco
level	kial vi komencis sendi leterojn?	நீங்கள் ஏன் கடிதங்களை அனுப்ப ஆரம்பித்தீர்கள்?	why did you start sending letters?	grupo	alternativoj	prononco
level	dum ok monatoj li vivis tie	எட்டு மாதங்கள் அங்கு வாழ்ந்தார்	for eight months he lived there	grupo	alternativoj	prononco
level	ne havis tempon por aŭskulti	கேட்க நேரமில்லை	didn't have time to listen	grupo	alternativoj	prononco
level	la aŭto estis jam plena	கார் ஏற்கனவே நிரம்பியிருந்தது	the car was already full	grupo	alternativoj	prononco
level	kion vi manĝas?	நீங்கள் என்ன சாப்பிடுகிறீர்கள்	what are you eating	grupo	alternativoj	prononco
level	kia estas la vetero?	வானிலை எப்படி இருக்கிறது?	what's the weather like?	grupo	alternativoj	prononco
level	kian aŭton vi havas?	உங்களிடம் என்ன வகையான கார் உள்ளது?	what kind of car do you have?	grupo	alternativoj	prononco
level	kiaj estis ŝiaj leteroj?	அவளுடைய கடிதங்கள் எப்படி இருந்தன?	what were her letters like?	grupo	alternativoj	prononco
level	kie ni estas?	நாம் எங்கு இருக்கிறோம்?	where are we?	grupo	alternativoj	prononco
level	kien vi iras?	நீங்கள் எங்கு செல்கிறீர்?	where are you going to?	grupo	alternativoj	prononco
level	al kiu vi donis ĝin?	யாருக்கு கொடுத்தாய்?	to whom did you give it?	grupo	alternativoj	prononco
level	la viro, kun kiu vi vojaĝis	நீங்கள் பயணித்த மனிதன்	the man whom you traveled with	grupo	alternativoj	prononco
level	pli granda ol la aŭto	காரை விட பெரியது	bigger than the car	grupo	alternativoj	prononco
level	la plej alta el tiuj homoj	அந்த மக்களில் மிக உயரமானவர்	the tallest of those people	grupo	alternativoj	prononco
level	li sidis dum la manĝo	அவர் இரவு உணவில் அமர்ந்திருந்தார்	he was sitting at dinner	grupo	alternativoj	prononco
level	ŝi skribas dum li legas	அவன் படிக்கும் போது அவள் எழுதுகிறாள்	she writes while he reads	grupo	alternativoj	prononco
level	ĉi tie, en ĉi tiu ĉambro	இங்கே, இந்த அறையில்	here, in this room	grupo	alternativoj	prononco
level	tiu ĉi sinjoro	இந்த மனிதர்	this gentleman	grupo	alternativoj	prononco
level	aŭskultinda novaĵo	கேட்க வேண்டிய செய்தி	a news worth listening	grupo	alternativoj	prononco
level	la libro estas vere leginda	புத்தகம் உண்மையில் படிக்கத் தகுந்தது	the book is really worth reading	grupo	alternativoj	prononco
level	bedaŭra afero	ஒரு துரதிருஷ்டவசமான விஷயம்	an unfortunate thing	grupo	alternativoj	prononco
level	bedaŭrinde, mi ne povas	துரதிருஷ்டவசமாக, என்னால் முடியாது	unfortunately, I can't	grupo	alternativoj	prononco
level	nedankinde. estis mia plezuro	நீங்கள் வரவேற்கப்படுகிறீர்கள். அது என் மகிழ்ச்சியாக இருந்தது	you are welcome. it was my pleasure	grupo	alternativoj	prononco
level	eta belulino ege belas	சிறிய அழகான பெண் மிகவும் அழகாக இருக்கிறாள்	small pretty girl is very beautiful	grupo	alternativoj	prononco
level	ĉiuj amikoj amas ŝin	எல்லா நண்பர்களும் அவளை நேசிக்கிறார்கள்	all friends love her	grupo	alternativoj	prononco
level	antaŭ tri monatoj	மூன்று மாதங்களுக்கு முன்பு	three months ago	grupo	alternativoj	prononco
level	okazis malbono al ŝi	அவளுக்கு ஏதோ கெட்டது	something bad happened to her	grupo	alternativoj	prononco
level	ŝi falis pro aŭto	அவள் கார் காரணமாக விழுந்தாள்	she fell because of a car	grupo	alternativoj	prononco
level	malsaniĝis kaj temperaturo altiĝis	நோய்வாய்ப்பட்டது மற்றும் வெப்பநிலை உயர்ந்தது	became ill and temperature rose	grupo	alternativoj	prononco
level	patrino diris, ke ŝi devas ripozi	அம்மா ஓய்வெடுக்க வேண்டும் என்றார்	mother said she should rest	grupo	alternativoj	prononco
level	ŝi devas resti hejme	அவள் வீட்டில் இருக்க வேண்டும்	she has to stay home	grupo	alternativoj	prononco
level	ŝi vokos doktoron	அவள் ஒரு மருத்துவரை அழைப்பாள்	she will call a doctor	grupo	alternativoj	prononco
level	je la naŭa horo	ஒன்பது மணிக்கு	at nine o'clock	grupo	alternativoj	prononco
level	matene venis je la oka	காலை எட்டு மணிக்கு வந்தது	in the morning came at eight o'clock	grupo	alternativoj	prononco
level	je la sepa morgaŭ vespere	நாளை மாலை ஏழு மணிக்கு	at seven tomorrow evening	grupo	alternativoj	prononco
level	montris liajn manojn	கைகளைக் காட்டினார்	showed his hands	grupo	alternativoj	prononco
level	vesto, vestiĝas	ஆடை, ஆடை அணிந்து வருகிறது	dress, is getting dressed	grupo	alternativoj	prononco
level	vestiĝu kaj varmigu vian korpon	ஆடை அணிந்து உடலை சூடுபடுத்துங்கள்	get dressed and warm your body	grupo	alternativoj	prononco
level	hejme tuj malvestis kaj duŝis	வீட்டில் உடனடியாக ஆடைகளை அவிழ்த்துவிட்டு குளித்தார்	at home immediately undressed and showered	grupo	alternativoj	prononco
level	doktoro rigardis ĉion	ஒரு மருத்துவர் எல்லாவற்றையும் பார்த்தார்	a doctor looked at everything	grupo	alternativoj	prononco
level	bone rigardis kaj fine diris	நன்றாகப் பார்த்துவிட்டு இறுதியாக சொன்னார்	looked throughly and finally said	grupo	alternativoj	prononco
level	unu semajnon restu hejme	ஒரு வாரம் வீட்டில் இருங்கள்	stay home for a week	grupo	alternativoj	prononco
level	deziras, ke vi estu trankvila	நீங்கள் அமைதியாக இருக்க வேண்டும் என்று விரும்புகிறார்	wants you to be calm	grupo	alternativoj	prononco
level	post unu semajno	ஒரு வாரம் கழித்து	after one week	grupo	alternativoj	prononco
level	vi fartos pli bone	நீங்கள் நன்றாக உணருவீர்கள்	you will feel better	grupo	alternativoj	prononco
level	trinku multe da teo	நிறைய தேநீர் குடிக்கவும்	drink plenty of tea	grupo	alternativoj	prononco
level	venos por revidi vin	மீண்டும் உன்னை பார்க்க வருவேன்	will come to see you again	grupo	alternativoj	prononco
level	ankaŭ li estu trankvila	அவரும் அமைதியாக இருக்கட்டும்	let him be calm too	grupo	alternativoj	prononco
level	sana homo, sanulo	ஆரோக்கியமான மனிதன், ஆரோக்கியமான மனிதன்	healthy man, healthy person	grupo	alternativoj	prononco
level	zorgis pri si mem	தன்னை கவனித்துக்கொண்டார்	took care of oneself	grupo	alternativoj	prononco
level	tuta afero tuje utilis al mi	முழு விஷயமும் எனக்கு ஒரே நேரத்தில் பயனுள்ளதாக இருந்தது	the whole thing was useful to me at once	grupo	alternativoj	prononco
level	rimarkis, ke teruraĵo proksimas	பயங்கரமான விஷயம் அருகில் இருப்பதை கவனித்தார்	noticed that horrible thing is near	grupo	alternativoj	prononco
level	petis tuj rimarki ĝin	அதை உடனடியாக கவனிக்குமாறு கேட்டுக் கொண்டார்	asked to notice it immediately	grupo	alternativoj	prononco
level	pensis, ke tio ne necesas	தேவையில்லை என்று நினைத்தேன்	thought that was not necessary	grupo	alternativoj	prononco
level	loĝis proksime, kaj tio utilis	அருகில் வாழ்ந்தார், அது பயனுள்ளதாக இருந்தது	lived nearby, and that was useful	grupo	alternativoj	prononco
level	nia lando hodiaŭ teruriĝis	நம் நாடு இன்று அச்சமடைந்துள்ளது	our country became terrified today	grupo	alternativoj	prononco
level	karaj infanoj el ĉiuj familioj	அனைத்து குடும்பங்களிலிருந்தும் அன்பான குழந்தைகள்	dear children from all families	grupo	alternativoj	prononco
level	unu fojon hieraŭ, du fojojn morgaŭ	நேற்று ஒரு முறை, நாளை இரண்டு முறை	once yesterday, twice tomorrow	grupo	alternativoj	prononco
level	hodiaŭ familioj bezonas infanojn	இன்று குடும்பங்களுக்கு குழந்தைகள் தேவை	today families need children	grupo	alternativoj	prononco
level	esperis, ke li fartos bone morgaŭ	நாளை நலமாக இருப்பார் என்று நம்பினார்	hoped he would be well tomorrow	grupo	alternativoj	prononco
level	li fartis ege trankvila	அவர் மிகவும் அமைதியாக உணர்ந்தார்	he was feeling (has been) very calm	grupo	alternativoj	prononco
level	tri etuloj altigis la monton	மூன்று சிறியவர்கள் மலையை உயர்த்தினார்கள்	three little ones raised the mountain	grupo	alternativoj	prononco
level	gravuloj ne petis helpon	முக்கியமானவர்கள் உதவி கேட்கவில்லை	important people did not ask for help	grupo	alternativoj	prononco
level	piediris tien por helpi	உதவி செய்ய அங்கு நடந்தார்	walked there to help	grupo	alternativoj	prononco
level	restu hejme se temperaturo altas	வெப்பநிலை அதிகமாக இருந்தால் வீட்டிலேயே இருங்கள்	stay home if temperature is high	grupo	alternativoj	prononco
level	temperaturo restis simila hodiaŭ	இன்றும் அதே வெப்பநிலை நீடித்தது	temperature remained similar today	grupo	alternativoj	prononco
level	voku la doktoron je la naŭa	ஒன்பது மணிக்கு மருத்துவரை அழைக்கவும்	call the doctor at nine	grupo	alternativoj	prononco
level	montru ĝin al via doktoro	அதை உங்கள் மருத்துவரிடம் காட்டுங்கள்	show it to your doctor	grupo	alternativoj	prononco
level	por montri vian piedon	உங்கள் கால் காட்ட	to show your foot	grupo	alternativoj	prononco
level	vestu ĉi tiun ĉemizon	இந்த சட்டையை அணியுங்கள்	wear this shirt	grupo	alternativoj	prononco
level	semajnfine ĉio trankviliĝos	வார இறுதியில் எல்லாம் அமைதியாகிவிடும்	on the weekend everything will calm down	grupo	alternativoj	prononco
level	sub la te-taso kion vi trovis?	தேநீர் கோப்பையின் கீழ் நீங்கள் என்ன கண்டுபிடித்தீர்கள்?	under the tea-cup what did you find?	grupo	alternativoj	prononco
level	mi deziras matenan teon	எனக்கு காலை தேநீர் வேண்டும்	I want morning tea	grupo	alternativoj	prononco
level	esperis trankvilan vesperon	அமைதியான மாலையை எதிர்பார்த்தேன்	hoped for a quiet evening	grupo	alternativoj	prononco
level	deziras, ke vi lernu	நீங்கள் கற்றுக்கொள்ள வேண்டும் என்று விரும்புகிறார்	wants that you learn	grupo	alternativoj	prononco
level	insistis, ke mi iru	நான் செல்ல வேண்டும் என்று வலியுறுத்தினார்	insisted that I go	grupo	alternativoj	prononco
level	je kioma horo?	எந்த நேரத்தில்?	at what hour?	grupo	alternativoj	prononco
level	je la sesa, li venos	ஆறு மணிக்கு அவர் வருவார்	at six he will come	grupo	alternativoj	prononco
level	la libreto estis ĉarma	லிப்ரெட்டோ அழகாக இருந்தது	the libretto was charming	grupo	alternativoj	prononco
level	estu trankvila	அமைதியாக இரு	be quiet	grupo	alternativoj	prononco
level	li estu trankvila	அவன் அமைதியாக இருக்கட்டும்	let him be quiet	grupo	alternativoj	prononco
level	ankaŭ li	அவரும்	he too	grupo	alternativoj	prononco
level	mi deziras	எனக்கு வேண்டும் (ஆசை)	I want (desire)	grupo	alternativoj	prononco
level	mi deziras, ke ~	நான் (ஆசை) என்று விரும்புகிறேன்	I wish (desire) that ~	grupo	alternativoj	prononco
level	ke vi lernu	நீ கற்றுக்கொள் என்று	that you learn	grupo	alternativoj	prononco
level	mi deziras, ke vi lernu	நீங்கள் கற்றுக்கொள்ள வேண்டும் என்று நான் விரும்புகிறேன்	I want you to learn	grupo	alternativoj	prononco
level	patro insistas	தந்தை வலியுறுத்துகிறார்	father insists	grupo	alternativoj	prononco
level	patro insistas, ke ~	என்று தந்தை வலியுறுத்துகிறார் ~	father insists that ~	grupo	alternativoj	prononco
level	ke mi iru	நான் செல்கிறேன் என்று	that I go	grupo	alternativoj	prononco
level	patro insistas, ke mi iru	நான் போக வேண்டும் என்று அப்பா வற்புறுத்துகிறார்	father insists that I go	grupo	alternativoj	prononco
level	je kioma horo	எந்த நேரத்தில்	at what hour	grupo	alternativoj	prononco
level	je kioma horo vi venos?	நீங்கள் எத்தனை மணிக்கு வருகிறீர்கள்?	what time do you come?	grupo	alternativoj	prononco
level	je la kvina	ஐந்து மணிக்கு)	at five (o'clock)	grupo	alternativoj	prononco
level	je la kvina horo	ஐந்து மணிக்கு	at five o'clock	grupo	alternativoj	prononco
level	kiel li fartas?	அவர் எப்படி இருக்கிறார்?	how does he doing?	grupo	alternativoj	prononco
level	kiel vi fartis lastatempe?	இப்பொழுது எப்படி இருக்கிறீர்கள்?	how have you been lately?	grupo	alternativoj	prononco
level	etaj libroj belas	சிறிய புத்தகங்கள் அழகானவை	little books are beautiful	grupo	alternativoj	prononco
level	libreto, belaj libroj	ஒரு சிறு புத்தகம், அழகான புத்தகங்கள்	a booklet, beautiful books	grupo	alternativoj	prononco
level	bela, beleta, belega	அழகான, கொஞ்சம் அழகான, மிக அழகான	beautiful, a little pretty, very beautiful	grupo	alternativoj	prononco
level	varma, varmeta, varmega	சூடான, மந்தமான, மிகவும் சூடாக	warm, lukewarm, very hot	grupo	alternativoj	prononco
level	librego, libreto	ஒரு பெரிய புத்தகம், ஒரு சிறு புத்தகம்	a big book, a booklet	grupo	alternativoj	prononco
level	bona, bonega, bonege	நல்லது, சிறந்தது, நல்லது	good, great, well	grupo	alternativoj	prononco
level	riĉa, riĉiĝi, riĉulo	பணக்காரனாக, பணக்காரனாக, பணக்காரனாக ஆக	rich, become rich, a rich person	grupo	alternativoj	prononco
level	trankvila, trankviliĝi, trankviliĝu	அமைதியாக, அமைதியாக, அமைதியாக	calm, to calm down, calm down	grupo	alternativoj	prononco
level	sana, resaniĝi, resaniĝis	ஆரோக்கியமான, குணமடைய, குணமடைந்தார்	healthy, to become healed, became healed	grupo	alternativoj	prononco
level	edzo, edziĝo, geedziĝis	ஒரு கணவர், திருமணம், திருமணம்	a husband, marriage, married	grupo	alternativoj	prononco
