B.fa content.tsv
Level	Esperanto	fa	en-us	Grupo	Alternativoj	Pronoco
level	ĉiu-foje en alia lando	هر بار در کشور دیگر	every time in other country	grupo	alternativoj	prononco
level	pro tio, ĉiu IJK estas alispeca	به همین دلیل، هر IJK متفاوت است	for this reason, every IJK is different	grupo	alternativoj	prononco
level	sed ankaŭ estas programeroj	اما برنامه هایی نیز وجود دارد	but there are also programs	grupo	alternativoj	prononco
level	programeroj, kiuj ofte revenas	برنامه هایی که اغلب برمی گردند	programs that returns often	grupo	alternativoj	prononco
level	sed ankaŭ estas programeroj, kiuj ofte revenas	اما برنامه هایی نیز وجود دارند که اغلب برمی گردند	but there're also programs that returns often	grupo	alternativoj	prononco
level	ekzemple	مثلا	for example	grupo	alternativoj	prononco
level	ekzemple, preskaŭ ĉiam eblas sportumi, kart-ludi	به عنوان مثال، تقریباً همیشه می توان ورزش و کارت بازی کرد	for example, it is almost always possible to play sports and cards	grupo	alternativoj	prononco
level	babili kun amikoj dum la tuta nokto	برای صحبت با دوستان تمام شب	to talk with friends all night	grupo	alternativoj	prononco
level	kanti ĉirkaŭ fajro kaj danci	برای آواز خواندن و رقصیدن	to sing around fire and to dance	grupo	alternativoj	prononco
level	partopreni koncertojn, ktp	برای شرکت در کنسرت ها و غیره	to take part in concerts, and so forth	grupo	alternativoj	prononco
level	nu, tion mi povas fari ankaŭ hejme	خوب، من هم می توانم این کار را در خانه انجام دهم	well, I can do that at home too	grupo	alternativoj	prononco
level	prave, sed	درست است، اما	right, but	grupo	alternativoj	prononco
level	sed la grava afero dum IJK estas ~	اما نکته مهم در طول IJK ~ است	but the important thing during IJK is ~	grupo	alternativoj	prononco
level	venas de multaj diversaj landoj	از کشورهای مختلف می آید	comes from many different countries	grupo	alternativoj	prononco
level	estas ke la partoprenantoj venas de diversaj landoj	این است که شرکت کنندگان از کشورهای مختلف آمده اند	is that the participants come from different countries	grupo	alternativoj	prononco
level	pro tiu mikso de diversaj homoj	به دلیل ترکیب افراد مختلف	because of that mix of different people	grupo	alternativoj	prononco
level	estas bona etoso, kiu tre plaĉas al mi	فضای خوبی است که من آن را خیلی دوست دارم	it's a good atmosphere that I like very much	grupo	alternativoj	prononco
level	bone, sonas interese	بسیار خوب، به نظر علاقه می رسد	all right, sounds like interest	grupo	alternativoj	prononco
level	mi pripensos	در موردش فکر خواهم کرد	I will think about	grupo	alternativoj	prononco
level	certe	مطمئنا	for sure	grupo	alternativoj	prononco
level	tamen, problemo estas ~	با این حال، یک مشکل ~ است	however, a problem is ~	grupo	alternativoj	prononco
level	tiom da mono	این مقدار پول	that much money	grupo	alternativoj	prononco
level	mi ne havas tiom da mono nun	من الان آنقدر پول ندارم	I don't have that much money right now	grupo	alternativoj	prononco
level	problemo estas ke mi ne havas tiom da mono	مشکل اینه که من اونقدر پول ندارم	problem is I don't have that much money	grupo	alternativoj	prononco
level	mi komprenas, sed ne estus multe-koste	می فهمم، اما هزینه زیادی ندارد	I understand, but it wouldn't cost much	grupo	alternativoj	prononco
level	ne estus multe-koste, mia-krede	من معتقدم که خیلی گران نخواهد بود	it would not be much expensive, I believe	grupo	alternativoj	prononco
level	tabelo de kotizo de programeroj	جدول هزینه برنامه ها	a table of fees of programs	grupo	alternativoj	prononco
level	jen, se vi rigardas la kotiztabelon	یعنی اگر به جدول سهم/کارمزد نگاه کنید	that is, if you look at the share/fees table	grupo	alternativoj	prononco
level	la kotiztabelo de la IJK-invitilo	جدول سهم / کارمزد دعوتنامه IJK	the share/fees table of IJK-invitation	grupo	alternativoj	prononco
level	vi vidas, ke ~	پیدا می کنی که ~	you find that ~	grupo	alternativoj	prononco
level	temas pri entute nur 50 eŭroj	در کل فقط 50 یورو است	it's only 50 euros in total	grupo	alternativoj	prononco
level	vi vidas, ke por vi temas pri entute nur 50 eŭroj	می بینید که برای شما در کل فقط 50 یورو است	you see that for you it's only 50 euros in total	grupo	alternativoj	prononco
level	se ni dormas surplanke	اگر روی زمین بخوابیم	if we sleep on the floor	grupo	alternativoj	prononco
level	en ordo	خیلی خوب	all right	grupo	alternativoj	prononco
level	bone, tio sonas en ordo	خوب به نظر می رسد خوب است	well, that sounds fine	grupo	alternativoj	prononco
level	sed kio pri la vojaĝo	اما سفر چطور	but what about the travel	grupo	alternativoj	prononco
level	trajno kostus ĉirkaŭ 70 eŭrojn	یک قطار حدود 70 یورو قیمت دارد	a train would cost around 70 euros	grupo	alternativoj	prononco
level	ĉu tio eblus por vi?	آیا این برای شما امکان پذیر است؟	would that be possible for you?	grupo	alternativoj	prononco
level	espereble	خوشبختانه	hopefully	grupo	alternativoj	prononco
level	sed daŭrus sufiĉe longe per trajno	اما به اندازه کافی با قطار دوام می آورد	but would last long enough by train	grupo	alternativoj	prononco
level	jes, sed ni povas halti en unu aŭ du urboj	بله، اما می توانیم در یک یا دو شهر توقف کنیم	yes, but we can stop in one or two cities	grupo	alternativoj	prononco
level	dum la vojo	در طول مسیر	along the way	grupo	alternativoj	prononco
level	kaj la tranoktado?	و شب اقامت؟	and the night stay?	grupo	alternativoj	prononco
level	ĉu vi pagus por ĝi?	آیا برای آن هزینه می کنید؟	would you pay for it?	grupo	alternativoj	prononco
level	ne, ne mi, sed ne estas problemo	نه من نه ولی مشکلی نیست	no, not me, but it's not a problem	grupo	alternativoj	prononco
level	ĉu vere, ke tio ne estas problemo?	آیا واقعاً این مشکلی نیست؟	is it really that this is not a problem?	grupo	alternativoj	prononco
level	kiel vi planas solvi tion?	چگونه می خواهید آن را حل کنید؟	how do you plan to solve that?	grupo	alternativoj	prononco
level	montris la oran kronon	تاج طلایی را نشان داد	showed the golden crown	grupo	alternativoj	prononco
level	nu, mi baldaŭ montros al vi	خوب، به زودی به شما نشان خواهم داد	well, I will show you soon	grupo	alternativoj	prononco
level	sed unue pli da teo	اما اول چای بیشتر	but first more tea	grupo	alternativoj	prononco
level	ĉu ankaŭ vi volas?	آیا شما هم می خواهید؟	do you want too?	grupo	alternativoj	prononco
level	jes, dankon	بله متشکرم	yes, thank you	grupo	alternativoj	prononco
level	en la sama kafejo	در همان کافه	in the same cafe'	grupo	alternativoj	prononco
level	io daŭras, daŭrigas tion	چیزی ادامه دارد، آن را ادامه می دهد (انجام می دهد).	something goes on, keeps (doing) that on	grupo	alternativoj	prononco
level	plano, plani, planado	برنامه ریزی، برنامه ریزی، برنامه ریزی	a plan, to plan, planning	grupo	alternativoj	prononco
level	ŝi kaj li daŭrigas la planadon	او و او به برنامه ریزی ادامه می دهند	she and he continue the planning	grupo	alternativoj	prononco
level	bonvolu, jen via teo	لطفا، اینجا چای شما است	please, here's your tea	grupo	alternativoj	prononco
level	mi dume rigardis la invitilon	در همین حال به دعوتنامه نگاه کردم	meanwhile I looked at the invitation	grupo	alternativoj	prononco
level	rigardis la invitilon por IJK	به دعوت IJK نگاه کرد	looked at the invitation of IJK	grupo	alternativoj	prononco
level	mi multon komprenas, sed ne ĉion	من خیلی چیزها را می فهمم، اما نه همه	I understand much, but not all	grupo	alternativoj	prononco
level	bone bone, nur demandu	باشه باشه فقط بپرس	all right all right, just ask	grupo	alternativoj	prononco
level	jen la aferoj	در اینجا چیزهایی وجود دارد	here are the things	grupo	alternativoj	prononco
level	klaraj aferoj	چیزهای روشن	clear things	grupo	alternativoj	prononco
level	la aferoj kiuj estas malklaraj	چیزهایی که گیج کننده هستند	the things that are confusing	grupo	alternativoj	prononco
level	estas malklaraj por mi	برای من گیج کننده هستند	are confusing to me	grupo	alternativoj	prononco
level	aliĝi, aliĝilo	برای عضویت، فرم ثبت نام	to join, a registration form	grupo	alternativoj	prononco
level	TEJO (la organizo)	سازمان جهانی جوانان اسپرانتو	The World Esperanto Youth Organization	grupo	alternativoj	prononco
level	Pepo (la TEJO-birdo)	پپو، پرنده ای که نماینده TEJO است	Pepo, a bird that represents the TEJO	grupo	alternativoj	prononco
level	loĝi, loĝejo	ماندن، مکانی برای ماندن (مسکن)	to stay, a place to stay (a lodging)	grupo	alternativoj	prononco
level	amasloĝejo	اقامتگاهی برای توده مردم	a lodging for mass people	grupo	alternativoj	prononco
level	aliĝilo estas ilo por al-iĝi	فرم ثبت نام ابزاری برای ثبت نام است	a registration form is a tool for registering	grupo	alternativoj	prononco
level	aliĝilo en kiu vi skribas vian nomon, adreson ktp	یک فرم عضویت که در آن نام، آدرس و غیره خود را بنویسید	a membership form in which you write your name, address, etc	grupo	alternativoj	prononco
level	longa, mallongigo	طولانی، مخفف	long, an abbreviation	grupo	alternativoj	prononco
level	mallongigo de Tutmonda Esperantista Junulara Organizo	مخفف سازمان جهانی جوانان اسپرانتو	an abbreviation of the World Esperanto Youth Organization	grupo	alternativoj	prononco
level	Pepo estas la amuza birdo de TEJO	پپو پرنده بامزه TEJO است	Pepo is the funny bird of TEJO	grupo	alternativoj	prononco
level	amasloĝejo estas ejo kie amaso de homoj loĝas	اقامتگاه دسته جمعی مکانی است که افراد زیادی در آن اقامت می کنند	a mass-lodging is a place where a lot of people stay	grupo	alternativoj	prononco
level	dormo, dormigilo, dormosako	یک خواب، یک قرص خواب، یک کیسه خواب	a sleep, a sleeping pill, a sleeping bag	grupo	alternativoj	prononco
level	kutime oni bezonas dormosakon tie	معمولاً یک کیسه خواب در آنجا نیاز دارد	usually one needs a sleeping bag there	grupo	alternativoj	prononco
level	vi klarigis tro rapide	خیلی سریع توضیح دادی	you explained too quickly	grupo	alternativoj	prononco
level	mi ne kaptis ĉion	من همه چیز را نگرفتم	I didn't catch everything	grupo	alternativoj	prononco
level	ne tre gravas	آنقدر مهم نیست	is not that important	grupo	alternativoj	prononco
level	mi pensas ke ne tre gravas nun	فکر کنم الان خیلی مهم نیست	I think it's not very important now	grupo	alternativoj	prononco
level	poste ni povas pli paroli	بعداً می توانیم بیشتر صحبت کنیم	later we can talk more	grupo	alternativoj	prononco
level	pli paroli pri la IJK-invitilo	بیشتر برای صحبت در مورد دعوت IJK	more to talk about the IJK invitation	grupo	alternativoj	prononco
level	do, vi volas plani la vojaĝon nun, ĉu?	بنابراین می خواهید همین الان برای سفر برنامه ریزی کنید، درست است؟	so you want to plan the travel now, right?	grupo	alternativoj	prononco
level	jes, volonte	بله با خوشحالی	yes, gladly	grupo	alternativoj	prononco
level	tiel vi vidos ke ~	پس خواهید دید که ~	so you will see that ~	grupo	alternativoj	prononco
level	kostos tiom multe	آنقدر هزینه خواهد داشت	will cost that much	grupo	alternativoj	prononco
level	vidos ke la vojaĝo ne kostos tiom multe	خواهید دید که سفر آنقدر هزینه نخواهد داشت	will see that the travel will not cost that much	grupo	alternativoj	prononco
level	mi volas scii	میخواهم بدانم	I want to know	grupo	alternativoj	prononco
level	mi scivolas pri ~	من می خواهم در مورد ~ بدانم	I want to know about ~	grupo	alternativoj	prononco
level	kiel vi solvos la tranoktadon	چگونه شب مانی را حل خواهید کرد	how you will solve the night-staying	grupo	alternativoj	prononco
level	ĉar mi ne havas monon	چون پول ندارم	because I don't have money	grupo	alternativoj	prononco
level	junulara gastejo	خوابگاه جوانان	a youth hostel	grupo	alternativoj	prononco
level	havas monon por hotelo aŭ junulargastejo	پول برای هتل یا خوابگاه جوانان دارد	has money for a hotel or a youth-hostel	grupo	alternativoj	prononco
level	jen la solvo!	راه حل اینجاست	here's the solution	grupo	alternativoj	prononco
level	pasporto	یک پاسپورت	a passport	grupo	alternativoj	prononco
level	Pasporta Servo	خدمات پاسپورت، اقامت در خانه اسپرانتیست ها	Passport Service, Esperantists' Home Stay	grupo	alternativoj	prononco
level	libreto kun la nomo "Pasporta Servo"	دفترچه ای با نام «سرویس گذرنامه»	booklet with the name "Passport Service"	grupo	alternativoj	prononco
level	servo por kio?	خدمات برای چه؟	service for what?	grupo	alternativoj	prononco
level	por homoj kiel ni	برای افرادی مثل ما	for people like us	grupo	alternativoj	prononco
level	sperti, spertulo	تجربه کردن، یک متخصص	to experience, an expert	grupo	alternativoj	prononco
level	homoj kiuj ŝatas vojaĝi kaj sperti landojn	افرادی که دوست دارند سفر کنند و کشورها را تجربه کنند	people who like to travel and experience countries	grupo	alternativoj	prononco
level	enspezi kaj elspezi	کسب درآمد و خرج کردن	to earn and to spend	grupo	alternativoj	prononco
level	sen elspezi multe da mono	بدون خرج کردن پول زیاد	without spending a lot of money	grupo	alternativoj	prononco
level	servo, la servo, tiu servo	یک سرویس، خدمات، آن سرویس	a service, the service, that service	grupo	alternativoj	prononco
level	bone, kaj kiel funkcias tiu servo?	خوب، و آن سرویس چگونه کار می کند؟	well, and how does that service work?	grupo	alternativoj	prononco
level	mi vidas ke en la libreto estas ~	من می بینم که در کتابچه ~ وجود دارد	I see that in the booket there is ~	grupo	alternativoj	prononco
level	multe da adresoj	آدرس های زیادی	lots of addresses	grupo	alternativoj	prononco
level	estas multe da adresoj de pluraj landoj	آدرس های زیادی از چندین کشور وجود دارد	there are many addresses from several countries	grupo	alternativoj	prononco
level	ĝuste, jes!	درست است، بله!	right, yes!	grupo	alternativoj	prononco
level	je via dispono	در دسترس شما	at your disposal	grupo	alternativoj	prononco
level	ili ĉiuj	همه آنها، همه آنها	they all, all of them	grupo	alternativoj	prononco
level	fakte ili ĉiuj estas je via dispono!	در واقع همه آنها در اختیار شما هستند!	in fact they are all at your disposal!	grupo	alternativoj	prononco
level	signifis, signifo	معنی، معنی	meant, meaning	grupo	alternativoj	prononco
level	"je mia dispono", kion signifas tio?	&quot;در اختیار من&quot;، این به چه معناست؟	"at my disposal", what does that mean?	grupo	alternativoj	prononco
level	signifas ke ~	یعنی ~	means that ~	grupo	alternativoj	prononco
level	gasti, gasto, gastigi	مهمان، مهمان، پذیرایی از مهمان	to guest, a guest, to host a guest	grupo	alternativoj	prononco
level	estas preta, pretas, pretiĝu!	آماده است، آماده است، آماده شوید!	is ready, is prepared, get ready!	grupo	alternativoj	prononco
level	homoj ĉe tiuj adresoj pretas gastigi vin	افراد در آن آدرس ها آماده میزبانی از شما هستند	people at those addresses are ready to host you	grupo	alternativoj	prononco
level	koni, konata, konatiĝi	شناختن (شخص)، شناخته شدن، شناخته شدن	to know (a person), known, to get to be known	grupo	alternativoj	prononco
level	kaj helpi vin konatiĝi kun ilia regiono	و به شما کمک می کند تا با منطقه آنها آشنا شوید	and help you get acquainted with their region	grupo	alternativoj	prononco
level	signifas ke homoj pretas gastigi vin kaj helpi	یعنی مردم مایل به میزبانی از شما و کمک هستند	means people are willing to host you and help	grupo	alternativoj	prononco
level	sonas interese!	به نظر جالب میاد!	sounds interesting!	grupo	alternativoj	prononco
level	do	بنابراین	so	grupo	alternativoj	prononco
level	oni loĝas en la hejmo de aliaj Esperantistoj, ĉu?	کسی در خانه دیگر اسپرانتیست ها می ماند، درست است؟	somebody stays in the home of other Esperantists, right?	grupo	alternativoj	prononco
level	pluraj spertoj per Pasporta Servo	چندین تجربه با خدمات پاسپورت	several experiences with Passport Service	grupo	alternativoj	prononco
level	mi havis plurajn interesajn spertojn	چندین تجربه جالب داشتم	I had several interesting experiences	grupo	alternativoj	prononco
level	mi uzis ĝin en tri kontinentoj	من آن را در سه قاره استفاده کرده ام	I have used it on three continents	grupo	alternativoj	prononco
level	malbone funkcias	(این) ضعیف عمل می کند	(it) works poorly	grupo	alternativoj	prononco
level	kaj ĝis nun funkciis tre bone	و تا کنون (آن) بسیار خوب کار کرده است	and so far (it) has worked very well	grupo	alternativoj	prononco
level	bonege! kien ni iru?	عالی! کجا می رویم	great! where are we going?	grupo	alternativoj	prononco
level	do, mia plano estas ke ni ~	بنابراین، برنامه من این است که ما ~	so, my plan is that we ~	grupo	alternativoj	prononco
level	venas, alvenis	می آید، رسید	comes, arrived	grupo	alternativoj	prononco
level	post sukcesa vojaĝo	پس از یک سفر موفق	after a successful trip	grupo	alternativoj	prononco
level	post uzado de Pasporta Servo en du urboj	پس از استفاده از خدمات پاسپورت در دو شهر	after using Passport Service in two cities	grupo	alternativoj	prononco
level	ili alvenas post sukcesa vojaĝo	آنها پس از یک سفر موفق وارد می شوند	they arrive after a successful trip	grupo	alternativoj	prononco
level	jen, vidu!	ببین، نگاه کن!	behold, look!	grupo	alternativoj	prononco
level	tie estas granda Esperanto-flago	یک پرچم بزرگ اسپرانتو آنجاست	there's a big Esperanto flag over there	grupo	alternativoj	prononco
level	ŝildo kun la teksto "Bonvenon al IJK!"	تابلویی با متن &quot;به IJK خوش آمدید!&quot;	a sign with the text "Welcome to IJK!"	grupo	alternativoj	prononco
level	jes, kaj sub ĝi estas ~	بله، و زیر آن ~ وجود دارد	yes, and below it there is ~	grupo	alternativoj	prononco
level	hu ra!	هورا!	Hooray!	grupo	alternativoj	prononco
level	ni do finfine alvenis	پس بالاخره رسیدیم	so we finally arrived	grupo	alternativoj	prononco
level	mi estas tre laca kaj malsata	من خیلی خسته و گرسنه هستم	I am very tired and hungry	grupo	alternativoj	prononco
level	ĉu vi pensas ke ni povas ~	به نظر شما ما می توانیم ~	do you think we can ~ ?	grupo	alternativoj	prononco
level	manĝi ion	برای خوردن چیزی	to eat something	grupo	alternativoj	prononco
level	ĉu vi pensas ke ni povas tuj ion manĝi?	به نظر شما می توانیم فورا چیزی بخوریم؟	do you think we can eat something right away?	grupo	alternativoj	prononco
level	mi dubas pri tio	من شک دارم که	I doubt that	grupo	alternativoj	prononco
level	unue ni devas akceptiĝi	اول باید قبول بشیم	we must first be accepted	grupo	alternativoj	prononco
level	devas akceptiĝi ĉe la akceptejo	باید در میز پذیرش پذیرفته شود	must be accepted at the reception desk	grupo	alternativoj	prononco
level	kaj tio povas daŭri longe	و این می تواند برای مدت طولانی دوام بیاورد	and that can last a long time	grupo	alternativoj	prononco
level	daŭri longe miasperte	برای مدت طولانی در تجربه من	to last long in my experience	grupo	alternativoj	prononco
level	ho ve!	افسوس	alas!	grupo	alternativoj	prononco
level	ĉu tio estas la vico por la akceptejo?	آیا این خط برای پذیرایی است؟	is that the line for the reception?	grupo	alternativoj	prononco
level	mi timas ke jes	من می ترسم اینطور باشد	I'm afraid so	grupo	alternativoj	prononco
level	ne estas tute perfekte fari ~	انجام دادن ~ کاملاً کامل نیست	to do ~ is not totally perfect	grupo	alternativoj	prononco
level	tute perfekte alveni vespere	برای رسیدن به عصر کاملاً عالی است	is totally perfect to arrive in the evening	grupo	alternativoj	prononco
level	ni povas babili kun homoj	می توانیم با مردم چت کنیم	we can chat with people	grupo	alternativoj	prononco
level	sed ni povas babili kun homoj en la vico	اما می توانیم با افراد در صف چت کنیم	but we can chat with people in line	grupo	alternativoj	prononco
level	jen, mi vidas amikon de rusio!	ببین، من یکی از دوستان روسیه را می بینم!	behold, I see a friend of Russia!	grupo	alternativoj	prononco
level	mi estas malsata, mi volas manĝi	من گرسنه ام، می خواهم غذا بخورم	I'm hungry, I want to eat	grupo	alternativoj	prononco
level	post ĉirkaŭ 2 horoj	بعد از حدود 2 ساعت	after about 2 hours	grupo	alternativoj	prononco
level	en la vico kun novaj kaj malnovaj amikoj	در راستای دوستان جدید و قدیمی	in line with new and old friends	grupo	alternativoj	prononco
level	LKK (Loka Kongresa Komitato)	کمیته کنگره محلی	local congress commitee	grupo	alternativoj	prononco
level	LKK-ano	عضو کمیته محلی کنگره	a member in the local congress commitee	grupo	alternativoj	prononco
level	bonvenon, kiu vi estas?	خوش اومدی تو کی هستی	welcome, who are you?	grupo	alternativoj	prononco
level	de kiu lando?	از کدام کشور؟	from which country?	grupo	alternativoj	prononco
level	ĉu vi antaŭpagis?	پیش پرداخت کردی؟	did you prepay?	grupo	alternativoj	prononco
level	bonvolu montri	لطفا نشان دهید	please show	grupo	alternativoj	prononco
level	se jes, bonvolu montri la kvitancon	اگر چنین است، لطفا رسید را نشان دهید	if so, please show the receipt	grupo	alternativoj	prononco
level	ĉu vi estas TEJO-membro?	آیا شما عضو TEJO هستید؟	are you a member of TEJO?	grupo	alternativoj	prononco
level	membriĝi ĉe la budo	برای عضویت در یک غرفه	to become a member at a booth	grupo	alternativoj	prononco
level	se ne, vi povas membriĝi ĉe la venonta budo	اگر نه، می توانید در غرفه بعدی شرکت کنید	if not, you can join at the next booth	grupo	alternativoj	prononco
level	jen kvitancoj de antaŭpagoj	در اینجا رسیدهای پیش پرداخت وجود دارد	here are receipts of advance payments	grupo	alternativoj	prononco
level	membrokartoj kaj niaj pasportoj	کارت عضویت و پاسپورت ما	membership cards and our passports	grupo	alternativoj	prononco
level	tre bone	خیلی خوب	very good	grupo	alternativoj	prononco
level	do, mi vidas ke vi loĝos en amasloĝejo	بنابراین، من می بینم که شما در یک مکان انبوه (فضای تصادف) زندگی خواهید کرد	so, I see you will live in a mass-lodging (crash space)	grupo	alternativoj	prononco
level	kaj manĝos en la junulargastejo	و در خوابگاه جوانان غذا خواهد خورد	and will eat in the youth hostel	grupo	alternativoj	prononco
level	ĉu ĝustas tiuj informoj?	آیا این اطلاعات صحیح است؟	are those information correct?	grupo	alternativoj	prononco
level	jes, perfekte	بله، کامل	yes, perfect	grupo	alternativoj	prononco
level	sako kun programo, mapo ktp	یک کیف با برنامه، نقشه و غیره	a bag with program, map etc	grupo	alternativoj	prononco
level	vi povas pagi kaj ricevi sakon kun programo, mapo ktp	شما می توانید یک کیف با برنامه، نقشه و غیره پرداخت و دریافت کنید	you can pay and receive a bag with program, map etc	grupo	alternativoj	prononco
level	ĉe la ruĝa budo, tie	در غرفه قرمز، آنجا	at the red booth, there	grupo	alternativoj	prononco
level	bone, dankon	خوب متشکرم	good, thank you	grupo	alternativoj	prononco
level	aspektas laca sed sana	خسته اما سالم به نظر می رسد	looks tired but healthy	grupo	alternativoj	prononco
level	tiuj personoj vere aspektis lacaj	آن مردم واقعا خسته به نظر می رسیدند	those people really looked tired	grupo	alternativoj	prononco
level	kaj ne estis tre afablaj	و خیلی مهربان نبودند	and were not very kind	grupo	alternativoj	prononco
level	vi pravas	حق با شماست	you are right	grupo	alternativoj	prononco
level	sed memoru ke ~	اما به یاد داشته باشید که ~	but remember that ~	grupo	alternativoj	prononco
level	laboras dum ok horoj	8 ساعت کار می کنند	are working for 8 hours	grupo	alternativoj	prononco
level	la LKK laboras jam dum eble ok horoj	LKK شاید هشت ساعت کار کرده است	the LKK has been working for maybe eight hours	grupo	alternativoj	prononco
level	sen multe da paŭzoj	بدون مکث زیاد	without much pause	grupo	alternativoj	prononco
level	sed memoru ke la LKK laboras sen paŭzoj	اما به یاد داشته باشید که LKK بدون وقفه کار می کند	but remember that the LKK works without breaks	grupo	alternativoj	prononco
level	babilema dum la semajno	گپ زدن در طول هفته	chatty during the week	grupo	alternativoj	prononco
level	mi certas ke ~	من مطمئنم که ~	I'm sure that ~	grupo	alternativoj	prononco
level	mi certas ke ili estos pli afablaj	مطمئنم مهربان تر خواهند شد	I'm sure they'll be kinder	grupo	alternativoj	prononco
level	ili estos pli afablaj kaj babilemaj	آنها مهربان تر و پرحرف تر خواهند بود	they will be kinder and more talkative	grupo	alternativoj	prononco
level	ni trovu ĝin	بیا پیداش کنیم	let's find it	grupo	alternativoj	prononco
level	bone, nun ni trovu la amasloĝejon	خوب، حالا بیایید محل اقامت انبوه را پیدا کنیم	well, now let's find the mass-lodging place	grupo	alternativoj	prononco
level	kaj poste mi ŝatus ion manĝi	و بعد من می خواهم چیزی بخورم	and then I would like something to eat	grupo	alternativoj	prononco
level	ĉu vi vidis la knabinon ĉe la TEJO-budo?	آیا دختر را در غرفه TEJO دیدی؟	did you see the girl at the TEJO booth?	grupo	alternativoj	prononco
level	jes, kio pri ŝi?	بله، او چطور؟	yes, what about her?	grupo	alternativoj	prononco
level	ĉu vi konas ŝin?	او را می شناسی؟	do you know her?	grupo	alternativoj	prononco
level	bedaŭrinde ne	متاسفانه نه	unfortunately no	grupo	alternativoj	prononco
level	sed ŝi estas ege bela, ĉu ne?	اما او خیلی زیباست، اینطور نیست؟	but she's very pretty, isn't she?	grupo	alternativoj	prononco
level	mi konsentas	موافقم	I agree	grupo	alternativoj	prononco
level	tamen ne bone komprenas	با این حال به خوبی درک نمی کند	however does not understand well	grupo	alternativoj	prononco
level	mi konsentas tamen ne komprenas	موافقم ولی نمیفهمم	I agree but I don't understand	grupo	alternativoj	prononco
level	ĉu al vi plaĉas inoj?	آیا شما زنان را دوست دارید؟	do you like females?	grupo	alternativoj	prononco
level	jes, mi volis diri al vi antaŭe	بله، می خواهم قبلاً به شما بگویم	yes, I want tell you before	grupo	alternativoj	prononco
level	sed ial ne faris	اما به دلایلی این کار را نکرد	but for some reason did not	grupo	alternativoj	prononco
level	virinoj plaĉas al mi pli ol viroj	virinoj plaĉas al mi pli ol viroj	virinoj plaĉas al mi pli ol viroj	grupo	alternativoj	prononco
level	aspekte ktp	جنبه و غیره	aspect etc	grupo	alternativoj	prononco
level	ĉu, ĉu vi estas ?	آیا شما هستید؟	are you, are you?	grupo	alternativoj	prononco
level	jes, mi estas samseksemulo	بله، من یک همجنس گرا هستم	yes, I am a homosexual	grupo	alternativoj	prononco
level	oni ankaŭ povas diri lesbo	همچنین می توان گفت لزبین	one can also say lesbian	grupo	alternativoj	prononco
level	bone, mi tute ne sciis	خب من اصلا نمیدونستم	well, I didn't know at all	grupo	alternativoj	prononco
level	sed mi ĝojas ke vi diris	اما خوشحالم که گفتی	but I'm glad you said	grupo	alternativoj	prononco
level	fakte mi ankaŭ ĝojas ke vi estas samseksemulo	در واقع خوشحالم که شما همجنسگرا هستید	in fact I am glad that you are a homosexual	grupo	alternativoj	prononco
level	vi estas la plej afabla kaj agrabla lesbo	شما مهربان ترین و خوب ترین لزبین هستید	you are the kindest and nicest lesbian	grupo	alternativoj	prononco
level	la plej agrabla lesbo kiun mi konas	زیباترین لزبین که می شناسم	the nicest lesbian I know	grupo	alternativoj	prononco
level	dankon! ĉu vi konas aliajn?	متشکرم! آیا دیگران را می شناسید؟	thank you! do you know others?	grupo	alternativoj	prononco
level	sed kiel vi scias tion?	اما شما از کجا این را می دانید؟	but how do you know that?	grupo	alternativoj	prononco
level	tiu knabino preferas virojn!	آن دختر مردان را ترجیح می دهد!	that girl prefers men!	grupo	alternativoj	prononco
level	ĉiukaze mi kredas ke tiu knabino preferas virojn!	در هر صورت من معتقدم که آن دختر مردان را ترجیح می دهد!	in any case I believe that girl prefer men!	grupo	alternativoj	prononco
level	tiu knabino pri kiu vi parolis	اون دختری که ازش حرف میزدی	that girl whom you were talking about	grupo	alternativoj	prononco
level	ni vidos	خواهیم دید	we'll see	grupo	alternativoj	prononco
level	en la amasloĝejo	در محل اسکان دسته جمعی (یک فضای تصادف)	in the mass lodging place (a crash space)	grupo	alternativoj	prononco
level	bonan matenon!	صبح بخیر!	good morning!	grupo	alternativoj	prononco
level	ĉu vi bone dormis?	خوب خوابیدی؟	did you sleep well?	grupo	alternativoj	prononco
level	apenaŭ vidas	به سختی می بینم	hardly see	grupo	alternativoj	prononco
level	male, mi apenaŭ dormis	برعکس، من به سختی می توانستم بخوابم	on the contrary, I could hardly sleep	grupo	alternativoj	prononco
level	sed kial?	اما چرا؟	but why?	grupo	alternativoj	prononco
level	eble vi estis nervoza pri via unua IJK-tago?	شاید در مورد اولین روز IJK خود عصبی بودید؟	maybe you were nervous about your first IJK day?	grupo	alternativoj	prononco
level	ne vere	نه واقعا	not really	grupo	alternativoj	prononco
level	la tutan nokton, dum la tuta nokto	تمام شب، تمام شب	all night, all night long	grupo	alternativoj	prononco
level	tre laŭte ronkis	خیلی بلند خرخر کرد	snored very loudly	grupo	alternativoj	prononco
level	simple iu tre laŭte ronkis la tutan nokton	فقط یک نفر تمام شب با صدای بلند خروپف کرد	just someone snored very loudly all night	grupo	alternativoj	prononco
level	ne ĝenu min	اذیتم نکن	don't bother me	grupo	alternativoj	prononco
level	kaj tio ege ĝenis min	و این خیلی مرا آزار می داد	and that bothered me greatly	grupo	alternativoj	prononco
