B.fr content.tsv
Level	Esperanto	fr	en-us	Grupo	Alternativoj	Pronoco
level	venas de multaj diversaj landoj	vient de nombreux pays différents	comes from many different countries	grupo	alternativoj	prononco
level	estas ke la partoprenantoj venas de diversaj landoj	c'est que les participants viennent de divers pays	is that the participants come from different countries	grupo	alternativoj	prononco
level	pro tiu mikso de diversaj homoj	à cause de ce mélange de personnes différentes	because of that mix of different people	grupo	alternativoj	prononco
level	estas bona etoso, kiu tre plaĉas al mi	c'est une bonne ambiance que j'aime beaucoup	it's a good atmosphere that I like very much	grupo	alternativoj	prononco
level	bone, sonas interese	d'accord, cela semble intéressant	all right, sounds like interest	grupo	alternativoj	prononco
level	mi pripensos	je vais y réfléchir	I will think about	grupo	alternativoj	prononco
level	certe	bien sûr	for sure	grupo	alternativoj	prononco
level	tamen, problemo estas ~	cependant, un problème est ~	however, a problem is ~	grupo	alternativoj	prononco
level	tiom da mono	autant d'argent	that much money	grupo	alternativoj	prononco
level	mi ne havas tiom da mono nun	je n'ai pas autant d'argent maintenant	I don't have that much money right now	grupo	alternativoj	prononco
level	problemo estas ke mi ne havas tiom da mono	le problème est que je n'ai pas autant d'argent	problem is I don't have that much money	grupo	alternativoj	prononco
level	mi komprenas, sed ne estus multe-koste	Je comprends, mais ça ne coûterait pas cher	I understand, but it wouldn't cost much	grupo	alternativoj	prononco
level	ne estus multe-koste, mia-krede	ce ne serait pas très cher, je crois	it would not be much expensive, I believe	grupo	alternativoj	prononco
level	tabelo de kotizo de programeroj	un tableau des tarifs des programmes	a table of fees of programs	grupo	alternativoj	prononco
level	jen, se vi rigardas la kotiztabelon	voici, si vous regardez le tableau des tarifs	that is, if you look at the share/fees table	grupo	alternativoj	prononco
level	la kotiztabelo de la IJK-invitilo	le tableau parts/frais d'IJK-invitation	the share/fees table of IJK-invitation	grupo	alternativoj	prononco
level	vi vidas, ke ~	tu trouves ça ~	you find that ~	grupo	alternativoj	prononco
level	temas pri entute nur 50 eŭroj	c'est seulement 50 euros au total	it's only 50 euros in total	grupo	alternativoj	prononco
level	vi vidas, ke por vi temas pri entute nur 50 eŭroj	tu vois que pour toi c'est seulement 50 euros au total	you see that for you it's only 50 euros in total	grupo	alternativoj	prononco
level	se ni dormas surplanke	si nous dormons par terre	if we sleep on the floor	grupo	alternativoj	prononco
level	en ordo	d'accord	all right	grupo	alternativoj	prononco
level	bone, tio sonas en ordo	eh bien, ça a l'air bien	well, that sounds fine	grupo	alternativoj	prononco
level	sed kio pri la vojaĝo	mais qu'en est-il du voyage	but what about the travel	grupo	alternativoj	prononco
level	trajno kostus ĉirkaŭ 70 eŭrojn	un train coûterait environ 70 euros	a train would cost around 70 euros	grupo	alternativoj	prononco
level	ĉu tio eblus por vi?	est-ce que cela serait possible pour vous ?	would that be possible for you?	grupo	alternativoj	prononco
level	espereble	espérablement	hopefully	grupo	alternativoj	prononco
level	sed daŭrus sufiĉe longe per trajno	mais cela durerait assez longtemps en train	but would last long enough by train	grupo	alternativoj	prononco
level	jes, sed ni povas halti en unu aŭ du urboj	oui, mais on peut s'arrêter dans une ou deux villes	yes, but we can stop in one or two cities	grupo	alternativoj	prononco
level	dum la vojo	le long du chemin	along the way	grupo	alternativoj	prononco
level	kaj la tranoktado?	et la nuitée ?	and the night stay?	grupo	alternativoj	prononco
level	ĉu vi pagus por ĝi?	est-ce que tu le paierais ?	would you pay for it?	grupo	alternativoj	prononco
level	ne, ne mi, sed ne estas problemo	non, pas moi, mais ce n'est pas un problème	no, not me, but it's not a problem	grupo	alternativoj	prononco
level	ĉu vere, ke tio ne estas problemo?	est-ce vrai que ce n'est pas un problème ?	is it really that this is not a problem?	grupo	alternativoj	prononco
level	kiel vi planas solvi tion?	comment comptez-vous résoudre cela ?	how do you plan to solve that?	grupo	alternativoj	prononco
level	montris la oran kronon	a montré la couronne d'or	showed the golden crown	grupo	alternativoj	prononco
level	nu, mi baldaŭ montros al vi	eh bien, je te montrerai bientôt	well, I will show you soon	grupo	alternativoj	prononco
level	sed unue pli da teo	mais d'abord, plus de thé	but first more tea	grupo	alternativoj	prononco
level	ĉu ankaŭ vi volas?	est-ce que tu veux aussi?	do you want too?	grupo	alternativoj	prononco
level	jes, dankon	Oui merci	yes, thank you	grupo	alternativoj	prononco
level	en la sama kafejo	dans le même café	in the same cafe'	grupo	alternativoj	prononco
level	io daŭras, daŭrigas tion	quelque chose continue, poursuit cela	something goes on, keeps (doing) that on	grupo	alternativoj	prononco
level	plano, plani, planado	un plan, planifier, une planification	a plan, to plan, planning	grupo	alternativoj	prononco
level	ŝi kaj li daŭrigas la planadon	elle et lui continuent la planification	she and he continue the planning	grupo	alternativoj	prononco
level	bonvolu, jen via teo	s'il te plaît, voici ton thé	please, here's your tea	grupo	alternativoj	prononco
level	mi dume rigardis la invitilon	entre-temps, j'ai regardé l'invitation	meanwhile I looked at the invitation	grupo	alternativoj	prononco
level	rigardis la invitilon por IJK	j'ai regardé l'invitation d'IJK	looked at the invitation of IJK	grupo	alternativoj	prononco
level	mi multon komprenas, sed ne ĉion	Je comprends beaucoup de choses, mais pas tout	I understand much, but not all	grupo	alternativoj	prononco
level	bone bone, nur demandu	très bien, très bien, demande juste	all right all right, just ask	grupo	alternativoj	prononco
level	jen la aferoj	voici les choses	here are the things	grupo	alternativoj	prononco
level	klaraj aferoj	choses claires	clear things	grupo	alternativoj	prononco
level	la aferoj kiuj estas malklaraj	les choses qui sont flous	the things that are confusing	grupo	alternativoj	prononco
level	estas malklaraj por mi	c'est flou pour moi	are confusing to me	grupo	alternativoj	prononco
level	aliĝi, aliĝilo	s'inscrire, un formulaire d'inscription	to join, a registration form	grupo	alternativoj	prononco
level	TEJO (la organizo)	L'Organisation Mondiale de la Jeunesse Espéranto	The World Esperanto Youth Organization	grupo	alternativoj	prononco
level	Pepo (la TEJO-birdo)	Pepo, un oiseau qui représente le TEJO	Pepo, a bird that represents the TEJO	grupo	alternativoj	prononco
level	loĝi, loĝejo	loger, un logement	to stay, a place to stay (a lodging)	grupo	alternativoj	prononco
level	amasloĝejo	un logement pour les gens de masse	a lodging for mass people	grupo	alternativoj	prononco
level	aliĝilo estas ilo por al-iĝi	un formulaire d'inscription est un outil d'inscription	a registration form is a tool for registering	grupo	alternativoj	prononco
level	aliĝilo en kiu vi skribas vian nomon, adreson ktp	un formulaire d'adhésion dans lequel vous inscrivez votre nom, adresse, etc.	a membership form in which you write your name, address, etc	grupo	alternativoj	prononco
level	longa, mallongigo	long, une abréviation	long, an abbreviation	grupo	alternativoj	prononco
level	mallongigo de Tutmonda Esperantista Junulara Organizo	une abréviation de l'Organisation Mondiale de la Jeunesse Espéranto	an abbreviation of the World Esperanto Youth Organization	grupo	alternativoj	prononco
level	Pepo estas la amuza birdo de TEJO	Pepo est le drôle d'oiseau de TEJO	Pepo is the funny bird of TEJO	grupo	alternativoj	prononco
level	amasloĝejo estas ejo kie amaso de homoj loĝas	un hébergement de masse est un endroit où beaucoup de gens séjournent	a mass-lodging is a place where a lot of people stay	grupo	alternativoj	prononco
level	dormo, dormigilo, dormosako	un sommeil, un somnifère, un sac de couchage	a sleep, a sleeping pill, a sleeping bag	grupo	alternativoj	prononco
level	kutime oni bezonas dormosakon tie	Généralement, on a besoin d'un sac de couchage là-bas	usually one needs a sleeping bag there	grupo	alternativoj	prononco
level	vi klarigis tro rapide	tu as expliqué trop vite	you explained too quickly	grupo	alternativoj	prononco
level	mi ne kaptis ĉion	je n'ai pas tout compris	I didn't catch everything	grupo	alternativoj	prononco
level	ne tre gravas	ce n'est pas si important	is not that important	grupo	alternativoj	prononco
level	mi pensas ke ne tre gravas nun	Je pense que ce n'est pas très important maintenant	I think it's not very important now	grupo	alternativoj	prononco
level	poste ni povas pli paroli	plus tard, nous pourrons parler davantage	later we can talk more	grupo	alternativoj	prononco
level	pli paroli pri la IJK-invitilo	Parler davantage de l'invitation à l'IJK	more to talk about the IJK invitation	grupo	alternativoj	prononco
level	do, vi volas plani la vojaĝon nun, ĉu?	donc tu veux planifier le voyage maintenant, n'est-ce pas ?	so you want to plan the travel now, right?	grupo	alternativoj	prononco
level	jes, volonte	oui, avec plaisir	yes, gladly	grupo	alternativoj	prononco
level	tiel vi vidos ke ~	ainsi, vous verrez que ~	so you will see that ~	grupo	alternativoj	prononco
level	kostos tiom multe	ça coûtera autant	will cost that much	grupo	alternativoj	prononco
level	vidos ke la vojaĝo ne kostos tiom multe	verrez que le voyage ne coûtera pas autant	will see that the travel will not cost that much	grupo	alternativoj	prononco
level	mi volas scii	Je veux savoir	I want to know	grupo	alternativoj	prononco
level	mi scivolas pri ~	je suis curieux au sujet de ~	I want to know about ~	grupo	alternativoj	prononco
level	kiel vi solvos la tranoktadon	comment tu vas résoudre la nuitée	how you will solve the night-staying	grupo	alternativoj	prononco
level	ĉar mi ne havas monon	parce que je n'ai pas d'argent	because I don't have money	grupo	alternativoj	prononco
level	junulara gastejo	une auberge de jeunesse	a youth hostel	grupo	alternativoj	prononco
level	havas monon por hotelo aŭ junulargastejo	a de l'argent pour un hôtel ou une auberge de jeunesse	has money for a hotel or a youth-hostel	grupo	alternativoj	prononco
level	jen la solvo!	voici la solution	here's the solution	grupo	alternativoj	prononco
level	pasporto	un passeport	a passport	grupo	alternativoj	prononco
level	Pasporta Servo	Service de passeport, séjour chez l'espérantiste	Passport Service, Esperantists' Home Stay	grupo	alternativoj	prononco
level	libreto kun la nomo "Pasporta Servo"	livret avec le nom 'Service Passeport'	booklet with the name "Passport Service"	grupo	alternativoj	prononco
level	servo por kio?	service pour quoi ?	service for what?	grupo	alternativoj	prononco
level	por homoj kiel ni	pour les gens comme nous	for people like us	grupo	alternativoj	prononco
level	sperti, spertulo	expérimenter, un expert	to experience, an expert	grupo	alternativoj	prononco
level	homoj kiuj ŝatas vojaĝi kaj sperti landojn	les gens qui aiment voyager et découvrir des pays	people who like to travel and experience countries	grupo	alternativoj	prononco
level	enspezi kaj elspezi	gagner et dépenser	to earn and to spend	grupo	alternativoj	prononco
level	sen elspezi multe da mono	sans dépenser beaucoup d'argent	without spending a lot of money	grupo	alternativoj	prononco
level	servo, la servo, tiu servo	un service, le service, ce service	a service, the service, that service	grupo	alternativoj	prononco
level	bone, kaj kiel funkcias tiu servo?	bien, et comment fonctionne ce service ?	well, and how does that service work?	grupo	alternativoj	prononco
level	mi vidas ke en la libreto estas ~	je vois que dans le livret il y a ~	I see that in the booket there is ~	grupo	alternativoj	prononco
level	multe da adresoj	beaucoup d'adresses	lots of addresses	grupo	alternativoj	prononco
level	estas multe da adresoj de pluraj landoj	il existe de nombreuses adresses de plusieurs pays	there are many addresses from several countries	grupo	alternativoj	prononco
level	ĝuste, jes!	c'est vrai, oui !	right, yes!	grupo	alternativoj	prononco
level	je via dispono	a ta disposition	at your disposal	grupo	alternativoj	prononco
level	ili ĉiuj	ils tous, tous	they all, all of them	grupo	alternativoj	prononco
level	fakte ili ĉiuj estas je via dispono!	en fait, ils sont tous à votre disposition !	in fact they are all at your disposal!	grupo	alternativoj	prononco
level	signifis, signifo	signifiait, signification	meant, meaning	grupo	alternativoj	prononco
level	"je mia dispono", kion signifas tio?	à ma disposition, ça veut dire quoi ?	"at my disposal", what does that mean?	grupo	alternativoj	prononco
level	signifas ke ~	ça veut dire que ~	means that ~	grupo	alternativoj	prononco
level	gasti, gasto, gastigi	invité, un invité, héberger un invité	to guest, a guest, to host a guest	grupo	alternativoj	prononco
level	estas preta, pretas, pretiĝu!	est prêt, est prêt, préparez-vous !	is ready, is prepared, get ready!	grupo	alternativoj	prononco
level	homoj ĉe tiuj adresoj pretas gastigi vin	les personnes à ces adresses sont prêtes à vous accueillir	people at those addresses are ready to host you	grupo	alternativoj	prononco
level	koni, konata, konatiĝi	connaître (une personne), connu(e), faire connaître connaissance	to know (a person), known, to get to be known	grupo	alternativoj	prononco
level	kaj helpi vin konatiĝi kun ilia regiono	et vous aider à connaître leur région	and help you get acquainted with their region	grupo	alternativoj	prononco
level	signifas ke homoj pretas gastigi vin kaj helpi	signifie que les gens sont prêts à vous accueillir et à vous aider	means people are willing to host you and help	grupo	alternativoj	prononco
level	sonas interese!	Ça semble intéressant!	sounds interesting!	grupo	alternativoj	prononco
level	do	donc	so	grupo	alternativoj	prononco
level	oni loĝas en la hejmo de aliaj Esperantistoj, ĉu?	on habite chez d'autres espérantistes, n'est-ce pas ?	somebody stays in the home of other Esperantists, right?	grupo	alternativoj	prononco
level	pluraj spertoj per Pasporta Servo	plusieurs expériences avec Passport Service	several experiences with Passport Service	grupo	alternativoj	prononco
level	mi havis plurajn interesajn spertojn	J'ai eu plusieurs expériences intéressantes	I had several interesting experiences	grupo	alternativoj	prononco
level	mi uzis ĝin en tri kontinentoj	Je l'ai utilisé sur trois continents	I have used it on three continents	grupo	alternativoj	prononco
level	malbone funkcias	(ça) fonctionne mal	(it) works poorly	grupo	alternativoj	prononco
level	kaj ĝis nun funkciis tre bone	et jusqu'à présent, cela a très bien fonctionné	and so far (it) has worked very well	grupo	alternativoj	prononco
level	bonege! kien ni iru?	super ! où devrions-nous aller ?	great! where are we going?	grupo	alternativoj	prononco
level	do, mia plano estas ke ni ~	donc, mon plan est que nous ~	so, my plan is that we ~	grupo	alternativoj	prononco
level	venas, alvenis	vient, est arrivé	comes, arrived	grupo	alternativoj	prononco
level	post sukcesa vojaĝo	après un voyage réussi	after a successful trip	grupo	alternativoj	prononco
level	post uzado de Pasporta Servo en du urboj	après avoir utilisé le service Passeport dans deux villes	after using Passport Service in two cities	grupo	alternativoj	prononco
level	ili alvenas post sukcesa vojaĝo	ils arrivent après un voyage réussi	they arrive after a successful trip	grupo	alternativoj	prononco
level	jen, vidu!	voici, regarde !	behold, look!	grupo	alternativoj	prononco
level	tie estas granda Esperanto-flago	il y a un grand drapeau espéranto là-bas	there's a big Esperanto flag over there	grupo	alternativoj	prononco
level	ŝildo kun la teksto "Bonvenon al IJK!"	un panneau avec le texte "Bienvenue à IJK!"	a sign with the text "Welcome to IJK!"	grupo	alternativoj	prononco
level	jes, kaj sub ĝi estas ~	oui, et en dessous il y a ~	yes, and below it there is ~	grupo	alternativoj	prononco
level	hu ra!	Hourra!	Hooray!	grupo	alternativoj	prononco
level	ni do finfine alvenis	donc nous sommes enfin arrivés	so we finally arrived	grupo	alternativoj	prononco
level	mi estas tre laca kaj malsata	je suis très fatigué et j'ai faim	I am very tired and hungry	grupo	alternativoj	prononco
level	ĉu vi pensas ke ni povas ~	pensez-vous que nous pouvons ~ ?	do you think we can ~ ?	grupo	alternativoj	prononco
level	manĝi ion	manger quelque chose	to eat something	grupo	alternativoj	prononco
level	ĉu vi pensas ke ni povas tuj ion manĝi?	tu penses qu'on peut manger quelque chose tout de suite ?	do you think we can eat something right away?	grupo	alternativoj	prononco
level	mi dubas pri tio	je doute à propos de cela	I doubt that	grupo	alternativoj	prononco
level	unue ni devas akceptiĝi	nous devons d'abord être acceptés	we must first be accepted	grupo	alternativoj	prononco
level	devas akceptiĝi ĉe la akceptejo	doit être accepté à la réception	must be accepted at the reception desk	grupo	alternativoj	prononco
level	kaj tio povas daŭri longe	et ça peut durer longtemps	and that can last a long time	grupo	alternativoj	prononco
level	daŭri longe miasperte	durer longtemps selon mon expérience	to last long in my experience	grupo	alternativoj	prononco
level	ho ve!	Hélas!	alas!	grupo	alternativoj	prononco
level	ĉu tio estas la vico por la akceptejo?	est-ce la ligne pour la réception ?	is that the line for the reception?	grupo	alternativoj	prononco
level	mi timas ke jes	j'ai peur que oui	I'm afraid so	grupo	alternativoj	prononco
level	ne estas tute perfekte fari ~	ce n'est pas tout à fait parfait de faire ~	to do ~ is not totally perfect	grupo	alternativoj	prononco
level	tute perfekte alveni vespere	totalement parfait pour arriver le soir	is totally perfect to arrive in the evening	grupo	alternativoj	prononco
level	ni povas babili kun homoj	nous pouvons discuter avec les gens	we can chat with people	grupo	alternativoj	prononco
level	sed ni povas babili kun homoj en la vico	mais nous pouvons discuter avec les gens dans la file d'attente	but we can chat with people in line	grupo	alternativoj	prononco
level	jen, mi vidas amikon de rusio!	voici, je vois un ami de la Russie !	behold, I see a friend of Russia!	grupo	alternativoj	prononco
level	mi estas malsata, mi volas manĝi	J'ai faim, je veux manger	I'm hungry, I want to eat	grupo	alternativoj	prononco
level	post ĉirkaŭ 2 horoj	après environ 2 heures	after about 2 hours	grupo	alternativoj	prononco
level	en la vico kun novaj kaj malnovaj amikoj	dans la file avec de nouveaux et anciens amis	in line with new and old friends	grupo	alternativoj	prononco
level	LKK (Loka Kongresa Komitato)	CLC (Comité Local de Congrès)	local congress commitee	grupo	alternativoj	prononco
level	LKK-ano	un membre du Comité Local de Congrès	a member in the local congress commitee	grupo	alternativoj	prononco
level	bonvenon, kiu vi estas?	bienvenue, qui es-tu ?	welcome, who are you?	grupo	alternativoj	prononco
level	de kiu lando?	de quel pays?	from which country?	grupo	alternativoj	prononco
level	ĉu vi antaŭpagis?	avez-vous payé d'avance ?	did you prepay?	grupo	alternativoj	prononco
level	bonvolu montri	s'il vous plaît montrez	please show	grupo	alternativoj	prononco
level	se jes, bonvolu montri la kvitancon	si oui, veuillez montrer le reçu	if so, please show the receipt	grupo	alternativoj	prononco
level	ĉu vi estas TEJO-membro?	Êtes-vous membre de TEJO?	are you a member of TEJO?	grupo	alternativoj	prononco
level	membriĝi ĉe la budo	s'inscrire au stand	to become a member at a booth	grupo	alternativoj	prononco
level	se ne, vi povas membriĝi ĉe la venonta budo	sinon, vous pouvez vous inscrire au prochain stand	if not, you can join at the next booth	grupo	alternativoj	prononco
level	jen kvitancoj de antaŭpagoj	voici les reçus des acomptes	here are receipts of advance payments	grupo	alternativoj	prononco
level	membrokartoj kaj niaj pasportoj	cartes de membres et nos passeports	membership cards and our passports	grupo	alternativoj	prononco
level	tre bone	très bien	very good	grupo	alternativoj	prononco
level	do, mi vidas ke vi loĝos en amasloĝejo	donc, je vois que tu vivras dans un hébergement de masse (crash space)	so, I see you will live in a mass-lodging (crash space)	grupo	alternativoj	prononco
level	kaj manĝos en la junulargastejo	et je mangerai à l'auberge de jeunesse	and will eat in the youth hostel	grupo	alternativoj	prononco
level	ĉu ĝustas tiuj informoj?	ces informations sont-elles correctes ?	are those information correct?	grupo	alternativoj	prononco
level	jes, perfekte	Oui parfait	yes, perfect	grupo	alternativoj	prononco
level	sako kun programo, mapo ktp	un sac avec un programme, une carte etc	a bag with program, map etc	grupo	alternativoj	prononco
level	vi povas pagi kaj ricevi sakon kun programo, mapo ktp	vous pouvez payer et recevoir un sac avec un programme, une carte etc	you can pay and receive a bag with program, map etc	grupo	alternativoj	prononco
level	ĉe la ruĝa budo, tie	au stand rouge, là	at the red booth, there	grupo	alternativoj	prononco
level	bone, dankon	bien, merci	good, thank you	grupo	alternativoj	prononco
level	aspektas laca sed sana	a l'air fatigué mais en bonne santé	looks tired but healthy	grupo	alternativoj	prononco
level	tiuj personoj vere aspektis lacaj	ces gens avaient vraiment l'air fatigués	those people really looked tired	grupo	alternativoj	prononco
level	kaj ne estis tre afablaj	et n'étaient pas très gentils	and were not very kind	grupo	alternativoj	prononco
level	vi pravas	tu as raison	you are right	grupo	alternativoj	prononco
level	sed memoru ke ~	mais souviens-toi que ~	but remember that ~	grupo	alternativoj	prononco
level	laboras dum ok horoj	travaille pendant 8 heures	are working for 8 hours	grupo	alternativoj	prononco
level	la LKK laboras jam dum eble ok horoj	le CLC travaille déjà depuis peut-être huit heures	the LKK has been working for maybe eight hours	grupo	alternativoj	prononco
level	sen multe da paŭzoj	sans trop de pause	without much pause	grupo	alternativoj	prononco
level	sed memoru ke la LKK laboras sen paŭzoj	mais rappelez-vous que le CLC fonctionne sans interruption	but remember that the LKK works without breaks	grupo	alternativoj	prononco
level	babilema dum la semajno	bavard pendant la semaine	chatty during the week	grupo	alternativoj	prononco
level	mi certas ke ~	Je suis sûr que ~	I'm sure that ~	grupo	alternativoj	prononco
level	mi certas ke ili estos pli afablaj	Je suis sûr qu'ils seront plus gentils	I'm sure they'll be kinder	grupo	alternativoj	prononco
level	ili estos pli afablaj kaj babilemaj	ils seront plus gentils et plus bavards	they will be kinder and more talkative	grupo	alternativoj	prononco
level	ni trovu ĝin	trouvons-le	let's find it	grupo	alternativoj	prononco
level	bone, nun ni trovu la amasloĝejon	eh bien, trouvons maintenant le lieu d'hébergement collectif	well, now let's find the mass-lodging place	grupo	alternativoj	prononco
level	kaj poste mi ŝatus ion manĝi	et ensuite j'aimerais manger quelque chose	and then I would like something to eat	grupo	alternativoj	prononco
level	ĉu vi vidis la knabinon ĉe la TEJO-budo?	as-tu vu la fille au stand de TEJO ?	did you see the girl at the TEJO booth?	grupo	alternativoj	prononco
level	jes, kio pri ŝi?	Oui, qu'en est-il d'elle ?	yes, what about her?	grupo	alternativoj	prononco
level	ĉu vi konas ŝin?	Est-ce que tu la connais?	do you know her?	grupo	alternativoj	prononco
level	bedaŭrinde ne	Malheureusement non	unfortunately no	grupo	alternativoj	prononco
level	sed ŝi estas ege bela, ĉu ne?	mais elle est très jolie, n'est-ce pas ?	but she's very pretty, isn't she?	grupo	alternativoj	prononco
level	mi konsentas	Je suis d'accord	I agree	grupo	alternativoj	prononco
level	tamen ne bone komprenas	mais ne comprend pas bien	however does not understand well	grupo	alternativoj	prononco
level	mi konsentas tamen ne komprenas	Je suis d'accord mais je ne comprends pas	I agree but I don't understand	grupo	alternativoj	prononco
level	ĉu al vi plaĉas inoj?	Est-ce que tu aimes les femmes ?	do you like females?	grupo	alternativoj	prononco
level	jes, mi volis diri al vi antaŭe	oui, je voulais te le dire avant	yes, I want tell you before	grupo	alternativoj	prononco
level	sed ial ne faris	mais pour une raison quelconque, je ne l'ai pas fait	but for some reason did not	grupo	alternativoj	prononco
level	virinoj plaĉas al mi pli ol viroj	Les femmes me plaisent plus que les hommes	virinoj plaĉas al mi pli ol viroj	grupo	alternativoj	prononco
level	aspekte ktp	aspect, etc.	aspect etc	grupo	alternativoj	prononco
level	ĉu, ĉu vi estas ?	es-tu, es-tu ?	are you, are you?	grupo	alternativoj	prononco
level	jes, mi estas samseksemulo	oui, je suis homosexuel	yes, I am a homosexual	grupo	alternativoj	prononco
level	oni ankaŭ povas diri lesbo	on peut aussi dire lesbienne	one can also say lesbian	grupo	alternativoj	prononco
level	bone, mi tute ne sciis	eh bien, je ne savais pas du tout	well, I didn't know at all	grupo	alternativoj	prononco
level	sed mi ĝojas ke vi diris	mais je suis content que tu aies dit	but I'm glad you said	grupo	alternativoj	prononco
level	fakte mi ankaŭ ĝojas ke vi estas samseksemulo	en fait je suis content que tu sois homosexuel	in fact I am glad that you are a homosexual	grupo	alternativoj	prononco
level	vi estas la plej afabla kaj agrabla lesbo	tu es la lesbienne la plus gentille et la plus aimable	you are the kindest and nicest lesbian	grupo	alternativoj	prononco
level	la plej agrabla lesbo kiun mi konas	la plus aimable lesbienne que je connaisse	the nicest lesbian I know	grupo	alternativoj	prononco
level	dankon! ĉu vi konas aliajn?	merci! en connaissez-vous d'autres ?	thank you! do you know others?	grupo	alternativoj	prononco
level	sed kiel vi scias tion?	mais comment le sais-tu ?	but how do you know that?	grupo	alternativoj	prononco
level	tiu knabino preferas virojn!	cette fille préfère les hommes !	that girl prefers men!	grupo	alternativoj	prononco
level	ĉiukaze mi kredas ke tiu knabino preferas virojn!	en tout cas je crois que cette fille préfère les hommes !	in any case I believe that girl prefer men!	grupo	alternativoj	prononco
level	tiu knabino pri kiu vi parolis	cette fille dont tu parlais	that girl whom you were talking about	grupo	alternativoj	prononco
level	ni vidos	nous verrons	we'll see	grupo	alternativoj	prononco
level	en la amasloĝejo	dans le lieu d'hébergement de masse (un crash space)	in the mass lodging place (a crash space)	grupo	alternativoj	prononco
level	bonan matenon!	bonjour!	good morning!	grupo	alternativoj	prononco
level	ĉu vi bone dormis?	avez-vous bien dormi?	did you sleep well?	grupo	alternativoj	prononco
level	apenaŭ vidas	je vois à peine	hardly see	grupo	alternativoj	prononco
level	male, mi apenaŭ dormis	au contraire, j'arrivais à peine à dormir	on the contrary, I could hardly sleep	grupo	alternativoj	prononco
level	sed kial?	mais pourquoi?	but why?	grupo	alternativoj	prononco
level	eble vi estis nervoza pri via unua IJK-tago?	Peut-être que tu étais nerveux pour ta première journée à l'IJK ?	maybe you were nervous about your first IJK day?	grupo	alternativoj	prononco
level	ne vere	pas vraiment	not really	grupo	alternativoj	prononco
level	la tutan nokton, dum la tuta nokto	toute la nuit, pendant toute la nuit	all night, all night long	grupo	alternativoj	prononco
level	tre laŭte ronkis	a ronflé très fort	snored very loudly	grupo	alternativoj	prononco
level	simple iu tre laŭte ronkis la tutan nokton	juste quelqu'un a ronflé très fort toute la nuit	just someone snored very loudly all night	grupo	alternativoj	prononco
level	ne ĝenu min	ne me dérange pas	don't bother me	grupo	alternativoj	prononco
level	kaj tio ege ĝenis min	et ça m'a beaucoup dérangé	and that bothered me greatly	grupo	alternativoj	prononco
level	ĉu vi ne aŭdis tion?	tu n'as pas entendu ça	didn't you hear that	grupo	alternativoj	prononco
level	tute ne, mi profunde dormis	pas du tout, j'ai dormi profondément	not at all, I slept deeply	grupo	alternativoj	prononco
level	ĉu mi forgesis diri al vi ke ~?	ai-je oublié de te dire que ~?	did I forget to tell you that ~?	grupo	alternativoj	prononco
level	orelo, ŝtopi, orelŝtopiloj	oreille, boucher, bouchons d'oreilles	ear, to plug, ear plugs	grupo	alternativoj	prononco
level	indas uzi orelŝtopilojn	ça vaut la peine d'utiliser des bouchons d'oreilles	it is worth using earplugs	grupo	alternativoj	prononco
level	indas uzi ~	ça vaut la peine d'être utilisé ~	is worth using ~	grupo	alternativoj	prononco
level	diris al vi ke indas uzi orelŝtopilojn	t'a dit que ça valait la peine d'utiliser des bouchons d'oreilles	told you it's worth using earplugs	grupo	alternativoj	prononco
level	kiam vi dormas en amasloĝejo	quand tu dors dans un hébergement de masse (accident place)	when you sleep at a mass lodging (crash place)	grupo	alternativoj	prononco
level	evidente jes	évidemment oui	obviously yes	grupo	alternativoj	prononco
level	ho, kompatinda Kaĉjo!	oh, pauvre Katty !	oh, poor Katty!	grupo	alternativoj	prononco
level	pri kiu vi parolas?	de qui parles-tu?	who are you talking about?	grupo	alternativoj	prononco
level	pri vi	au propos de vous	about you	grupo	alternativoj	prononco
level	karesi, karesa nomo, karesnomo	caresser, nom de carresse, surnom	to caress, caressing name, nickname	grupo	alternativoj	prononco
level	per -ĉjo aŭ -njo eblas krei karesnomojn en Esperanto	avec -ĉjo ou -njo, il est possible de créer des surnoms en espéranto	with -ĉjo or -njo, it is possible to create nicknames in Esperanto	grupo	alternativoj	prononco
level	ha, jes, mi iam legis pri tio	ah, oui, j'ai déjà lu à ce sujet	ah, yes, I once read about it	grupo	alternativoj	prononco
level	kaj vi do estus Injo?	et alors tu serais Injo ?	and then you would be Injo?	grupo	alternativoj	prononco
level	se vi volas iri tien	si tu veux y aller	if you want go there	grupo	alternativoj	prononco
level	kioma horo estas nun?	quelle heure est-il maintenant?	what time is it now?	grupo	alternativoj	prononco
level	jam estas kvin minutoj antaŭ la deka	il est déjà dix heures moins cinq	it's already five minutes to ten	grupo	alternativoj	prononco
level	kvin minutoj antaŭ la deka, aŭ naŭa kvindek kvin	dix heures moins cinq ou neuf heures cinquante-cinq	five minutes before ten, or nine fifty-five	grupo	alternativoj	prononco
level	trafis aŭ maltrafis?	touché ou raté ?	hit or missed?	grupo	alternativoj	prononco
level	vi maltrafis la matenmanĝon	tu as raté le petit déjeuner	you missed breakfast	grupo	alternativoj	prononco
level	o, fek!	Oh merde!	oh, shit!	grupo	alternativoj	prononco
level	ĉu vi estas sata?	es-tu rassasié?	are you satisfied ?	grupo	alternativoj	prononco
