A.zh-cn content.tsv
Level	Esperanto	zh-cn	en-us	Grupo	Alternativoj	Pronoco
level	ankaŭ mi ricevis	我也收到了	I also received	grupo	alternativoj	prononco
level	devas fermi	必须关闭	has to close	grupo	alternativoj	prononco
level	mi devas bone fermi	我必须好好关闭	I have to close well	grupo	alternativoj	prononco
level	bone fermis la pordon	把门关紧	closed the door tightly	grupo	alternativoj	prononco
level	trankvila, trankviliĝu	冷静，冷静	calm, calm down	grupo	alternativoj	prononco
level	aŭdis sed ne aŭskultis	听到但没听	heard but did not listen	grupo	alternativoj	prononco
level	aŭdis trankvilan sonon	听到平静的声音	heard a calm sound	grupo	alternativoj	prononco
level	ĉe mi estis kvar poŝoj	对我来说，有 4 个口袋	at me, there are 4 pockets	grupo	alternativoj	prononco
level	dek tagoj post la lasta leciono	上一课后十天	ten days after the last lesson	grupo	alternativoj	prononco
level	inter la du tabloj	两张桌子之间	between the two tables	grupo	alternativoj	prononco
level	tri leteroj, ses paperoj	三封信，六篇论文	three letters, six papers	grupo	alternativoj	prononco
level	de kapo ĝis piedo	从头到脚	from head to foot	grupo	alternativoj	prononco
level	kvar, kvara, kvaropo, kvarono	四、第四、四重奏、四分之一	four, fourth, a quartet, a quarter	grupo	alternativoj	prononco
level	kien iris la triopo?	三人去哪儿了	where did the trio go	grupo	alternativoj	prononco
level	kvin fingroj en ambaŭaj manoj	双手五个手指	five fingers in both hands	grupo	alternativoj	prononco
level	si mem, sia poŝo	自己掏腰包	by oneself, one's own pocket	grupo	alternativoj	prononco
level	meti, kunmeti, kunmetaĵo	把，放在一起，化合物	put, put together, a compound	grupo	alternativoj	prononco
level	metis en sian poŝon	放进自己的口袋	put in one's own pocket	grupo	alternativoj	prononco
level	du cent nacioj en la mondo	世界上两百个国家	two hundred nations in the world	grupo	alternativoj	prononco
level	prenis, forprenis	拿走，拿走	took, took away	grupo	alternativoj	prononco
level	prenis sep el siaj naŭ libroj	从他自己的九本书中拿走了七本	took seven out of his own nine books	grupo	alternativoj	prononco
level	lasi, forlasita	离开，被遗弃	to leave, abandoned	grupo	alternativoj	prononco
level	lasu min sola kaj trankvila	让我一个人安静	leave me alone and calm	grupo	alternativoj	prononco
level	mil ok cent ok dek sep	一千八百八十七 (1887)	thousand eight hundred and eighty seven (1887)	grupo	alternativoj	prononco
level	taso da teo	一杯茶	a cup of tea	grupo	alternativoj	prononco
level	oni lavis ok tasojn	有人洗了八个杯子	somebody washed eight cups	grupo	alternativoj	prononco
level	du mil dek naŭ	2019 (2019)	two thousand nineteen (2019)	grupo	alternativoj	prononco
level	li lavis sin	他自己洗了	he washed himself	grupo	alternativoj	prononco
level	sia korpo, sia propra posedo	自己的身体，自己的财产	one's body, one's own possession	grupo	alternativoj	prononco
level	sur la tablo, la kato dormis	桌子上，猫睡着了	on the table, the cat slept	grupo	alternativoj	prononco
level	la kato saltis sur la tablon	猫跳到桌子上	the cat jumped onto the table	grupo	alternativoj	prononco
level	en la halo, en la halon	大厅里，大厅里	in the hall, into the hall	grupo	alternativoj	prononco
level	enfalis en lian manon	落到他手里	fell into his hand	grupo	alternativoj	prononco
level	labori, ellabori	去工作，去详细说明	to work, to elaborate	grupo	alternativoj	prononco
level	ellabori por tiu libro	详细说明那本书	to elaborate for that book	grupo	alternativoj	prononco
level	scias, scivolas, scivolo	知道、想知道、好奇	knows, wants to know, curiosity	grupo	alternativoj	prononco
level	dulingva, dulingveco	双语的，双语的	bilingual, bilingualism	grupo	alternativoj	prononco
level	scivolas pri trilingva lernanto	对三语学习者感到好奇	wonders about a trilingual learner	grupo	alternativoj	prononco
level	iris, reiris	去了，回来了	went, returned	grupo	alternativoj	prononco
level	la katoj reiris al siaj domoj	猫们回到了自己的家	the cats returned to their (own) homes	grupo	alternativoj	prononco
level	en la sako, en la sakon	在袋子里，在袋子里	in the bag, into the bag	grupo	alternativoj	prononco
level	enmetu ĝin en vian sakon	把它放进你的包里	put it into your bag	grupo	alternativoj	prononco
level	piedo, piediras, piediranto	一只脚，步行，行人	a foot, walks, a pedestrian	grupo	alternativoj	prononco
level	dek-tage ili piediris	他们走了十天	for ten days, they walked	grupo	alternativoj	prononco
level	preni, elpreni	拿走，取出	to take, to take out	grupo	alternativoj	prononco
level	belaj floroj, prenis belajn florojn	美丽的花，美丽的花	beautiful flowers, took beautiful flowers	grupo	alternativoj	prononco
level	li elprenis nur belajn florojn	他只拿出美丽的花	he took out only beautiful flowers	grupo	alternativoj	prononco
level	malfermis, sed tuj fermis	打开，但立即关闭	opened, but immediately closed	grupo	alternativoj	prononco
level	malfermis internacian kunvenon	召开国际会议	opened an international meeting	grupo	alternativoj	prononco
level	eldonis kaj disdonis	出版和发行	published and distributed	grupo	alternativoj	prononco
level	la eldonisto eldonis dudek tri librojn	出版商出版了二十三本书	the publisher published twenty-three books	grupo	alternativoj	prononco
level	revenis kaj revidis sian filon	回来又见到了自己的儿子	returned and saw one's own son again	grupo	alternativoj	prononco
level	en la jaro dumil dudek tri	2023年（2023年）	in the year two thousand and twenty three (2023)	grupo	alternativoj	prononco
level	sinjoro eniris la vendejon	一位绅士进入了商店	a gentleman entered (into) the store	grupo	alternativoj	prononco
level	la vendejo de aŭtoj	汽车商店	the store of cars	grupo	alternativoj	prononco
level	tie li vidas sinjorinon	他在那里看到一位女士	there he sees a lady	grupo	alternativoj	prononco
level	karaj gesinjoroj	亲爱的女士们，先生们	dear ladies and gentlemen	grupo	alternativoj	prononco
level	tio plaĉis al mi	这让我很高兴（我喜欢）	that pleased me (I like that)	grupo	alternativoj	prononco
level	la sinjorino plaĉis al li	这位女士令他高兴（他喜欢这位女士）	the lady pleased him (he liked the lady)	grupo	alternativoj	prononco
level	vidis la belan sinjorinon	看到了那位美丽的女士	saw the beautiful lady	grupo	alternativoj	prononco
level	kiu plaĉis al li?	谁让他高兴了？ （他喜欢谁？）	who pleased him? (whom did he like?)	grupo	alternativoj	prononco
level	la virino, kiu plaĉis al mi	那个让我高兴的女人	the woman, who pleased me	grupo	alternativoj	prononco
level	tiu, kiu eniris la domon	进屋的人	the one who entered the house	grupo	alternativoj	prononco
level	la viro, kiu donacis ĝin	捐赠者	the man who donated it	grupo	alternativoj	prononco
level	li donacis ringon al lia edzino	他给了他妻子一枚戒指	he gave a ring to his wife	grupo	alternativoj	prononco
level	la ringo plaĉis al ŝi	她喜欢这枚戒指	she liked the ring	grupo	alternativoj	prononco
level	la edzino, al kiu la ringo plaĉis	喜欢这枚戒指的妻子	the wife who liked the ring	grupo	alternativoj	prononco
level	vendisto laboras en la vendejo	一名推销员在商店工作	a salesman works in the store	grupo	alternativoj	prononco
level	vendisto de aŭtoj	汽车推销员	a salesman of cars	grupo	alternativoj	prononco
level	la sinjoro demandis al la vendisto	这位先生问推销员	the gentleman asked the salesman	grupo	alternativoj	prononco
level	kiu aŭto plaĉas al vi?	你喜欢哪辆车？	which car do you like?	grupo	alternativoj	prononco
level	kiun aŭton vi elektos?	你会选择哪辆车？	which car will you choose?	grupo	alternativoj	prononco
level	mi elektis tiun aŭton	我选择了那辆车	I chose that car	grupo	alternativoj	prononco
level	ĝi estas pli bona	这个比较好	it is better	grupo	alternativoj	prononco
level	pli bona ol ĉi tio	比这个更好	better than this	grupo	alternativoj	prononco
level	plej bona el ili	其中最好的	best of them	grupo	alternativoj	prononco
level	estas la plej bona	是最好的	is the best	grupo	alternativoj	prononco
level	kiu aŭto estas la plej bona?	哪辆车最好？	which car is the best?	grupo	alternativoj	prononco
level	tiu ĉi aŭto estas pli bona	这辆车更好	this car is better	grupo	alternativoj	prononco
level	tiu ĉi estas la plej bona	这是最好的	this one is the best	grupo	alternativoj	prononco
level	vidis ĉiujn aŭtojn	看到了所有的车	saw all the cars	grupo	alternativoj	prononco
level	la plej bona el ĉiuj	最好的	the best of all	grupo	alternativoj	prononco
level	ĉu ĝi estas rapida?	快吗？	is it fast?	grupo	alternativoj	prononco
level	pli rapida ol aliaj	比别人快	faster than others	grupo	alternativoj	prononco
level	estas ankaŭ forta	也很强	is also strong	grupo	alternativoj	prononco
level	ho jes, kompreneble!	哦，是的，当然！	oh yes, of course!	grupo	alternativoj	prononco
level	estas tre forta	非常强	is very strong	grupo	alternativoj	prononco
level	certe ĝi estas forta	当然它很强大	certainly it is strong	grupo	alternativoj	prononco
level	estas ankaŭ multekosta	也很贵	is also expensive	grupo	alternativoj	prononco
level	la plej multekosta el ĉiuj	最贵的	the most expensive of all	grupo	alternativoj	prononco
level	malmultekosta sed forta	便宜但坚固	cheap but strong	grupo	alternativoj	prononco
level	bedaŭras kaj bedaŭrindas	感到遗憾和可怜（值得感到遗憾）	feels sorry and is pityful (worth feeling sorry)	grupo	alternativoj	prononco
level	bedaŭrinde mi ne aĉetos	不幸的是我不会买	unfortunately I will not buy	grupo	alternativoj	prononco
level	estas bedaŭrinda afero	是一件不幸的事	is an unfortunate thing	grupo	alternativoj	prononco
level	li aĉetis novan aŭton	他买了一辆新车	he bought a new car	grupo	alternativoj	prononco
level	ĉar mi ne havas monon	因为我没有钱	because I do not have money	grupo	alternativoj	prononco
level	mia malnova aŭto	我的旧车	my old car	grupo	alternativoj	prononco
level	la plej malmultekosta el ĉiuj	最便宜的	the cheapest of all	grupo	alternativoj	prononco
level	mi veturos tien	我会开车去那里	I'll drive there	grupo	alternativoj	prononco
level	ankoraŭ veturos per ĝi	仍会驾驶它	will still drive with it	grupo	alternativoj	prononco
level	dum la tuta tago	整天	all day long	grupo	alternativoj	prononco
level	dum li diris tion	当他这么说的时候	while he said that	grupo	alternativoj	prononco
level	li denove rigardis ŝin	他又看了她一眼	he looked at her again	grupo	alternativoj	prononco
level	sed la vendisto diris	但推销员说	but the salesman said	grupo	alternativoj	prononco
level	estus pli bone, ke ~	那就更好了~	it would be better that ~	grupo	alternativoj	prononco
level	rigardu tiun ĉi sinjorinon	看看这位女士	look at this lady	grupo	alternativoj	prononco
level	ankaŭ tio estas tre multekosta	那也很贵	that is also very expensive	grupo	alternativoj	prononco
level	mi estas ŝia edzo	我是她丈夫	I am her husband	grupo	alternativoj	prononco
level	kiom via vojaĝo kostis?	你的旅行花了多少钱？	how much did your trip cost?	grupo	alternativoj	prononco
level	aŭskultu la kanton de via edzino	听你妻子的歌	listen to your wife's song	grupo	alternativoj	prononco
level	ne forgesu, ke ĝi tre multe kostas	别忘了这要花很多钱	don’t forget that it costs a lot	grupo	alternativoj	prononco
level	li helpis la vendiston dum du horoj	他帮助推销员两个小时	he helped the salesman for two hours	grupo	alternativoj	prononco
level	jam pli ol tri jaroj	三年多	for more than three years	grupo	alternativoj	prononco
level	kovri, kovrilo, malkovri	覆盖，覆盖，揭开（发现）	cover, cover, uncover (discover)	grupo	alternativoj	prononco
level	la kialon li ankoraŭ ne malkovris	他还没有发现的原因	the reason he has not yet discovered	grupo	alternativoj	prononco
level	kial vi komencis sendi leterojn?	你为什么开始寄信？	why did you start sending letters?	grupo	alternativoj	prononco
level	dum ok monatoj li vivis tie	他在那里住了八个月	for eight months he lived there	grupo	alternativoj	prononco
level	ne havis tempon por aŭskulti	没时间听	didn't have time to listen	grupo	alternativoj	prononco
level	la aŭto estis jam plena	车已经满了	the car was already full	grupo	alternativoj	prononco
level	kion vi manĝas?	你在吃什么	what are you eating	grupo	alternativoj	prononco
level	kia estas la vetero?	天气如何？	what's the weather like?	grupo	alternativoj	prononco
level	kian aŭton vi havas?	你有什么类型的车？	what kind of car do you have?	grupo	alternativoj	prononco
level	kiaj estis ŝiaj leteroj?	她的信是什么样的？	what were her letters like?	grupo	alternativoj	prononco
level	kie ni estas?	我们在哪里？	where are we?	grupo	alternativoj	prononco
level	kien vi iras?	你去哪儿？	where are you going to?	grupo	alternativoj	prononco
level	al kiu vi donis ĝin?	你把它给了谁？	to whom did you give it?	grupo	alternativoj	prononco
level	la viro, kun kiu vi vojaĝis	和你一起旅行的男人	the man whom you traveled with	grupo	alternativoj	prononco
level	pli granda ol la aŭto	比汽车大	bigger than the car	grupo	alternativoj	prononco
level	la plej alta el tiuj homoj	这些人中最高的	the tallest of those people	grupo	alternativoj	prononco
level	li sidis dum la manĝo	他正坐着吃晚饭	he was sitting at dinner	grupo	alternativoj	prononco
level	ŝi skribas dum li legas	他读书时她写作	she writes while he reads	grupo	alternativoj	prononco
level	ĉi tie, en ĉi tiu ĉambro	在这里，在这个房间里	here, in this room	grupo	alternativoj	prononco
level	tiu ĉi sinjoro	这位先生	this gentleman	grupo	alternativoj	prononco
level	aŭskultinda novaĵo	值得一听的新闻	a news worth listening	grupo	alternativoj	prononco
level	la libro estas vere leginda	这本书确实值得一读	the book is really worth reading	grupo	alternativoj	prononco
level	bedaŭra afero	一件不幸的事	an unfortunate thing	grupo	alternativoj	prononco
level	bedaŭrinde, mi ne povas	不幸的是，我不能	unfortunately, I can't	grupo	alternativoj	prononco
level	nedankinde. estis mia plezuro	不客气。这是我的荣幸	you are welcome. it was my pleasure	grupo	alternativoj	prononco
level	eta belulino ege belas	小美女很漂亮	small pretty girl is very beautiful	grupo	alternativoj	prononco
level	ĉiuj amikoj amas ŝin	所有的朋友都爱她	all friends love her	grupo	alternativoj	prononco
level	antaŭ tri monatoj	三个月前	three months ago	grupo	alternativoj	prononco
level	okazis malbono al ŝi	她发生了一些不好的事	something bad happened to her	grupo	alternativoj	prononco
level	ŝi falis pro aŭto	她因为汽车摔倒了	she fell because of a car	grupo	alternativoj	prononco
level	malsaniĝis kaj temperaturo altiĝis	生病了，体温升高	became ill and temperature rose	grupo	alternativoj	prononco
level	patrino diris, ke ŝi devas ripozi	妈妈说她该休息了	mother said she should rest	grupo	alternativoj	prononco
level	ŝi devas resti hejme	她必须呆在家里	she has to stay home	grupo	alternativoj	prononco
level	ŝi vokos doktoron	她会打电话给医生	she will call a doctor	grupo	alternativoj	prononco
level	je la naŭa horo	九点钟	at nine o'clock	grupo	alternativoj	prononco
level	matene venis je la oka	早上八点钟来	in the morning came at eight o'clock	grupo	alternativoj	prononco
level	je la sepa morgaŭ vespere	明天晚上七点	at seven tomorrow evening	grupo	alternativoj	prononco
level	montris liajn manojn	展示了他的双手	showed his hands	grupo	alternativoj	prononco
level	vesto, vestiĝas	衣服，正在穿衣服	dress, is getting dressed	grupo	alternativoj	prononco
level	vestiĝu kaj varmigu vian korpon	穿好衣服并温暖身体	get dressed and warm your body	grupo	alternativoj	prononco
level	hejme tuj malvestis kaj duŝis	回到家立刻脱衣服洗澡	at home immediately undressed and showered	grupo	alternativoj	prononco
level	doktoro rigardis ĉion	医生检查了一切	a doctor looked at everything	grupo	alternativoj	prononco
level	bone rigardis kaj fine diris	看透了最后说	looked throughly and finally said	grupo	alternativoj	prononco
level	unu semajnon restu hejme	在家待一周	stay home for a week	grupo	alternativoj	prononco
level	deziras, ke vi estu trankvila	希望你冷静	wants you to be calm	grupo	alternativoj	prononco
level	post unu semajno	一星期后	after one week	grupo	alternativoj	prononco
level	vi fartos pli bone	你会感觉好点的	you will feel better	grupo	alternativoj	prononco
level	trinku multe da teo	多喝茶	drink plenty of tea	grupo	alternativoj	prononco
level	venos por revidi vin	会再次来看你	will come to see you again	grupo	alternativoj	prononco
level	ankaŭ li estu trankvila	让他也冷静	let him be calm too	grupo	alternativoj	prononco
level	sana homo, sanulo	健康的人，健康的人	healthy man, healthy person	grupo	alternativoj	prononco
level	zorgis pri si mem	照顾好自己	took care of oneself	grupo	alternativoj	prononco
level	tuta afero tuje utilis al mi	整件事立刻对我有用	the whole thing was useful to me at once	grupo	alternativoj	prononco
level	rimarkis, ke teruraĵo proksimas	注意到可怕的事情就在附近	noticed that horrible thing is near	grupo	alternativoj	prononco
level	petis tuj rimarki ĝin	要求立即注意	asked to notice it immediately	grupo	alternativoj	prononco
level	pensis, ke tio ne necesas	认为没有必要	thought that was not necessary	grupo	alternativoj	prononco
level	loĝis proksime, kaj tio utilis	住在附近，很有用	lived nearby, and that was useful	grupo	alternativoj	prononco
level	nia lando hodiaŭ teruriĝis	我们的国家今天变得恐惧	our country became terrified today	grupo	alternativoj	prononco
level	karaj infanoj el ĉiuj familioj	亲爱的所有家庭的孩子们	dear children from all families	grupo	alternativoj	prononco
level	unu fojon hieraŭ, du fojojn morgaŭ	昨天一次，明天两次	once yesterday, twice tomorrow	grupo	alternativoj	prononco
level	hodiaŭ familioj bezonas infanojn	今天的家庭需要孩子	today families need children	grupo	alternativoj	prononco
level	esperis, ke li fartos bone morgaŭ	希望他明天一切都好	hoped he would be well tomorrow	grupo	alternativoj	prononco
level	li fartis ege trankvila	他感觉（一直）非常平静	he was feeling (has been) very calm	grupo	alternativoj	prononco
level	tri etuloj altigis la monton	三个小家伙把山举起来	three little ones raised the mountain	grupo	alternativoj	prononco
level	gravuloj ne petis helpon	重要的人没有寻求帮助	important people did not ask for help	grupo	alternativoj	prononco
level	piediris tien por helpi	走到那里帮忙	walked there to help	grupo	alternativoj	prononco
level	restu hejme se temperaturo altas	如果温度高，请呆在家里	stay home if temperature is high	grupo	alternativoj	prononco
level	temperaturo restis simila hodiaŭ	今天气温保持相似	temperature remained similar today	grupo	alternativoj	prononco
level	voku la doktoron je la naŭa	九点打电话给医生	call the doctor at nine	grupo	alternativoj	prononco
level	montru ĝin al via doktoro	给你的医生看	show it to your doctor	grupo	alternativoj	prononco
level	por montri vian piedon	展示你的脚	to show your foot	grupo	alternativoj	prononco
level	vestu ĉi tiun ĉemizon	穿这件衬衫	wear this shirt	grupo	alternativoj	prononco
level	semajnfine ĉio trankviliĝos	周末一切都会平静下来	on the weekend everything will calm down	grupo	alternativoj	prononco
level	sub la te-taso kion vi trovis?	在茶杯下面你发现了什么？	under the tea-cup what did you find?	grupo	alternativoj	prononco
level	mi deziras matenan teon	我要早茶	I want morning tea	grupo	alternativoj	prononco
level	esperis trankvilan vesperon	希望有一个安静的夜晚	hoped for a quiet evening	grupo	alternativoj	prononco
level	deziras, ke vi lernu	希望你学习	wants that you learn	grupo	alternativoj	prononco
level	insistis, ke mi iru	坚持要我去	insisted that I go	grupo	alternativoj	prononco
level	je kioma horo?	什么时间？	at what hour?	grupo	alternativoj	prononco
level	je la sesa, li venos	六点他会来	at six he will come	grupo	alternativoj	prononco
level	la libreto estis ĉarma	歌词很迷人	the libretto was charming	grupo	alternativoj	prononco
level	estu trankvila	安静	be quiet	grupo	alternativoj	prononco
level	li estu trankvila	让他安静	let him be quiet	grupo	alternativoj	prononco
level	ankaŭ li	他也是	he too	grupo	alternativoj	prononco
level	mi deziras	我想要（欲望）	I want (desire)	grupo	alternativoj	prononco
level	mi deziras, ke ~	我希望（渴望）~	I wish (desire) that ~	grupo	alternativoj	prononco
level	ke vi lernu	你学到的	that you learn	grupo	alternativoj	prononco
level	mi deziras, ke vi lernu	我想让你学习	I want you to learn	grupo	alternativoj	prononco
level	patro insistas	父亲坚持	father insists	grupo	alternativoj	prononco
level	patro insistas, ke ~	爸爸坚持说~	father insists that ~	grupo	alternativoj	prononco
level	ke mi iru	我去	that I go	grupo	alternativoj	prononco
level	patro insistas, ke mi iru	父亲坚持要我去	father insists that I go	grupo	alternativoj	prononco
level	je kioma horo	什么时间	at what hour	grupo	alternativoj	prononco
level	je kioma horo vi venos?	你什么时候来？	what time do you come?	grupo	alternativoj	prononco
level	je la kvina	在五点钟）	at five (o'clock)	grupo	alternativoj	prononco
level	je la kvina horo	在五点钟	at five o'clock	grupo	alternativoj	prononco
level	kiel li fartas?	他怎么样？	how does he doing?	grupo	alternativoj	prononco
level	kiel vi fartis lastatempe?	你最近怎么样？	how have you been lately?	grupo	alternativoj	prononco
level	etaj libroj belas	小书很漂亮	little books are beautiful	grupo	alternativoj	prononco
level	libreto, belaj libroj	一本小册子，漂亮的书	a booklet, beautiful books	grupo	alternativoj	prononco
level	bela, beleta, belega	漂亮，有点漂亮，非常漂亮	beautiful, a little pretty, very beautiful	grupo	alternativoj	prononco
level	varma, varmeta, varmega	温暖、不冷不热、非常热	warm, lukewarm, very hot	grupo	alternativoj	prononco
level	librego, libreto	一本大书，一本小册子	a big book, a booklet	grupo	alternativoj	prononco
level	bona, bonega, bonege	好，很好，好	good, great, well	grupo	alternativoj	prononco
level	riĉa, riĉiĝi, riĉulo	有钱，变得有钱，成为有钱人	rich, become rich, a rich person	grupo	alternativoj	prononco
level	trankvila, trankviliĝi, trankviliĝu	冷静，冷静下来，冷静下来	calm, to calm down, calm down	grupo	alternativoj	prononco
level	sana, resaniĝi, resaniĝis	健康，痊愈，痊愈	healthy, to become healed, became healed	grupo	alternativoj	prononco
level	edzo, edziĝo, geedziĝis	丈夫、婚姻、已婚	a husband, marriage, married	grupo	alternativoj	prononco
level	leterportisto	一个信邮递员	a letter postman	grupo	alternativoj	prononco
level	hejmlando	一个祖国	a homeland	grupo	alternativoj	prononco
level	iom, iomete	有点，一点点	somewhat, a little	grupo	alternativoj	prononco
level	ni bonege vespermanĝis	我们吃了一顿丰盛的晚餐	we had a great dinner	grupo	alternativoj	prononco
level	espereble, prizorgu vin	希望，照顾好自己	hopefully, take care of yourself	grupo	alternativoj	prononco
level	mi zorgis pri la altkvalita loĝejo	我关心高品质的住房	I cared about the high-quality housing	grupo	alternativoj	prononco
level	pripensu dufoje, multfoje	三思而后行	think twice, many times	grupo	alternativoj	prononco
level	kiu deprenis la libreton?	谁拿走了小册子？	who took down the booklet?	grupo	alternativoj	prononco
level	kato, kiu nomiĝas Cezaro	一只名叫凯撒的猫	a cat named Caesar	grupo	alternativoj	prononco
level	kuko, kiu estas sur la tablo	桌子上的蛋糕	a cake which is on the table	grupo	alternativoj	prononco
level	manĝu kukon, kiu estas sur la tablo	吃桌上的蛋糕	eat a cake that is on the table	grupo	alternativoj	prononco
level	fariĝis varmega kaj ruĝiĝis	变得又热又红	became hot and blushed	grupo	alternativoj	prononco
level	patro volas, ke lia infano manĝu	父亲想让他的孩子吃饭	a father wants his child to eat	grupo	alternativoj	prononco
level	en malgranda ĉambro	在一个小房间里	in a small room	grupo	alternativoj	prononco
level	ni loĝas en ~	我们住在~	we live in ~	grupo	alternativoj	prononco
level	mi fariĝis maltrankvila	我变得焦虑起来	I became anxious	grupo	alternativoj	prononco
level	tiam, kiam mi vidis vin	当我看到你的时候	at that time when I saw you	grupo	alternativoj	prononco
level	ĉiuj rimarkis tion	大家都注意到了	everyone noticed that	grupo	alternativoj	prononco
level	tion, ke ŝi estas belega	她很漂亮的事实	the fact that she is beautiful	grupo	alternativoj	prononco
level	ĉu vi deziras, ke ~ ?	你想要那个吗~？ （德兹里）	do you want that ~ ? (deziri)	grupo	alternativoj	prononco
level	ke mi montru al vi	我可以给你看	that I may show you	grupo	alternativoj	prononco
level	ĉu vi deziras, ke mi montru?	你想让我展示吗？	do you want me to show?	grupo	alternativoj	prononco
level	mian plej novan libron	我的最新书（目标）	my newest book (objective)	grupo	alternativoj	prononco
level	morgaŭ matene, kion vi volas?	明天早上，你想要什么？	tomorrow morning, what do you want?	grupo	alternativoj	prononco
level	matenmanĝis malfrue	吃早饭晚了	had breakfast late	grupo	alternativoj	prononco
level	kiam Marko alvenos?	马克什么时候到达？	when will Mark arrive?	grupo	alternativoj	prononco
level	je la kvina aŭ je la oka horo	五点或八点钟	at five or eight o'clock	grupo	alternativoj	prononco
level	kiam vi rimarkis, ke ~ ?	你什么时候注意到的~？	when did you notice that ~ ?	grupo	alternativoj	prononco
level	la tuta familio nomas min bonfarulo	全家人都称我为恩人	the whole family calls me a benefactor	grupo	alternativoj	prononco
level	utila por vi	对你有用	useful for you	grupo	alternativoj	prononco
level	ĉu la libreto estis utila?	这本小册子有用吗？	was the booklet useful?	grupo	alternativoj	prononco
level	tiu libreto, kiun mi sendis	我寄出的小册子	the booklet, which I sent	grupo	alternativoj	prononco
level	matene dormis tre longe	早上睡了很长时间	in the morning slept for a long time	grupo	alternativoj	prononco
level	kiam li vidis la sunon	当他看到太阳时	when he saw the sun	grupo	alternativoj	prononco
level	subite li eksaltis	突然他跳了起来	suddenly he jumped up	grupo	alternativoj	prononco
level	li estis ĉiam frua	他总是很早	he was always early	grupo	alternativoj	prononco
level	ĉiam li malfruas	他总是迟到	he is always late	grupo	alternativoj	prononco
level	tiam, kiam li devas iri	那时，当他必须走的时候	at that time, when he has to go	grupo	alternativoj	prononco
level	iri al la lernejo	去学校	to go to the school	grupo	alternativoj	prononco
level	li scias, ke ~	他知道，那个~	he knows, that ~	grupo	alternativoj	prononco
level	li scias tion, ke ~	他知道这个事实，那就是~	he knows the fact, that ~	grupo	alternativoj	prononco
level	tion, ke la instruisto malŝatas abelon	事实上老师讨厌蜜蜂	the fact that the teacher hates bees	grupo	alternativoj	prononco
level	scias tion, ke la instruisto malŝatas abelon	知道老师讨厌蜜蜂这一事实	knows the fact that the teacher hates bees	grupo	alternativoj	prononco
level	scias, ke la instruisto malŝatas tion	知道老师讨厌这样	knows that the teacher hates that	grupo	alternativoj	prononco
level	sed hodiaŭ li trinkis la kafon	但今天他喝了咖啡	but today he drank the coffee	grupo	alternativoj	prononco
level	li rapide surmetas la vestaĵon	他迅速穿上衣服	he quickly puts on the clothes	grupo	alternativoj	prononco
level	li ne volas malfrui	他不想迟到	he doesn't want to be late	grupo	alternativoj	prononco
level	rapidege kun la libroj en la mano	手上的书很快	very quickly with the books in hand	grupo	alternativoj	prononco
level	poste li kuris kaj saltis	后来他又跑又跳	later he ran and jumped	grupo	alternativoj	prononco
level	li kuris kaj saltis	他又跑又跳	he ran and jumped	grupo	alternativoj	prononco
level	laŭ la strato	沿着街道	along the street	grupo	alternativoj	prononco
level	la homoj rigardis lin	人们看着他	the people looked at him	grupo	alternativoj	prononco
level	rigardis lin kaj diris	看着他说	looked at him and said	grupo	alternativoj	prononco
level	saĝa kaj malsaĝa	聪明又愚蠢	wise and foolish	grupo	alternativoj	prononco
level	kia malsaĝa knabo!	多么愚蠢的孩子啊！	what a foolish boy!	grupo	alternativoj	prononco
level	estis antaŭ lernejo	在学校前面	was in front of a school	grupo	alternativoj	prononco
level	baldaŭ	很快	soon	grupo	alternativoj	prononco
level	li estis antaŭ ~	他就在前面~	he was in front of ~	grupo	alternativoj	prononco
level	iri kaj eniri	去和进入	to go and to enter	grupo	alternativoj	prononco
level	li volis eniri	他想进入	he wanted to enter	grupo	alternativoj	prononco
level	eniri la lernejon	进入学校	to enter into the school	grupo	alternativoj	prononco
level	sed tamen	但无论如何	but however	grupo	alternativoj	prononco
level	sed li ne povis	但他不能	but he couldn't	grupo	alternativoj	prononco
level	fermi kaj fermita	关闭并关闭	to close and closed	grupo	alternativoj	prononco
level	ĝi estis fermita	它已关闭	it was closed	grupo	alternativoj	prononco
level	nek ~ nek ~	既不～也不～	neither ~ nor ~	grupo	alternativoj	prononco
level	nek instruisto nek gelernantoj	既不是老师，也不是男女学生	neither a teacher nor male-and-female students	grupo	alternativoj	prononco
level	vidis nek instruiston nek gelernantojn	既没有看到老师，也没有看到学生	saw neither a teacher nor students	grupo	alternativoj	prononco
level	sidi, eksidi	坐下，坐下	to sit, to get sitted	grupo	alternativoj	prononco
level	eksidis	已入座（已入座）	got seated (had seated)	grupo	alternativoj	prononco
level	li eksidis	他坐下了	he got seated	grupo	alternativoj	prononco
level	kaj pensis	和思想	and thought	grupo	alternativoj	prononco
level	kio okazis?	发生了什么？	what did happen?	grupo	alternativoj	prononco
level	diable	可怕的（像魔鬼一样）	to the awful (like a devil)	grupo	alternativoj	prononco
level	damne	该死的	dam it	grupo	alternativoj	prononco
level	memoras	记得	remembers	grupo	alternativoj	prononco
level	nun mi memoras	现在我想起了	now I remember	grupo	alternativoj	prononco
level	dimanĉo	星期日	Sunday	grupo	alternativoj	prononco
level	hodiaŭ estas ~	今天是~	today is ~	grupo	alternativoj	prononco
