A.tr content.tsv
Level	Esperanto	tr	en-us	Grupo	Alternativoj	Pronoco
level	tie staris antaŭ la foto	fotoğrafın önünde duruyordu	there stood in front of the photo	grupo	alternativoj	prononco
level	mi havas tion	Bende var	I have that	grupo	alternativoj	prononco
level	kion vi havas en via mano?	elinde ne var?	what do you have in your hand?	grupo	alternativoj	prononco
level	antaŭ aŭ malantaŭ?	önde mi arkada mı?	in front or behind?	grupo	alternativoj	prononco
level	antaŭ aŭ post?	önce ya da sonra?	before or after?	grupo	alternativoj	prononco
level	tie malantaŭ la pordo	orada kapının arkasında	there behind the door	grupo	alternativoj	prononco
level	aliaj, aliaj homoj	diğerleri, başka insanlar	others, other people	grupo	alternativoj	prononco
level	leteroj de aliaj	başkalarından gelen mektuplar	letters from others	grupo	alternativoj	prononco
level	falis el la mano	elinden düştü	fell out of the hand	grupo	alternativoj	prononco
level	sur la tablo, sur la tablon	masanın üzerine, masanın üstüne	on the table, onto the table	grupo	alternativoj	prononco
level	ĝi falis sur la tablon	masanın üzerine düştü	it fell on the table	grupo	alternativoj	prononco
level	petis pardonon	af istedi	asked for pardon	grupo	alternativoj	prononco
level	serĉis kvin librojn	beş kitap arıyordum	was searching for five books	grupo	alternativoj	prononco
level	pardonu, mi serĉis mian libron	Kusura bakmayın, kitabımı arıyordum.	sorry, I was looking for my book.	grupo	alternativoj	prononco
level	sed vi bone scias	ama sen iyi biliyorsun	but you know well	grupo	alternativoj	prononco
level	ne estas sur mia tablo	masamda değil	is not on my table	grupo	alternativoj	prononco
level	viaj libroj ne estas sur mia tablo	kitapların masamda değil	your books are not on my table	grupo	alternativoj	prononco
level	ree donis, redonis	yine verdim, geri döndüm	again gave, returned	grupo	alternativoj	prononco
level	redonu la leteron al mi.	mektubu bana geri ver	return the letter to me	grupo	alternativoj	prononco
level	ricevis bonan lecionon	iyi bir ders aldım	received a good lesson	grupo	alternativoj	prononco
level	plu lavis, ne plu manĝis	daha fazla yıkandım, daha fazla yedim	further washed, ate any more	grupo	alternativoj	prononco
level	ne plu legos	artık okumayacağım	will no longer read	grupo	alternativoj	prononco
level	ankaŭ mi ricevis	ben de aldım	I also received	grupo	alternativoj	prononco
level	devas fermi	kapatmak zorunda	has to close	grupo	alternativoj	prononco
level	mi devas bone fermi	iyi kapatmam lazım	I have to close well	grupo	alternativoj	prononco
level	bone fermis la pordon	kapıyı sıkıca kapattım	closed the door tightly	grupo	alternativoj	prononco
level	trankvila, trankviliĝu	sakin ol, sakin ol	calm, calm down	grupo	alternativoj	prononco
level	aŭdis sed ne aŭskultis	duydum ama dinlemedim	heard but did not listen	grupo	alternativoj	prononco
level	aŭdis trankvilan sonon	sakin bir ses duydum	heard a calm sound	grupo	alternativoj	prononco
level	ĉe mi estis kvar poŝoj	bende 4 cep var	at me, there are 4 pockets	grupo	alternativoj	prononco
level	dek tagoj post la lasta leciono	son dersten on gün sonra	ten days after the last lesson	grupo	alternativoj	prononco
level	inter la du tabloj	iki tablo arasında	between the two tables	grupo	alternativoj	prononco
level	tri leteroj, ses paperoj	üç mektup, altı makale	three letters, six papers	grupo	alternativoj	prononco
level	de kapo ĝis piedo	baştan ayağa	from head to foot	grupo	alternativoj	prononco
level	kvar, kvara, kvaropo, kvarono	dört, dördüncü, dörtlü, çeyrek	four, fourth, a quartet, a quarter	grupo	alternativoj	prononco
level	kien iris la triopo?	üçlü nereye gitti	where did the trio go	grupo	alternativoj	prononco
level	kvin fingroj en ambaŭaj manoj	her iki elinde beş parmak	five fingers in both hands	grupo	alternativoj	prononco
level	si mem, sia poŝo	kendi başına, kendi cebinde	by oneself, one's own pocket	grupo	alternativoj	prononco
level	meti, kunmeti, kunmetaĵo	bir araya getirmek, birleştirmek, bileşik	put, put together, a compound	grupo	alternativoj	prononco
level	metis en sian poŝon	kendi cebine koymak	put in one's own pocket	grupo	alternativoj	prononco
level	du cent nacioj en la mondo	dünyadaki iki yüz millet	two hundred nations in the world	grupo	alternativoj	prononco
level	prenis, forprenis	aldı, götürdü	took, took away	grupo	alternativoj	prononco
level	prenis sep el siaj naŭ libroj	kendi dokuz kitabından yedisini aldı	took seven out of his own nine books	grupo	alternativoj	prononco
level	lasi, forlasita	ayrılmak, terkedilmek	to leave, abandoned	grupo	alternativoj	prononco
level	lasu min sola kaj trankvila	beni yalnız bırak ve sakin ol	leave me alone and calm	grupo	alternativoj	prononco
level	mil ok cent ok dek sep	bin sekiz yüz seksen yedi (1887)	thousand eight hundred and eighty seven (1887)	grupo	alternativoj	prononco
level	taso da teo	bir fincan çay	a cup of tea	grupo	alternativoj	prononco
level	oni lavis ok tasojn	birisi sekiz bardak yıkadı	somebody washed eight cups	grupo	alternativoj	prononco
level	du mil dek naŭ	iki bin on dokuz (2019)	two thousand nineteen (2019)	grupo	alternativoj	prononco
level	li lavis sin	kendini yıkadı	he washed himself	grupo	alternativoj	prononco
level	sia korpo, sia propra posedo	kişinin kendi bedeni, kendi mülkiyeti	one's body, one's own possession	grupo	alternativoj	prononco
level	sur la tablo, la kato dormis	masanın üzerinde kedi uyudu	on the table, the cat slept	grupo	alternativoj	prononco
level	la kato saltis sur la tablon	kedi masaya atladı	the cat jumped onto the table	grupo	alternativoj	prononco
level	en la halo, en la halon	salonda, salona	in the hall, into the hall	grupo	alternativoj	prononco
level	enfalis en lian manon	eline düştü	fell into his hand	grupo	alternativoj	prononco
level	labori, ellabori	çalışmak, detaylandırmak	to work, to elaborate	grupo	alternativoj	prononco
level	ellabori por tiu libro	o kitap için detaylandırmak	to elaborate for that book	grupo	alternativoj	prononco
level	scias, scivolas, scivolo	biliyor, bilmek istiyor, merak	knows, wants to know, curiosity	grupo	alternativoj	prononco
level	dulingva, dulingveco	iki dillilik, iki dillilik	bilingual, bilingualism	grupo	alternativoj	prononco
level	scivolas pri trilingva lernanto	üç dilli bir öğrenci hakkında harikalar	wonders about a trilingual learner	grupo	alternativoj	prononco
level	iris, reiris	gitti, geri döndü	went, returned	grupo	alternativoj	prononco
level	la katoj reiris al siaj domoj	kediler (kendi) evlerine döndüler	the cats returned to their (own) homes	grupo	alternativoj	prononco
level	en la sako, en la sakon	çantanın içinde, çantanın içine	in the bag, into the bag	grupo	alternativoj	prononco
level	enmetu ĝin en vian sakon	çantana koy	put it into your bag	grupo	alternativoj	prononco
level	piedo, piediras, piediranto	bir ayak, yürüyüşler, bir yaya	a foot, walks, a pedestrian	grupo	alternativoj	prononco
level	dek-tage ili piediris	on gün boyunca yürüdüler	for ten days, they walked	grupo	alternativoj	prononco
level	preni, elpreni	almak, çıkarmak	to take, to take out	grupo	alternativoj	prononco
level	belaj floroj, prenis belajn florojn	güzel çiçekler, güzel çiçekler aldı	beautiful flowers, took beautiful flowers	grupo	alternativoj	prononco
level	li elprenis nur belajn florojn	sadece güzel çiçekleri çıkardı	he took out only beautiful flowers	grupo	alternativoj	prononco
level	malfermis, sed tuj fermis	açıldı ama hemen kapandı	opened, but immediately closed	grupo	alternativoj	prononco
level	malfermis internacian kunvenon	uluslararası bir toplantı başlattı	opened an international meeting	grupo	alternativoj	prononco
level	eldonis kaj disdonis	yayınlandı ve dağıtıldı	published and distributed	grupo	alternativoj	prononco
level	la eldonisto eldonis dudek tri librojn	yayıncı yirmi üç kitap yayınladı	the publisher published twenty-three books	grupo	alternativoj	prononco
level	revenis kaj revidis sian filon	geri döndü ve kendi oğlunu tekrar gördü	returned and saw one's own son again	grupo	alternativoj	prononco
level	en la jaro dumil dudek tri	iki bin yirmi üç (2023) yılında	in the year two thousand and twenty three (2023)	grupo	alternativoj	prononco
level	sinjoro eniris la vendejon	bir beyefendi mağazaya girdi (içeriye)	a gentleman entered (into) the store	grupo	alternativoj	prononco
level	la vendejo de aŭtoj	araba mağazası	the store of cars	grupo	alternativoj	prononco
level	tie li vidas sinjorinon	orada bir bayan görüyor	there he sees a lady	grupo	alternativoj	prononco
level	karaj gesinjoroj	Baylar Bayanlar	dear ladies and gentlemen	grupo	alternativoj	prononco
level	tio plaĉis al mi	bu beni memnun etti (bu hoşuma gitti)	that pleased me (I like that)	grupo	alternativoj	prononco
level	la sinjorino plaĉis al li	bayan onu memnun etti (kadını beğendi)	the lady pleased him (he liked the lady)	grupo	alternativoj	prononco
level	vidis la belan sinjorinon	güzel kadını gördüm	saw the beautiful lady	grupo	alternativoj	prononco
level	kiu plaĉis al li?	onu kim memnun etti? (kimden hoşlandı?)	who pleased him? (whom did he like?)	grupo	alternativoj	prononco
level	la virino, kiu plaĉis al mi	beni memnun eden kadın	the woman, who pleased me	grupo	alternativoj	prononco
level	tiu, kiu eniris la domon	eve giren kişi	the one who entered the house	grupo	alternativoj	prononco
level	la viro, kiu donacis ĝin	onu bağışlayan adam	the man who donated it	grupo	alternativoj	prononco
level	li donacis ringon al lia edzino	karısına yüzük verdi	he gave a ring to his wife	grupo	alternativoj	prononco
level	la ringo plaĉis al ŝi	yüzüğü beğendi	she liked the ring	grupo	alternativoj	prononco
level	la edzino, al kiu la ringo plaĉis	yüzüğü beğenen eş	the wife who liked the ring	grupo	alternativoj	prononco
level	vendisto laboras en la vendejo	mağazada bir satıcı çalışıyor	a salesman works in the store	grupo	alternativoj	prononco
level	vendisto de aŭtoj	araba satıcısı	a salesman of cars	grupo	alternativoj	prononco
level	la sinjoro demandis al la vendisto	beyefendi satıcıya sordu	the gentleman asked the salesman	grupo	alternativoj	prononco
level	kiu aŭto plaĉas al vi?	hangi arabayı seversin?	which car do you like?	grupo	alternativoj	prononco
level	kiun aŭton vi elektos?	hangi arabayı seçeceksin?	which car will you choose?	grupo	alternativoj	prononco
level	mi elektis tiun aŭton	O arabayı seçtim	I chose that car	grupo	alternativoj	prononco
level	ĝi estas pli bona	daha iyi	it is better	grupo	alternativoj	prononco
level	pli bona ol ĉi tio	bundan daha iyi	better than this	grupo	alternativoj	prononco
level	plej bona el ili	onların en iyisi	best of them	grupo	alternativoj	prononco
level	estas la plej bona	en iyisi	is the best	grupo	alternativoj	prononco
level	kiu aŭto estas la plej bona?	en iyi araba hangisi?	which car is the best?	grupo	alternativoj	prononco
level	tiu ĉi aŭto estas pli bona	bu araba daha iyi	this car is better	grupo	alternativoj	prononco
level	tiu ĉi estas la plej bona	Bu en iyisi	this one is the best	grupo	alternativoj	prononco
level	vidis ĉiujn aŭtojn	bütün arabaları gördüm	saw all the cars	grupo	alternativoj	prononco
level	la plej bona el ĉiuj	hepsinden iyisi	the best of all	grupo	alternativoj	prononco
level	ĉu ĝi estas rapida?	hızlı mı?	is it fast?	grupo	alternativoj	prononco
level	pli rapida ol aliaj	diğerlerinden daha hızlı	faster than others	grupo	alternativoj	prononco
level	estas ankaŭ forta	aynı zamanda güçlü	is also strong	grupo	alternativoj	prononco
level	ho jes, kompreneble!	Evet, elbette!	oh yes, of course!	grupo	alternativoj	prononco
level	estas tre forta	çok güçlüdür	is very strong	grupo	alternativoj	prononco
level	certe ĝi estas forta	kesinlikle güçlü	certainly it is strong	grupo	alternativoj	prononco
level	estas ankaŭ multekosta	aynı zamanda pahalı	is also expensive	grupo	alternativoj	prononco
level	la plej multekosta el ĉiuj	hepsinden en pahalısı	the most expensive of all	grupo	alternativoj	prononco
level	malmultekosta sed forta	ucuz ama güçlü	cheap but strong	grupo	alternativoj	prononco
level	bedaŭras kaj bedaŭrindas	üzgün hissediyor ve acıyor (üzülmeye değer)	feels sorry and is pityful (worth feeling sorry)	grupo	alternativoj	prononco
level	bedaŭrinde mi ne aĉetos	maalesef satın almayacağım	unfortunately I will not buy	grupo	alternativoj	prononco
level	estas bedaŭrinda afero	talihsiz bir şey	is an unfortunate thing	grupo	alternativoj	prononco
level	li aĉetis novan aŭton	yeni bir araba aldı	he bought a new car	grupo	alternativoj	prononco
level	ĉar mi ne havas monon	Çünkü param yok	because I do not have money	grupo	alternativoj	prononco
level	mia malnova aŭto	eski arabam	my old car	grupo	alternativoj	prononco
level	la plej malmultekosta el ĉiuj	hepsinden en ucuzu	the cheapest of all	grupo	alternativoj	prononco
level	mi veturos tien	oraya arabayla gideceğim	I'll drive there	grupo	alternativoj	prononco
level	ankoraŭ veturos per ĝi	hala onunla sürecek	will still drive with it	grupo	alternativoj	prononco
level	dum la tuta tago	tüm gün boyunca	all day long	grupo	alternativoj	prononco
level	dum li diris tion	o bunu söylerken	while he said that	grupo	alternativoj	prononco
level	li denove rigardis ŝin	ona tekrar baktı	he looked at her again	grupo	alternativoj	prononco
level	sed la vendisto diris	ama satıcı dedi ki	but the salesman said	grupo	alternativoj	prononco
level	estus pli bone, ke ~	daha iyi olurdu ~	it would be better that ~	grupo	alternativoj	prononco
level	rigardu tiun ĉi sinjorinon	şu bayana bak	look at this lady	grupo	alternativoj	prononco
level	ankaŭ tio estas tre multekosta	bu da çok pahalı	that is also very expensive	grupo	alternativoj	prononco
level	mi estas ŝia edzo	ben onun kocasıyım	I am her husband	grupo	alternativoj	prononco
level	kiom via vojaĝo kostis?	yolculuğunuz ne kadara mal oldu?	how much did your trip cost?	grupo	alternativoj	prononco
level	aŭskultu la kanton de via edzino	eşinin şarkısını dinle	listen to your wife's song	grupo	alternativoj	prononco
level	ne forgesu, ke ĝi tre multe kostas	bunun maliyetinin çok yüksek olduğunu unutmayın	don’t forget that it costs a lot	grupo	alternativoj	prononco
level	li helpis la vendiston dum du horoj	satıcıya iki saat boyunca yardım etti	he helped the salesman for two hours	grupo	alternativoj	prononco
level	jam pli ol tri jaroj	üç yıldan fazla bir süredir	for more than three years	grupo	alternativoj	prononco
level	kovri, kovrilo, malkovri	örtmek, örtmek, açığa çıkarmak (keşfetmek)	cover, cover, uncover (discover)	grupo	alternativoj	prononco
level	la kialon li ankoraŭ ne malkovris	henüz keşfetmemiş olmasının nedeni	the reason he has not yet discovered	grupo	alternativoj	prononco
level	kial vi komencis sendi leterojn?	neden mektup göndermeye başladın?	why did you start sending letters?	grupo	alternativoj	prononco
level	dum ok monatoj li vivis tie	sekiz ay boyunca orada yaşadı	for eight months he lived there	grupo	alternativoj	prononco
level	ne havis tempon por aŭskulti	dinlemeye vaktim olmadı	didn't have time to listen	grupo	alternativoj	prononco
level	la aŭto estis jam plena	araba zaten doluydu	the car was already full	grupo	alternativoj	prononco
level	kion vi manĝas?	ne yiyorsun	what are you eating	grupo	alternativoj	prononco
level	kia estas la vetero?	hava nasıl?	what's the weather like?	grupo	alternativoj	prononco
level	kian aŭton vi havas?	ne tür bir araban var?	what kind of car do you have?	grupo	alternativoj	prononco
level	kiaj estis ŝiaj leteroj?	mektupları nasıldı?	what were her letters like?	grupo	alternativoj	prononco
level	kie ni estas?	Neredeyiz?	where are we?	grupo	alternativoj	prononco
level	kien vi iras?	nereye gidiyorsun?	where are you going to?	grupo	alternativoj	prononco
level	al kiu vi donis ĝin?	kime verdin?	to whom did you give it?	grupo	alternativoj	prononco
level	la viro, kun kiu vi vojaĝis	birlikte seyahat ettiğin adam	the man whom you traveled with	grupo	alternativoj	prononco
level	pli granda ol la aŭto	arabadan daha büyük	bigger than the car	grupo	alternativoj	prononco
level	la plej alta el tiuj homoj	bu insanların en uzunu	the tallest of those people	grupo	alternativoj	prononco
level	li sidis dum la manĝo	akşam yemeğinde oturuyordu	he was sitting at dinner	grupo	alternativoj	prononco
level	ŝi skribas dum li legas	o okurken yazıyor	she writes while he reads	grupo	alternativoj	prononco
level	ĉi tie, en ĉi tiu ĉambro	burada, bu odada	here, in this room	grupo	alternativoj	prononco
level	tiu ĉi sinjoro	bu beyefendi	this gentleman	grupo	alternativoj	prononco
level	aŭskultinda novaĵo	dinlemeye değer bir haber	a news worth listening	grupo	alternativoj	prononco
level	la libro estas vere leginda	kitap gerçekten okumaya değer	the book is really worth reading	grupo	alternativoj	prononco
level	bedaŭra afero	talihsiz bir şey	an unfortunate thing	grupo	alternativoj	prononco
level	bedaŭrinde, mi ne povas	maalesef yapamam	unfortunately, I can't	grupo	alternativoj	prononco
level	nedankinde. estis mia plezuro	Rica ederim. Benim için zevkti	you are welcome. it was my pleasure	grupo	alternativoj	prononco
level	eta belulino ege belas	küçük tatlı kız çok güzel	small pretty girl is very beautiful	grupo	alternativoj	prononco
level	ĉiuj amikoj amas ŝin	bütün arkadaşlar onu seviyor	all friends love her	grupo	alternativoj	prononco
level	antaŭ tri monatoj	üç ay önce	three months ago	grupo	alternativoj	prononco
level	okazis malbono al ŝi	ona kötü bir şey oldu	something bad happened to her	grupo	alternativoj	prononco
level	ŝi falis pro aŭto	araba yüzünden düştü	she fell because of a car	grupo	alternativoj	prononco
level	malsaniĝis kaj temperaturo altiĝis	hastalandı ve ateşi yükseldi	became ill and temperature rose	grupo	alternativoj	prononco
level	patrino diris, ke ŝi devas ripozi	annem dinlenmesi gerektiğini söyledi	mother said she should rest	grupo	alternativoj	prononco
level	ŝi devas resti hejme	o evde kalmak zorunda	she has to stay home	grupo	alternativoj	prononco
level	ŝi vokos doktoron	bir doktor çağıracak	she will call a doctor	grupo	alternativoj	prononco
level	je la naŭa horo	saat dokuzda	at nine o'clock	grupo	alternativoj	prononco
level	matene venis je la oka	sabah saat sekizde geldi	in the morning came at eight o'clock	grupo	alternativoj	prononco
level	je la sepa morgaŭ vespere	yarın akşam saat yedide	at seven tomorrow evening	grupo	alternativoj	prononco
level	montris liajn manojn	ellerini gösterdi	showed his hands	grupo	alternativoj	prononco
level	vesto, vestiĝas	elbise, giyiniyor	dress, is getting dressed	grupo	alternativoj	prononco
level	vestiĝu kaj varmigu vian korpon	Giyin ve vücudunu ısıt	get dressed and warm your body	grupo	alternativoj	prononco
level	hejme tuj malvestis kaj duŝis	evde hemen soyunup duş aldım	at home immediately undressed and showered	grupo	alternativoj	prononco
level	doktoro rigardis ĉion	bir doktor her şeye baktı	a doctor looked at everything	grupo	alternativoj	prononco
level	bone rigardis kaj fine diris	iyice baktı ve sonunda dedi ki	looked throughly and finally said	grupo	alternativoj	prononco
level	unu semajnon restu hejme	bir hafta evde kal	stay home for a week	grupo	alternativoj	prononco
level	deziras, ke vi estu trankvila	sakin olmanı istiyor	wants you to be calm	grupo	alternativoj	prononco
level	post unu semajno	bir hafta sonra	after one week	grupo	alternativoj	prononco
level	vi fartos pli bone	daha iyi hissedeceksin	you will feel better	grupo	alternativoj	prononco
level	trinku multe da teo	bol çay iç	drink plenty of tea	grupo	alternativoj	prononco
level	venos por revidi vin	seni tekrar görmeye geleceğim	will come to see you again	grupo	alternativoj	prononco
level	ankaŭ li estu trankvila	o da sakin olsun	let him be calm too	grupo	alternativoj	prononco
level	sana homo, sanulo	sağlıklı insan, sağlıklı insan	healthy man, healthy person	grupo	alternativoj	prononco
level	zorgis pri si mem	kendine dikkat etti	took care of oneself	grupo	alternativoj	prononco
level	tuta afero tuje utilis al mi	her şey aynı anda benim için faydalı oldu	the whole thing was useful to me at once	grupo	alternativoj	prononco
level	rimarkis, ke teruraĵo proksimas	korkunç şeyin yakında olduğunu fark ettim	noticed that horrible thing is near	grupo	alternativoj	prononco
level	petis tuj rimarki ĝin	bunu hemen fark etmem istendi	asked to notice it immediately	grupo	alternativoj	prononco
level	pensis, ke tio ne necesas	bunun gerekli olmadığını düşündüm	thought that was not necessary	grupo	alternativoj	prononco
level	loĝis proksime, kaj tio utilis	yakınlarda yaşıyordu ve bu faydalıydı	lived nearby, and that was useful	grupo	alternativoj	prononco
level	nia lando hodiaŭ teruriĝis	bugün ülkemiz dehşete düştü	our country became terrified today	grupo	alternativoj	prononco
level	karaj infanoj el ĉiuj familioj	tüm ailelerin sevgili çocukları	dear children from all families	grupo	alternativoj	prononco
level	unu fojon hieraŭ, du fojojn morgaŭ	dün bir kez, yarın iki kez	once yesterday, twice tomorrow	grupo	alternativoj	prononco
level	hodiaŭ familioj bezonas infanojn	bugün ailelerin çocuklara ihtiyacı var	today families need children	grupo	alternativoj	prononco
level	esperis, ke li fartos bone morgaŭ	yarın iyi olacağını umuyordum	hoped he would be well tomorrow	grupo	alternativoj	prononco
level	li fartis ege trankvila	kendini çok sakin hissediyordu (oldu)	he was feeling (has been) very calm	grupo	alternativoj	prononco
level	tri etuloj altigis la monton	üç küçük çocuk dağı yükseltti	three little ones raised the mountain	grupo	alternativoj	prononco
level	gravuloj ne petis helpon	önemli insanlar yardım istemedi	important people did not ask for help	grupo	alternativoj	prononco
level	piediris tien por helpi	yardım etmek için oraya yürüdüm	walked there to help	grupo	alternativoj	prononco
level	restu hejme se temperaturo altas	sıcaklık yüksekse evde kalın	stay home if temperature is high	grupo	alternativoj	prononco
level	temperaturo restis simila hodiaŭ	sıcaklık bugün aynı kaldı	temperature remained similar today	grupo	alternativoj	prononco
level	voku la doktoron je la naŭa	dokuzda doktoru ara	call the doctor at nine	grupo	alternativoj	prononco
level	montru ĝin al via doktoro	doktorunuza gösterin	show it to your doctor	grupo	alternativoj	prononco
level	por montri vian piedon	ayağını göstermek	to show your foot	grupo	alternativoj	prononco
level	vestu ĉi tiun ĉemizon	bu gömleği giy	wear this shirt	grupo	alternativoj	prononco
level	semajnfine ĉio trankviliĝos	hafta sonu her şey sakinleşecek	on the weekend everything will calm down	grupo	alternativoj	prononco
level	sub la te-taso kion vi trovis?	Çay bardağının altında ne buldun?	under the tea-cup what did you find?	grupo	alternativoj	prononco
level	mi deziras matenan teon	sabah çayı istiyorum	I want morning tea	grupo	alternativoj	prononco
level	esperis trankvilan vesperon	sakin bir akşam geçirmeyi umuyordum	hoped for a quiet evening	grupo	alternativoj	prononco
level	deziras, ke vi lernu	öğrenmeni istiyor	wants that you learn	grupo	alternativoj	prononco
level	insistis, ke mi iru	gitmem için ısrar etti	insisted that I go	grupo	alternativoj	prononco
level	je kioma horo?	saat kaçta?	at what hour?	grupo	alternativoj	prononco
level	je la sesa, li venos	altıda gelecek	at six he will come	grupo	alternativoj	prononco
level	la libreto estis ĉarma	libretto büyüleyiciydi	the libretto was charming	grupo	alternativoj	prononco
level	estu trankvila	sessiz ol	be quiet	grupo	alternativoj	prononco
level	li estu trankvila	sessiz olmasına izin ver	let him be quiet	grupo	alternativoj	prononco
level	ankaŭ li	O da	he too	grupo	alternativoj	prononco
level	mi deziras	İstiyorum (arzu ediyorum)	I want (desire)	grupo	alternativoj	prononco
level	mi deziras, ke ~	Bunu diliyorum (arzu ediyorum) ~	I wish (desire) that ~	grupo	alternativoj	prononco
level	ke vi lernu	öğrendiğin	that you learn	grupo	alternativoj	prononco
level	mi deziras, ke vi lernu	öğrenmeni istiyorum	I want you to learn	grupo	alternativoj	prononco
level	patro insistas	baba ısrar ediyor	father insists	grupo	alternativoj	prononco
level	patro insistas, ke ~	baba ısrar ediyor ~	father insists that ~	grupo	alternativoj	prononco
level	ke mi iru	gideceğim	that I go	grupo	alternativoj	prononco
level	patro insistas, ke mi iru	babam gitmem konusunda ısrar ediyor	father insists that I go	grupo	alternativoj	prononco
level	je kioma horo	saat kaçta	at what hour	grupo	alternativoj	prononco
level	je kioma horo vi venos?	ne zaman geleceksin?	what time do you come?	grupo	alternativoj	prononco
level	je la kvina	saat beşte)	at five (o'clock)	grupo	alternativoj	prononco
level	je la kvina horo	saat beşte	at five o'clock	grupo	alternativoj	prononco
level	kiel li fartas?	o nasıl?	how does he doing?	grupo	alternativoj	prononco
level	kiel vi fartis lastatempe?	Son zamanlarda nasılsın?	how have you been lately?	grupo	alternativoj	prononco
level	etaj libroj belas	küçük kitaplar çok güzel	little books are beautiful	grupo	alternativoj	prononco
level	libreto, belaj libroj	bir kitapçık, güzel kitaplar	a booklet, beautiful books	grupo	alternativoj	prononco
level	bela, beleta, belega	güzel, biraz güzel, çok güzel	beautiful, a little pretty, very beautiful	grupo	alternativoj	prononco
level	varma, varmeta, varmega	ılık, ılık, çok sıcak	warm, lukewarm, very hot	grupo	alternativoj	prononco
level	librego, libreto	büyük bir kitap, bir kitapçık	a big book, a booklet	grupo	alternativoj	prononco
level	bona, bonega, bonege	iyi, harika, peki	good, great, well	grupo	alternativoj	prononco
level	riĉa, riĉiĝi, riĉulo	zengin olmak, zengin olmak, zengin kimse	rich, become rich, a rich person	grupo	alternativoj	prononco
level	trankvila, trankviliĝi, trankviliĝu	sakin olmak, sakinleşmek, sakinleşmek	calm, to calm down, calm down	grupo	alternativoj	prononco
level	sana, resaniĝi, resaniĝis	sağlıklı olmak, iyileşmek, iyileşmiş olmak	healthy, to become healed, became healed	grupo	alternativoj	prononco
level	edzo, edziĝo, geedziĝis	bir koca, evlilik, evli	a husband, marriage, married	grupo	alternativoj	prononco
level	leterportisto	mektup postacısı	a letter postman	grupo	alternativoj	prononco
level	hejmlando	bir vatan	a homeland	grupo	alternativoj	prononco
level	iom, iomete	biraz, biraz	somewhat, a little	grupo	alternativoj	prononco
level	ni bonege vespermanĝis	harika bir akşam yemeği yedik	we had a great dinner	grupo	alternativoj	prononco
level	espereble, prizorgu vin	umarım kendine iyi bak	hopefully, take care of yourself	grupo	alternativoj	prononco
level	mi zorgis pri la altkvalita loĝejo	Yüksek kaliteli konutlara önem verdim	I cared about the high-quality housing	grupo	alternativoj	prononco
level	pripensu dufoje, multfoje	iki kere, defalarca düşün	think twice, many times	grupo	alternativoj	prononco
level	kiu deprenis la libreton?	kitapçığı kim indirdi?	who took down the booklet?	grupo	alternativoj	prononco
level	kato, kiu nomiĝas Cezaro	Sezar adında bir kedi	a cat named Caesar	grupo	alternativoj	prononco
level	kuko, kiu estas sur la tablo	masanın üzerinde olan bir pasta	a cake which is on the table	grupo	alternativoj	prononco
level	manĝu kukon, kiu estas sur la tablo	masanın üzerindeki pastayı ye	eat a cake that is on the table	grupo	alternativoj	prononco
level	fariĝis varmega kaj ruĝiĝis	ısındı ve kızardı	became hot and blushed	grupo	alternativoj	prononco
level	patro volas, ke lia infano manĝu	bir baba çocuğunun yemek yemesini ister	a father wants his child to eat	grupo	alternativoj	prononco
level	en malgranda ĉambro	küçük bir odada	in a small room	grupo	alternativoj	prononco
level	ni loĝas en ~	~'de yaşıyoruz	we live in ~	grupo	alternativoj	prononco
level	mi fariĝis maltrankvila	kaygılanmaya başladım	I became anxious	grupo	alternativoj	prononco
level	tiam, kiam mi vidis vin	o zaman seni gördüğümde	at that time when I saw you	grupo	alternativoj	prononco
level	ĉiuj rimarkis tion	herkes bunu fark etti	everyone noticed that	grupo	alternativoj	prononco
level	tion, ke ŝi estas belega	onun güzel olduğu gerçeği	the fact that she is beautiful	grupo	alternativoj	prononco
level	ĉu vi deziras, ke ~ ?	bunu istiyor musun ~? (deziri)	do you want that ~ ? (deziri)	grupo	alternativoj	prononco
level	ke mi montru al vi	sana gösterebilmem için	that I may show you	grupo	alternativoj	prononco
level	ĉu vi deziras, ke mi montru?	göstermemi ister misin?	do you want me to show?	grupo	alternativoj	prononco
level	mian plej novan libron	en yeni kitabım (objektif)	my newest book (objective)	grupo	alternativoj	prononco
level	morgaŭ matene, kion vi volas?	yarın sabah, ne istiyorsun?	tomorrow morning, what do you want?	grupo	alternativoj	prononco
level	matenmanĝis malfrue	kahvaltıyı geç yaptım	had breakfast late	grupo	alternativoj	prononco
level	kiam Marko alvenos?	Mark ne zaman gelecek?	when will Mark arrive?	grupo	alternativoj	prononco
level	je la kvina aŭ je la oka horo	saat beşte veya sekizde	at five or eight o'clock	grupo	alternativoj	prononco
level	kiam vi rimarkis, ke ~ ?	~ bunu ne zaman fark ettin?	when did you notice that ~ ?	grupo	alternativoj	prononco
level	la tuta familio nomas min bonfarulo	bütün aile bana hayırsever diyor	the whole family calls me a benefactor	grupo	alternativoj	prononco
level	utila por vi	senin için yararlı	useful for you	grupo	alternativoj	prononco
level	ĉu la libreto estis utila?	kitapçık faydalı oldu mu?	was the booklet useful?	grupo	alternativoj	prononco
level	tiu libreto, kiun mi sendis	gönderdiğim kitapçık	the booklet, which I sent	grupo	alternativoj	prononco
