B.mr content.tsv
Level	Esperanto	mr	en-us	Grupo	Alternativoj	Pronoco
level	dum la vojo	वाटेत	along the way	grupo	alternativoj	prononco
level	kaj la tranoktado?	आणि रात्रीचा मुक्काम?	and the night stay?	grupo	alternativoj	prononco
level	ĉu vi pagus por ĝi?	तुम्ही त्यासाठी पैसे द्याल का?	would you pay for it?	grupo	alternativoj	prononco
level	ne, ne mi, sed ne estas problemo	नाही, मी नाही, परंतु ही समस्या नाही	no, not me, but it's not a problem	grupo	alternativoj	prononco
level	ĉu vere, ke tio ne estas problemo?	खरंच ही समस्या नाही का?	is it really that this is not a problem?	grupo	alternativoj	prononco
level	kiel vi planas solvi tion?	ते सोडवण्याची तुमची योजना कशी आहे?	how do you plan to solve that?	grupo	alternativoj	prononco
level	montris la oran kronon	सोन्याचा मुकुट दाखवला	showed the golden crown	grupo	alternativoj	prononco
level	nu, mi baldaŭ montros al vi	ठीक आहे, मी तुम्हाला लवकरच दाखवतो	well, I will show you soon	grupo	alternativoj	prononco
level	sed unue pli da teo	पण आधी आणखी चहा	but first more tea	grupo	alternativoj	prononco
level	ĉu ankaŭ vi volas?	तुला पण पाहिजे आहे का?	do you want too?	grupo	alternativoj	prononco
level	jes, dankon	हो धन्यवाद	yes, thank you	grupo	alternativoj	prononco
level	en la sama kafejo	त्याच कॅफे मध्ये'	in the same cafe'	grupo	alternativoj	prononco
level	io daŭras, daŭrigas tion	काहीतरी चालू राहते, ते चालू ठेवते	something goes on, keeps (doing) that on	grupo	alternativoj	prononco
level	plano, plani, planado	योजना, योजना, नियोजन	a plan, to plan, planning	grupo	alternativoj	prononco
level	ŝi kaj li daŭrigas la planadon	ती आणि त्याने नियोजन चालू ठेवले	she and he continue the planning	grupo	alternativoj	prononco
level	bonvolu, jen via teo	कृपया, हा तुमचा चहा आहे	please, here's your tea	grupo	alternativoj	prononco
level	mi dume rigardis la invitilon	इतक्यात मी आमंत्रण पाहिलं	meanwhile I looked at the invitation	grupo	alternativoj	prononco
level	rigardis la invitilon por IJK	IJK चे आमंत्रण पाहिले	looked at the invitation of IJK	grupo	alternativoj	prononco
level	mi multon komprenas, sed ne ĉion	मला बरेच काही समजते, परंतु सर्वच नाही	I understand much, but not all	grupo	alternativoj	prononco
level	bone bone, nur demandu	ठीक आहे, ठीक आहे, फक्त विचारा	all right all right, just ask	grupo	alternativoj	prononco
level	jen la aferoj	येथे गोष्टी आहेत	here are the things	grupo	alternativoj	prononco
level	klaraj aferoj	स्पष्ट गोष्टी	clear things	grupo	alternativoj	prononco
level	la aferoj kiuj estas malklaraj	गोंधळात टाकणाऱ्या गोष्टी	the things that are confusing	grupo	alternativoj	prononco
level	estas malklaraj por mi	मला गोंधळात टाकणारे आहेत	are confusing to me	grupo	alternativoj	prononco
level	aliĝi, aliĝilo	सामील होण्यासाठी, एक नोंदणी फॉर्म	to join, a registration form	grupo	alternativoj	prononco
level	TEJO (la organizo)	जागतिक एस्पेरांतो युवा संघटना	The World Esperanto Youth Organization	grupo	alternativoj	prononco
level	Pepo (la TEJO-birdo)	पेपो, TEJO चे प्रतिनिधित्व करणारा पक्षी	Pepo, a bird that represents the TEJO	grupo	alternativoj	prononco
level	loĝi, loĝejo	राहण्यासाठी, राहण्यासाठी जागा (निवारा)	to stay, a place to stay (a lodging)	grupo	alternativoj	prononco
level	amasloĝejo	मोठ्या लोकांसाठी निवासस्थान	a lodging for mass people	grupo	alternativoj	prononco
level	aliĝilo estas ilo por al-iĝi	नोंदणी फॉर्म हे नोंदणीचे साधन आहे	a registration form is a tool for registering	grupo	alternativoj	prononco
level	aliĝilo en kiu vi skribas vian nomon, adreson ktp	एक सदस्यत्व फॉर्म ज्यामध्ये तुम्ही तुमचे नाव, पत्ता इ	a membership form in which you write your name, address, etc	grupo	alternativoj	prononco
level	longa, mallongigo	लांब, संक्षेप	long, an abbreviation	grupo	alternativoj	prononco
level	mallongigo de Tutmonda Esperantista Junulara Organizo	जागतिक एस्पेरांतो युवा संघटनेचे संक्षेप	an abbreviation of the World Esperanto Youth Organization	grupo	alternativoj	prononco
level	Pepo estas la amuza birdo de TEJO	पेपो हा TEJO चा मजेदार पक्षी आहे	Pepo is the funny bird of TEJO	grupo	alternativoj	prononco
level	amasloĝejo estas ejo kie amaso de homoj loĝas	मास-लॉजिंग ही अशी जागा आहे जिथे बरेच लोक राहतात	a mass-lodging is a place where a lot of people stay	grupo	alternativoj	prononco
level	dormo, dormigilo, dormosako	झोप, झोपेची गोळी, झोपेची पिशवी	a sleep, a sleeping pill, a sleeping bag	grupo	alternativoj	prononco
level	kutime oni bezonas dormosakon tie	सहसा तिथे झोपण्याची पिशवी लागते	usually one needs a sleeping bag there	grupo	alternativoj	prononco
level	vi klarigis tro rapide	तुम्ही खूप लवकर स्पष्ट केले	you explained too quickly	grupo	alternativoj	prononco
level	mi ne kaptis ĉion	मी सर्वकाही पकडले नाही	I didn't catch everything	grupo	alternativoj	prononco
level	ne tre gravas	इतके महत्वाचे नाही	is not that important	grupo	alternativoj	prononco
level	mi pensas ke ne tre gravas nun	मला वाटते ते आता फारसे महत्त्वाचे नाही	I think it's not very important now	grupo	alternativoj	prononco
level	poste ni povas pli paroli	नंतर आपण अधिक बोलू शकतो	later we can talk more	grupo	alternativoj	prononco
level	pli paroli pri la IJK-invitilo	IJK आमंत्रणाबद्दल बोलण्यासाठी अधिक	more to talk about the IJK invitation	grupo	alternativoj	prononco
level	do, vi volas plani la vojaĝon nun, ĉu?	त्यामुळे तुम्हाला आता प्रवासाची योजना करायची आहे, बरोबर?	so you want to plan the travel now, right?	grupo	alternativoj	prononco
level	jes, volonte	होय, आनंदाने	yes, gladly	grupo	alternativoj	prononco
level	tiel vi vidos ke ~	त्यामुळे तुम्हाला ते दिसेल ~	so you will see that ~	grupo	alternativoj	prononco
level	kostos tiom multe	इतका खर्च येईल	will cost that much	grupo	alternativoj	prononco
level	vidos ke la vojaĝo ne kostos tiom multe	प्रवासासाठी इतका खर्च येणार नाही हे पाहिल	will see that the travel will not cost that much	grupo	alternativoj	prononco
level	mi volas scii	मला जाणून घ्यायचे आहे	I want to know	grupo	alternativoj	prononco
level	mi scivolas pri ~	मला ~ बद्दल जाणून घ्यायचे आहे	I want to know about ~	grupo	alternativoj	prononco
level	kiel vi solvos la tranoktadon	तुम्ही रात्रीचा मुक्काम कसा सोडवाल	how you will solve the night-staying	grupo	alternativoj	prononco
level	ĉar mi ne havas monon	कारण माझ्याकडे पैसे नाहीत	because I don't have money	grupo	alternativoj	prononco
level	junulara gastejo	एक युवा वसतिगृह	a youth hostel	grupo	alternativoj	prononco
level	havas monon por hotelo aŭ junulargastejo	हॉटेल किंवा युथ हॉस्टेलसाठी पैसे आहेत	has money for a hotel or a youth-hostel	grupo	alternativoj	prononco
level	jen la solvo!	येथे उपाय आहे	here's the solution	grupo	alternativoj	prononco
level	pasporto	एक पासपोर्ट	a passport	grupo	alternativoj	prononco
level	Pasporta Servo	पासपोर्ट सेवा, Esperantists 'होम स्टे	Passport Service, Esperantists' Home Stay	grupo	alternativoj	prononco
level	libreto kun la nomo "Pasporta Servo"	&quot;पासपोर्ट सेवा&quot; नावाची पुस्तिका	booklet with the name "Passport Service"	grupo	alternativoj	prononco
level	servo por kio?	सेवा कशासाठी?	service for what?	grupo	alternativoj	prononco
level	por homoj kiel ni	आमच्यासारख्या लोकांसाठी	for people like us	grupo	alternativoj	prononco
level	sperti, spertulo	अनुभव घेण्यासाठी, तज्ञ	to experience, an expert	grupo	alternativoj	prononco
level	homoj kiuj ŝatas vojaĝi kaj sperti landojn	ज्या लोकांना प्रवास करायला आणि देशांचा अनुभव घ्यायला आवडते	people who like to travel and experience countries	grupo	alternativoj	prononco
level	enspezi kaj elspezi	कमावणे आणि खर्च करणे	to earn and to spend	grupo	alternativoj	prononco
level	sen elspezi multe da mono	खूप पैसे खर्च न करता	without spending a lot of money	grupo	alternativoj	prononco
level	servo, la servo, tiu servo	सेवा, सेवा, ती सेवा	a service, the service, that service	grupo	alternativoj	prononco
level	bone, kaj kiel funkcias tiu servo?	ठीक आहे, आणि ती सेवा कशी कार्य करते?	well, and how does that service work?	grupo	alternativoj	prononco
level	mi vidas ke en la libreto estas ~	मी पाहतो की पुस्तिकेत ~ आहे	I see that in the booket there is ~	grupo	alternativoj	prononco
level	multe da adresoj	बरेच पत्ते	lots of addresses	grupo	alternativoj	prononco
level	estas multe da adresoj de pluraj landoj	अनेक देशांचे अनेक पत्ते आहेत	there are many addresses from several countries	grupo	alternativoj	prononco
level	ĝuste, jes!	बरोबर, होय!	right, yes!	grupo	alternativoj	prononco
level	je via dispono	आपल्या विल्हेवाट वर	at your disposal	grupo	alternativoj	prononco
level	ili ĉiuj	ते सर्व, ते सर्व	they all, all of them	grupo	alternativoj	prononco
level	fakte ili ĉiuj estas je via dispono!	खरं तर ते सर्व आपल्या ताब्यात आहेत!	in fact they are all at your disposal!	grupo	alternativoj	prononco
level	signifis, signifo	अर्थ, अर्थ	meant, meaning	grupo	alternativoj	prononco
level	"je mia dispono", kion signifas tio?	&quot;माझ्या विल्हेवाटीवर&quot;, याचा अर्थ काय आहे?	"at my disposal", what does that mean?	grupo	alternativoj	prononco
level	signifas ke ~	म्हणजे ~	means that ~	grupo	alternativoj	prononco
level	gasti, gasto, gastigi	पाहुणे, अतिथी, पाहुणे होस्ट करणे	to guest, a guest, to host a guest	grupo	alternativoj	prononco
level	estas preta, pretas, pretiĝu!	तयार आहे, तयार आहे, तयार व्हा!	is ready, is prepared, get ready!	grupo	alternativoj	prononco
level	homoj ĉe tiuj adresoj pretas gastigi vin	त्या पत्त्यांवरचे लोक तुम्हाला होस्ट करण्यास तयार आहेत	people at those addresses are ready to host you	grupo	alternativoj	prononco
level	koni, konata, konatiĝi	जाणून घेणे (व्यक्ती), ज्ञात, ओळखणे	to know (a person), known, to get to be known	grupo	alternativoj	prononco
level	kaj helpi vin konatiĝi kun ilia regiono	आणि तुम्हाला त्यांच्या प्रदेशाशी परिचित होण्यास मदत करा	and help you get acquainted with their region	grupo	alternativoj	prononco
level	signifas ke homoj pretas gastigi vin kaj helpi	म्हणजे लोक तुम्हाला होस्ट करण्यास आणि मदत करण्यास तयार आहेत	means people are willing to host you and help	grupo	alternativoj	prononco
level	sonas interese!	मनोरंजक वाटते!	sounds interesting!	grupo	alternativoj	prononco
level	do	त्यामुळे	so	grupo	alternativoj	prononco
level	oni loĝas en la hejmo de aliaj Esperantistoj, ĉu?	कोणीतरी इतर एस्पेरंटिस्टांच्या घरी राहते, बरोबर?	somebody stays in the home of other Esperantists, right?	grupo	alternativoj	prononco
level	pluraj spertoj per Pasporta Servo	पासपोर्ट सेवेचे अनेक अनुभव	several experiences with Passport Service	grupo	alternativoj	prononco
level	mi havis plurajn interesajn spertojn	मला अनेक मनोरंजक अनुभव आले	I had several interesting experiences	grupo	alternativoj	prononco
level	mi uzis ĝin en tri kontinentoj	मी ते तीन खंडांवर वापरले आहे	I have used it on three continents	grupo	alternativoj	prononco
level	malbone funkcias	(ते) खराब काम करते	(it) works poorly	grupo	alternativoj	prononco
level	kaj ĝis nun funkciis tre bone	आणि आतापर्यंत (ते) खूप चांगले काम केले आहे	and so far (it) has worked very well	grupo	alternativoj	prononco
level	bonege! kien ni iru?	छान! आम्ही कुठे जात आहोत?	great! where are we going?	grupo	alternativoj	prononco
level	do, mia plano estas ke ni ~	तर, माझी योजना अशी आहे की आम्ही ~	so, my plan is that we ~	grupo	alternativoj	prononco
level	venas, alvenis	येतो, आला	comes, arrived	grupo	alternativoj	prononco
level	post sukcesa vojaĝo	यशस्वी प्रवासानंतर	after a successful trip	grupo	alternativoj	prononco
level	post uzado de Pasporta Servo en du urboj	दोन शहरांमध्ये पासपोर्ट सेवा वापरल्यानंतर	after using Passport Service in two cities	grupo	alternativoj	prononco
level	ili alvenas post sukcesa vojaĝo	ते यशस्वी प्रवासानंतर येतात	they arrive after a successful trip	grupo	alternativoj	prononco
level	jen, vidu!	पाहा, पहा!	behold, look!	grupo	alternativoj	prononco
level	tie estas granda Esperanto-flago	तिथे एक मोठा एस्पेरांतो ध्वज आहे	there's a big Esperanto flag over there	grupo	alternativoj	prononco
level	ŝildo kun la teksto "Bonvenon al IJK!"	&quot;IJK मध्ये आपले स्वागत आहे!&quot; या मजकुरासह एक चिन्ह	a sign with the text "Welcome to IJK!"	grupo	alternativoj	prononco
level	jes, kaj sub ĝi estas ~	होय, आणि त्याच्या खाली ~ आहे	yes, and below it there is ~	grupo	alternativoj	prononco
level	hu ra!	हुर्रे!	Hooray!	grupo	alternativoj	prononco
level	ni do finfine alvenis	म्हणून आम्ही शेवटी पोहोचलो	so we finally arrived	grupo	alternativoj	prononco
level	mi estas tre laca kaj malsata	मी खूप थकलो आहे आणि भूक लागली आहे	I am very tired and hungry	grupo	alternativoj	prononco
level	ĉu vi pensas ke ni povas ~	आम्ही करू शकतो असे तुम्हाला वाटते का ~?	do you think we can ~ ?	grupo	alternativoj	prononco
level	manĝi ion	काहीतरी खाण्यासाठी	to eat something	grupo	alternativoj	prononco
level	ĉu vi pensas ke ni povas tuj ion manĝi?	आपण लगेच काहीतरी खाऊ शकतो असे तुम्हाला वाटते का?	do you think we can eat something right away?	grupo	alternativoj	prononco
level	mi dubas pri tio	मला शंका आहे	I doubt that	grupo	alternativoj	prononco
level	unue ni devas akceptiĝi	आपण प्रथम स्वीकारले पाहिजे	we must first be accepted	grupo	alternativoj	prononco
level	devas akceptiĝi ĉe la akceptejo	रिसेप्शन डेस्कवर स्वीकारले पाहिजे	must be accepted at the reception desk	grupo	alternativoj	prononco
level	kaj tio povas daŭri longe	आणि ते बराच काळ टिकेल	and that can last a long time	grupo	alternativoj	prononco
level	daŭri longe miasperte	माझ्या अनुभवात दीर्घकाळ टिकण्यासाठी	to last long in my experience	grupo	alternativoj	prononco
level	ho ve!	अरेरे!	alas!	grupo	alternativoj	prononco
level	ĉu tio estas la vico por la akceptejo?	ती रिसेप्शनची ओळ आहे का?	is that the line for the reception?	grupo	alternativoj	prononco
level	mi timas ke jes	मला तशी भीती वाटते	I'm afraid so	grupo	alternativoj	prononco
level	ne estas tute perfekte fari ~	करणे ~ पूर्णपणे परिपूर्ण नाही	to do ~ is not totally perfect	grupo	alternativoj	prononco
level	tute perfekte alveni vespere	संध्याकाळी पोहोचण्यासाठी पूर्णपणे योग्य आहे	is totally perfect to arrive in the evening	grupo	alternativoj	prononco
level	ni povas babili kun homoj	आम्ही लोकांशी गप्पा मारू शकतो	we can chat with people	grupo	alternativoj	prononco
level	sed ni povas babili kun homoj en la vico	पण आम्ही रांगेतील लोकांशी गप्पा मारू शकतो	but we can chat with people in line	grupo	alternativoj	prononco
level	jen, mi vidas amikon de rusio!	पाहा, मला रशियाचा मित्र दिसतो!	behold, I see a friend of Russia!	grupo	alternativoj	prononco
level	mi estas malsata, mi volas manĝi	मला भूक लागली आहे, मला खायचे आहे	I'm hungry, I want to eat	grupo	alternativoj	prononco
level	post ĉirkaŭ 2 horoj	सुमारे 2 तासांनंतर	after about 2 hours	grupo	alternativoj	prononco
level	en la vico kun novaj kaj malnovaj amikoj	नवीन आणि जुन्या मित्रांच्या अनुषंगाने	in line with new and old friends	grupo	alternativoj	prononco
level	LKK (Loka Kongresa Komitato)	स्थानिक काँग्रेस समिती	local congress commitee	grupo	alternativoj	prononco
level	LKK-ano	स्थानिक काँग्रेस समितीचे सदस्य	a member in the local congress commitee	grupo	alternativoj	prononco
level	bonvenon, kiu vi estas?	स्वागत आहे, तुम्ही कोण आहात?	welcome, who are you?	grupo	alternativoj	prononco
level	de kiu lando?	कोणत्या देशातून?	from which country?	grupo	alternativoj	prononco
level	ĉu vi antaŭpagis?	तुम्ही प्रीपे केले का?	did you prepay?	grupo	alternativoj	prononco
level	bonvolu montri	कृपया दाखवा	please show	grupo	alternativoj	prononco
level	se jes, bonvolu montri la kvitancon	असल्यास, कृपया पावती दाखवा	if so, please show the receipt	grupo	alternativoj	prononco
level	ĉu vi estas TEJO-membro?	तुम्ही TEJO चे सदस्य आहात का?	are you a member of TEJO?	grupo	alternativoj	prononco
level	membriĝi ĉe la budo	बूथवर सदस्य होण्यासाठी	to become a member at a booth	grupo	alternativoj	prononco
level	se ne, vi povas membriĝi ĉe la venonta budo	नसल्यास, तुम्ही पुढील बूथवर सामील होऊ शकता	if not, you can join at the next booth	grupo	alternativoj	prononco
level	jen kvitancoj de antaŭpagoj	आगाऊ पेमेंटच्या पावत्या येथे आहेत	here are receipts of advance payments	grupo	alternativoj	prononco
level	membrokartoj kaj niaj pasportoj	सदस्यत्व कार्ड आणि आमचे पासपोर्ट	membership cards and our passports	grupo	alternativoj	prononco
level	tre bone	खुप छान	very good	grupo	alternativoj	prononco
level	do, mi vidas ke vi loĝos en amasloĝejo	तर, मी पाहतो की तुम्ही एका मोठ्या निवासस्थानात राहाल (क्रॅश स्पेस)	so, I see you will live in a mass-lodging (crash space)	grupo	alternativoj	prononco
level	kaj manĝos en la junulargastejo	आणि युवा वसतिगृहात जेवतील	and will eat in the youth hostel	grupo	alternativoj	prononco
level	ĉu ĝustas tiuj informoj?	ती माहिती बरोबर आहे का?	are those information correct?	grupo	alternativoj	prononco
level	jes, perfekte	होय, परिपूर्ण	yes, perfect	grupo	alternativoj	prononco
level	sako kun programo, mapo ktp	कार्यक्रम, नकाशा इत्यादी असलेली पिशवी	a bag with program, map etc	grupo	alternativoj	prononco
level	vi povas pagi kaj ricevi sakon kun programo, mapo ktp	तुम्ही प्रोग्राम, नकाशा इत्यादीसह बॅग पैसे देऊ शकता आणि प्राप्त करू शकता	you can pay and receive a bag with program, map etc	grupo	alternativoj	prononco
level	ĉe la ruĝa budo, tie	लाल बूथवर, तेथे	at the red booth, there	grupo	alternativoj	prononco
level	bone, dankon	चांगले आभार मानतो	good, thank you	grupo	alternativoj	prononco
level	aspektas laca sed sana	थकल्यासारखे पण निरोगी दिसते	looks tired but healthy	grupo	alternativoj	prononco
level	tiuj personoj vere aspektis lacaj	ते लोक खरोखर थकलेले दिसत होते	those people really looked tired	grupo	alternativoj	prononco
level	kaj ne estis tre afablaj	आणि फार दयाळू नव्हते	and were not very kind	grupo	alternativoj	prononco
level	vi pravas	तू बरोबर आहेस	you are right	grupo	alternativoj	prononco
level	sed memoru ke ~	पण लक्षात ठेवा ~	but remember that ~	grupo	alternativoj	prononco
level	laboras dum ok horoj	8 तास काम करत आहेत	are working for 8 hours	grupo	alternativoj	prononco
level	la LKK laboras jam dum eble ok horoj	LKK कदाचित आठ तास काम करत आहे	the LKK has been working for maybe eight hours	grupo	alternativoj	prononco
level	sen multe da paŭzoj	जास्त विराम न देता	without much pause	grupo	alternativoj	prononco
level	sed memoru ke la LKK laboras sen paŭzoj	परंतु लक्षात ठेवा की LKK ब्रेकशिवाय कार्य करते	but remember that the LKK works without breaks	grupo	alternativoj	prononco
level	babilema dum la semajno	आठवड्यात गप्पाटप्पा	chatty during the week	grupo	alternativoj	prononco
level	mi certas ke ~	मला खात्री आहे की ~	I'm sure that ~	grupo	alternativoj	prononco
level	mi certas ke ili estos pli afablaj	मला खात्री आहे की ते दयाळू असतील	I'm sure they'll be kinder	grupo	alternativoj	prononco
level	ili estos pli afablaj kaj babilemaj	ते दयाळू आणि अधिक बोलके असतील	they will be kinder and more talkative	grupo	alternativoj	prononco
level	ni trovu ĝin	चला ते शोधूया	let's find it	grupo	alternativoj	prononco
level	bone, nun ni trovu la amasloĝejon	बरं, आता मोठ्या प्रमाणात राहण्याची जागा शोधूया	well, now let's find the mass-lodging place	grupo	alternativoj	prononco
level	kaj poste mi ŝatus ion manĝi	आणि मग मला काहीतरी खायला आवडेल	and then I would like something to eat	grupo	alternativoj	prononco
level	ĉu vi vidis la knabinon ĉe la TEJO-budo?	तू ती मुलगी TEJO बूथवर पाहिलीस का?	did you see the girl at the TEJO booth?	grupo	alternativoj	prononco
level	jes, kio pri ŝi?	होय, तिच्याबद्दल काय?	yes, what about her?	grupo	alternativoj	prononco
level	ĉu vi konas ŝin?	तू तिला ओळखतोस?	do you know her?	grupo	alternativoj	prononco
level	bedaŭrinde ne	दुर्दैवाने नाही	unfortunately no	grupo	alternativoj	prononco
level	sed ŝi estas ege bela, ĉu ne?	पण ती खूप सुंदर आहे, नाही का?	but she's very pretty, isn't she?	grupo	alternativoj	prononco
level	mi konsentas	मी सहमत आहे	I agree	grupo	alternativoj	prononco
level	tamen ne bone komprenas	तथापि नीट समजत नाही	however does not understand well	grupo	alternativoj	prononco
level	mi konsentas tamen ne komprenas	मी सहमत आहे पण मला समजत नाही	I agree but I don't understand	grupo	alternativoj	prononco
level	ĉu al vi plaĉas inoj?	तुला स्त्रिया आवडतात का?	do you like females?	grupo	alternativoj	prononco
level	jes, mi volis diri al vi antaŭe	होय, मी तुम्हाला आधी सांगू इच्छितो	yes, I want tell you before	grupo	alternativoj	prononco
level	sed ial ne faris	पण काही कारणास्तव झाले नाही	but for some reason did not	grupo	alternativoj	prononco
level	virinoj plaĉas al mi pli ol viroj	virinoj plaĉas al mi pli ol viroj	virinoj plaĉas al mi pli ol viroj	grupo	alternativoj	prononco
level	aspekte ktp	पैलू इ	aspect etc	grupo	alternativoj	prononco
level	ĉu, ĉu vi estas ?	तू आहेस, तू आहेस का?	are you, are you?	grupo	alternativoj	prononco
level	jes, mi estas samseksemulo	होय, मी एक समलैंगिक आहे	yes, I am a homosexual	grupo	alternativoj	prononco
level	oni ankaŭ povas diri lesbo	कोणीही लेस्बियन म्हणू शकतो	one can also say lesbian	grupo	alternativoj	prononco
level	bone, mi tute ne sciis	बरं, मला अजिबात माहित नव्हतं	well, I didn't know at all	grupo	alternativoj	prononco
level	sed mi ĝojas ke vi diris	पण तू म्हणालास याचा मला आनंद झाला	but I'm glad you said	grupo	alternativoj	prononco
level	fakte mi ankaŭ ĝojas ke vi estas samseksemulo	खरं तर मला आनंद आहे की तू समलैंगिक आहेस	in fact I am glad that you are a homosexual	grupo	alternativoj	prononco
level	vi estas la plej afabla kaj agrabla lesbo	तू सर्वात दयाळू आणि छान लेस्बियन आहेस	you are the kindest and nicest lesbian	grupo	alternativoj	prononco
level	la plej agrabla lesbo kiun mi konas	मला माहीत असलेला सर्वात छान लेस्बियन	the nicest lesbian I know	grupo	alternativoj	prononco
level	dankon! ĉu vi konas aliajn?	धन्यवाद! तुम्ही इतरांना ओळखता का?	thank you! do you know others?	grupo	alternativoj	prononco
level	sed kiel vi scias tion?	पण तुला ते कसे कळते?	but how do you know that?	grupo	alternativoj	prononco
level	tiu knabino preferas virojn!	ती मुलगी पुरुषांना पसंत करते!	that girl prefers men!	grupo	alternativoj	prononco
level	ĉiukaze mi kredas ke tiu knabino preferas virojn!	कोणत्याही परिस्थितीत मला विश्वास आहे की मुलगी पुरुषांना प्राधान्य देते!	in any case I believe that girl prefer men!	grupo	alternativoj	prononco
level	tiu knabino pri kiu vi parolis	ती मुलगी जिच्याबद्दल तू बोलत होतास	that girl whom you were talking about	grupo	alternativoj	prononco
level	ni vidos	आपण बघू	we'll see	grupo	alternativoj	prononco
level	en la amasloĝejo	मोठ्या प्रमाणात राहण्याच्या ठिकाणी (क्रॅश स्पेस)	in the mass lodging place (a crash space)	grupo	alternativoj	prononco
level	bonan matenon!	शुभ प्रभात!	good morning!	grupo	alternativoj	prononco
level	ĉu vi bone dormis?	तुला छान झोप लागली का?	did you sleep well?	grupo	alternativoj	prononco
level	apenaŭ vidas	क्वचितच पहा	hardly see	grupo	alternativoj	prononco
level	male, mi apenaŭ dormis	उलट मला झोप येत नव्हती	on the contrary, I could hardly sleep	grupo	alternativoj	prononco
level	sed kial?	पण का?	but why?	grupo	alternativoj	prononco
level	eble vi estis nervoza pri via unua IJK-tago?	कदाचित तुम्ही तुमच्या पहिल्या IJK दिवसाबद्दल चिंताग्रस्त आहात?	maybe you were nervous about your first IJK day?	grupo	alternativoj	prononco
level	ne vere	खरोखर नाही	not really	grupo	alternativoj	prononco
level	la tutan nokton, dum la tuta nokto	रात्रभर, रात्रभर	all night, all night long	grupo	alternativoj	prononco
level	tre laŭte ronkis	खूप जोरात घोरणे	snored very loudly	grupo	alternativoj	prononco
level	simple iu tre laŭte ronkis la tutan nokton	रात्रभर कोणीतरी खूप जोरात घोरले	just someone snored very loudly all night	grupo	alternativoj	prononco
level	ne ĝenu min	मला त्रास देऊ नका	don't bother me	grupo	alternativoj	prononco
level	kaj tio ege ĝenis min	आणि याचा मला खूप त्रास झाला	and that bothered me greatly	grupo	alternativoj	prononco
level	ĉu vi ne aŭdis tion?	तू ते ऐकले नाहीस	didn't you hear that	grupo	alternativoj	prononco
level	tute ne, mi profunde dormis	अजिबात नाही, मी गाढ झोपलो	not at all, I slept deeply	grupo	alternativoj	prononco
level	ĉu mi forgesis diri al vi ke ~?	मी तुला ते सांगायला विसरलो का ~?	did I forget to tell you that ~?	grupo	alternativoj	prononco
level	orelo, ŝtopi, orelŝtopiloj	कान, प्लग करण्यासाठी, कान प्लग	ear, to plug, ear plugs	grupo	alternativoj	prononco
level	indas uzi orelŝtopilojn	इअरप्लग वापरणे फायदेशीर आहे	it is worth using earplugs	grupo	alternativoj	prononco
level	indas uzi ~	~ वापरण्यासारखे आहे	is worth using ~	grupo	alternativoj	prononco
level	diris al vi ke indas uzi orelŝtopilojn	तुम्हाला सांगितले की इअरप्लग वापरणे फायदेशीर आहे	told you it's worth using earplugs	grupo	alternativoj	prononco
level	kiam vi dormas en amasloĝejo	जेव्हा तुम्ही मोठ्या निवासस्थानावर झोपता (क्रॅश प्लेस)	when you sleep at a mass lodging (crash place)	grupo	alternativoj	prononco
level	evidente jes	स्पष्टपणे होय	obviously yes	grupo	alternativoj	prononco
level	ho, kompatinda Kaĉjo!	अरे, गरीब कॅटी!	oh, poor Katty!	grupo	alternativoj	prononco
level	pri kiu vi parolas?	तू कोणाबद्दल बोलत आहेस?	who are you talking about?	grupo	alternativoj	prononco
level	pri vi	तुझ्याबद्दल	about you	grupo	alternativoj	prononco
level	karesi, karesa nomo, karesnomo	प्रेमळ, प्रेमळ नाव, टोपणनाव	to caress, caressing name, nickname	grupo	alternativoj	prononco
level	per -ĉjo aŭ -njo eblas krei karesnomojn en Esperanto	-ĉjo किंवा -njo सह, एस्पेरांतोमध्ये टोपणनावे तयार करणे शक्य आहे	with -ĉjo or -njo, it is possible to create nicknames in Esperanto	grupo	alternativoj	prononco
level	ha, jes, mi iam legis pri tio	अहो, होय, मी एकदा त्याबद्दल वाचले होते	ah, yes, I once read about it	grupo	alternativoj	prononco
level	kaj vi do estus Injo?	आणि मग तुम्ही इंजो व्हाल?	and then you would be Injo?	grupo	alternativoj	prononco
level	se vi volas iri tien	तुम्हाला तिथे जायचे असेल तर	if you want go there	grupo	alternativoj	prononco
level	kioma horo estas nun?	आता वेळ काय आहे?	what time is it now?	grupo	alternativoj	prononco
level	jam estas kvin minutoj antaŭ la deka	दहा वाजून पाच मिनिटे झाली आहेत	it's already five minutes to ten	grupo	alternativoj	prononco
level	kvin minutoj antaŭ la deka, aŭ naŭa kvindek kvin	दहाच्या आधी पाच मिनिटे, किंवा नऊ पंचावन्न	five minutes before ten, or nine fifty-five	grupo	alternativoj	prononco
level	trafis aŭ maltrafis?	हिट किंवा चुकले?	hit or missed?	grupo	alternativoj	prononco
level	vi maltrafis la matenmanĝon	तुमचा नाश्ता चुकला	you missed breakfast	grupo	alternativoj	prononco
level	o, fek!	अरेरे!	oh, shit!	grupo	alternativoj	prononco
level	ĉu vi estas sata?	तुम्ही समाधानी आहात का?	are you satisfied ?	grupo	alternativoj	prononco
level	kaj mi kiu estas ege malsata	आणि मी ज्याला खूप भूक लागली आहे	and I who am extremely hungry	grupo	alternativoj	prononco
