C.it content.tsv
Level	Esperanto	it	en-us	Grupo	Alternativoj	Pronoco
level	duono	una metà	an half	grupo	alternativoj	prononco
level	subjekto	un soggetto	a subject	grupo	alternativoj	prononco
level	pesi	misurare il peso, pesare	to measure weight, to weigh	grupo	alternativoj	prononco
level	ĉiutage	ogni giorno, ogni giorno	every day, daily	grupo	alternativoj	prononco
level	lanterno	una lanterna	a lantern	grupo	alternativoj	prononco
level	tagmanĝo	un pranzo, un pasto di mezzogiorno	a lunch, midday meal	grupo	alternativoj	prononco
level	importi	importare	to import	grupo	alternativoj	prononco
level	duona	metà (ly)	half(ly)	grupo	alternativoj	prononco
level	dekono	un decimo	a tenth	grupo	alternativoj	prononco
level	skrapi	raschiare, grattare	to scrape, to scratch	grupo	alternativoj	prononco
level	kvarono	un quarto, un quarto	a quarter, one fourth	grupo	alternativoj	prononco
level	triono	un terzo, un terzo	a third, one third	grupo	alternativoj	prononco
level	pezi	pesare (avere una pesantezza di una quantità)	to weigh (to have a heaviness of an amount)	grupo	alternativoj	prononco
level	naztuko	un fazzoletto (=kajertuko)	a handkerchief (=kajertuko)	grupo	alternativoj	prononco
level	bantuko	un asciugamano da bagno	a bath towel	grupo	alternativoj	prononco
level	littuko	un lenzuolo	a bed sheet	grupo	alternativoj	prononco
level	terure	terribilmente, terribilmente	terribly, awfully	grupo	alternativoj	prononco
level	kvaropo	un quartetto, un quadruplo	a foursome, a quadruple	grupo	alternativoj	prononco
level	tualeto	un bagno (abbigliamento)	a toilet (attire)	grupo	alternativoj	prononco
level	pardono	perdono, grazia, assoluzione	forgiveness, pardon, absolution	grupo	alternativoj	prononco
level	kuvo	una vasca, un bagno, una vasca	a tub, a bath, a vat	grupo	alternativoj	prononco
level	vizitadi	visitare regolarmente, frequentare	to visit regularily, to frequent	grupo	alternativoj	prononco
level	esplori	esplorare, investigare	to explore, to investigate	grupo	alternativoj	prononco
level	regali	intrattenere, trattare, intrattenere	to regale, to treat, to entertain	grupo	alternativoj	prononco
level	diskuti	discutere	to discuss	grupo	alternativoj	prononco
level	propagandi	fare propaganda, fare pubblicità	to make propaganda, to advertise	grupo	alternativoj	prononco
level	kudrilo	un ago da cucito	a sewing needle	grupo	alternativoj	prononco
level	ŝoveli	a spalare	to shovel	grupo	alternativoj	prononco
level	aplaŭdo	un applauso, un'acclamazione	an applause, acclamation	grupo	alternativoj	prononco
level	malsata	affamato	hungry	grupo	alternativoj	prononco
level	esprimi	esprimere	to express	grupo	alternativoj	prononco
level	subtaso	un piattino	a saucer	grupo	alternativoj	prononco
level	traduko	una traduzione	a translation	grupo	alternativoj	prononco
level	kopiilo	una fotocopiatrice, una fotocopiatrice	a copying machine, a copier	grupo	alternativoj	prononco
level	provizo	una fornitura, una scorta, una fornitura	a provision, a stock, a supply	grupo	alternativoj	prononco
level	traduki	tradurre	to translate	grupo	alternativoj	prononco
level	terglobo	il globo terrestre	the earth globe	grupo	alternativoj	prononco
level	breto	una mensola	a shelf	grupo	alternativoj	prononco
level	sekreti	per mantenere i segreti	to keep secrets	grupo	alternativoj	prononco
level	ekonomio	economia, un'economia	economy, an economy	grupo	alternativoj	prononco
level	evolui	evolvere	to evolve	grupo	alternativoj	prononco
level	ĉambristo	una governante	a housekeeper	grupo	alternativoj	prononco
level	dimanĉe	la domenica	on Sunday	grupo	alternativoj	prononco
level	pruntedoni	prestare	to lend	grupo	alternativoj	prononco
level	veturado	andando a fare un giro	going on a ride	grupo	alternativoj	prononco
level	ĥoro	un coro, un coro	a choir, a chorus	grupo	alternativoj	prononco
level	pruntepreni	prendere in prestito e prendere	to borrow and take	grupo	alternativoj	prononco
level	vestaĵo	vestiti	clothes	grupo	alternativoj	prononco
level	rapide	rapidamente, rapidamente, rapidamente	rapidly, quickly, swiftly	grupo	alternativoj	prononco
level	urbomezo	un centro di una città	a center of a city	grupo	alternativoj	prononco
level	tridekjara	30 anni	30 years old	grupo	alternativoj	prononco
level	tiuokaze	in quel caso	in that case	grupo	alternativoj	prononco
level	sekigi	asciugare	to dry	grupo	alternativoj	prononco
level	varmigi	riscaldare, tenere caldo, riscaldare	to make warm, to keep warm, to heat	grupo	alternativoj	prononco
level	surloka	nel posto	at the place	grupo	alternativoj	prononco
level	supren	in su	upward	grupo	alternativoj	prononco
level	subakvigi	affondare, far affondare	to sink, to make sink	grupo	alternativoj	prononco
level	foto	una foto, una fotografia	a photo, photograph	grupo	alternativoj	prononco
level	sovaĝejo	un deserto	a wilderness	grupo	alternativoj	prononco
level	skribotablo	uno scrittoio	a writing table	grupo	alternativoj	prononco
level	varmiĝi	diventare caldo	to become warm	grupo	alternativoj	prononco
level	klarigi	spiegare, chiarire	to explain, to clarify	grupo	alternativoj	prononco
level	sentimulo	un uomo senza paura	a fearless man	grupo	alternativoj	prononco
level	krepusko	un crepuscolo, un crepuscolo	a twilight, a dusk	grupo	alternativoj	prononco
level	laciga	indossare, stancare, causare affaticamento	wearing, tiring, causing fatigue	grupo	alternativoj	prononco
level	senkolora	incolore	colorless	grupo	alternativoj	prononco
level	senbrue	senza rumore	without noise	grupo	alternativoj	prononco
level	lernigi	fare apprendimento, insegnare	to make learning, to teach	grupo	alternativoj	prononco
level	ŝuldi	dovere	to owe	grupo	alternativoj	prononco
level	sekreta	segreto	secret	grupo	alternativoj	prononco
level	finigi	porre fine, finire	to make an end, to finish	grupo	alternativoj	prononco
level	salto	un salto	a jump	grupo	alternativoj	prononco
level	finiĝi	divenire finito, finire, giungere al termine	to become finished, to end, to come to an end	grupo	alternativoj	prononco
level	malvarmiĝi	diventare freddo	to become cold	grupo	alternativoj	prononco
level	rideto	un sorriso	a smile	grupo	alternativoj	prononco
level	sidiĝi	sedersi	to sit down	grupo	alternativoj	prononco
level	repaciĝo	tornando ad essere pacifico	becoming peaceful again	grupo	alternativoj	prononco
level	redoni	ridare	to give back	grupo	alternativoj	prononco
level	stariĝi	alzarsi, alzarsi, stare in piedi	to get up, to rise, to stand up	grupo	alternativoj	prononco
level	rapidege	molto velocemente	very quickly	grupo	alternativoj	prononco
level	servo	servizio, un servizio	service, a service	grupo	alternativoj	prononco
level	konsideri	considerare	to consider	grupo	alternativoj	prononco
level	promenejo	una passeggiata	a promenade	grupo	alternativoj	prononco
level	komenciĝi	iniziare, cominciare	to get started, to begin	grupo	alternativoj	prononco
level	plibeligi	abbellire (altro)	to beautify (more)	grupo	alternativoj	prononco
level	perdigi	fare in modo di perdersi	to make to get lost	grupo	alternativoj	prononco
level	ordigi	fare ordine	to make ordered	grupo	alternativoj	prononco
level	maristo	un marinaio, un marinaio, un marinaio	a seaman, a sailor, a mariner	grupo	alternativoj	prononco
level	neinteresa	non interessante	not interesting	grupo	alternativoj	prononco
level	naturaĵo	una cosa naturale	a natural thing	grupo	alternativoj	prononco
level	fariĝi ~	diventare ~	to become ~	grupo	alternativoj	prononco
level	multpieda	dai molti piedi	many-footed	grupo	alternativoj	prononco
level	moviĝi	spostare (allontanarsi), trasferirsi in un altro luogo	to move (away), to move into another place	grupo	alternativoj	prononco
level	konatiĝi (kun)	fare conoscenza (con)	to get acquainted (with)	grupo	alternativoj	prononco
level	morgaŭa	quello di domani	tomorrow's	grupo	alternativoj	prononco
level	ekzameni	esaminare	to examine	grupo	alternativoj	prononco
level	malŝati	odiare, non amare	to hate, do not like	grupo	alternativoj	prononco
level	plenigi	riempire, riempire	to fill up, to fill in	grupo	alternativoj	prononco
level	malĝoja	triste	sad	grupo	alternativoj	prononco
level	frosto	gelo, gelo, gelo, freddo gelido	frost, a frost, freeze, freezing cold	grupo	alternativoj	prononco
level	manplato	palma, una palma	palm, a palm	grupo	alternativoj	prononco
level	maltrankvila	ansioso	anxious	grupo	alternativoj	prononco
level	respubliko	una repubblica	a republic	grupo	alternativoj	prononco
level	malseka	Bagnato	wet	grupo	alternativoj	prononco
level	malsaniĝi	ammalarsi	to become ill	grupo	alternativoj	prononco
level	aliĝi	unirsi	to join	grupo	alternativoj	prononco
level	malplaĉa	scomodo	uncomfortable	grupo	alternativoj	prononco
level	malofte	raramente	rarely	grupo	alternativoj	prononco
level	malmulto	pochi	few	grupo	alternativoj	prononco
level	rezignigi	far dimettere, forzare le dimissioni	to make to resign, to force resign	grupo	alternativoj	prononco
level	filmo	un film, un film	a film, a motion picture	grupo	alternativoj	prononco
level	malmulte	in pochi	in few	grupo	alternativoj	prononco
level	terni	starnutire	to sneeze	grupo	alternativoj	prononco
level	fermigi	fare chiudere	to make to close	grupo	alternativoj	prononco
level	malkontentigi	infastidire	to annoy	grupo	alternativoj	prononco
level	malfrui	essere in ritardo	to be late	grupo	alternativoj	prononco
level	malforta	Debole	weak	grupo	alternativoj	prononco
level	fermiĝi	chiudersi, chiudersi	to become closed, to be closed	grupo	alternativoj	prononco
level	malfacila	difficile	difficult	grupo	alternativoj	prononco
level	alkoholaĵo	liquore, bevanda alcolica	liquor, alcoholic beverage	grupo	alternativoj	prononco
level	difini	definire	to define	grupo	alternativoj	prononco
level	malagrabla	sgradevole	unpleasant	grupo	alternativoj	prononco
level	anstataŭigi	sostituire, mettere al posto, sostituire	to replace, to put in place of, to substitute	grupo	alternativoj	prononco
level	laboristo	un lavoratore	a worker	grupo	alternativoj	prononco
level	koncerni	preoccupare	to concern	grupo	alternativoj	prononco
level	sciigi	far conoscere, informare, condividere, notificare	to let know, to inform, to share, to notify	grupo	alternativoj	prononco
level	planti	piantare	to plant	grupo	alternativoj	prononco
level	politiko	una politica, la politica	a policy, politics	grupo	alternativoj	prononco
level	kunporti	portare con sé	to bring along	grupo	alternativoj	prononco
level	amikiĝi (kun ~)	fare amicizia (con ~)	to make friends (with ~)	grupo	alternativoj	prononco
level	korpoforto	forza fisica	physical strength	grupo	alternativoj	prononco
level	klarigo	una spiegazione	an explanation	grupo	alternativoj	prononco
level	dividi	dividere, condividere	to divide, to share	grupo	alternativoj	prononco
level	armi	armare	to arm	grupo	alternativoj	prononco
level	karulino	un tesoro	a darling	grupo	alternativoj	prononco
level	intervidiĝi	per vederci	to see each other	grupo	alternativoj	prononco
level	instruistino	un'insegnante donna	a female teacher	grupo	alternativoj	prononco
level	ŝlosilo	una chiave	a key	grupo	alternativoj	prononco
level	ideoriĉa	fantasioso	imaginative	grupo	alternativoj	prononco
level	falsi	falsificare, falsificare, falsificare, contraffare	to falsify, to fake, to forge, to counterfeit	grupo	alternativoj	prononco
level	ŝuoj	scarpe	shoes	grupo	alternativoj	prononco
level	homformo	una forma di persona	a form of a person	grupo	alternativoj	prononco
level	scipovi	sapere come	to know how	grupo	alternativoj	prononco
level	haltigi	per provocare l'arresto	to cause stop	grupo	alternativoj	prononco
level	spezi	per effettuare transazioni di denaro	to transact money	grupo	alternativoj	prononco
level	grandula	gigante	giant's	grupo	alternativoj	prononco
level	grafino	una contessa	a countess	grupo	alternativoj	prononco
level	supra	superiore	upper	grupo	alternativoj	prononco
level	gondolisto	un gondoliere	a gondolist	grupo	alternativoj	prononco
level	paŭzi	fare una pausa, interrompere, riposarsi	to pause, to break, to take a rest	grupo	alternativoj	prononco
level	gefrato	fratelli	siblings	grupo	alternativoj	prononco
level	sandviĉo	un panino	a sandwich	grupo	alternativoj	prononco
level	knedi	mescolare, impastare, lavorare	to mix, to knead, to work into	grupo	alternativoj	prononco
level	fuŝparoli	parlare in modo sbagliato	to speak wrongly	grupo	alternativoj	prononco
level	ekzerci	esercitare, allenarsi, esercitarsi, esercitarsi	to exercise, to train, to drill, to practice	grupo	alternativoj	prononco
level	fine	alla fine	at the end	grupo	alternativoj	prononco
level	verŝajne	probabilmente, a quanto pare	probably, apparently	grupo	alternativoj	prononco
level	familiano	un membro della famiglia	a family member	grupo	alternativoj	prononco
level	energio	un'energia	an energy	grupo	alternativoj	prononco
level	faligi	provocare la caduta, travolgere	to cause falling, to run over	grupo	alternativoj	prononco
level	aparato	un apparato, una macchina, un dispositivo	an apparatus, machine, device	grupo	alternativoj	prononco
level	informo	un informazione	an information	grupo	alternativoj	prononco
level	eniri	entrare	to go in	grupo	alternativoj	prononco
level	saluton!	Ciao!	hello!	grupo	alternativoj	prononco
level	ekvidi	per iniziare a vedere	to start seeing	grupo	alternativoj	prononco
level	balancilo	un'altalena, un equilibrio	a swing, a balance	grupo	alternativoj	prononco
level	ekstervoje	in uscita	on the way out	grupo	alternativoj	prononco
level	flugilo	un'ala	a wing	grupo	alternativoj	prononco
level	ekrigardi	per iniziare a cercare	to start looking	grupo	alternativoj	prononco
level	laŭtparolilo	un oratore	a speaker	grupo	alternativoj	prononco
level	ekmire	meravigliosamente	wonderously	grupo	alternativoj	prononco
level	dumtage	al giorno	at day	grupo	alternativoj	prononco
level	socio	una società	a society	grupo	alternativoj	prononco
level	doloriga	causando dolore	causing pain	grupo	alternativoj	prononco
level	laborilo	uno strumento per lavorare	a tool for work	grupo	alternativoj	prononco
level	devojiĝi	andare fuori strada	to go astray	grupo	alternativoj	prononco
level	banujo	una vasca da bagno (=bankuvo)	a bathtub (=bankuvo)	grupo	alternativoj	prononco
level	afiŝo	un poster, un post, un articolo	a poster, a post, an article	grupo	alternativoj	prononco
level	ellitiĝi	alzarsi dal letto, alzarsi	to get out of bed, to get up	grupo	alternativoj	prononco
level	signifi	significare, significare, implicare	to mean, to signify, to imply	grupo	alternativoj	prononco
level	tondilo	forbici	scissors	grupo	alternativoj	prononco
level	besteto	un piccolo animale	a little animal	grupo	alternativoj	prononco
level	pasio	passione	passion	grupo	alternativoj	prononco
level	bedaŭrinde	Purtroppo	unfortunately	grupo	alternativoj	prononco
level	ekdormi	addormentarsi	to fall asleep	grupo	alternativoj	prononco
level	aĉodora	cattivo odore	bad smelling	grupo	alternativoj	prononco
level	tranĉilo	un coltello	a knife	grupo	alternativoj	prononco
level	rano	una rana	a frog	grupo	alternativoj	prononco
level	arboplena	pieno di alberi	full of trees	grupo	alternativoj	prononco
level	vespere	in serata	in the evening	grupo	alternativoj	prononco
level	temo	un tema, un argomento	a theme, a topic	grupo	alternativoj	prononco
level	antaŭeniri	andare avanti	to go ahead	grupo	alternativoj	prononco
level	kalkulilo	una calcolatrice	a calculator	grupo	alternativoj	prononco
level	amikino	una fidanzata	a girl friend	grupo	alternativoj	prononco
level	alilanda	straniero	foreign	grupo	alternativoj	prononco
level	kovrilo	una coperta, un'accesa, una coperta	a cover, a lit, a blanket	grupo	alternativoj	prononco
level	menuo	un menù	a menu	grupo	alternativoj	prononco
level	informilo	una newsletter, un annuncio	a newsletter, an anouncement	grupo	alternativoj	prononco
level	Venecia	Venezia	Venice	grupo	alternativoj	prononco
level	teroro	un terrore	a terror	grupo	alternativoj	prononco
level	doĝo	un doge, un viceré	a doge, a viceroy	grupo	alternativoj	prononco
level	kvanto	quantità, importo	quantity, amount	grupo	alternativoj	prononco
level	batilo	una mazza (per colpire)	a bat (to hit)	grupo	alternativoj	prononco
level	kvalito	qualità, proprietà	quality, property	grupo	alternativoj	prononco
level	laŭte	ad alta voce, ad alta voce	loudly, aloud	grupo	alternativoj	prononco
level	-ut-	(suffisso) condizionale passivo	(suffix)  conditional passive	grupo	alternativoj	prononco
level	kristnasko	Natale	Christmas	grupo	alternativoj	prononco
level	vivo	una vita	a life	grupo	alternativoj	prononco
level	freneza	pazzo, pazzo, pazzo	crazy, insane, mad	grupo	alternativoj	prononco
level	solvi	risolvere, sciogliere	to solve, to dissolve	grupo	alternativoj	prononco
level	rilate al	in relazione a	relating to	grupo	alternativoj	prononco
level	fi!	merda!	shit!	grupo	alternativoj	prononco
level	rideti	sorridere	to smile	grupo	alternativoj	prononco
level	temas pri	si tratta di	it is about	grupo	alternativoj	prononco
level	alilande	all'estero	abroad	grupo	alternativoj	prononco
level	pli-malpli	più o meno	more or less	grupo	alternativoj	prononco
level	kadro	una cornice, un ambiente, un quadro	a frame, a setting, a cadre	grupo	alternativoj	prononco
level	eta	piccolo, minuscolo (=malgranda)	small, tiny (=malgranda)	grupo	alternativoj	prononco
level	dumil	duemila	two thousands	grupo	alternativoj	prononco
level	ŝtormo	una tempesta	a storm	grupo	alternativoj	prononco
level	elektra	elettrico, elettrico	electric, electrical	grupo	alternativoj	prononco
level	ducent	duecento	two hundreds	grupo	alternativoj	prononco
level	lageto	uno stagno	a pond	grupo	alternativoj	prononco
level	tridek	trenta	thirty	grupo	alternativoj	prononco
level	kukurbo	una zucca, una zucca	a pumpkin, a gourd	grupo	alternativoj	prononco
level	varmete	in tiepido	in lukewarm	grupo	alternativoj	prononco
level	dek naŭ	diciannove	nineteen	grupo	alternativoj	prononco
level	eĥo	un'eco	an echo	grupo	alternativoj	prononco
level	ekrano	uno schermo	a screen	grupo	alternativoj	prononco
level	dek sep	diciassette	seventeen	grupo	alternativoj	prononco
level	malvarmeta	Freddo	cool	grupo	alternativoj	prononco
level	dek kvin	quindici	fifteen	grupo	alternativoj	prononco
level	oratoro	un oratore, un portavoce, un oratore	an orator, a spokesman, a speaker	grupo	alternativoj	prononco
level	mansako	una borsetta (=mansaketo)	a handbag (=mansaketo)	grupo	alternativoj	prononco
level	dek tri	tredici	thirteen	grupo	alternativoj	prononco
level	kristalo	un cristallo	a crystal	grupo	alternativoj	prononco
level	cigaredo	una sigaretta	a cigarette	grupo	alternativoj	prononco
level	pronomo	un pronome	a pronoun	grupo	alternativoj	prononco
level	frapeti	toccare	to tap	grupo	alternativoj	prononco
level	nukso	una noce	a nut	grupo	alternativoj	prononco
level	dek unu	undici	eleven	grupo	alternativoj	prononco
level	mirinda	sorprendente, meraviglioso	amazing, marvelous	grupo	alternativoj	prononco
level	pordego	un portale, una porta principale, un cancello	a portal, a main gate, a gate	grupo	alternativoj	prononco
level	funkcio	una funzione	a function	grupo	alternativoj	prononco
level	impliki	implicare, intrappolare, coinvolgere	to implicate, to entangle, to involve	grupo	alternativoj	prononco
level	tasko	un compito, un lavoro	a task, a job	grupo	alternativoj	prononco
level	tunelo	un tunnel, una tana	a tunnel, a burrow	grupo	alternativoj	prononco
level	volo	buona volontà	willingness	grupo	alternativoj	prononco
level	intermanĝeto	un pranzo (intermedio, piccolo)	a lunch (intermediate, small)	grupo	alternativoj	prononco
level	interreto	Internet, Internet	internet, Internet	grupo	alternativoj	prononco
level	tikli	fare il solletico	to tickle	grupo	alternativoj	prononco
level	vigle	animatamente, vivacemente	animatedly, briskly	grupo	alternativoj	prononco
level	bendo	una fascia, un nastro, una striscia	a band, a tape, a strip	grupo	alternativoj	prononco
level	stulta	stupido, insensato	stupid, foolish	grupo	alternativoj	prononco
level	haloo	Ciao	hello	grupo	alternativoj	prononco
level	himno	un inno, un inno	a hymn, an anthem	grupo	alternativoj	prononco
level	taŭgi	essere adatto, adattarsi	to be suitable, to fit	grupo	alternativoj	prononco
level	plenaĝa	adulto, adulto	adult, grown-up	grupo	alternativoj	prononco
level	recenzi	rivedere, scrivere	to review, to write up	grupo	alternativoj	prononco
level	gratulo	congratulazioni	congratulation	grupo	alternativoj	prononco
level	flati	lusingare	to flatter	grupo	alternativoj	prononco
level	komitato	un comitato	a committee	grupo	alternativoj	prononco
level	frataro	un gruppo di seccatori	a group of bothers	grupo	alternativoj	prononco
level	dorno	una spina	a thorn	grupo	alternativoj	prononco
level	nebulo	nebbia	fog, mist	grupo	alternativoj	prononco
level	fervojo	una ferrovia	a railway	grupo	alternativoj	prononco
level	uzado	come usare, usare	how to use, using	grupo	alternativoj	prononco
level	klimato	un clima	a climate	grupo	alternativoj	prononco
level	brakumo	un abbraccio	a hug	grupo	alternativoj	prononco
level	bandaĝo	una benda, una medicazione	a bandage, dressing	grupo	alternativoj	prononco
level	drato	un cavo	a wire	grupo	alternativoj	prononco
level	unuo	unità	unit	grupo	alternativoj	prononco
level	materialo	materiale, un materiale	material, a material	grupo	alternativoj	prononco
level	malvarmumi	prendere freddo	to catch cold	grupo	alternativoj	prononco
level	unue	Prima di tutto	first of all	grupo	alternativoj	prononco
level	gramo	un grammo	a gram	grupo	alternativoj	prononco
level	turniĝi	trasformarsi	to become turned	grupo	alternativoj	prononco
level	malsano	una malattia	a disease	grupo	alternativoj	prononco
level	porcio	una porzione, una quota	a portion, a share	grupo	alternativoj	prononco
level	armeo	un esercito	an army	grupo	alternativoj	prononco
level	bulteno	un bollettino, una newsletter	a bulletin, a newsletter	grupo	alternativoj	prononco
level	partio	festa, festa, partita, squadra	party, a party, a match, a side	grupo	alternativoj	prononco
level	trio	un trio	a trio	grupo	alternativoj	prononco
level	proksimume	approssimativamente, circa	approximately, about	grupo	alternativoj	prononco
level	determini	determinare	to determine	grupo	alternativoj	prononco
level	oferi	sacrificare, offrire, offrire	to sacrifice, to offer, to offer up	grupo	alternativoj	prononco
level	naĝo	nuotare, fare il bagno	swimming, bathe	grupo	alternativoj	prononco
level	evidenta	evidente, chiaro, ovvio	evident, clear, obvious	grupo	alternativoj	prononco
level	tria	terzo	third	grupo	alternativoj	prononco
level	familiara	familiare, amichevole	familiar, friendly	grupo	alternativoj	prononco
level	pastro	un prete, un sacerdote, un pastore	a priest, a clergyman, a pastor	grupo	alternativoj	prononco
level	foliumi	girare le pagine, sfogliare, sfogliare	to turn pages, to browse, to leaf through	grupo	alternativoj	prononco
level	sufiĉi	essere sufficiente	to be sufficient	grupo	alternativoj	prononco
level	okulumi	fare l'occhiolino, sbirciare, fissare, ammiccare	to make eyes at, to ogle, to stare at, to wink	grupo	alternativoj	prononco
level	ekzakta	esatto	exact	grupo	alternativoj	prononco
level	konstati	accertare, stabilire che sia un fatto	to ascertain, to establish to be a fact	grupo	alternativoj	prononco
level	tombo	una tomba, una tomba	a tomb, a grave	grupo	alternativoj	prononco
level	sperto	un'esperienza	an experience	grupo	alternativoj	prononco
level	ŝmiri	ungere, spalmare, ungere	to grease, to smear, to anoint	grupo	alternativoj	prononco
level	pioniro	un pioniere	a pioneer	grupo	alternativoj	prononco
level	emerito	un emerito, un pensionato, un pensionato	an emeritus, a retiree, a pensioner	grupo	alternativoj	prononco
level	skribilo	uno strumento di scrittura, qualsiasi cosa per scrivere	a writing tool, anything for writing	grupo	alternativoj	prononco
level	favora	favorevole	favorable	grupo	alternativoj	prononco
level	kaĉo	un porridge, una purea	a porridge, a puree	grupo	alternativoj	prononco
level	senhalte	senza pausa	without pause	grupo	alternativoj	prononco
level	horizonto	un orizzonte	a horizon	grupo	alternativoj	prononco
level	vertikalo	una linea verticale	a vertical line	grupo	alternativoj	prononco
level	protekti	proteggere	to protect	grupo	alternativoj	prononco
level	fikcio	una finzione	a fiction	grupo	alternativoj	prononco
level	ventumi	ventilare, aerare	to fan, to aerate	grupo	alternativoj	prononco
level	obstaklo	un ostacolo	an obstacle	grupo	alternativoj	prononco
level	satiĝi	per diventare soddisfatto	to become satisfied	grupo	alternativoj	prononco
level	kredito	un credito	a credit	grupo	alternativoj	prononco
level	rompiĝi	rompersi	to become broken	grupo	alternativoj	prononco
level	dorloti	coccolare, coccolare, accarezzare, adorare	to pamper, to coddle, to pet, to dote	grupo	alternativoj	prononco
level	epoko	un'epoca, un'età, un periodo, un tempo	an epoch, an age, a period, time	grupo	alternativoj	prononco
level	ventumilo	un appassionato	a fan	grupo	alternativoj	prononco
level	nutri	nutrire, nutrire	to nourish, to feed	grupo	alternativoj	prononco
level	maizo	un mais, un mais, una farina	a maize, a corn, a mealies	grupo	alternativoj	prononco
level	influi	influenzare, influenzare	to influence, to affect	grupo	alternativoj	prononco
level	reviziti	da visitare di nuovo	to visit again	grupo	alternativoj	prononco
level	graveda	incinta	pregnant	grupo	alternativoj	prononco
level	potenco	un potere	a power	grupo	alternativoj	prononco
level	surprizi	sorprendere	to surprise	grupo	alternativoj	prononco
level	minimumo	un minimo	a minimum	grupo	alternativoj	prononco
level	fabo	un fagiolo, una fava, una fava	a bean, a fava bean, a broad bean	grupo	alternativoj	prononco
level	renkontiĝi	incontrare	to meet	grupo	alternativoj	prononco
level	abunda	abbondante, copioso, generoso	abundant, copious, bountiful	grupo	alternativoj	prononco
level	plonĝi	tuffarsi, tuffarsi, precipitare	to dive, to plunge, to plummet	grupo	alternativoj	prononco
level	grado	grado, grado	degree, grade	grupo	alternativoj	prononco
level	kajo	una banchina, una piattaforma, una congiunzione	a quay, a platform, a conjunction	grupo	alternativoj	prononco
level	reciproke	reciprocamente	reciprocally	grupo	alternativoj	prononco
level	reprezenti	rappresentare	to represent	grupo	alternativoj	prononco
level	gimnastiko	ginnastica	gymnastics	grupo	alternativoj	prononco
level	Tero (La -o)	Terra (La Terra)	Earth (The Earth)	grupo	alternativoj	prononco
level	bindi	legare, collegare	to bind, to link	grupo	alternativoj	prononco
level	titolo	un titolo	a title	grupo	alternativoj	prononco
level	plumamiko	un amico di penna (=leteramiko)	a penpal (=leteramiko)	grupo	alternativoj	prononco
level	bukedo	un mazzo di fiori	a bouquet	grupo	alternativoj	prononco
level	plaĉo	cosa gradita	pleasing thing	grupo	alternativoj	prononco
level	logi	allettare, allettare, attrarre	to lure, to entice, to attract	grupo	alternativoj	prononco
level	rizo	riso	rice	grupo	alternativoj	prononco
level	rajdi	cavalcare	to ride	grupo	alternativoj	prononco
level	Zamenhof	Zamenhof (Creatore dell'esperanto)	Zamenhof (Esperanto Creator)	grupo	alternativoj	prononco
level	peceto	un piccolo pezzo	a small piece	grupo	alternativoj	prononco
level	detrui	distruggere	to destroy	grupo	alternativoj	prononco
level	rubando	un nastro, una fascia	a ribbon, a fascia	grupo	alternativoj	prononco
level	papersako	un sacchetto di carta	a paper bag	grupo	alternativoj	prononco
level	ĝardenisto	un giardiniere	a gardener	grupo	alternativoj	prononco
level	salajro	salario, salario	salary, wage	grupo	alternativoj	prononco
level	severa	severo, severo	severe, strict	grupo	alternativoj	prononco
level	junulara	dei giovani, dei giovani	of youth, of young people	grupo	alternativoj	prononco
level	organizanto	un organizzatore	an organizer	grupo	alternativoj	prononco
level	oficistino	un'impiegata donna	a female office worker	grupo	alternativoj	prononco
level	protesti	protestare	to protest	grupo	alternativoj	prononco
level	taksi	valutare, stimare, valutare	to evaluate, to estimate, to rate	grupo	alternativoj	prononco
level	nove	recentemente	newly	grupo	alternativoj	prononco
level	ŝtuparo	scale, scala	stairs, staircase	grupo	alternativoj	prononco
level	kolumo	un colletto	a collar	grupo	alternativoj	prononco
level	akcidento	un incidente	an accident	grupo	alternativoj	prononco
level	mizero	miseria	misery	grupo	alternativoj	prononco
level	miliono da	un milione di	a million of	grupo	alternativoj	prononco
level	krokodilo	un coccodrillo	a crocodile	grupo	alternativoj	prononco
level	arbaro	una foresta, un bosco	a forest, woods	grupo	alternativoj	prononco
level	etendi	per estendere	to extend	grupo	alternativoj	prononco
level	persekuti	perseguitare, inseguire	to persecute, to chase	grupo	alternativoj	prononco
level	bakterio	un batterio	a bacterium	grupo	alternativoj	prononco
level	neŭtraleco	neutralità	neutrality	grupo	alternativoj	prononco
level	spaco	spazio, uno spazio	space, a space	grupo	alternativoj	prononco
level	koridoro	un corridoio, un passaggio, un vicolo	a corridor, a passageway, a lane	grupo	alternativoj	prononco
level	kurioza	curioso	curious	grupo	alternativoj	prononco
level	hararo	pelo (persona), mantello (animale)	hair (person), coat (animal)	grupo	alternativoj	prononco
level	naĝvesto	un costume da bagno, un costume da bagno	a swimming suit, a bathing costume	grupo	alternativoj	prononco
level	privata	privato	private	grupo	alternativoj	prononco
level	konsoli	consolare, confortare	to console, to comfort	grupo	alternativoj	prononco
level	amatoro	un dilettante	an amateur	grupo	alternativoj	prononco
level	ornami	decorare, ornare	to decorate, to ornament	grupo	alternativoj	prononco
level	homaro	razza umana, genere umano	human race, mankind	grupo	alternativoj	prononco
level	milda	mite, gentile, liscio	mild, gentle, smooth	grupo	alternativoj	prononco
level	multekosta	costoso	expensive	grupo	alternativoj	prononco
level	verŝi	versare, versare	to pour, to spill	grupo	alternativoj	prononco
