A.de content.tsv
Level	Esperanto	de	en-us	Grupo	Alternativoj	Pronoco
level	rapide fariĝis ruĝa	wurde schnell rot	rapidly became red	grupo	alternativoj	prononco
level	en ĉambro, en ĉambron	in einem Raum, in einem Raum	in a room, into a room	grupo	alternativoj	prononco
level	staris kaj sidis	stand und saß	stood and sat	grupo	alternativoj	prononco
level	tie staris antaŭ la foto	Da stand vor dem Foto	there stood in front of the photo	grupo	alternativoj	prononco
level	mi havas tion	ich habe das	I have that	grupo	alternativoj	prononco
level	kion vi havas en via mano?	Was hast du in deiner Hand?	what do you have in your hand?	grupo	alternativoj	prononco
level	antaŭ aŭ malantaŭ?	vorne oder hinten?	in front or behind?	grupo	alternativoj	prononco
level	antaŭ aŭ post?	vorher oder nachher?	before or after?	grupo	alternativoj	prononco
level	tie malantaŭ la pordo	dort hinter der Tür	there behind the door	grupo	alternativoj	prononco
level	aliaj, aliaj homoj	andere, andere Leute	others, other people	grupo	alternativoj	prononco
level	leteroj de aliaj	Briefe von anderen	letters from others	grupo	alternativoj	prononco
level	falis el la mano	fiel mir aus der Hand	fell out of the hand	grupo	alternativoj	prononco
level	sur la tablo, sur la tablon	auf den Tisch, auf den Tisch	on the table, onto the table	grupo	alternativoj	prononco
level	ĝi falis sur la tablon	es fiel auf den Tisch	it fell on the table	grupo	alternativoj	prononco
level	petis pardonon	um Verzeihung gebeten	asked for pardon	grupo	alternativoj	prononco
level	serĉis kvin librojn	suchte nach fünf Büchern	was searching for five books	grupo	alternativoj	prononco
level	pardonu, mi serĉis mian libron	Entschuldigung, ich habe nach meinem Buch gesucht.	sorry, I was looking for my book.	grupo	alternativoj	prononco
level	sed vi bone scias	aber du weißt es gut	but you know well	grupo	alternativoj	prononco
level	ne estas sur mia tablo	liegt nicht auf meinem Tisch	is not on my table	grupo	alternativoj	prononco
level	viaj libroj ne estas sur mia tablo	Deine Bücher liegen nicht auf meinem Tisch	your books are not on my table	grupo	alternativoj	prononco
level	ree donis, redonis	wieder gegeben, zurückgegeben	again gave, returned	grupo	alternativoj	prononco
level	redonu la leteron al mi.	gib mir den Brief zurück	return the letter to me	grupo	alternativoj	prononco
level	ricevis bonan lecionon	eine gute Lektion erhalten	received a good lesson	grupo	alternativoj	prononco
level	plu lavis, ne plu manĝis	weiter gewaschen, nichts mehr gegessen	further washed, ate any more	grupo	alternativoj	prononco
level	ne plu legos	werde nicht mehr lesen	will no longer read	grupo	alternativoj	prononco
level	ankaŭ mi ricevis	Ich habe auch erhalten	I also received	grupo	alternativoj	prononco
level	devas fermi	muss schließen	has to close	grupo	alternativoj	prononco
level	mi devas bone fermi	Ich muss gut schließen	I have to close well	grupo	alternativoj	prononco
level	bone fermis la pordon	schloss die Tür fest	closed the door tightly	grupo	alternativoj	prononco
level	trankvila, trankviliĝu	ruhig, beruhige dich	calm, calm down	grupo	alternativoj	prononco
level	aŭdis sed ne aŭskultis	gehört, aber nicht zugehört	heard but did not listen	grupo	alternativoj	prononco
level	aŭdis trankvilan sonon	hörte ein ruhiges Geräusch	heard a calm sound	grupo	alternativoj	prononco
level	ĉe mi estis kvar poŝoj	Bei mir sind es 4 Taschen	at me, there are 4 pockets	grupo	alternativoj	prononco
level	dek tagoj post la lasta leciono	zehn Tage nach der letzten Unterrichtsstunde	ten days after the last lesson	grupo	alternativoj	prononco
level	inter la du tabloj	zwischen den beiden Tischen	between the two tables	grupo	alternativoj	prononco
level	tri leteroj, ses paperoj	drei Briefe, sechs Papiere	three letters, six papers	grupo	alternativoj	prononco
level	de kapo ĝis piedo	von Kopf zu Fuß	from head to foot	grupo	alternativoj	prononco
level	kvar, kvara, kvaropo, kvarono	vier, vierte, ein Quartett, ein Viertel	four, fourth, a quartet, a quarter	grupo	alternativoj	prononco
level	kien iris la triopo?	Wohin ist das Trio gegangen?	where did the trio go	grupo	alternativoj	prononco
level	kvin fingroj en ambaŭaj manoj	fünf Finger in beiden Händen	five fingers in both hands	grupo	alternativoj	prononco
level	si mem, sia poŝo	allein, aus der eigenen Tasche	by oneself, one's own pocket	grupo	alternativoj	prononco
level	meti, kunmeti, kunmetaĵo	zusammenfügen, eine Verbindung herstellen	put, put together, a compound	grupo	alternativoj	prononco
level	metis en sian poŝon	in die eigene Tasche stecken	put in one's own pocket	grupo	alternativoj	prononco
level	du cent nacioj en la mondo	zweihundert Nationen auf der Welt	two hundred nations in the world	grupo	alternativoj	prononco
level	prenis, forprenis	nahm, nahm weg	took, took away	grupo	alternativoj	prononco
level	prenis sep el siaj naŭ libroj	nahm sieben seiner neun Bücher mit	took seven out of his own nine books	grupo	alternativoj	prononco
level	lasi, forlasita	gehen, verlassen	to leave, abandoned	grupo	alternativoj	prononco
level	lasu min sola kaj trankvila	Lass mich in Ruhe und Ruhe	leave me alone and calm	grupo	alternativoj	prononco
level	mil ok cent ok dek sep	Tausendachthundertsiebenundachtzig (1887)	thousand eight hundred and eighty seven (1887)	grupo	alternativoj	prononco
level	taso da teo	eine Tasse Tee	a cup of tea	grupo	alternativoj	prononco
level	oni lavis ok tasojn	Jemand hat acht Tassen gewaschen	somebody washed eight cups	grupo	alternativoj	prononco
level	du mil dek naŭ	zweitausendneunzehn (2019)	two thousand nineteen (2019)	grupo	alternativoj	prononco
level	li lavis sin	er wusch sich	he washed himself	grupo	alternativoj	prononco
level	sia korpo, sia propra posedo	der eigene Körper, der eigene Besitz	one's body, one's own possession	grupo	alternativoj	prononco
level	sur la tablo, la kato dormis	Auf dem Tisch schlief die Katze	on the table, the cat slept	grupo	alternativoj	prononco
level	la kato saltis sur la tablon	Die Katze sprang auf den Tisch	the cat jumped onto the table	grupo	alternativoj	prononco
level	en la halo, en la halon	in die Halle, in die Halle	in the hall, into the hall	grupo	alternativoj	prononco
level	enfalis en lian manon	fiel ihm in die Hand	fell into his hand	grupo	alternativoj	prononco
level	labori, ellabori	arbeiten, ausarbeiten	to work, to elaborate	grupo	alternativoj	prononco
level	ellabori por tiu libro	für dieses Buch auszuarbeiten	to elaborate for that book	grupo	alternativoj	prononco
level	scias, scivolas, scivolo	weiß, will wissen, Neugier	knows, wants to know, curiosity	grupo	alternativoj	prononco
level	dulingva, dulingveco	Zweisprachigkeit, Zweisprachigkeit	bilingual, bilingualism	grupo	alternativoj	prononco
level	scivolas pri trilingva lernanto	wundert sich über einen dreisprachigen Lernenden	wonders about a trilingual learner	grupo	alternativoj	prononco
level	iris, reiris	ging, kam zurück	went, returned	grupo	alternativoj	prononco
level	la katoj reiris al siaj domoj	Die Katzen kehrten in ihre (eigenen) Häuser zurück	the cats returned to their (own) homes	grupo	alternativoj	prononco
level	en la sako, en la sakon	in der Tasche, in der Tasche	in the bag, into the bag	grupo	alternativoj	prononco
level	enmetu ĝin en vian sakon	Steck es in deine Tasche	put it into your bag	grupo	alternativoj	prononco
level	piedo, piediras, piediranto	ein Fuß, Spaziergänge, ein Fußgänger	a foot, walks, a pedestrian	grupo	alternativoj	prononco
level	dek-tage ili piediris	Zehn Tage lang wanderten sie	for ten days, they walked	grupo	alternativoj	prononco
level	preni, elpreni	nehmen, herausnehmen	to take, to take out	grupo	alternativoj	prononco
level	belaj floroj, prenis belajn florojn	wunderschöne Blumen, habe wunderschöne Blumen mitgenommen	beautiful flowers, took beautiful flowers	grupo	alternativoj	prononco
level	li elprenis nur belajn florojn	er hat nur schöne Blumen herausgeholt	he took out only beautiful flowers	grupo	alternativoj	prononco
level	malfermis, sed tuj fermis	geöffnet, aber sofort geschlossen	opened, but immediately closed	grupo	alternativoj	prononco
level	malfermis internacian kunvenon	eröffnete ein internationales Treffen	opened an international meeting	grupo	alternativoj	prononco
level	eldonis kaj disdonis	veröffentlicht und verbreitet	published and distributed	grupo	alternativoj	prononco
level	la eldonisto eldonis dudek tri librojn	Der Verlag veröffentlichte 23 Bücher	the publisher published twenty-three books	grupo	alternativoj	prononco
level	revenis kaj revidis sian filon	kehrte zurück und sah seinen eigenen Sohn wieder	returned and saw one's own son again	grupo	alternativoj	prononco
level	en la jaro dumil dudek tri	im Jahr zweitausenddreiundzwanzig (2023)	in the year two thousand and twenty three (2023)	grupo	alternativoj	prononco
level	sinjoro eniris la vendejon	Ein Herr betrat den Laden	a gentleman entered (into) the store	grupo	alternativoj	prononco
level	la vendejo de aŭtoj	der Autoladen	the store of cars	grupo	alternativoj	prononco
level	tie li vidas sinjorinon	dort sieht er eine Dame	there he sees a lady	grupo	alternativoj	prononco
level	karaj gesinjoroj	Sehr geehrte Damen und Herren	dear ladies and gentlemen	grupo	alternativoj	prononco
level	tio plaĉis al mi	das hat mir gefallen (das gefällt mir)	that pleased me (I like that)	grupo	alternativoj	prononco
level	la sinjorino plaĉis al li	die Dame gefiel ihm (er mochte die Dame)	the lady pleased him (he liked the lady)	grupo	alternativoj	prononco
level	vidis la belan sinjorinon	sah die schöne Dame	saw the beautiful lady	grupo	alternativoj	prononco
level	kiu plaĉis al li?	Wer hat ihm gefallen? (Wen mochte er?)	who pleased him? (whom did he like?)	grupo	alternativoj	prononco
level	la virino, kiu plaĉis al mi	die Frau, die mir gefiel	the woman, who pleased me	grupo	alternativoj	prononco
level	tiu, kiu eniris la domon	derjenige, der das Haus betrat	the one who entered the house	grupo	alternativoj	prononco
level	la viro, kiu donacis ĝin	der Mann, der es gespendet hat	the man who donated it	grupo	alternativoj	prononco
level	li donacis ringon al lia edzino	Er gab seiner Frau einen Ring	he gave a ring to his wife	grupo	alternativoj	prononco
level	la ringo plaĉis al ŝi	Der Ring gefiel ihr	she liked the ring	grupo	alternativoj	prononco
level	la edzino, al kiu la ringo plaĉis	die Frau, der der Ring gefiel	the wife who liked the ring	grupo	alternativoj	prononco
level	vendisto laboras en la vendejo	Ein Verkäufer arbeitet im Laden	a salesman works in the store	grupo	alternativoj	prononco
level	vendisto de aŭtoj	ein Autoverkäufer	a salesman of cars	grupo	alternativoj	prononco
level	la sinjoro demandis al la vendisto	fragte der Herr den Verkäufer	the gentleman asked the salesman	grupo	alternativoj	prononco
level	kiu aŭto plaĉas al vi?	Welches Auto gefällt dir?	which car do you like?	grupo	alternativoj	prononco
level	kiun aŭton vi elektos?	Für welches Auto wirst du dich entscheiden?	which car will you choose?	grupo	alternativoj	prononco
level	mi elektis tiun aŭton	Ich habe mich für dieses Auto entschieden	I chose that car	grupo	alternativoj	prononco
level	ĝi estas pli bona	es ist besser	it is better	grupo	alternativoj	prononco
level	pli bona ol ĉi tio	besser als das	better than this	grupo	alternativoj	prononco
level	plej bona el ili	die besten von ihnen	best of them	grupo	alternativoj	prononco
level	estas la plej bona	ist das Beste	is the best	grupo	alternativoj	prononco
level	kiu aŭto estas la plej bona?	welches auto ist das beste?	which car is the best?	grupo	alternativoj	prononco
level	tiu ĉi aŭto estas pli bona	Dieses Auto ist besser	this car is better	grupo	alternativoj	prononco
level	tiu ĉi estas la plej bona	Dieses hier ist das Beste	this one is the best	grupo	alternativoj	prononco
level	vidis ĉiujn aŭtojn	habe alle Autos gesehen	saw all the cars	grupo	alternativoj	prononco
level	la plej bona el ĉiuj	Das Beste	the best of all	grupo	alternativoj	prononco
level	ĉu ĝi estas rapida?	ist es schnell?	is it fast?	grupo	alternativoj	prononco
level	pli rapida ol aliaj	schneller als andere	faster than others	grupo	alternativoj	prononco
level	estas ankaŭ forta	ist auch stark	is also strong	grupo	alternativoj	prononco
level	ho jes, kompreneble!	Oh ja natürlich!	oh yes, of course!	grupo	alternativoj	prononco
level	estas tre forta	ist sehr stark	is very strong	grupo	alternativoj	prononco
level	certe ĝi estas forta	sicherlich ist es stark	certainly it is strong	grupo	alternativoj	prononco
level	estas ankaŭ multekosta	ist auch teuer	is also expensive	grupo	alternativoj	prononco
level	la plej multekosta el ĉiuj	das teuerste von allen	the most expensive of all	grupo	alternativoj	prononco
level	malmultekosta sed forta	billig, aber stark	cheap but strong	grupo	alternativoj	prononco
level	bedaŭras kaj bedaŭrindas	tut mir leid und ist bemitleidenswert (es lohnt sich, Mitleid zu empfinden)	feels sorry and is pityful (worth feeling sorry)	grupo	alternativoj	prononco
level	bedaŭrinde mi ne aĉetos	Leider werde ich nicht kaufen	unfortunately I will not buy	grupo	alternativoj	prononco
level	estas bedaŭrinda afero	ist eine bedauerliche Sache	is an unfortunate thing	grupo	alternativoj	prononco
level	li aĉetis novan aŭton	er kaufte ein neues Auto	he bought a new car	grupo	alternativoj	prononco
level	ĉar mi ne havas monon	weil ich kein Geld habe	because I do not have money	grupo	alternativoj	prononco
level	mia malnova aŭto	mein altes Auto	my old car	grupo	alternativoj	prononco
level	la plej malmultekosta el ĉiuj	das günstigste von allen	the cheapest of all	grupo	alternativoj	prononco
level	mi veturos tien	Ich werde dorthin fahren	I'll drive there	grupo	alternativoj	prononco
level	ankoraŭ veturos per ĝi	werde trotzdem damit fahren	will still drive with it	grupo	alternativoj	prononco
level	dum la tuta tago	den ganzen Tag	all day long	grupo	alternativoj	prononco
level	dum li diris tion	während er das sagte	while he said that	grupo	alternativoj	prononco
level	li denove rigardis ŝin	er sah sie wieder an	he looked at her again	grupo	alternativoj	prononco
level	sed la vendisto diris	aber der Verkäufer sagte	but the salesman said	grupo	alternativoj	prononco
level	estus pli bone, ke ~	es wäre besser, dass ~	it would be better that ~	grupo	alternativoj	prononco
level	rigardu tiun ĉi sinjorinon	Schau dir diese Dame an	look at this lady	grupo	alternativoj	prononco
level	ankaŭ tio estas tre multekosta	das ist auch sehr teuer	that is also very expensive	grupo	alternativoj	prononco
level	mi estas ŝia edzo	Ich bin ihr Ehemann	I am her husband	grupo	alternativoj	prononco
level	kiom via vojaĝo kostis?	Wie viel hat deine Reise gekostet?	how much did your trip cost?	grupo	alternativoj	prononco
level	aŭskultu la kanton de via edzino	Hören Sie sich das Lied Ihrer Frau an	listen to your wife's song	grupo	alternativoj	prononco
level	ne forgesu, ke ĝi tre multe kostas	Vergessen Sie nicht, dass es viel kostet	don’t forget that it costs a lot	grupo	alternativoj	prononco
level	li helpis la vendiston dum du horoj	Er half dem Verkäufer zwei Stunden lang	he helped the salesman for two hours	grupo	alternativoj	prononco
level	jam pli ol tri jaroj	seit mehr als drei Jahren	for more than three years	grupo	alternativoj	prononco
level	kovri, kovrilo, malkovri	bedecken, bedecken, aufdecken (entdecken)	cover, cover, uncover (discover)	grupo	alternativoj	prononco
level	la kialon li ankoraŭ ne malkovris	Den Grund dafür hat er noch nicht herausgefunden	the reason he has not yet discovered	grupo	alternativoj	prononco
level	kial vi komencis sendi leterojn?	Warum hast du angefangen, Briefe zu verschicken?	why did you start sending letters?	grupo	alternativoj	prononco
level	dum ok monatoj li vivis tie	Acht Monate lang lebte er dort	for eight months he lived there	grupo	alternativoj	prononco
level	ne havis tempon por aŭskulti	hatte keine Zeit zuzuhören	didn't have time to listen	grupo	alternativoj	prononco
level	la aŭto estis jam plena	das Auto war schon voll	the car was already full	grupo	alternativoj	prononco
level	kion vi manĝas?	was isst du	what are you eating	grupo	alternativoj	prononco
level	kia estas la vetero?	Wie ist das Wetter?	what's the weather like?	grupo	alternativoj	prononco
level	kian aŭton vi havas?	welche Art von Auto hast du?	what kind of car do you have?	grupo	alternativoj	prononco
level	kiaj estis ŝiaj leteroj?	Wie waren ihre Briefe?	what were her letters like?	grupo	alternativoj	prononco
level	kie ni estas?	Wo sind wir?	where are we?	grupo	alternativoj	prononco
level	kien vi iras?	Wohin gehst du?	where are you going to?	grupo	alternativoj	prononco
level	al kiu vi donis ĝin?	Wem hast du es gegeben?	to whom did you give it?	grupo	alternativoj	prononco
level	la viro, kun kiu vi vojaĝis	der Mann, mit dem du gereist bist	the man whom you traveled with	grupo	alternativoj	prononco
level	pli granda ol la aŭto	größer als das Auto	bigger than the car	grupo	alternativoj	prononco
level	la plej alta el tiuj homoj	der Größte dieser Leute	the tallest of those people	grupo	alternativoj	prononco
level	li sidis dum la manĝo	er saß beim Abendessen	he was sitting at dinner	grupo	alternativoj	prononco
level	ŝi skribas dum li legas	Sie schreibt, während er liest	she writes while he reads	grupo	alternativoj	prononco
level	ĉi tie, en ĉi tiu ĉambro	hier, in diesem Raum	here, in this room	grupo	alternativoj	prononco
level	tiu ĉi sinjoro	dieser Herr	this gentleman	grupo	alternativoj	prononco
level	aŭskultinda novaĵo	eine Nachricht, die es wert ist, gehört zu werden	a news worth listening	grupo	alternativoj	prononco
level	la libro estas vere leginda	das Buch ist wirklich lesenswert	the book is really worth reading	grupo	alternativoj	prononco
level	bedaŭra afero	eine unglückliche Sache	an unfortunate thing	grupo	alternativoj	prononco
level	bedaŭrinde, mi ne povas	Leider kann ich nicht	unfortunately, I can't	grupo	alternativoj	prononco
level	nedankinde. estis mia plezuro	Gern geschehen. es war mir ein Vergnügen	you are welcome. it was my pleasure	grupo	alternativoj	prononco
level	eta belulino ege belas	kleines hübsches Mädchen ist sehr schön	small pretty girl is very beautiful	grupo	alternativoj	prononco
level	ĉiuj amikoj amas ŝin	Alle Freunde lieben sie	all friends love her	grupo	alternativoj	prononco
level	antaŭ tri monatoj	vor drei Monaten	three months ago	grupo	alternativoj	prononco
level	okazis malbono al ŝi	ihr ist etwas Schlimmes passiert	something bad happened to her	grupo	alternativoj	prononco
level	ŝi falis pro aŭto	Sie stürzte wegen eines Autos	she fell because of a car	grupo	alternativoj	prononco
level	malsaniĝis kaj temperaturo altiĝis	wurde krank und die Temperatur stieg	became ill and temperature rose	grupo	alternativoj	prononco
level	patrino diris, ke ŝi devas ripozi	Mutter sagte, sie solle sich ausruhen	mother said she should rest	grupo	alternativoj	prononco
level	ŝi devas resti hejme	sie muss zu Hause bleiben	she has to stay home	grupo	alternativoj	prononco
level	ŝi vokos doktoron	Sie wird einen Arzt rufen	she will call a doctor	grupo	alternativoj	prononco
level	je la naŭa horo	um neun Uhr	at nine o'clock	grupo	alternativoj	prononco
level	matene venis je la oka	Der Morgen kam um acht Uhr	in the morning came at eight o'clock	grupo	alternativoj	prononco
level	je la sepa morgaŭ vespere	Morgen Abend um sieben	at seven tomorrow evening	grupo	alternativoj	prononco
level	montris liajn manojn	zeigte seine Hände	showed his hands	grupo	alternativoj	prononco
level	vesto, vestiĝas	kleiden, zieht sich an	dress, is getting dressed	grupo	alternativoj	prononco
level	vestiĝu kaj varmigu vian korpon	Zieh dich an und wärme deinen Körper	get dressed and warm your body	grupo	alternativoj	prononco
level	hejme tuj malvestis kaj duŝis	zu Hause sofort ausgezogen und geduscht	at home immediately undressed and showered	grupo	alternativoj	prononco
level	doktoro rigardis ĉion	Ein Arzt hat sich alles angeschaut	a doctor looked at everything	grupo	alternativoj	prononco
level	bone rigardis kaj fine diris	schaute genau hin und sagte schließlich	looked throughly and finally said	grupo	alternativoj	prononco
level	unu semajnon restu hejme	eine Woche zu Hause bleiben	stay home for a week	grupo	alternativoj	prononco
level	deziras, ke vi estu trankvila	möchte, dass du ruhig bist	wants you to be calm	grupo	alternativoj	prononco
level	post unu semajno	nach einer Woche	after one week	grupo	alternativoj	prononco
level	vi fartos pli bone	du wirst dich besser fühlen	you will feel better	grupo	alternativoj	prononco
level	trinku multe da teo	viel Tee trinken	drink plenty of tea	grupo	alternativoj	prononco
level	venos por revidi vin	werde dich wiedersehen	will come to see you again	grupo	alternativoj	prononco
level	ankaŭ li estu trankvila	lass ihn auch ruhig sein	let him be calm too	grupo	alternativoj	prononco
level	sana homo, sanulo	gesunder Mann, gesunder Mensch	healthy man, healthy person	grupo	alternativoj	prononco
level	zorgis pri si mem	kümmerte sich um sich selbst	took care of oneself	grupo	alternativoj	prononco
level	tuta afero tuje utilis al mi	Das Ganze hat mir auf einmal geholfen	the whole thing was useful to me at once	grupo	alternativoj	prononco
level	rimarkis, ke teruraĵo proksimas	Ich habe bemerkt, dass das schreckliche Ding in der Nähe ist	noticed that horrible thing is near	grupo	alternativoj	prononco
level	petis tuj rimarki ĝin	gebeten, es sofort zu bemerken	asked to notice it immediately	grupo	alternativoj	prononco
level	pensis, ke tio ne necesas	dachte, das wäre nicht nötig	thought that was not necessary	grupo	alternativoj	prononco
level	loĝis proksime, kaj tio utilis	wohnte in der Nähe, und das war nützlich	lived nearby, and that was useful	grupo	alternativoj	prononco
level	nia lando hodiaŭ teruriĝis	Unser Land hatte heute Angst	our country became terrified today	grupo	alternativoj	prononco
level	karaj infanoj el ĉiuj familioj	liebe Kinder aus allen Familien	dear children from all families	grupo	alternativoj	prononco
level	unu fojon hieraŭ, du fojojn morgaŭ	einmal gestern, zweimal morgen	once yesterday, twice tomorrow	grupo	alternativoj	prononco
level	hodiaŭ familioj bezonas infanojn	Heutzutage brauchen Familien Kinder	today families need children	grupo	alternativoj	prononco
level	esperis, ke li fartos bone morgaŭ	hoffte, dass es ihm morgen gut gehen würde	hoped he would be well tomorrow	grupo	alternativoj	prononco
level	li fartis ege trankvila	er fühlte (war) sehr ruhig	he was feeling (has been) very calm	grupo	alternativoj	prononco
level	tri etuloj altigis la monton	Drei kleine Kinder haben den Berg zum Leben erweckt	three little ones raised the mountain	grupo	alternativoj	prononco
level	gravuloj ne petis helpon	Wichtige Leute baten nicht um Hilfe	important people did not ask for help	grupo	alternativoj	prononco
level	piediris tien por helpi	ging dorthin, um zu helfen	walked there to help	grupo	alternativoj	prononco
level	restu hejme se temperaturo altas	Bleiben Sie zu Hause, wenn die Temperatur hoch ist	stay home if temperature is high	grupo	alternativoj	prononco
level	temperaturo restis simila hodiaŭ	Die Temperatur blieb heute ähnlich	temperature remained similar today	grupo	alternativoj	prononco
level	voku la doktoron je la naŭa	Rufen Sie um neun den Arzt an	call the doctor at nine	grupo	alternativoj	prononco
level	montru ĝin al via doktoro	Zeigen Sie es Ihrem Arzt	show it to your doctor	grupo	alternativoj	prononco
level	por montri vian piedon	um deinen Fuß zu zeigen	to show your foot	grupo	alternativoj	prononco
level	vestu ĉi tiun ĉemizon	trage dieses Shirt	wear this shirt	grupo	alternativoj	prononco
level	semajnfine ĉio trankviliĝos	Am Wochenende wird sich alles beruhigen	on the weekend everything will calm down	grupo	alternativoj	prononco
level	sub la te-taso kion vi trovis?	Was hast du unter der Teetasse gefunden?	under the tea-cup what did you find?	grupo	alternativoj	prononco
level	mi deziras matenan teon	Ich möchte Morgentee	I want morning tea	grupo	alternativoj	prononco
level	esperis trankvilan vesperon	hoffte auf einen ruhigen Abend	hoped for a quiet evening	grupo	alternativoj	prononco
level	deziras, ke vi lernu	möchte, dass du lernst	wants that you learn	grupo	alternativoj	prononco
level	insistis, ke mi iru	bestand darauf, dass ich gehe	insisted that I go	grupo	alternativoj	prononco
level	je kioma horo?	zu welcher Stunde?	at what hour?	grupo	alternativoj	prononco
level	je la sesa, li venos	um sechs wird er kommen	at six he will come	grupo	alternativoj	prononco
level	la libreto estis ĉarma	Das Libretto war bezaubernd	the libretto was charming	grupo	alternativoj	prononco
level	estu trankvila	ruhig sein	be quiet	grupo	alternativoj	prononco
level	li estu trankvila	lass ihn ruhig sein	let him be quiet	grupo	alternativoj	prononco
level	ankaŭ li	er auch	he too	grupo	alternativoj	prononco
level	mi deziras	Ich will (Wunsch)	I want (desire)	grupo	alternativoj	prononco
level	mi deziras, ke ~	Ich wünsche (wünsche), dass ~	I wish (desire) that ~	grupo	alternativoj	prononco
level	ke vi lernu	dass du lernst	that you learn	grupo	alternativoj	prononco
level	mi deziras, ke vi lernu	Ich möchte, dass du lernst	I want you to learn	grupo	alternativoj	prononco
level	patro insistas	Vater besteht darauf	father insists	grupo	alternativoj	prononco
level	patro insistas, ke ~	Vater besteht darauf, dass ~	father insists that ~	grupo	alternativoj	prononco
level	ke mi iru	dass ich gehe	that I go	grupo	alternativoj	prononco
level	patro insistas, ke mi iru	Vater besteht darauf, dass ich gehe	father insists that I go	grupo	alternativoj	prononco
level	je kioma horo	zu welcher Stunde	at what hour	grupo	alternativoj	prononco
level	je kioma horo vi venos?	Wann kommst du?	what time do you come?	grupo	alternativoj	prononco
level	je la kvina	um fünf Uhr)	at five (o'clock)	grupo	alternativoj	prononco
level	je la kvina horo	um fünf Uhr	at five o'clock	grupo	alternativoj	prononco
level	kiel li fartas?	Wie geht es ihm?	how does he doing?	grupo	alternativoj	prononco
level	kiel vi fartis lastatempe?	Wie geht es dir in letzter Zeit?	how have you been lately?	grupo	alternativoj	prononco
level	etaj libroj belas	kleine Bücher sind wunderschön	little books are beautiful	grupo	alternativoj	prononco
level	libreto, belaj libroj	ein Büchlein, schöne Bücher	a booklet, beautiful books	grupo	alternativoj	prononco
level	bela, beleta, belega	schön, ein bisschen hübsch, sehr schön	beautiful, a little pretty, very beautiful	grupo	alternativoj	prononco
level	varma, varmeta, varmega	warm, lauwarm, sehr heiß	warm, lukewarm, very hot	grupo	alternativoj	prononco
level	librego, libreto	ein großes Buch, eine Broschüre	a big book, a booklet	grupo	alternativoj	prononco
level	bona, bonega, bonege	gut, großartig, na ja	good, great, well	grupo	alternativoj	prononco
level	riĉa, riĉiĝi, riĉulo	reich, reich werden, ein reicher Mensch	rich, become rich, a rich person	grupo	alternativoj	prononco
level	trankvila, trankviliĝi, trankviliĝu	beruhigen, beruhigen, beruhigen	calm, to calm down, calm down	grupo	alternativoj	prononco
level	sana, resaniĝi, resaniĝis	gesund, geheilt werden, geheilt werden	healthy, to become healed, became healed	grupo	alternativoj	prononco
level	edzo, edziĝo, geedziĝis	ein Ehemann, Heirat, verheiratet	a husband, marriage, married	grupo	alternativoj	prononco
level	leterportisto	ein Briefträger	a letter postman	grupo	alternativoj	prononco
level	hejmlando	eine Heimat	a homeland	grupo	alternativoj	prononco
level	iom, iomete	etwas, ein wenig	somewhat, a little	grupo	alternativoj	prononco
level	ni bonege vespermanĝis	wir hatten ein tolles Abendessen	we had a great dinner	grupo	alternativoj	prononco
level	espereble, prizorgu vin	Hoffentlich passen Sie auf sich auf	hopefully, take care of yourself	grupo	alternativoj	prononco
level	mi zorgis pri la altkvalita loĝejo	Mir lag die hochwertige Wohnqualität am Herzen	I cared about the high-quality housing	grupo	alternativoj	prononco
level	pripensu dufoje, multfoje	Denken Sie zweimal nach, oft	think twice, many times	grupo	alternativoj	prononco
level	kiu deprenis la libreton?	Wer hat das Heft abgenommen?	who took down the booklet?	grupo	alternativoj	prononco
level	kato, kiu nomiĝas Cezaro	eine Katze namens Caesar	a cat named Caesar	grupo	alternativoj	prononco
level	kuko, kiu estas sur la tablo	ein Kuchen, der auf dem Tisch steht	a cake which is on the table	grupo	alternativoj	prononco
level	manĝu kukon, kiu estas sur la tablo	Iss einen Kuchen, der auf dem Tisch steht	eat a cake that is on the table	grupo	alternativoj	prononco
level	fariĝis varmega kaj ruĝiĝis	wurde heiß und errötete	became hot and blushed	grupo	alternativoj	prononco
level	patro volas, ke lia infano manĝu	Ein Vater möchte, dass sein Kind isst	a father wants his child to eat	grupo	alternativoj	prononco
level	en malgranda ĉambro	in einem kleinen Raum	in a small room	grupo	alternativoj	prononco
level	ni loĝas en ~	wir leben in ~	we live in ~	grupo	alternativoj	prononco
level	mi fariĝis maltrankvila	Ich wurde ängstlich	I became anxious	grupo	alternativoj	prononco
level	tiam, kiam mi vidis vin	damals, als ich dich sah	at that time when I saw you	grupo	alternativoj	prononco
level	ĉiuj rimarkis tion	das ist jedem aufgefallen	everyone noticed that	grupo	alternativoj	prononco
level	tion, ke ŝi estas belega	die Tatsache, dass sie schön ist	the fact that she is beautiful	grupo	alternativoj	prononco
level	ĉu vi deziras, ke ~ ?	Willst du das ~? (deziri)	do you want that ~ ? (deziri)	grupo	alternativoj	prononco
level	ke mi montru al vi	dass ich es dir zeigen kann	that I may show you	grupo	alternativoj	prononco
level	ĉu vi deziras, ke mi montru?	Soll ich es zeigen?	do you want me to show?	grupo	alternativoj	prononco
level	mian plej novan libron	mein neuestes Buch (Ziel)	my newest book (objective)	grupo	alternativoj	prononco
