C.no content.tsv
Level	Esperanto	no	en-us	Grupo	Alternativoj	Pronoco
level	honti	å skamme seg	to be ashamed	grupo	alternativoj	prononco
level	averti	å advare, å advare	to warn, to caution	grupo	alternativoj	prononco
level	turismo	turisme	tourism	grupo	alternativoj	prononco
level	stumpo	en stubbe, en rumpe (sigarett)	a stump, a butt (cigarret)	grupo	alternativoj	prononco
level	trinkmono (gratifiko)	et tips (bonus), en drikkepenger	a tip (bonus), a gratuity	grupo	alternativoj	prononco
level	pacienca	pasient	patient	grupo	alternativoj	prononco
level	mieno	et (ansikts)uttrykk	a (facial) expression	grupo	alternativoj	prononco
level	pensio	pensjon, livrente	pension, annuity	grupo	alternativoj	prononco
level	princo	en prins	a prince	grupo	alternativoj	prononco
level	sorto	skjebne, skjebne, formue	destiny, fate, fortune	grupo	alternativoj	prononco
level	-end-	(suffiks) forpliktelse	(suffix)  obligation	grupo	alternativoj	prononco
level	longaj ŝtrumpoj	lange strømper	long stockings	grupo	alternativoj	prononco
level	barbo	skjegg	beard	grupo	alternativoj	prononco
level	-ing-	(suffiks) lang holder, stikkontakt	(suffix)  long holder, socket	grupo	alternativoj	prononco
level	bongusta	deilig, god smak	delicious, good-tasted	grupo	alternativoj	prononco
level	flegi	å ta vare på, å pleie	to take care of, to nurse	grupo	alternativoj	prononco
level	-njo	(suffiks) kjæledyrnavn	(suffix)  female pet name	grupo	alternativoj	prononco
level	-ĉjo	(suffiks) kjæledyrnavn	(suffix)  male pet name	grupo	alternativoj	prononco
level	plugi	å pløye, å pløye, å till	to plow, to plough, to till	grupo	alternativoj	prononco
level	amletero	et kjærlighetsbrev	a loveletter	grupo	alternativoj	prononco
level	glaso da	et glass med	a glass of	grupo	alternativoj	prononco
level	valo	en dal	a valley	grupo	alternativoj	prononco
level	taso da	en kopp med	a cup of	grupo	alternativoj	prononco
level	ŝarĝo	en byrde, en last, en belastning	a burden, a load, a charge	grupo	alternativoj	prononco
level	bufedo	en buffet	a buffet	grupo	alternativoj	prononco
level	avino	en bestemor	a grandmother	grupo	alternativoj	prononco
level	guto	en dråpe, et drypp	a drop, a drip	grupo	alternativoj	prononco
level	estingi	å slukke, å slukke	to put out, to extinguish	grupo	alternativoj	prononco
level	feliĉe	gjerne	happily	grupo	alternativoj	prononco
level	gorĝo	en hals	a throat	grupo	alternativoj	prononco
level	serpento	en slange	a snake	grupo	alternativoj	prononco
level	klare	helt klart	clearly	grupo	alternativoj	prononco
level	alveni	å ankomme, å få	to arrive, to get	grupo	alternativoj	prononco
level	aldoni	å legge til	to add	grupo	alternativoj	prononco
level	vesti (sin)	å kle (selv), å ta på	to dress (oneself), to put on	grupo	alternativoj	prononco
level	vosto	en hale	a tail	grupo	alternativoj	prononco
level	alporti	å bringe, å hente	to bring, to fetch	grupo	alternativoj	prononco
level	vestiblo	en lobby (ta av kjolen), entré, vestibyle	a lobby (putting dress off), entrance hall, vestibule	grupo	alternativoj	prononco
level	korno	et horn, tutter, klaxon	a horn, hooter, klaxon	grupo	alternativoj	prononco
level	avara	grådig, grådig	greedy, avarious	grupo	alternativoj	prononco
level	ebla	mulig, i stand	possible, able	grupo	alternativoj	prononco
level	eble	kanskje, muligens, kanskje	perhaps, possibly, maybe	grupo	alternativoj	prononco
level	balai	å feie	to sweep	grupo	alternativoj	prononco
level	kompreneble	selvfølgelig (forståelig nok)	of course (understandably)	grupo	alternativoj	prononco
level	glitkuri	å skøyte, å skli-løpe	to skate, to sliding-run	grupo	alternativoj	prononco
level	sketi (glitkuri)	å gå på skøyter (skøyter)	to skate (ice skating)	grupo	alternativoj	prononco
level	ŝvito	svette, svette, svette	sweat, a sweat, perspiration	grupo	alternativoj	prononco
level	nenies	ingens, ingens	nobody's, no-one's	grupo	alternativoj	prononco
level	simili	å ligne, å ligne	to look similar, to resemble	grupo	alternativoj	prononco
level	kameno	en peis, en ildsted	a fireplace, a hearth	grupo	alternativoj	prononco
level	portebla	bærbar	portable	grupo	alternativoj	prononco
level	memkomprenebla	tydelig, selvfølgelig	evident, of course	grupo	alternativoj	prononco
level	prezidanto	en styreleder, en president	a chairman, a president	grupo	alternativoj	prononco
level	pluraj	flere	several	grupo	alternativoj	prononco
level	kongresnumero	et registreringsnummer i en kongress	a registering number in a congress	grupo	alternativoj	prononco
level	UK (U.K.)	den universelle kongressen (av esperanto)	the Universal Congress (of Esperanto)	grupo	alternativoj	prononco
level	surda	døv	deaf	grupo	alternativoj	prononco
level	UEA (U.E.A)	den universelle esperanto-foreningen	the Universal Esperanto-Association	grupo	alternativoj	prononco
level	ordi	å ordne, å gjøre ting i orden	to arrange, to make things in order	grupo	alternativoj	prononco
level	fraŭlino	en skapt, ugift kvinne, frk.	a maden, unmarried woman, Miss.	grupo	alternativoj	prononco
level	ringo	en ring	a ring	grupo	alternativoj	prononco
level	pasaĝerŝipo	et passasjerskip	a passenger ship	grupo	alternativoj	prononco
level	kongreslibro	en kongressbok	a congress book	grupo	alternativoj	prononco
level	beko	et nebb, en regning	a beak, a bill	grupo	alternativoj	prononco
level	libroservo	en bokhandel (i en kongress)	a bookshop (in a congress)	grupo	alternativoj	prononco
level	libroŝranko	en bokhylle	a book shelf	grupo	alternativoj	prononco
level	kapkuseno	en pute	a pillow	grupo	alternativoj	prononco
level	cindro	aske, slagg	ash, cinder	grupo	alternativoj	prononco
level	artikolo	en artikkel (magasin, avis)	an article (magazine, newspaper)	grupo	alternativoj	prononco
level	nombri	å telle, å telle	to number, to count	grupo	alternativoj	prononco
level	duobla	dobbelt	double	grupo	alternativoj	prononco
level	duoble	to ganger, dobbelt	twice, doubly	grupo	alternativoj	prononco
level	dekobla	på ti ganger	of ten-fold	grupo	alternativoj	prononco
level	ĉapo	en lue	a cap	grupo	alternativoj	prononco
level	dekoblo	ti ganger, ti ganger	ten-fold, ten times	grupo	alternativoj	prononco
level	kasedo	en kassett	a cassette	grupo	alternativoj	prononco
level	dekoble	ti ganger så mye (mange)	ten times as much (many)	grupo	alternativoj	prononco
level	jesuo	Jesus	Jesus	grupo	alternativoj	prononco
level	poluro	polering, polering	polish, polishment	grupo	alternativoj	prononco
level	tusi	å hoste	to cough	grupo	alternativoj	prononco
level	pinglo	nål, nål	pin, needle	grupo	alternativoj	prononco
level	buĝeto	et budsjett (=budĝeto)	a budget (=budĝeto)	grupo	alternativoj	prononco
level	duono	en halv	an half	grupo	alternativoj	prononco
level	subjekto	et emne	a subject	grupo	alternativoj	prononco
level	pesi	å måle vekt, å veie	to measure weight, to weigh	grupo	alternativoj	prononco
level	ĉiutage	hver dag, daglig	every day, daily	grupo	alternativoj	prononco
level	lanterno	en lykt	a lantern	grupo	alternativoj	prononco
level	tagmanĝo	en lunsj, middagsmåltid	a lunch, midday meal	grupo	alternativoj	prononco
level	importi	å importere	to import	grupo	alternativoj	prononco
level	duona	halv(ly)	half(ly)	grupo	alternativoj	prononco
level	dekono	en tiendedel	a tenth	grupo	alternativoj	prononco
level	skrapi	å skrape, å skrape	to scrape, to scratch	grupo	alternativoj	prononco
level	kvarono	en fjerdedel, en fjerdedel	a quarter, one fourth	grupo	alternativoj	prononco
level	triono	en tredjedel, en tredjedel	a third, one third	grupo	alternativoj	prononco
level	pezi	å veie (å ha en tyngde av en mengde)	to weigh (to have a heaviness of an amount)	grupo	alternativoj	prononco
level	naztuko	et lommetørkle (=kajertuko)	a handkerchief (=kajertuko)	grupo	alternativoj	prononco
level	bantuko	et badehåndkle	a bath towel	grupo	alternativoj	prononco
level	littuko	et laken	a bed sheet	grupo	alternativoj	prononco
level	terure	fryktelig, forferdelig	terribly, awfully	grupo	alternativoj	prononco
level	kvaropo	en firing, en firedobbel	a foursome, a quadruple	grupo	alternativoj	prononco
level	tualeto	et toalett (antrekk)	a toilet (attire)	grupo	alternativoj	prononco
level	pardono	tilgivelse, tilgivelse, forløsning	forgiveness, pardon, absolution	grupo	alternativoj	prononco
level	kuvo	et badekar, et badekar, et kar	a tub, a bath, a vat	grupo	alternativoj	prononco
level	vizitadi	å besøke regelmessig, å hyppige	to visit regularily, to frequent	grupo	alternativoj	prononco
level	esplori	å utforske, å undersøke	to explore, to investigate	grupo	alternativoj	prononco
level	regali	å fornøye, å behandle, å underholde	to regale, to treat, to entertain	grupo	alternativoj	prononco
level	diskuti	å diskutere	to discuss	grupo	alternativoj	prononco
level	propagandi	å lage propaganda, å annonsere	to make propaganda, to advertise	grupo	alternativoj	prononco
level	kudrilo	en synål	a sewing needle	grupo	alternativoj	prononco
level	ŝoveli	å måke	to shovel	grupo	alternativoj	prononco
level	aplaŭdo	en applaus, akklamasjon	an applause, acclamation	grupo	alternativoj	prononco
level	malsata	sulten	hungry	grupo	alternativoj	prononco
level	esprimi	å uttrykke	to express	grupo	alternativoj	prononco
level	subtaso	en tallerken	a saucer	grupo	alternativoj	prononco
level	traduko	en oversettelse	a translation	grupo	alternativoj	prononco
level	kopiilo	en kopimaskin, en kopimaskin	a copying machine, a copier	grupo	alternativoj	prononco
level	provizo	en forsyning, en beholdning, en forsyning	a provision, a stock, a supply	grupo	alternativoj	prononco
level	traduki	å oversette	to translate	grupo	alternativoj	prononco
level	terglobo	jordkloden	the earth globe	grupo	alternativoj	prononco
level	breto	en hylle	a shelf	grupo	alternativoj	prononco
level	sekreti	å holde på hemmeligheter	to keep secrets	grupo	alternativoj	prononco
level	ekonomio	økonomi, en økonomi	economy, an economy	grupo	alternativoj	prononco
level	evolui	å utvikle	to evolve	grupo	alternativoj	prononco
level	ĉambristo	en husholderske	a housekeeper	grupo	alternativoj	prononco
level	dimanĉe	på søndag	on Sunday	grupo	alternativoj	prononco
level	pruntedoni	å låne	to lend	grupo	alternativoj	prononco
level	veturado	skal på tur	going on a ride	grupo	alternativoj	prononco
level	ĥoro	et kor, et refreng	a choir, a chorus	grupo	alternativoj	prononco
level	pruntepreni	å låne og ta	to borrow and take	grupo	alternativoj	prononco
level	vestaĵo	klær	clothes	grupo	alternativoj	prononco
level	rapide	raskt, raskt, raskt	rapidly, quickly, swiftly	grupo	alternativoj	prononco
level	urbomezo	et sentrum av en by	a center of a city	grupo	alternativoj	prononco
level	tridekjara	30 år gammel	30 years old	grupo	alternativoj	prononco
level	tiuokaze	i så fall	in that case	grupo	alternativoj	prononco
level	sekigi	å tørke	to dry	grupo	alternativoj	prononco
level	varmigi	å gjøre varm, å holde varmen, å varme	to make warm, to keep warm, to heat	grupo	alternativoj	prononco
level	surloka	på stedet	at the place	grupo	alternativoj	prononco
level	supren	oppover	upward	grupo	alternativoj	prononco
level	subakvigi	å synke, å gjøre synke	to sink, to make sink	grupo	alternativoj	prononco
level	foto	et bilde, fotografi	a photo, photograph	grupo	alternativoj	prononco
level	sovaĝejo	en villmark	a wilderness	grupo	alternativoj	prononco
level	skribotablo	et skrivebord	a writing table	grupo	alternativoj	prononco
level	varmiĝi	å bli varm	to become warm	grupo	alternativoj	prononco
level	klarigi	å forklare, å avklare	to explain, to clarify	grupo	alternativoj	prononco
level	sentimulo	en fryktløs mann	a fearless man	grupo	alternativoj	prononco
level	krepusko	en skumring, en skumring	a twilight, a dusk	grupo	alternativoj	prononco
level	laciga	slitasje, slitende, forårsaker tretthet	wearing, tiring, causing fatigue	grupo	alternativoj	prononco
level	senkolora	fargeløs	colorless	grupo	alternativoj	prononco
level	senbrue	uten støy	without noise	grupo	alternativoj	prononco
level	lernigi	å gjøre læring, å undervise	to make learning, to teach	grupo	alternativoj	prononco
level	ŝuldi	å skylde	to owe	grupo	alternativoj	prononco
level	sekreta	hemmelig	secret	grupo	alternativoj	prononco
level	finigi	å gjøre en slutt, å fullføre	to make an end, to finish	grupo	alternativoj	prononco
level	salto	et hopp	a jump	grupo	alternativoj	prononco
level	finiĝi	å bli ferdig, å avslutte, å komme til en slutt	to become finished, to end, to come to an end	grupo	alternativoj	prononco
level	malvarmiĝi	å bli kald	to become cold	grupo	alternativoj	prononco
level	rideto	Et smil	a smile	grupo	alternativoj	prononco
level	sidiĝi	å sette seg ned	to sit down	grupo	alternativoj	prononco
level	repaciĝo	blir fredelig igjen	becoming peaceful again	grupo	alternativoj	prononco
level	redoni	å gi tilbake	to give back	grupo	alternativoj	prononco
level	stariĝi	å reise seg, reise seg, reise seg	to get up, to rise, to stand up	grupo	alternativoj	prononco
level	rapidege	svært raskt	very quickly	grupo	alternativoj	prononco
level	servo	tjeneste, en tjeneste	service, a service	grupo	alternativoj	prononco
level	konsideri	å overveie	to consider	grupo	alternativoj	prononco
level	promenejo	en promenade	a promenade	grupo	alternativoj	prononco
level	komenciĝi	å komme i gang, å begynne	to get started, to begin	grupo	alternativoj	prononco
level	plibeligi	å forskjønne (mer)	to beautify (more)	grupo	alternativoj	prononco
level	perdigi	å gjøre for å gå seg vill	to make to get lost	grupo	alternativoj	prononco
level	ordigi	å gjøre bestilt	to make ordered	grupo	alternativoj	prononco
level	maristo	en sjømann, en sjømann, en sjømann	a seaman, a sailor, a mariner	grupo	alternativoj	prononco
level	neinteresa	ikke interessant	not interesting	grupo	alternativoj	prononco
level	naturaĵo	en naturlig ting	a natural thing	grupo	alternativoj	prononco
level	fariĝi ~	å bli ~	to become ~	grupo	alternativoj	prononco
level	multpieda	mangefot	many-footed	grupo	alternativoj	prononco
level	moviĝi	å flytte (bort), å flytte til et annet sted	to move (away), to move into another place	grupo	alternativoj	prononco
level	konatiĝi (kun)	å bli kjent (med)	to get acquainted (with)	grupo	alternativoj	prononco
level	morgaŭa	morgendagens	tomorrow's	grupo	alternativoj	prononco
level	ekzameni	å eksaminere	to examine	grupo	alternativoj	prononco
level	malŝati	å hate, ikke liker	to hate, do not like	grupo	alternativoj	prononco
level	plenigi	fylle opp, fylle ut	to fill up, to fill in	grupo	alternativoj	prononco
level	malĝoja	lei seg	sad	grupo	alternativoj	prononco
level	frosto	frost, en frost, fryse, iskaldt	frost, a frost, freeze, freezing cold	grupo	alternativoj	prononco
level	manplato	palme, en palme	palm, a palm	grupo	alternativoj	prononco
level	maltrankvila	engstelig	anxious	grupo	alternativoj	prononco
level	respubliko	en republikk	a republic	grupo	alternativoj	prononco
level	malseka	våt	wet	grupo	alternativoj	prononco
level	malsaniĝi	å bli syk	to become ill	grupo	alternativoj	prononco
level	aliĝi	å bli med	to join	grupo	alternativoj	prononco
level	malplaĉa	ubehagelig	uncomfortable	grupo	alternativoj	prononco
level	malofte	sjelden	rarely	grupo	alternativoj	prononco
level	malmulto	få	few	grupo	alternativoj	prononco
level	rezignigi	to make to resign, to force resign	to make to resign, to force resign	grupo	alternativoj	prononco
level	filmo	en film, en film	a film, a motion picture	grupo	alternativoj	prononco
level	malmulte	hos få	in few	grupo	alternativoj	prononco
level	terni	å nyse	to sneeze	grupo	alternativoj	prononco
level	fermigi	å få til å lukke	to make to close	grupo	alternativoj	prononco
level	malkontentigi	å irritere	to annoy	grupo	alternativoj	prononco
level	malfrui	å være sen	to be late	grupo	alternativoj	prononco
level	malforta	svak	weak	grupo	alternativoj	prononco
level	fermiĝi	å bli lukket, å være lukket	to become closed, to be closed	grupo	alternativoj	prononco
level	malfacila	vanskelig	difficult	grupo	alternativoj	prononco
level	alkoholaĵo	brennevin, alkoholholdig drikke	liquor, alcoholic beverage	grupo	alternativoj	prononco
level	difini	Å definere	to define	grupo	alternativoj	prononco
level	malagrabla	ubehagelig	unpleasant	grupo	alternativoj	prononco
level	anstataŭigi	å erstatte, å sette i stedet for, å erstatte	to replace, to put in place of, to substitute	grupo	alternativoj	prononco
level	laboristo	en arbeider	a worker	grupo	alternativoj	prononco
level	koncerni	å bekymre	to concern	grupo	alternativoj	prononco
level	sciigi	å gi beskjed, å informere, å dele, å varsle	to let know, to inform, to share, to notify	grupo	alternativoj	prononco
level	planti	å plante	to plant	grupo	alternativoj	prononco
level	politiko	en politikk, politikk	a policy, politics	grupo	alternativoj	prononco
level	kunporti	å ta med	to bring along	grupo	alternativoj	prononco
level	amikiĝi (kun ~)	å bli venner (med ~)	to make friends (with ~)	grupo	alternativoj	prononco
level	korpoforto	fysisk styrke	physical strength	grupo	alternativoj	prononco
level	klarigo	en forklaring	an explanation	grupo	alternativoj	prononco
level	dividi	dele, dele	to divide, to share	grupo	alternativoj	prononco
level	armi	å bevæpne	to arm	grupo	alternativoj	prononco
level	karulino	en kjære	a darling	grupo	alternativoj	prononco
level	intervidiĝi	å se hverandre	to see each other	grupo	alternativoj	prononco
level	instruistino	en kvinnelig lærer	a female teacher	grupo	alternativoj	prononco
level	ŝlosilo	en nøkkel	a key	grupo	alternativoj	prononco
level	ideoriĉa	Fantasifull	imaginative	grupo	alternativoj	prononco
level	falsi	å forfalske, å forfalske, å forfalske, å forfalske	to falsify, to fake, to forge, to counterfeit	grupo	alternativoj	prononco
level	ŝuoj	sko	shoes	grupo	alternativoj	prononco
level	homformo	en form for en person	a form of a person	grupo	alternativoj	prononco
level	scipovi	å vite hvordan	to know how	grupo	alternativoj	prononco
level	haltigi	å forårsake stopp	to cause stop	grupo	alternativoj	prononco
level	spezi	å handle penger	to transact money	grupo	alternativoj	prononco
level	grandula	gigantens	giant's	grupo	alternativoj	prononco
level	grafino	en grevinne	a countess	grupo	alternativoj	prononco
level	supra	øverste	upper	grupo	alternativoj	prononco
level	gondolisto	en gondolist	a gondolist	grupo	alternativoj	prononco
level	paŭzi	å pause, å bryte, å ta en pause	to pause, to break, to take a rest	grupo	alternativoj	prononco
level	gefrato	søsken	siblings	grupo	alternativoj	prononco
level	sandviĉo	en sandwich	a sandwich	grupo	alternativoj	prononco
level	knedi	å blande, å elte, å jobbe inn	to mix, to knead, to work into	grupo	alternativoj	prononco
level	fuŝparoli	å snakke feil	to speak wrongly	grupo	alternativoj	prononco
level	ekzerci	å trene, å trene, å bore, å øve	to exercise, to train, to drill, to practice	grupo	alternativoj	prononco
level	fine	på slutten	at the end	grupo	alternativoj	prononco
level	verŝajne	sannsynligvis, tilsynelatende	probably, apparently	grupo	alternativoj	prononco
level	familiano	et familiemedlem	a family member	grupo	alternativoj	prononco
level	energio	en energi	an energy	grupo	alternativoj	prononco
level	faligi	å forårsake fall, å kjøre over	to cause falling, to run over	grupo	alternativoj	prononco
level	aparato	et apparat, en maskin, en enhet	an apparatus, machine, device	grupo	alternativoj	prononco
level	informo	en informasjon	an information	grupo	alternativoj	prononco
level	eniri	å gå inn	to go in	grupo	alternativoj	prononco
level	saluton!	Hallo!	hello!	grupo	alternativoj	prononco
level	ekvidi	å begynne å se	to start seeing	grupo	alternativoj	prononco
level	balancilo	en sving, en balanse	a swing, a balance	grupo	alternativoj	prononco
level	ekstervoje	på vei ut	on the way out	grupo	alternativoj	prononco
level	flugilo	en vinge	a wing	grupo	alternativoj	prononco
level	ekrigardi	å begynne å lete	to start looking	grupo	alternativoj	prononco
level	laŭtparolilo	en høyttaler	a speaker	grupo	alternativoj	prononco
level	ekmire	fantastisk	wonderously	grupo	alternativoj	prononco
level	dumtage	på dagen	at day	grupo	alternativoj	prononco
level	socio	et samfunn	a society	grupo	alternativoj	prononco
level	doloriga	forårsaker smerte	causing pain	grupo	alternativoj	prononco
level	laborilo	et verktøy for arbeid	a tool for work	grupo	alternativoj	prononco
level	devojiĝi	å komme på avveie	to go astray	grupo	alternativoj	prononco
level	banujo	et badekar (=bankuvo)	a bathtub (=bankuvo)	grupo	alternativoj	prononco
level	afiŝo	en plakat, et innlegg, en artikkel	a poster, a post, an article	grupo	alternativoj	prononco
level	ellitiĝi	å stå opp av senga, å stå opp	to get out of bed, to get up	grupo	alternativoj	prononco
level	signifi	å bety, å bety, å antyde	to mean, to signify, to imply	grupo	alternativoj	prononco
level	tondilo	saks	scissors	grupo	alternativoj	prononco
level	besteto	et lite dyr	a little animal	grupo	alternativoj	prononco
level	pasio	lidenskap	passion	grupo	alternativoj	prononco
level	bedaŭrinde	dessverre	unfortunately	grupo	alternativoj	prononco
level	ekdormi	å sovne	to fall asleep	grupo	alternativoj	prononco
level	aĉodora	lukter vondt	bad smelling	grupo	alternativoj	prononco
level	tranĉilo	en kniv	a knife	grupo	alternativoj	prononco
level	rano	en frosk	a frog	grupo	alternativoj	prononco
level	arboplena	full av trær	full of trees	grupo	alternativoj	prononco
level	vespere	om kvelden	in the evening	grupo	alternativoj	prononco
level	temo	et tema, et tema	a theme, a topic	grupo	alternativoj	prononco
level	antaŭeniri	å gå videre	to go ahead	grupo	alternativoj	prononco
level	kalkulilo	en kalkulator	a calculator	grupo	alternativoj	prononco
level	amikino	en kjæreste	a girl friend	grupo	alternativoj	prononco
level	alilanda	fremmed	foreign	grupo	alternativoj	prononco
level	kovrilo	et deksel, et tent, et teppe	a cover, a lit, a blanket	grupo	alternativoj	prononco
level	menuo	En meny	a menu	grupo	alternativoj	prononco
level	informilo	et nyhetsbrev, en kunngjøring	a newsletter, an anouncement	grupo	alternativoj	prononco
level	Venecia	Venezia	Venice	grupo	alternativoj	prononco
level	teroro	en terror	a terror	grupo	alternativoj	prononco
level	doĝo	en doge, en visekonge	a doge, a viceroy	grupo	alternativoj	prononco
level	kvanto	mengde, mengde	quantity, amount	grupo	alternativoj	prononco
level	batilo	en flaggermus (å slå)	a bat (to hit)	grupo	alternativoj	prononco
level	kvalito	kvalitet, eiendom	quality, property	grupo	alternativoj	prononco
level	laŭte	høyt, høyt	loudly, aloud	grupo	alternativoj	prononco
level	-ut-	(suffiks) betinget passiv	(suffix)  conditional passive	grupo	alternativoj	prononco
level	kristnasko	jul	Christmas	grupo	alternativoj	prononco
level	vivo	et liv	a life	grupo	alternativoj	prononco
level	freneza	gal, sinnssyk, sint	crazy, insane, mad	grupo	alternativoj	prononco
level	solvi	å løse, å oppløse	to solve, to dissolve	grupo	alternativoj	prononco
level	rilate al	vedrørende	relating to	grupo	alternativoj	prononco
level	fi!	dritt!	shit!	grupo	alternativoj	prononco
level	rideti	å smile	to smile	grupo	alternativoj	prononco
level	temas pri	det handler om	it is about	grupo	alternativoj	prononco
level	alilande	i utlandet	abroad	grupo	alternativoj	prononco
level	pli-malpli	mer eller mindre	more or less	grupo	alternativoj	prononco
level	kadro	en ramme, en setting, en kader	a frame, a setting, a cadre	grupo	alternativoj	prononco
level	eta	liten, liten (=malgranda)	small, tiny (=malgranda)	grupo	alternativoj	prononco
level	dumil	to tusen	two thousands	grupo	alternativoj	prononco
level	ŝtormo	en storm	a storm	grupo	alternativoj	prononco
level	elektra	elektrisk, elektrisk	electric, electrical	grupo	alternativoj	prononco
level	ducent	to hundre	two hundreds	grupo	alternativoj	prononco
level	lageto	en dam	a pond	grupo	alternativoj	prononco
level	tridek	tretti	thirty	grupo	alternativoj	prononco
level	kukurbo	et gresskar, en kalebass	a pumpkin, a gourd	grupo	alternativoj	prononco
level	varmete	i lunkent	in lukewarm	grupo	alternativoj	prononco
level	dek naŭ	nitten	nineteen	grupo	alternativoj	prononco
level	eĥo	et ekko	an echo	grupo	alternativoj	prononco
level	ekrano	en skjerm	a screen	grupo	alternativoj	prononco
level	dek sep	sytten	seventeen	grupo	alternativoj	prononco
level	malvarmeta	kul	cool	grupo	alternativoj	prononco
level	dek kvin	femten	fifteen	grupo	alternativoj	prononco
level	oratoro	en taler, en talsmann, en taler	an orator, a spokesman, a speaker	grupo	alternativoj	prononco
level	mansako	en veske (=mansaketo)	a handbag (=mansaketo)	grupo	alternativoj	prononco
level	dek tri	tretten	thirteen	grupo	alternativoj	prononco
level	kristalo	en krystall	a crystal	grupo	alternativoj	prononco
level	cigaredo	en sigarett	a cigarette	grupo	alternativoj	prononco
level	pronomo	et pronomen	a pronoun	grupo	alternativoj	prononco
level	frapeti	å tappe	to tap	grupo	alternativoj	prononco
level	nukso	en nøtt	a nut	grupo	alternativoj	prononco
level	dek unu	elleve	eleven	grupo	alternativoj	prononco
level	mirinda	fantastisk, fantastisk	amazing, marvelous	grupo	alternativoj	prononco
level	pordego	en portal, en hovedport, en port	a portal, a main gate, a gate	grupo	alternativoj	prononco
level	funkcio	en funksjon	a function	grupo	alternativoj	prononco
level	impliki	å implisere, å vikle inn, å involvere	to implicate, to entangle, to involve	grupo	alternativoj	prononco
level	tasko	en oppgave, en jobb	a task, a job	grupo	alternativoj	prononco
level	tunelo	en tunnel, en hule	a tunnel, a burrow	grupo	alternativoj	prononco
level	volo	villighet	willingness	grupo	alternativoj	prononco
level	intermanĝeto	en lunsj (middels, liten)	a lunch (intermediate, small)	grupo	alternativoj	prononco
level	interreto	internett, internett	internet, Internet	grupo	alternativoj	prononco
level	tikli	å kile	to tickle	grupo	alternativoj	prononco
level	vigle	animert, raskt	animatedly, briskly	grupo	alternativoj	prononco
level	bendo	et band, en tape, en stripe	a band, a tape, a strip	grupo	alternativoj	prononco
level	stulta	dum, tåpelig	stupid, foolish	grupo	alternativoj	prononco
level	haloo	Hallo	hello	grupo	alternativoj	prononco
level	himno	en hymne, en hymne	a hymn, an anthem	grupo	alternativoj	prononco
level	taŭgi	å passe, passe	to be suitable, to fit	grupo	alternativoj	prononco
level	plenaĝa	voksen, voksen	adult, grown-up	grupo	alternativoj	prononco
level	recenzi	å anmelde, å skrive opp	to review, to write up	grupo	alternativoj	prononco
level	gratulo	gratulerer	congratulation	grupo	alternativoj	prononco
level	flati	å smigre	to flatter	grupo	alternativoj	prononco
level	komitato	en komité	a committee	grupo	alternativoj	prononco
level	frataro	en gruppe plager	a group of bothers	grupo	alternativoj	prononco
level	dorno	en torn	a thorn	grupo	alternativoj	prononco
level	nebulo	tåke, tåke	fog, mist	grupo	alternativoj	prononco
level	fervojo	en jernbane	a railway	grupo	alternativoj	prononco
level	uzado	hvordan bruke, bruke	how to use, using	grupo	alternativoj	prononco
level	klimato	et klima	a climate	grupo	alternativoj	prononco
level	brakumo	en klem	a hug	grupo	alternativoj	prononco
level	bandaĝo	en bandasje, dressing	a bandage, dressing	grupo	alternativoj	prononco
level	drato	en ledning	a wire	grupo	alternativoj	prononco
level	unuo	enhet	unit	grupo	alternativoj	prononco
level	materialo	materiale, et materiale	material, a material	grupo	alternativoj	prononco
level	malvarmumi	å bli forkjølet	to catch cold	grupo	alternativoj	prononco
level	unue	først av alt	first of all	grupo	alternativoj	prononco
level	gramo	et gram	a gram	grupo	alternativoj	prononco
level	turniĝi	å bli snudd	to become turned	grupo	alternativoj	prononco
level	malsano	en sykdom	a disease	grupo	alternativoj	prononco
level	porcio	en del, en andel	a portion, a share	grupo	alternativoj	prononco
level	armeo	en armé	an army	grupo	alternativoj	prononco
level	bulteno	en bulletin, et nyhetsbrev	a bulletin, a newsletter	grupo	alternativoj	prononco
level	partio	fest, en fest, en kamp, en side	party, a party, a match, a side	grupo	alternativoj	prononco
level	trio	en trio	a trio	grupo	alternativoj	prononco
level	proksimume	omtrent, ca	approximately, about	grupo	alternativoj	prononco
level	determini	å bestemme	to determine	grupo	alternativoj	prononco
level	oferi	å ofre, å ofre, å ofre	to sacrifice, to offer, to offer up	grupo	alternativoj	prononco
level	naĝo	svømming, bade	swimming, bathe	grupo	alternativoj	prononco
level	evidenta	tydelig, tydelig, tydelig	evident, clear, obvious	grupo	alternativoj	prononco
level	tria	tredje	third	grupo	alternativoj	prononco
level	familiara	kjent, vennlig	familiar, friendly	grupo	alternativoj	prononco
level	pastro	en prest, en prest, en pastor	a priest, a clergyman, a pastor	grupo	alternativoj	prononco
level	foliumi	å bla, bla, bla igjennom	to turn pages, to browse, to leaf through	grupo	alternativoj	prononco
level	sufiĉi	å være tilstrekkelig	to be sufficient	grupo	alternativoj	prononco
level	okulumi	å få øyne til, å stirre på, å blunke	to make eyes at, to ogle, to stare at, to wink	grupo	alternativoj	prononco
level	ekzakta	nøyaktig	exact	grupo	alternativoj	prononco
level	konstati	å fastslå, å fastslå å være et faktum	to ascertain, to establish to be a fact	grupo	alternativoj	prononco
