A.ro content.tsv
Level	Esperanto	ro	en-us	Grupo	Alternativoj	Pronoco
level	ĝi falis sur la tablon	a căzut pe masă	it fell on the table	grupo	alternativoj	prononco
level	petis pardonon	a cerut iertare	asked for pardon	grupo	alternativoj	prononco
level	serĉis kvin librojn	căuta cinci cărți	was searching for five books	grupo	alternativoj	prononco
level	pardonu, mi serĉis mian libron	scuze, îmi căutam cartea.	sorry, I was looking for my book.	grupo	alternativoj	prononco
level	sed vi bone scias	dar știi bine	but you know well	grupo	alternativoj	prononco
level	ne estas sur mia tablo	nu este pe masa mea	is not on my table	grupo	alternativoj	prononco
level	viaj libroj ne estas sur mia tablo	cărțile tale nu sunt pe masa mea	your books are not on my table	grupo	alternativoj	prononco
level	ree donis, redonis	din nou a dat, a întors	again gave, returned	grupo	alternativoj	prononco
level	redonu la leteron al mi.	întoarce-mi scrisoarea	return the letter to me	grupo	alternativoj	prononco
level	ricevis bonan lecionon	a primit o lecție bună	received a good lesson	grupo	alternativoj	prononco
level	plu lavis, ne plu manĝis	mai spălat, mai mâncat	further washed, ate any more	grupo	alternativoj	prononco
level	ne plu legos	nu va mai citi	will no longer read	grupo	alternativoj	prononco
level	ankaŭ mi ricevis	am primit si eu	I also received	grupo	alternativoj	prononco
level	devas fermi	trebuie să se închidă	has to close	grupo	alternativoj	prononco
level	mi devas bone fermi	Trebuie să închid bine	I have to close well	grupo	alternativoj	prononco
level	bone fermis la pordon	închise ușa ermetic	closed the door tightly	grupo	alternativoj	prononco
level	trankvila, trankviliĝu	calmează-te, calmează-te	calm, calm down	grupo	alternativoj	prononco
level	aŭdis sed ne aŭskultis	a auzit dar nu a ascultat	heard but did not listen	grupo	alternativoj	prononco
level	aŭdis trankvilan sonon	auzi un sunet calm	heard a calm sound	grupo	alternativoj	prononco
level	ĉe mi estis kvar poŝoj	la mine sunt 4 buzunare	at me, there are 4 pockets	grupo	alternativoj	prononco
level	dek tagoj post la lasta leciono	la zece zile după ultima lecție	ten days after the last lesson	grupo	alternativoj	prononco
level	inter la du tabloj	între cele două mese	between the two tables	grupo	alternativoj	prononco
level	tri leteroj, ses paperoj	trei scrisori, șase lucrări	three letters, six papers	grupo	alternativoj	prononco
level	de kapo ĝis piedo	din cap până în picioare	from head to foot	grupo	alternativoj	prononco
level	kvar, kvara, kvaropo, kvarono	patru, al patrulea, un cvartet, un sfert	four, fourth, a quartet, a quarter	grupo	alternativoj	prononco
level	kien iris la triopo?	unde s-a dus trio-ul	where did the trio go	grupo	alternativoj	prononco
level	kvin fingroj en ambaŭaj manoj	cinci degete în ambele mâini	five fingers in both hands	grupo	alternativoj	prononco
level	si mem, sia poŝo	de unul singur, propriul buzunar	by oneself, one's own pocket	grupo	alternativoj	prononco
level	meti, kunmeti, kunmetaĵo	pune, pune cap la cap, un compus	put, put together, a compound	grupo	alternativoj	prononco
level	metis en sian poŝon	pune în propriul buzunar	put in one's own pocket	grupo	alternativoj	prononco
level	du cent nacioj en la mondo	două sute de națiuni din lume	two hundred nations in the world	grupo	alternativoj	prononco
level	prenis, forprenis	luat, luat	took, took away	grupo	alternativoj	prononco
level	prenis sep el siaj naŭ libroj	a luat șapte din cele nouă cărți ale sale	took seven out of his own nine books	grupo	alternativoj	prononco
level	lasi, forlasita	a pleca, abandonat	to leave, abandoned	grupo	alternativoj	prononco
level	lasu min sola kaj trankvila	lasa-ma in pace si linistita	leave me alone and calm	grupo	alternativoj	prononco
level	mil ok cent ok dek sep	mie opt sute optzeci și șapte (1887)	thousand eight hundred and eighty seven (1887)	grupo	alternativoj	prononco
level	taso da teo	o ceasca de ceai	a cup of tea	grupo	alternativoj	prononco
level	oni lavis ok tasojn	cineva a spălat opt căni	somebody washed eight cups	grupo	alternativoj	prononco
level	du mil dek naŭ	două mii nouăsprezece (2019)	two thousand nineteen (2019)	grupo	alternativoj	prononco
level	li lavis sin	s-a spălat	he washed himself	grupo	alternativoj	prononco
level	sia korpo, sia propra posedo	corpul cuiva, posesiunea proprie	one's body, one's own possession	grupo	alternativoj	prononco
level	sur la tablo, la kato dormis	pe masă, pisica dormea	on the table, the cat slept	grupo	alternativoj	prononco
level	la kato saltis sur la tablon	pisica a sărit pe masă	the cat jumped onto the table	grupo	alternativoj	prononco
level	en la halo, en la halon	în hol, în hol	in the hall, into the hall	grupo	alternativoj	prononco
level	enfalis en lian manon	a căzut în mână	fell into his hand	grupo	alternativoj	prononco
level	labori, ellabori	a lucra, a elabora	to work, to elaborate	grupo	alternativoj	prononco
level	ellabori por tiu libro	pentru a elabora cartea respectivă	to elaborate for that book	grupo	alternativoj	prononco
level	scias, scivolas, scivolo	știe, vrea să știe, curiozitate	knows, wants to know, curiosity	grupo	alternativoj	prononco
level	dulingva, dulingveco	bilingv, bilingvism	bilingual, bilingualism	grupo	alternativoj	prononco
level	scivolas pri trilingva lernanto	se întreabă despre un cursant trilingv	wonders about a trilingual learner	grupo	alternativoj	prononco
level	iris, reiris	a plecat, s-a întors	went, returned	grupo	alternativoj	prononco
level	la katoj reiris al siaj domoj	pisicile s-au întors la (propriile) case	the cats returned to their (own) homes	grupo	alternativoj	prononco
level	en la sako, en la sakon	în geantă, în geantă	in the bag, into the bag	grupo	alternativoj	prononco
level	enmetu ĝin en vian sakon	pune-l în geantă	put it into your bag	grupo	alternativoj	prononco
level	piedo, piediras, piediranto	un picior, plimbări, un pieton	a foot, walks, a pedestrian	grupo	alternativoj	prononco
level	dek-tage ili piediris	timp de zece zile, au mers	for ten days, they walked	grupo	alternativoj	prononco
level	preni, elpreni	a lua, a scoate	to take, to take out	grupo	alternativoj	prononco
level	belaj floroj, prenis belajn florojn	flori frumoase, a luat flori frumoase	beautiful flowers, took beautiful flowers	grupo	alternativoj	prononco
level	li elprenis nur belajn florojn	a scos numai flori frumoase	he took out only beautiful flowers	grupo	alternativoj	prononco
level	malfermis, sed tuj fermis	deschis, dar imediat închis	opened, but immediately closed	grupo	alternativoj	prononco
level	malfermis internacian kunvenon	a deschis o întâlnire internațională	opened an international meeting	grupo	alternativoj	prononco
level	eldonis kaj disdonis	publicat și distribuit	published and distributed	grupo	alternativoj	prononco
level	la eldonisto eldonis dudek tri librojn	editorul a publicat douăzeci şi trei de cărţi	the publisher published twenty-three books	grupo	alternativoj	prononco
level	revenis kaj revidis sian filon	s-a întors și și-a văzut din nou propriul fiu	returned and saw one's own son again	grupo	alternativoj	prononco
level	en la jaro dumil dudek tri	în anul două mii douăzeci și trei (2023)	in the year two thousand and twenty three (2023)	grupo	alternativoj	prononco
level	sinjoro eniris la vendejon	un domn a intrat (în) magazin	a gentleman entered (into) the store	grupo	alternativoj	prononco
level	la vendejo de aŭtoj	magazinul de mașini	the store of cars	grupo	alternativoj	prononco
level	tie li vidas sinjorinon	acolo vede o doamnă	there he sees a lady	grupo	alternativoj	prononco
level	karaj gesinjoroj	doamnelor si domnilor	dear ladies and gentlemen	grupo	alternativoj	prononco
level	tio plaĉis al mi	asta m-a multumit (imi place)	that pleased me (I like that)	grupo	alternativoj	prononco
level	la sinjorino plaĉis al li	doamna i-a plăcut (i-a plăcut doamna)	the lady pleased him (he liked the lady)	grupo	alternativoj	prononco
level	vidis la belan sinjorinon	am văzut-o pe frumoasa doamnă	saw the beautiful lady	grupo	alternativoj	prononco
level	kiu plaĉis al li?	cine i-a placut? (pe cine i-a placut?)	who pleased him? (whom did he like?)	grupo	alternativoj	prononco
level	la virino, kiu plaĉis al mi	femeia, care mi-a plăcut	the woman, who pleased me	grupo	alternativoj	prononco
level	tiu, kiu eniris la domon	cel care a intrat în casă	the one who entered the house	grupo	alternativoj	prononco
level	la viro, kiu donacis ĝin	omul care a donat-o	the man who donated it	grupo	alternativoj	prononco
level	li donacis ringon al lia edzino	i-a dat un inel soției sale	he gave a ring to his wife	grupo	alternativoj	prononco
level	la ringo plaĉis al ŝi	i-a plăcut inelul	she liked the ring	grupo	alternativoj	prononco
level	la edzino, al kiu la ringo plaĉis	soția căreia îi plăcea inelul	the wife who liked the ring	grupo	alternativoj	prononco
level	vendisto laboras en la vendejo	un vânzător lucrează în magazin	a salesman works in the store	grupo	alternativoj	prononco
level	vendisto de aŭtoj	un vânzător de mașini	a salesman of cars	grupo	alternativoj	prononco
level	la sinjoro demandis al la vendisto	îl întrebă domnul pe vânzător	the gentleman asked the salesman	grupo	alternativoj	prononco
level	kiu aŭto plaĉas al vi?	ce masina iti place?	which car do you like?	grupo	alternativoj	prononco
level	kiun aŭton vi elektos?	ce masina vei alege?	which car will you choose?	grupo	alternativoj	prononco
level	mi elektis tiun aŭton	Am ales mașina aia	I chose that car	grupo	alternativoj	prononco
level	ĝi estas pli bona	este mai bine	it is better	grupo	alternativoj	prononco
level	pli bona ol ĉi tio	mai bine decât asta	better than this	grupo	alternativoj	prononco
level	plej bona el ili	cel mai bun dintre ei	best of them	grupo	alternativoj	prononco
level	estas la plej bona	e cel mai bine	is the best	grupo	alternativoj	prononco
level	kiu aŭto estas la plej bona?	care masina este cea mai buna?	which car is the best?	grupo	alternativoj	prononco
level	tiu ĉi aŭto estas pli bona	masina asta e mai buna	this car is better	grupo	alternativoj	prononco
level	tiu ĉi estas la plej bona	acesta este cel mai bun	this one is the best	grupo	alternativoj	prononco
level	vidis ĉiujn aŭtojn	am vazut toate masinile	saw all the cars	grupo	alternativoj	prononco
level	la plej bona el ĉiuj	cel mai bun dintre toti	the best of all	grupo	alternativoj	prononco
level	ĉu ĝi estas rapida?	este rapid?	is it fast?	grupo	alternativoj	prononco
level	pli rapida ol aliaj	mai repede decât alții	faster than others	grupo	alternativoj	prononco
level	estas ankaŭ forta	este de asemenea puternic	is also strong	grupo	alternativoj	prononco
level	ho jes, kompreneble!	oh da, desigur!	oh yes, of course!	grupo	alternativoj	prononco
level	estas tre forta	este foarte puternic	is very strong	grupo	alternativoj	prononco
level	certe ĝi estas forta	sigur este puternic	certainly it is strong	grupo	alternativoj	prononco
level	estas ankaŭ multekosta	este si scump	is also expensive	grupo	alternativoj	prononco
level	la plej multekosta el ĉiuj	cel mai scump dintre toate	the most expensive of all	grupo	alternativoj	prononco
level	malmultekosta sed forta	ieftin dar puternic	cheap but strong	grupo	alternativoj	prononco
level	bedaŭras kaj bedaŭrindas	îi pare rău și îi este milă (merită să-ți pară rău)	feels sorry and is pityful (worth feeling sorry)	grupo	alternativoj	prononco
level	bedaŭrinde mi ne aĉetos	din pacate nu voi cumpara	unfortunately I will not buy	grupo	alternativoj	prononco
level	estas bedaŭrinda afero	este un lucru nefericit	is an unfortunate thing	grupo	alternativoj	prononco
level	li aĉetis novan aŭton	și-a cumpărat o mașină nouă	he bought a new car	grupo	alternativoj	prononco
level	ĉar mi ne havas monon	pentru ca nu am bani	because I do not have money	grupo	alternativoj	prononco
level	mia malnova aŭto	mașina mea veche	my old car	grupo	alternativoj	prononco
level	la plej malmultekosta el ĉiuj	cel mai ieftin dintre toate	the cheapest of all	grupo	alternativoj	prononco
level	mi veturos tien	O să conduc până acolo	I'll drive there	grupo	alternativoj	prononco
level	ankoraŭ veturos per ĝi	va conduce în continuare cu el	will still drive with it	grupo	alternativoj	prononco
level	dum la tuta tago	toată ziua	all day long	grupo	alternativoj	prononco
level	dum li diris tion	în timp ce el a spus că	while he said that	grupo	alternativoj	prononco
level	li denove rigardis ŝin	se uită din nou la ea	he looked at her again	grupo	alternativoj	prononco
level	sed la vendisto diris	dar vânzătorul a spus	but the salesman said	grupo	alternativoj	prononco
level	estus pli bone, ke ~	ar fi mai bine ca ~	it would be better that ~	grupo	alternativoj	prononco
level	rigardu tiun ĉi sinjorinon	uită-te la această doamnă	look at this lady	grupo	alternativoj	prononco
level	ankaŭ tio estas tre multekosta	si asta e foarte scump	that is also very expensive	grupo	alternativoj	prononco
level	mi estas ŝia edzo	Eu sunt soțul ei	I am her husband	grupo	alternativoj	prononco
level	kiom via vojaĝo kostis?	cat a costat calatoria ta?	how much did your trip cost?	grupo	alternativoj	prononco
level	aŭskultu la kanton de via edzino	ascultă cântecul soției tale	listen to your wife's song	grupo	alternativoj	prononco
level	ne forgesu, ke ĝi tre multe kostas	nu uita ca costa mult	don’t forget that it costs a lot	grupo	alternativoj	prononco
level	li helpis la vendiston dum du horoj	l-a ajutat pe vânzător timp de două ore	he helped the salesman for two hours	grupo	alternativoj	prononco
level	jam pli ol tri jaroj	de mai bine de trei ani	for more than three years	grupo	alternativoj	prononco
level	kovri, kovrilo, malkovri	acoperi, acoperă, descoperă (descoperă)	cover, cover, uncover (discover)	grupo	alternativoj	prononco
level	la kialon li ankoraŭ ne malkovris	motivul pentru care nu l-a descoperit încă	the reason he has not yet discovered	grupo	alternativoj	prononco
level	kial vi komencis sendi leterojn?	de ce ai inceput sa trimiti scrisori?	why did you start sending letters?	grupo	alternativoj	prononco
level	dum ok monatoj li vivis tie	timp de opt luni a locuit acolo	for eight months he lived there	grupo	alternativoj	prononco
level	ne havis tempon por aŭskulti	nu a avut timp să asculte	didn't have time to listen	grupo	alternativoj	prononco
level	la aŭto estis jam plena	mașina era deja plină	the car was already full	grupo	alternativoj	prononco
level	kion vi manĝas?	ce mănânci	what are you eating	grupo	alternativoj	prononco
level	kia estas la vetero?	cum e vremea?	what's the weather like?	grupo	alternativoj	prononco
level	kian aŭton vi havas?	ce fel de mașină ai?	what kind of car do you have?	grupo	alternativoj	prononco
level	kiaj estis ŝiaj leteroj?	cum erau scrisorile ei?	what were her letters like?	grupo	alternativoj	prononco
level	kie ni estas?	Unde suntem?	where are we?	grupo	alternativoj	prononco
level	kien vi iras?	unde mergi?	where are you going to?	grupo	alternativoj	prononco
level	al kiu vi donis ĝin?	cui i-ai dat?	to whom did you give it?	grupo	alternativoj	prononco
level	la viro, kun kiu vi vojaĝis	bărbatul cu care ai călătorit	the man whom you traveled with	grupo	alternativoj	prononco
level	pli granda ol la aŭto	mai mare decât mașina	bigger than the car	grupo	alternativoj	prononco
level	la plej alta el tiuj homoj	cel mai înalt dintre acei oameni	the tallest of those people	grupo	alternativoj	prononco
level	li sidis dum la manĝo	stătea la cină	he was sitting at dinner	grupo	alternativoj	prononco
level	ŝi skribas dum li legas	ea scrie în timp ce el citește	she writes while he reads	grupo	alternativoj	prononco
level	ĉi tie, en ĉi tiu ĉambro	aici, în camera asta	here, in this room	grupo	alternativoj	prononco
level	tiu ĉi sinjoro	acest domn	this gentleman	grupo	alternativoj	prononco
level	aŭskultinda novaĵo	o știre care merită ascultată	a news worth listening	grupo	alternativoj	prononco
level	la libro estas vere leginda	cartea chiar merita citita	the book is really worth reading	grupo	alternativoj	prononco
level	bedaŭra afero	un lucru nefericit	an unfortunate thing	grupo	alternativoj	prononco
level	bedaŭrinde, mi ne povas	din pacate, nu pot	unfortunately, I can't	grupo	alternativoj	prononco
level	nedankinde. estis mia plezuro	cu plăcere. A fost placerea mea	you are welcome. it was my pleasure	grupo	alternativoj	prononco
level	eta belulino ege belas	fetita drăguță este foarte frumoasă	small pretty girl is very beautiful	grupo	alternativoj	prononco
level	ĉiuj amikoj amas ŝin	toți prietenii o iubesc	all friends love her	grupo	alternativoj	prononco
level	antaŭ tri monatoj	acum trei luni	three months ago	grupo	alternativoj	prononco
level	okazis malbono al ŝi	i s-a întâmplat ceva rău	something bad happened to her	grupo	alternativoj	prononco
level	ŝi falis pro aŭto	a căzut din cauza unei mașini	she fell because of a car	grupo	alternativoj	prononco
level	malsaniĝis kaj temperaturo altiĝis	s-a îmbolnăvit și temperatura a crescut	became ill and temperature rose	grupo	alternativoj	prononco
level	patrino diris, ke ŝi devas ripozi	mama a spus că ar trebui să se odihnească	mother said she should rest	grupo	alternativoj	prononco
level	ŝi devas resti hejme	ea trebuie să stea acasă	she has to stay home	grupo	alternativoj	prononco
level	ŝi vokos doktoron	va chema un doctor	she will call a doctor	grupo	alternativoj	prononco
level	je la naŭa horo	la ora noua	at nine o'clock	grupo	alternativoj	prononco
level	matene venis je la oka	dimineaţa a venit la ora opt	in the morning came at eight o'clock	grupo	alternativoj	prononco
level	je la sepa morgaŭ vespere	mâine seară la șapte	at seven tomorrow evening	grupo	alternativoj	prononco
level	montris liajn manojn	și-a arătat mâinile	showed his hands	grupo	alternativoj	prononco
level	vesto, vestiĝas	se imbraca, se imbraca	dress, is getting dressed	grupo	alternativoj	prononco
level	vestiĝu kaj varmigu vian korpon	îmbracă-te și încălzi-ți corpul	get dressed and warm your body	grupo	alternativoj	prononco
level	hejme tuj malvestis kaj duŝis	acasă imediat dezbrăcat și făcut duș	at home immediately undressed and showered	grupo	alternativoj	prononco
level	doktoro rigardis ĉion	un doctor s-a uitat la toate	a doctor looked at everything	grupo	alternativoj	prononco
level	bone rigardis kaj fine diris	s-a uitat cu atenție și în cele din urmă a spus	looked throughly and finally said	grupo	alternativoj	prononco
level	unu semajnon restu hejme	stai acasa o saptamana	stay home for a week	grupo	alternativoj	prononco
level	deziras, ke vi estu trankvila	vrea să fii calm	wants you to be calm	grupo	alternativoj	prononco
level	post unu semajno	dupa o saptamana	after one week	grupo	alternativoj	prononco
level	vi fartos pli bone	Te vei simți mai bine	you will feel better	grupo	alternativoj	prononco
level	trinku multe da teo	bea mult ceai	drink plenty of tea	grupo	alternativoj	prononco
level	venos por revidi vin	va veni din nou să te văd	will come to see you again	grupo	alternativoj	prononco
level	ankaŭ li estu trankvila	sa fie si el calm	let him be calm too	grupo	alternativoj	prononco
level	sana homo, sanulo	om sănătos, om sănătos	healthy man, healthy person	grupo	alternativoj	prononco
level	zorgis pri si mem	a avut grijă de sine	took care of oneself	grupo	alternativoj	prononco
level	tuta afero tuje utilis al mi	toată treaba mi-a fost de folos deodată	the whole thing was useful to me at once	grupo	alternativoj	prononco
level	rimarkis, ke teruraĵo proksimas	a observat că lucrul oribil este aproape	noticed that horrible thing is near	grupo	alternativoj	prononco
level	petis tuj rimarki ĝin	rugat să-l observe imediat	asked to notice it immediately	grupo	alternativoj	prononco
level	pensis, ke tio ne necesas	crezut că nu era necesar	thought that was not necessary	grupo	alternativoj	prononco
level	loĝis proksime, kaj tio utilis	locuia în apropiere și asta a fost util	lived nearby, and that was useful	grupo	alternativoj	prononco
level	nia lando hodiaŭ teruriĝis	țara noastră s-a îngrozit astăzi	our country became terrified today	grupo	alternativoj	prononco
level	karaj infanoj el ĉiuj familioj	dragi copii din toate familiile	dear children from all families	grupo	alternativoj	prononco
level	unu fojon hieraŭ, du fojojn morgaŭ	o dată ieri, de două ori mâine	once yesterday, twice tomorrow	grupo	alternativoj	prononco
level	hodiaŭ familioj bezonas infanojn	astăzi familiile au nevoie de copii	today families need children	grupo	alternativoj	prononco
level	esperis, ke li fartos bone morgaŭ	spera că va fi bine mâine	hoped he would be well tomorrow	grupo	alternativoj	prononco
level	li fartis ege trankvila	se simțea (a fost) foarte calm	he was feeling (has been) very calm	grupo	alternativoj	prononco
level	tri etuloj altigis la monton	trei micuţi au ridicat muntele	three little ones raised the mountain	grupo	alternativoj	prononco
level	gravuloj ne petis helpon	oamenii importanți nu au cerut ajutor	important people did not ask for help	grupo	alternativoj	prononco
level	piediris tien por helpi	mers acolo să ajute	walked there to help	grupo	alternativoj	prononco
level	restu hejme se temperaturo altas	stați acasă dacă temperatura este ridicată	stay home if temperature is high	grupo	alternativoj	prononco
level	temperaturo restis simila hodiaŭ	temperatura a rămas similară astăzi	temperature remained similar today	grupo	alternativoj	prononco
level	voku la doktoron je la naŭa	sună doctorul la nouă	call the doctor at nine	grupo	alternativoj	prononco
level	montru ĝin al via doktoro	arata-l medicului tau	show it to your doctor	grupo	alternativoj	prononco
level	por montri vian piedon	să-ți arăți piciorul	to show your foot	grupo	alternativoj	prononco
level	vestu ĉi tiun ĉemizon	poartă această cămașă	wear this shirt	grupo	alternativoj	prononco
level	semajnfine ĉio trankviliĝos	in weekend totul se va linisti	on the weekend everything will calm down	grupo	alternativoj	prononco
level	sub la te-taso kion vi trovis?	sub ceașca de ceai ce ai găsit?	under the tea-cup what did you find?	grupo	alternativoj	prononco
level	mi deziras matenan teon	Vreau ceai de dimineață	I want morning tea	grupo	alternativoj	prononco
level	esperis trankvilan vesperon	sperat într-o seară liniştită	hoped for a quiet evening	grupo	alternativoj	prononco
level	deziras, ke vi lernu	vrea să înveți	wants that you learn	grupo	alternativoj	prononco
level	insistis, ke mi iru	a insistat să merg	insisted that I go	grupo	alternativoj	prononco
level	je kioma horo?	la ce ora?	at what hour?	grupo	alternativoj	prononco
level	je la sesa, li venos	la şase va veni	at six he will come	grupo	alternativoj	prononco
level	la libreto estis ĉarma	libretul era fermecător	the libretto was charming	grupo	alternativoj	prononco
level	estu trankvila	liniște	be quiet	grupo	alternativoj	prononco
level	li estu trankvila	lasa-l sa taca	let him be quiet	grupo	alternativoj	prononco
level	ankaŭ li	si el	he too	grupo	alternativoj	prononco
level	mi deziras	vreau (dorinta)	I want (desire)	grupo	alternativoj	prononco
level	mi deziras, ke ~	Îmi doresc (dorința) ca ~	I wish (desire) that ~	grupo	alternativoj	prononco
level	ke vi lernu	că înveți	that you learn	grupo	alternativoj	prononco
level	mi deziras, ke vi lernu	Vreau să înveți	I want you to learn	grupo	alternativoj	prononco
level	patro insistas	insistă tatăl	father insists	grupo	alternativoj	prononco
level	patro insistas, ke ~	tatăl insistă că ~	father insists that ~	grupo	alternativoj	prononco
level	ke mi iru	că mă duc	that I go	grupo	alternativoj	prononco
level	patro insistas, ke mi iru	tata insistă să plec	father insists that I go	grupo	alternativoj	prononco
level	je kioma horo	la ce ora	at what hour	grupo	alternativoj	prononco
level	je kioma horo vi venos?	la ce ora vii?	what time do you come?	grupo	alternativoj	prononco
level	je la kvina	la ora cinci)	at five (o'clock)	grupo	alternativoj	prononco
level	je la kvina horo	la ora cinci	at five o'clock	grupo	alternativoj	prononco
level	kiel li fartas?	cum face el?	how does he doing?	grupo	alternativoj	prononco
level	kiel vi fartis lastatempe?	ce ai mai facut in ultima vreme?	how have you been lately?	grupo	alternativoj	prononco
level	etaj libroj belas	cărțile mici sunt frumoase	little books are beautiful	grupo	alternativoj	prononco
level	libreto, belaj libroj	o broșură, cărți frumoase	a booklet, beautiful books	grupo	alternativoj	prononco
level	bela, beleta, belega	frumos, puțin frumos, foarte frumos	beautiful, a little pretty, very beautiful	grupo	alternativoj	prononco
level	varma, varmeta, varmega	cald, călduț, foarte fierbinte	warm, lukewarm, very hot	grupo	alternativoj	prononco
level	librego, libreto	o carte mare, o broșură	a big book, a booklet	grupo	alternativoj	prononco
level	bona, bonega, bonege	bine, grozav, bine	good, great, well	grupo	alternativoj	prononco
level	riĉa, riĉiĝi, riĉulo	bogat, deveni bogat, om bogat	rich, become rich, a rich person	grupo	alternativoj	prononco
level	trankvila, trankviliĝi, trankviliĝu	calm, a se potoli, linişti	calm, to calm down, calm down	grupo	alternativoj	prononco
level	sana, resaniĝi, resaniĝis	sănătos, a deveni vindecat, a devenit vindecat	healthy, to become healed, became healed	grupo	alternativoj	prononco
level	edzo, edziĝo, geedziĝis	un soț, căsătorie, căsătorit	a husband, marriage, married	grupo	alternativoj	prononco
level	leterportisto	un poștaș de scrisori	a letter postman	grupo	alternativoj	prononco
level	hejmlando	o patrie	a homeland	grupo	alternativoj	prononco
level	iom, iomete	oarecum, putin	somewhat, a little	grupo	alternativoj	prononco
level	ni bonege vespermanĝis	am avut o cină grozavă	we had a great dinner	grupo	alternativoj	prononco
level	espereble, prizorgu vin	sper să ai grijă de tine	hopefully, take care of yourself	grupo	alternativoj	prononco
level	mi zorgis pri la altkvalita loĝejo	Mi-a pasat de locuința de înaltă calitate	I cared about the high-quality housing	grupo	alternativoj	prononco
level	pripensu dufoje, multfoje	gandeste-te de doua ori, de multe ori	think twice, many times	grupo	alternativoj	prononco
level	kiu deprenis la libreton?	cine a dat jos broșura?	who took down the booklet?	grupo	alternativoj	prononco
level	kato, kiu nomiĝas Cezaro	o pisică pe nume Cezar	a cat named Caesar	grupo	alternativoj	prononco
level	kuko, kiu estas sur la tablo	o prăjitură care este pe masă	a cake which is on the table	grupo	alternativoj	prononco
level	manĝu kukon, kiu estas sur la tablo	mănâncă o prăjitură care este pe masă	eat a cake that is on the table	grupo	alternativoj	prononco
level	fariĝis varmega kaj ruĝiĝis	a devenit fierbinte și roșit	became hot and blushed	grupo	alternativoj	prononco
level	patro volas, ke lia infano manĝu	un tată vrea ca copilul lui să mănânce	a father wants his child to eat	grupo	alternativoj	prononco
level	en malgranda ĉambro	într-o cameră mică	in a small room	grupo	alternativoj	prononco
level	ni loĝas en ~	trăim în ~	we live in ~	grupo	alternativoj	prononco
level	mi fariĝis maltrankvila	Am devenit anxioasă	I became anxious	grupo	alternativoj	prononco
level	tiam, kiam mi vidis vin	pe vremea aceea când te-am văzut	at that time when I saw you	grupo	alternativoj	prononco
level	ĉiuj rimarkis tion	toată lumea a observat asta	everyone noticed that	grupo	alternativoj	prononco
level	tion, ke ŝi estas belega	faptul că este frumoasă	the fact that she is beautiful	grupo	alternativoj	prononco
level	ĉu vi deziras, ke ~ ?	vrei asta ~? (deziri)	do you want that ~ ? (deziri)	grupo	alternativoj	prononco
level	ke mi montru al vi	ca să vă arăt	that I may show you	grupo	alternativoj	prononco
level	ĉu vi deziras, ke mi montru?	vrei sa arat?	do you want me to show?	grupo	alternativoj	prononco
level	mian plej novan libron	cea mai nouă carte a mea (obiectiv)	my newest book (objective)	grupo	alternativoj	prononco
level	morgaŭ matene, kion vi volas?	maine dimineata, ce vrei?	tomorrow morning, what do you want?	grupo	alternativoj	prononco
level	matenmanĝis malfrue	micul dejun târziu	had breakfast late	grupo	alternativoj	prononco
level	kiam Marko alvenos?	când va sosi Mark?	when will Mark arrive?	grupo	alternativoj	prononco
level	je la kvina aŭ je la oka horo	la ora cinci sau opt	at five or eight o'clock	grupo	alternativoj	prononco
level	kiam vi rimarkis, ke ~ ?	cand ai observat ca ~?	when did you notice that ~ ?	grupo	alternativoj	prononco
level	la tuta familio nomas min bonfarulo	toată familia mă numește binefăcător	the whole family calls me a benefactor	grupo	alternativoj	prononco
level	utila por vi	util pentru tine	useful for you	grupo	alternativoj	prononco
level	ĉu la libreto estis utila?	a fost utilă broșura?	was the booklet useful?	grupo	alternativoj	prononco
level	tiu libreto, kiun mi sendis	broșura pe care am trimis-o	the booklet, which I sent	grupo	alternativoj	prononco
level	matene dormis tre longe	dimineața a dormit mult timp	in the morning slept for a long time	grupo	alternativoj	prononco
level	kiam li vidis la sunon	când a văzut soarele	when he saw the sun	grupo	alternativoj	prononco
level	subite li eksaltis	deodată a sărit în sus	suddenly he jumped up	grupo	alternativoj	prononco
level	li estis ĉiam frua	era mereu devreme	he was always early	grupo	alternativoj	prononco
level	ĉiam li malfruas	el întârzie mereu	he is always late	grupo	alternativoj	prononco
level	tiam, kiam li devas iri	în acel moment, când trebuie să plece	at that time, when he has to go	grupo	alternativoj	prononco
level	iri al la lernejo	a merge la scoala	to go to the school	grupo	alternativoj	prononco
level	li scias, ke ~	el știe, că ~	he knows, that ~	grupo	alternativoj	prononco
level	li scias tion, ke ~	el stie faptul ca ~	he knows the fact, that ~	grupo	alternativoj	prononco
level	tion, ke la instruisto malŝatas abelon	faptul că profesorul urăște albinele	the fact that the teacher hates bees	grupo	alternativoj	prononco
level	scias tion, ke la instruisto malŝatas abelon	știe faptul că profesorul urăște albinele	knows the fact that the teacher hates bees	grupo	alternativoj	prononco
level	scias, ke la instruisto malŝatas tion	știe că profesorul urăște asta	knows that the teacher hates that	grupo	alternativoj	prononco
level	sed hodiaŭ li trinkis la kafon	dar azi a băut cafeaua	but today he drank the coffee	grupo	alternativoj	prononco
level	li rapide surmetas la vestaĵon	se îmbracă repede	he quickly puts on the clothes	grupo	alternativoj	prononco
level	li ne volas malfrui	nu vrea să întârzie	he doesn't want to be late	grupo	alternativoj	prononco
