B.my content.tsv
Level	Esperanto	my	en-us	Grupo	Alternativoj	Pronoco
level	ĉu vere, ke tio ne estas problemo?	ဒါက ပြဿနာမဟုတ်တာ အမှန်ပဲလား။	is it really that this is not a problem?	grupo	alternativoj	prononco
level	kiel vi planas solvi tion?	အဲဒါကို ဘယ်လိုဖြေရှင်းဖို့ စီစဉ်ထားလဲ။	how do you plan to solve that?	grupo	alternativoj	prononco
level	montris la oran kronon	ရွှေသရဖူကိုပြသခဲ့သည်။	showed the golden crown	grupo	alternativoj	prononco
level	nu, mi baldaŭ montros al vi	ကောင်းပြီ၊ ငါမင်းကိုမကြာခင်ပြမယ်။	well, I will show you soon	grupo	alternativoj	prononco
level	sed unue pli da teo	ဒါပေမယ့် အရင်ဆုံး လက်ဖက်ရည်သောက်ပါ။	but first more tea	grupo	alternativoj	prononco
level	ĉu ankaŭ vi volas?	မင်းလည်းလိုချင်လား	do you want too?	grupo	alternativoj	prononco
level	jes, dankon	ဟုတ်ကဲ့ကျေးဇူးတင်ပါတယ်	yes, thank you	grupo	alternativoj	prononco
level	en la sama kafejo	အတူတူ ကော်ဖီဆိုင်ထဲမှာ	in the same cafe'	grupo	alternativoj	prononco
level	io daŭras, daŭrigas tion	တစ်ခုခု ဆက်လုပ်နေတယ်၊ အဲဒါကို ဆက်လုပ်နေတယ်။	something goes on, keeps (doing) that on	grupo	alternativoj	prononco
level	plano, plani, planado	အစီအစဉ်တစ်ခု၊ အစီအစဉ်တစ်ခု၊ အစီအစဉ်ဆွဲခြင်း။	a plan, to plan, planning	grupo	alternativoj	prononco
level	ŝi kaj li daŭrigas la planadon	သူမနှင့် သူ အစီအစဉ်ကို ဆက်လုပ်သည်။	she and he continue the planning	grupo	alternativoj	prononco
level	bonvolu, jen via teo	ကျေးဇူးပြုပြီး ဒီမှာ မင်းရဲ့လက်ဖက်ရည်	please, here's your tea	grupo	alternativoj	prononco
level	mi dume rigardis la invitilon	ဒီကြားထဲမှာပဲ ဖိတ်စာလေးကို ကြည့်လိုက်မိတယ်။	meanwhile I looked at the invitation	grupo	alternativoj	prononco
level	rigardis la invitilon por IJK	IJK ၏ ဖိတ်ခေါ်မှုကို ကြည့်ပါ။	looked at the invitation of IJK	grupo	alternativoj	prononco
level	mi multon komprenas, sed ne ĉion	ငါအများကြီးနားလည်ပေမယ့်အားလုံးမဟုတ်ပါဘူး။	I understand much, but not all	grupo	alternativoj	prononco
level	bone bone, nur demandu	ကောင်းပြီ၊ မေးရုံပါပဲ။	all right all right, just ask	grupo	alternativoj	prononco
level	jen la aferoj	ဤတွင်အရာများ	here are the things	grupo	alternativoj	prononco
level	klaraj aferoj	ရှင်းလင်းသောအရာများ	clear things	grupo	alternativoj	prononco
level	la aferoj kiuj estas malklaraj	ရှုပ်ထွေးသောအရာများ	the things that are confusing	grupo	alternativoj	prononco
level	estas malklaraj por mi	ငါ့အတွက် စိတ်ရှုပ်နေကြတယ်။	are confusing to me	grupo	alternativoj	prononco
level	aliĝi, aliĝilo	Join ဖို့၊ မှတ်ပုံတင်ပုံစံ	to join, a registration form	grupo	alternativoj	prononco
level	TEJO (la organizo)	World Esperanto လူငယ်အဖွဲ့	The World Esperanto Youth Organization	grupo	alternativoj	prononco
level	Pepo (la TEJO-birdo)	Pepo သည် TEJO ကိုကိုယ်စားပြုသည့်ငှက်	Pepo, a bird that represents the TEJO	grupo	alternativoj	prononco
level	loĝi, loĝejo	တည်းခိုရန်နေရာ (တည်းခိုရန်)၊	to stay, a place to stay (a lodging)	grupo	alternativoj	prononco
level	amasloĝejo	လူစုလူဝေးအတွက် တည်းခိုစရာနေရာ	a lodging for mass people	grupo	alternativoj	prononco
level	aliĝilo estas ilo por al-iĝi	မှတ်ပုံတင်ခြင်းပုံစံသည် မှတ်ပုံတင်ခြင်းအတွက် ကိရိယာတစ်ခုဖြစ်သည်။	a registration form is a tool for registering	grupo	alternativoj	prononco
level	aliĝilo en kiu vi skribas vian nomon, adreson ktp	သင့်အမည်၊ လိပ်စာ စသည်ဖြင့် ရေးသားထားသော အသင်းဝင်ဖောင်ပုံစံ	a membership form in which you write your name, address, etc	grupo	alternativoj	prononco
level	longa, mallongigo	အရှည်၊ အတိုကောက်	long, an abbreviation	grupo	alternativoj	prononco
level	mallongigo de Tutmonda Esperantista Junulara Organizo	World Esperanto Youth Organization ၏ အတိုကောက်	an abbreviation of the World Esperanto Youth Organization	grupo	alternativoj	prononco
level	Pepo estas la amuza birdo de TEJO	Pepo သည် TEJO ၏ရယ်စရာကောင်းသောငှက်ဖြစ်သည်။	Pepo is the funny bird of TEJO	grupo	alternativoj	prononco
level	amasloĝejo estas ejo kie amaso de homoj loĝas	အစုလိုက်အပြုံလိုက် တည်းခိုခန်းသည် လူအများအပြား တည်းခိုရာနေရာဖြစ်သည်။	a mass-lodging is a place where a lot of people stay	grupo	alternativoj	prononco
level	dormo, dormigilo, dormosako	အိပ်ဆေး၊ အိပ်ဆေး၊ အိပ်ဆေး	a sleep, a sleeping pill, a sleeping bag	grupo	alternativoj	prononco
level	kutime oni bezonas dormosakon tie	များသောအားဖြင့် အိတ်တစ်လုံးလိုတယ်။	usually one needs a sleeping bag there	grupo	alternativoj	prononco
level	vi klarigis tro rapide	မင်းရှင်းပြတာ အရမ်းမြန်တယ်။	you explained too quickly	grupo	alternativoj	prononco
level	mi ne kaptis ĉion	အရာအားလုံးကို ငါမဖမ်းမိဘူး။	I didn't catch everything	grupo	alternativoj	prononco
level	ne tre gravas	သိပ်အရေးမကြီးပါဘူး။	is not that important	grupo	alternativoj	prononco
level	mi pensas ke ne tre gravas nun	အခုက သိပ်အရေးမကြီးဘူးလို့ ထင်ပါတယ်။	I think it's not very important now	grupo	alternativoj	prononco
level	poste ni povas pli paroli	နောက်ပိုင်းကျရင် ပိုပြောလို့ရတယ်။	later we can talk more	grupo	alternativoj	prononco
level	pli paroli pri la IJK-invitilo	IJK ဖိတ်ကြားချက်အကြောင်း နောက်ထပ်ပြောရန်	more to talk about the IJK invitation	grupo	alternativoj	prononco
level	do, vi volas plani la vojaĝon nun, ĉu?	ဒါဆို ခရီးသွားဖို့ စီစဉ်ချင်နေပြီလား။	so you want to plan the travel now, right?	grupo	alternativoj	prononco
level	jes, volonte	ဟုတ်ကဲ့ ဝမ်းသာပါတယ်။	yes, gladly	grupo	alternativoj	prononco
level	tiel vi vidos ke ~	ဒါဆို မင်းတွေ့လိမ့်မယ် ~	so you will see that ~	grupo	alternativoj	prononco
level	kostos tiom multe	အဲဒီလောက် ကုန်ကျလိမ့်မယ်။	will cost that much	grupo	alternativoj	prononco
level	vidos ke la vojaĝo ne kostos tiom multe	ခရီးစရိတ်က ဒီလောက်ကြီး မဟုတ်ဘူး ဆိုတာ တွေ့ရလိမ့်မယ်။	will see that the travel will not cost that much	grupo	alternativoj	prononco
level	mi volas scii	ကွန်တော်သိချင်ပါတယ်	I want to know	grupo	alternativoj	prononco
level	mi scivolas pri ~	~ သိချင်​တယ်​	I want to know about ~	grupo	alternativoj	prononco
level	kiel vi solvos la tranoktadon	ညအိပ်တာကို ဘယ်လိုဖြေရှင်းမလဲ။	how you will solve the night-staying	grupo	alternativoj	prononco
level	ĉar mi ne havas monon	ငါ့မှာ ပိုက်ဆံမရှိလို့	because I don't have money	grupo	alternativoj	prononco
level	junulara gastejo	လူငယ်တည်းခိုခန်းတစ်ခု	a youth hostel	grupo	alternativoj	prononco
level	havas monon por hotelo aŭ junulargastejo	ဟိုတယ် သို့မဟုတ် လူငယ်တည်းခိုခန်းအတွက် ပိုက်ဆံရှိသည်။	has money for a hotel or a youth-hostel	grupo	alternativoj	prononco
level	jen la solvo!	ဒါကတော့ ဖြေရှင်းချက်ပါ။	here's the solution	grupo	alternativoj	prononco
level	pasporto	နိုင်ငံကူးလက်မှတ်	a passport	grupo	alternativoj	prononco
level	Pasporta Servo	နိုင်ငံကူးလက်မှတ်ဝန်ဆောင်မှု၊ Esperantists' Home Stay	Passport Service, Esperantists' Home Stay	grupo	alternativoj	prononco
level	libreto kun la nomo "Pasporta Servo"	&quot;ပတ်စပို့ဝန်ဆောင်မှု&quot; အမည်ဖြင့် စာအုပ်ငယ်၊	booklet with the name "Passport Service"	grupo	alternativoj	prononco
level	servo por kio?	ဝန်ဆောင်မှုက ဘာအတွက်လဲ။	service for what?	grupo	alternativoj	prononco
level	por homoj kiel ni	ငါတို့လိုလူတွေအတွက်	for people like us	grupo	alternativoj	prononco
level	sperti, spertulo	အတွေ့အကြုံ၊ ကျွမ်းကျင်သူ	to experience, an expert	grupo	alternativoj	prononco
level	homoj kiuj ŝatas vojaĝi kaj sperti landojn	ခရီးသွားရတာနဲ့ နိုင်ငံတွေကို ဖြတ်သန်းရတာ ကြိုက်တဲ့သူတွေ	people who like to travel and experience countries	grupo	alternativoj	prononco
level	enspezi kaj elspezi	ဝင်ငွေနှင့်သုံးစွဲရန်	to earn and to spend	grupo	alternativoj	prononco
level	sen elspezi multe da mono	ပိုက်ဆံအများကြီးမသုံးဘဲ	without spending a lot of money	grupo	alternativoj	prononco
level	servo, la servo, tiu servo	ဝန်ဆောင်မှုတစ်ခု၊ ဝန်ဆောင်မှု၊ ထိုဝန်ဆောင်မှု	a service, the service, that service	grupo	alternativoj	prononco
level	bone, kaj kiel funkcias tiu servo?	ကောင်းပြီ၊ ဒီဝန်ဆောင်မှုက ဘယ်လိုအလုပ်လုပ်လဲ။	well, and how does that service work?	grupo	alternativoj	prononco
level	mi vidas ke en la libreto estas ~	စာအုပ်ထဲမှာ ~ ရှိတယ်	I see that in the booket there is ~	grupo	alternativoj	prononco
level	multe da adresoj	လိပ်စာတွေအများကြီးပါ။	lots of addresses	grupo	alternativoj	prononco
level	estas multe da adresoj de pluraj landoj	နိုင်ငံပေါင်းများစွာမှ လိပ်စာများစွာရှိပါသည်။	there are many addresses from several countries	grupo	alternativoj	prononco
level	ĝuste, jes!	မှန်တယ် ဟုတ်တယ်!	right, yes!	grupo	alternativoj	prononco
level	je via dispono	မင်းရဲ့သဘောထားမှာ	at your disposal	grupo	alternativoj	prononco
level	ili ĉiuj	သူတို့အားလုံး၊	they all, all of them	grupo	alternativoj	prononco
level	fakte ili ĉiuj estas je via dispono!	တကယ်တော့ သူတို့အားလုံးက မင်းရဲ့လက်ထဲမှာပဲ ရှိတယ်။	in fact they are all at your disposal!	grupo	alternativoj	prononco
level	signifis, signifo	အဓိပ္ပါယ်၊ အဓိပ္ပာယ်	meant, meaning	grupo	alternativoj	prononco
level	"je mia dispono", kion signifas tio?	&quot;ငါ့ရဲ့ဆန္ဒ&quot; ဆိုတာ ဘာကို ဆိုလိုတာလဲ။	"at my disposal", what does that mean?	grupo	alternativoj	prononco
level	signifas ke ~	ဆိုလိုသည်မှာ ~	means that ~	grupo	alternativoj	prononco
level	gasti, gasto, gastigi	ဧည့်သည်၊ ဧည့်သည်၊ ဧည့်သည်ကို လက်ခံတယ်။	to guest, a guest, to host a guest	grupo	alternativoj	prononco
level	estas preta, pretas, pretiĝu!	အဆင်သင့်ဖြစ်ပြီ၊ ပြင်ဆင်ပြီ	is ready, is prepared, get ready!	grupo	alternativoj	prononco
level	homoj ĉe tiuj adresoj pretas gastigi vin	ထိုလိပ်စာများရှိလူများသည် သင့်အား လက်ခံကျင်းပရန် အဆင်သင့်ဖြစ်နေပါပြီ။	people at those addresses are ready to host you	grupo	alternativoj	prononco
level	koni, konata, konatiĝi	to know (a person), know, to be known	to know (a person), known, to get to be known	grupo	alternativoj	prononco
level	kaj helpi vin konatiĝi kun ilia regiono	သူတို့ရဲ့ ဒေသနဲ့ ရင်းနှီးအောင် ကူညီပေးပါ။	and help you get acquainted with their region	grupo	alternativoj	prononco
level	signifas ke homoj pretas gastigi vin kaj helpi	ဆိုလိုတာက လူတွေက မင်းကို လက်ခံပြီး ကူညီဖို့ ဆန္ဒရှိတယ်။	means people are willing to host you and help	grupo	alternativoj	prononco
level	sonas interese!	စိတ်ဝင်စားဖို့ကောင်းတယ်။	sounds interesting!	grupo	alternativoj	prononco
level	do	ဒါကြောင့်	so	grupo	alternativoj	prononco
level	oni loĝas en la hejmo de aliaj Esperantistoj, ĉu?	တစ်စုံတစ်ယောက်သည် အခြားသော Esperantist များ၏အိမ်တွင် ရှိနေသည် မဟုတ်လား။	somebody stays in the home of other Esperantists, right?	grupo	alternativoj	prononco
level	pluraj spertoj per Pasporta Servo	Passport Service အတွေ့အကြုံများစွာ	several experiences with Passport Service	grupo	alternativoj	prononco
level	mi havis plurajn interesajn spertojn	စိတ်ဝင်စားစရာကောင်းတဲ့ အတွေ့အကြုံတွေ အများကြီးရခဲ့တယ်။	I had several interesting experiences	grupo	alternativoj	prononco
level	mi uzis ĝin en tri kontinentoj	တိုက်ကြီးသုံးတိုက်မှာ သုံးဖူးတယ်။	I have used it on three continents	grupo	alternativoj	prononco
level	malbone funkcias	(၎) အကျင့်မကောင်း	(it) works poorly	grupo	alternativoj	prononco
level	kaj ĝis nun funkciis tre bone	ယခုအချိန်အထိ (၎င်း) အလွန်ကောင်းမွန်စွာ လုပ်ဆောင်ခဲ့သည်။	and so far (it) has worked very well	grupo	alternativoj	prononco
level	bonege! kien ni iru?	အရမ်းကောင်း! ဘယ်သွားနေကြတာလဲ?	great! where are we going?	grupo	alternativoj	prononco
level	do, mia plano estas ke ni ~	ဒါဆို ငါ့အစီအစဥ်က ငါတို့ ~	so, my plan is that we ~	grupo	alternativoj	prononco
level	venas, alvenis	လာ၊ ရောက်တယ်။	comes, arrived	grupo	alternativoj	prononco
level	post sukcesa vojaĝo	အောင်မြင်သောခရီးစဉ်ပြီးနောက်	after a successful trip	grupo	alternativoj	prononco
level	post uzado de Pasporta Servo en du urboj	Passport ဝန်ဆောင်မှုကို မြို့နှစ်မြို့တွင် အသုံးပြုပြီးနောက်	after using Passport Service in two cities	grupo	alternativoj	prononco
level	ili alvenas post sukcesa vojaĝo	အောင်မြင်တဲ့ ခရီးတစ်ခုပြီးသွားကြတယ်။	they arrive after a successful trip	grupo	alternativoj	prononco
level	jen, vidu!	ကြည့်ရှုလော့။	behold, look!	grupo	alternativoj	prononco
level	tie estas granda Esperanto-flago	ဟိုမှာ အက်စပရန်တိုအလံကြီးရှိတယ်။	there's a big Esperanto flag over there	grupo	alternativoj	prononco
level	ŝildo kun la teksto "Bonvenon al IJK!"	&quot;Welcome to IJK!&quot; ဟူသော စာသားပါသော ဆိုင်းဘုတ်။	a sign with the text "Welcome to IJK!"	grupo	alternativoj	prononco
level	jes, kaj sub ĝi estas ~	ဟုတ်တယ်၊ အောက်မှာ ~ ရှိတယ်။	yes, and below it there is ~	grupo	alternativoj	prononco
level	hu ra!	ဟူး!	Hooray!	grupo	alternativoj	prononco
level	ni do finfine alvenis	ဒါနဲ့ နောက်ဆုံးတော့ ငါတို့ရောက်လာတယ်။	so we finally arrived	grupo	alternativoj	prononco
level	mi estas tre laca kaj malsata	အရမ်းပင်ပန်းပြီး ဗိုက်ဆာတယ်။	I am very tired and hungry	grupo	alternativoj	prononco
level	ĉu vi pensas ke ni povas ~	ငါတို့ လုပ်နိုင်မယ် ထင်လား ~	do you think we can ~ ?	grupo	alternativoj	prononco
level	manĝi ion	တစ်ခုခုစားဖို့	to eat something	grupo	alternativoj	prononco
level	ĉu vi pensas ke ni povas tuj ion manĝi?	ငါတို့ချက်ချင်း တစ်ခုခုစားနိုင်မယ်လို့ မင်းထင်လား။	do you think we can eat something right away?	grupo	alternativoj	prononco
level	mi dubas pri tio	ငါဒါကိုသံသယရှိတယ်	I doubt that	grupo	alternativoj	prononco
level	unue ni devas akceptiĝi	အရင်ဆုံး လက်ခံရမယ်။	we must first be accepted	grupo	alternativoj	prononco
level	devas akceptiĝi ĉe la akceptejo	ဧည့်ကြိုကောင်တာတွင် လက်ခံရမည်။	must be accepted at the reception desk	grupo	alternativoj	prononco
level	kaj tio povas daŭri longe	၎င်းသည် အချိန်ကြာမြင့်နိုင်သည်။	and that can last a long time	grupo	alternativoj	prononco
level	daŭri longe miasperte	ငါ၏အတွေ့အကြုံ၌ကြာရှည်ခံရန်	to last long in my experience	grupo	alternativoj	prononco
level	ho ve!	ဖြစ်ချင်တော့။	alas!	grupo	alternativoj	prononco
level	ĉu tio estas la vico por la akceptejo?	ဒါ ဧည့်ခံပွဲအတွက် လိုင်းလား။	is that the line for the reception?	grupo	alternativoj	prononco
level	mi timas ke jes	ငါကြောက်တယ်။	I'm afraid so	grupo	alternativoj	prononco
level	ne estas tute perfekte fari ~	to do ~ လုံးဝမပြည့်စုံပါ။	to do ~ is not totally perfect	grupo	alternativoj	prononco
level	tute perfekte alveni vespere	ညနေရောက်ဖို့ လုံးဝ ပြီးပြည့်စုံတယ်။	is totally perfect to arrive in the evening	grupo	alternativoj	prononco
level	ni povas babili kun homoj	လူတွေနဲ့ စကားပြောလို့ရပါတယ်။	we can chat with people	grupo	alternativoj	prononco
level	sed ni povas babili kun homoj en la vico	ဒါပေမယ့် လိုင်းကလူတွေနဲ့ စကားပြောလို့ရပါတယ်။	but we can chat with people in line	grupo	alternativoj	prononco
level	jen, mi vidas amikon de rusio!	ရုရှား၏မိတ်ဆွေတစ်ဦးကို ငါတွေ့၏။	behold, I see a friend of Russia!	grupo	alternativoj	prononco
level	mi estas malsata, mi volas manĝi	ငါဗိုက်ဆာတယ်၊ ငါစားချင်တယ်။	I'm hungry, I want to eat	grupo	alternativoj	prononco
level	post ĉirkaŭ 2 horoj	2 နာရီခန့်ပြီးနောက်	after about 2 hours	grupo	alternativoj	prononco
level	en la vico kun novaj kaj malnovaj amikoj	မိတ်ဟောင်း မိတ်သစ်များနှင့် အညီ	in line with new and old friends	grupo	alternativoj	prononco
level	LKK (Loka Kongresa Komitato)	ပြည်တွင်းကွန်ဂရက်ကော်မတီ	local congress commitee	grupo	alternativoj	prononco
level	LKK-ano	ပြည်တွင်းကွန်ဂရက်ကော်မတီတွင် အဖွဲ့ဝင်တစ်ဦးဖြစ်သည်။	a member in the local congress commitee	grupo	alternativoj	prononco
level	bonvenon, kiu vi estas?	ကြိုဆိုပါတယ် မင်းကဘယ်သူလဲ။	welcome, who are you?	grupo	alternativoj	prononco
level	de kiu lando?	ဘယ်နိုင်ငံမှ	from which country?	grupo	alternativoj	prononco
level	ĉu vi antaŭpagis?	မင်းကြိုတင် ပေးတာ ကော	did you prepay?	grupo	alternativoj	prononco
level	bonvolu montri	ကျေးဇူးပြု၍ ပြပါ။	please show	grupo	alternativoj	prononco
level	se jes, bonvolu montri la kvitancon	သို့ဆိုလျှင် ပြေစာပြပါ။	if so, please show the receipt	grupo	alternativoj	prononco
level	ĉu vi estas TEJO-membro?	သင် TEJO ၏အဖွဲ့ဝင်တစ်ဦးလား။	are you a member of TEJO?	grupo	alternativoj	prononco
level	membriĝi ĉe la budo	booth တစ်ခုတွင် member ၀င်ရန်	to become a member at a booth	grupo	alternativoj	prononco
level	se ne, vi povas membriĝi ĉe la venonta budo	မဟုတ်ပါက နောက်တခန်းတွင် ပါဝင်နိုင်ပါသည်။	if not, you can join at the next booth	grupo	alternativoj	prononco
level	jen kvitancoj de antaŭpagoj	ဤသည်မှာ ကြိုတင်ငွေပေးချေမှုပြေစာများဖြစ်သည်။	here are receipts of advance payments	grupo	alternativoj	prononco
level	membrokartoj kaj niaj pasportoj	အဖွဲ့ဝင်ကတ်များနှင့် ကျွန်ုပ်တို့၏ နိုင်ငံကူးလက်မှတ်များ	membership cards and our passports	grupo	alternativoj	prononco
level	tre bone	အလွန်ကောင်းသည်	very good	grupo	alternativoj	prononco
level	do, mi vidas ke vi loĝos en amasloĝejo	ဒီတော့ မင်းဟာ အစုလိုက်အပြုံလိုက် တည်းခိုခန်း (ပျက်ကျတဲ့နေရာ) မှာ နေမယ်လို့ ငါမြင်တယ်။	so, I see you will live in a mass-lodging (crash space)	grupo	alternativoj	prononco
level	kaj manĝos en la junulargastejo	လူငယ် တည်းခိုခန်းမှာ စားကြမယ်။	and will eat in the youth hostel	grupo	alternativoj	prononco
level	ĉu ĝustas tiuj informoj?	အဲဒီအချက်အလက်တွေက မှန်သလား။	are those information correct?	grupo	alternativoj	prononco
level	jes, perfekte	ဟုတ်တယ်၊ ပြီးပြည့်စုံတယ်။	yes, perfect	grupo	alternativoj	prononco
level	sako kun programo, mapo ktp	ပရိုဂရမ်၊ မြေပုံစသည်တို့ပါရှိသောအိတ်	a bag with program, map etc	grupo	alternativoj	prononco
level	vi povas pagi kaj ricevi sakon kun programo, mapo ktp	အစီအစဉ်၊ မြေပုံစသည်ဖြင့် အိတ်တစ်လုံးကို ငွေပေးချေပြီး လက်ခံနိုင်သည်။	you can pay and receive a bag with program, map etc	grupo	alternativoj	prononco
level	ĉe la ruĝa budo, tie	အနီရောင်တဲမှာ၊	at the red booth, there	grupo	alternativoj	prononco
level	bone, dankon	ကောင်းပါတယ်၊ ကျေးဇူးတင်ပါတယ်။	good, thank you	grupo	alternativoj	prononco
level	aspektas laca sed sana	ပင်ပန်းသော်လည်း ကျန်းမာပုံရသည်။	looks tired but healthy	grupo	alternativoj	prononco
level	tiuj personoj vere aspektis lacaj	အဲဒီလူတွေက တကယ့်ကို ပင်ပန်းနေပုံပဲ။	those people really looked tired	grupo	alternativoj	prononco
level	kaj ne estis tre afablaj	သိပ်သဘောကောင်းတာမဟုတ်ဘူး။	and were not very kind	grupo	alternativoj	prononco
level	vi pravas	မင်းမှန်တယ်	you are right	grupo	alternativoj	prononco
level	sed memoru ke ~	ဒါ​ပေမယ့်​ မှတ်​ထားပါ ~	but remember that ~	grupo	alternativoj	prononco
level	laboras dum ok horoj	၈ နာရီ အလုပ်လုပ်တယ်။	are working for 8 hours	grupo	alternativoj	prononco
level	la LKK laboras jam dum eble ok horoj	LKK သည် ရှစ်နာရီကြာအောင် အလုပ်လုပ်နေခဲ့သည်။	the LKK has been working for maybe eight hours	grupo	alternativoj	prononco
level	sen multe da paŭzoj	အများကြီးခေတ္တရပ်ခြင်းမရှိဘဲ	without much pause	grupo	alternativoj	prononco
level	sed memoru ke la LKK laboras sen paŭzoj	သို့သော် LKK သည် အနားယူခြင်းမရှိဘဲ အလုပ်လုပ်သည်ကို သတိရပါ။	but remember that the LKK works without breaks	grupo	alternativoj	prononco
level	babilema dum la semajno	တစ်ပတ်အတွင်း chatty	chatty during the week	grupo	alternativoj	prononco
level	mi certas ke ~	သေချာပါတယ်~	I'm sure that ~	grupo	alternativoj	prononco
level	mi certas ke ili estos pli afablaj	သူတို့က ပိုကြင်နာကြမှာ သေချာပါတယ်။	I'm sure they'll be kinder	grupo	alternativoj	prononco
level	ili estos pli afablaj kaj babilemaj	သူတို့သည် ကြင်နာတတ်ပြီး စကားပြောကောင်းလာလိမ့်မည်။	they will be kinder and more talkative	grupo	alternativoj	prononco
level	ni trovu ĝin	ရှာကြည့်ရအောင်	let's find it	grupo	alternativoj	prononco
level	bone, nun ni trovu la amasloĝejon	ကဲ၊ အခု အစုလိုက်အပြုံလိုက် တည်းခိုမယ့်နေရာကို ရှာကြည့်ရအောင်	well, now let's find the mass-lodging place	grupo	alternativoj	prononco
level	kaj poste mi ŝatus ion manĝi	ပြီးတော့ တစ်ခုခုစားချင်လိုက်တာ	and then I would like something to eat	grupo	alternativoj	prononco
level	ĉu vi vidis la knabinon ĉe la TEJO-budo?	TEJO booth မှာ ကောင်မလေးကို တွေ့ဖူးလား။	did you see the girl at the TEJO booth?	grupo	alternativoj	prononco
level	jes, kio pri ŝi?	ဟုတ်တယ်၊ သူမကော။	yes, what about her?	grupo	alternativoj	prononco
level	ĉu vi konas ŝin?	မင်းသူ့ကိုသိလား?	do you know her?	grupo	alternativoj	prononco
level	bedaŭrinde ne	ကံမကောင်းစွာဘဲ	unfortunately no	grupo	alternativoj	prononco
level	sed ŝi estas ege bela, ĉu ne?	ဒါပေမယ့် သူမ အရမ်းလှတယ်မဟုတ်လား?	but she's very pretty, isn't she?	grupo	alternativoj	prononco
level	mi konsentas	ကျွန်တော်သဘောတူသည်	I agree	grupo	alternativoj	prononco
level	tamen ne bone komprenas	သို့သော် ကောင်းကောင်းနားမလည်ပါ။	however does not understand well	grupo	alternativoj	prononco
level	mi konsentas tamen ne komprenas	သဘောတူပေမယ့် နားမလည်ဘူး။	I agree but I don't understand	grupo	alternativoj	prononco
level	ĉu al vi plaĉas inoj?	မင်းမိန်းမတွေကိုကြိုက်လား	do you like females?	grupo	alternativoj	prononco
level	jes, mi volis diri al vi antaŭe	ဟုတ်ကဲ့ အရင်ပြောပြချင်ပါတယ်။	yes, I want tell you before	grupo	alternativoj	prononco
level	sed ial ne faris	ဒါပေမယ့် အကြောင်းတစ်ခုခုကြောင့် မဖြစ်ခဲ့ပါဘူး။	but for some reason did not	grupo	alternativoj	prononco
level	virinoj plaĉas al mi pli ol viroj	virinoj plaĉas al mi pli ol viroj	virinoj plaĉas al mi pli ol viroj	grupo	alternativoj	prononco
level	aspekte ktp	ရှုထောင့်စသည်တို့	aspect etc	grupo	alternativoj	prononco
level	ĉu, ĉu vi estas ?	နင်လား ၊	are you, are you?	grupo	alternativoj	prononco
level	jes, mi estas samseksemulo	ဟုတ်တယ်၊ ငါက လိင်တူဆက်ဆံသူပါ။	yes, I am a homosexual	grupo	alternativoj	prononco
level	oni ankaŭ povas diri lesbo	lesbian လို့လည်း ပြောလို့ရပါတယ်။	one can also say lesbian	grupo	alternativoj	prononco
level	bone, mi tute ne sciis	ကောင်းပြီ၊ ငါလုံးဝမသိခဲ့ပါ။	well, I didn't know at all	grupo	alternativoj	prononco
level	sed mi ĝojas ke vi diris	ဒါပေမယ့် မင်းပြောတာကို ငါဝမ်းသာတယ်။	but I'm glad you said	grupo	alternativoj	prononco
level	fakte mi ankaŭ ĝojas ke vi estas samseksemulo	တကယ်ဆို မင်းက လိင်တူဆက်ဆံတာ ဝမ်းသာပါတယ်။	in fact I am glad that you are a homosexual	grupo	alternativoj	prononco
level	vi estas la plej afabla kaj agrabla lesbo	မင်းက အကြင်နာဆုံးနဲ့ အမွန်မြတ်ဆုံး လိင်တူချစ်သူပါ။	you are the kindest and nicest lesbian	grupo	alternativoj	prononco
level	la plej agrabla lesbo kiun mi konas	ငါသိတဲ့ အလှပဆုံး lesbian	the nicest lesbian I know	grupo	alternativoj	prononco
level	dankon! ĉu vi konas aliajn?	ကျေးဇူးတင်ပါသည်! သူများတွေသိလား	thank you! do you know others?	grupo	alternativoj	prononco
level	sed kiel vi scias tion?	ဒါပေမယ့် အဲဒါကို ဘယ်လိုသိတာလဲ။	but how do you know that?	grupo	alternativoj	prononco
level	tiu knabino preferas virojn!	ဒီမိန်းကလေးက ယောက်ျားတွေကို ပိုကြိုက်တယ်။	that girl prefers men!	grupo	alternativoj	prononco
level	ĉiukaze mi kredas ke tiu knabino preferas virojn!	ဘယ်လိုပဲဖြစ်ဖြစ် မိန်းကလေးက ယောက်ျားတွေကို ပိုကြိုက်မယ်လို့ ယုံကြည်တယ်။	in any case I believe that girl prefer men!	grupo	alternativoj	prononco
level	tiu knabino pri kiu vi parolis	မင်းပြောခဲ့တဲ့ကောင်မလေး	that girl whom you were talking about	grupo	alternativoj	prononco
level	ni vidos	ငါတို့တွေ့မယ်။	we'll see	grupo	alternativoj	prononco
level	en la amasloĝejo	အစုလိုက်အပြုံလိုက် တည်းခိုရာနေရာ (ပျက်ကျတဲ့နေရာ)၊	in the mass lodging place (a crash space)	grupo	alternativoj	prononco
level	bonan matenon!	မင်္ဂလာနံနက်ခင်းပါ!	good morning!	grupo	alternativoj	prononco
level	ĉu vi bone dormis?	သင်နှစ်ခြိုက်စွာအိပ်ပျော်ရဲ့လား?	did you sleep well?	grupo	alternativoj	prononco
