A.el content.tsv
Level	Esperanto	el	en-us	Grupo	Alternativoj	Pronoco
level	tie, kie ŝi loĝis	ο τόπος όπου ζούσε	a the place, where she lived	grupo	alternativoj	prononco
level	kiel vi scias pri la aŭto?	πώς ξέρεις για το αυτοκίνητο;	how do you know about the car?	grupo	alternativoj	prononco
level	nu, vidu la rapidan aŭton	Λοιπόν, κοίτα το γρήγορο αυτοκίνητο	well, look at the fast car	grupo	alternativoj	prononco
level	suko sen sukero	ένα χυμό χωρίς ζάχαρη	a juice without sugar	grupo	alternativoj	prononco
level	li havis rapidan veturilon	έχει ένα γρήγορο όχημα	he has a fast vehicle	grupo	alternativoj	prononco
level	tro forte	πολύ έντονα	too strongly	grupo	alternativoj	prononco
level	li tro forte malfermis	άνοιξε πολύ δυνατά	he opened too hard	grupo	alternativoj	prononco
level	veturis tro rapide	οδήγησε (ταξίδεψε) πολύ γρήγορα	drove (traveled) too fast	grupo	alternativoj	prononco
level	manĝis per kulero	έφαγε με ένα κουτάλι	ate with a spoon	grupo	alternativoj	prononco
level	ni forte dubas	αμφιβάλλουμε έντονα	we strongly doubt	grupo	alternativoj	prononco
level	vera letero de li	ένα αληθινό γράμμα από αυτόν	a true letter from him	grupo	alternativoj	prononco
level	amletero kun kvin fotoj	ένα γράμμα αγάπης με πέντε φωτογραφίες	a love letter with five photos	grupo	alternativoj	prononco
level	revenis, revenintoj	επέστρεψαν, οι άνθρωποι που επέστρεψαν	returned, the people who returned	grupo	alternativoj	prononco
level	ankaŭ ses leteroj revenis	επέστρεψαν επίσης έξι γράμματα	also six letters returned	grupo	alternativoj	prononco
level	volis vidi la foton	ήθελε να δει τη φωτογραφία	wanted to see the photo	grupo	alternativoj	prononco
level	revenis el la lernejo	γύρισε από το σχολείο	came back from the school	grupo	alternativoj	prononco
level	kiam revenos la fratino?	πότε θα επιστρέψει η αδερφή;	when will the sister return?	grupo	alternativoj	prononco
level	volis legi denove	ήθελε να διαβάσει ξανά	wanted to read again	grupo	alternativoj	prononco
level	faris, fariĝis	έκανε (έκανε), έγινε	made (did), became	grupo	alternativoj	prononco
level	rapide fariĝis ruĝa	έγινε γρήγορα κόκκινο	rapidly became red	grupo	alternativoj	prononco
level	en ĉambro, en ĉambron	σε ένα δωμάτιο, σε ένα δωμάτιο	in a room, into a room	grupo	alternativoj	prononco
level	staris kaj sidis	στάθηκε και κάθισε	stood and sat	grupo	alternativoj	prononco
level	tie staris antaŭ la foto	στάθηκε μπροστά στη φωτογραφία	there stood in front of the photo	grupo	alternativoj	prononco
level	mi havas tion	το έχω αυτό	I have that	grupo	alternativoj	prononco
level	kion vi havas en via mano?	τι εχεις στα χερια σου	what do you have in your hand?	grupo	alternativoj	prononco
level	antaŭ aŭ malantaŭ?	μπροστά ή πίσω;	in front or behind?	grupo	alternativoj	prononco
level	antaŭ aŭ post?	πριν ή μετά?	before or after?	grupo	alternativoj	prononco
level	tie malantaŭ la pordo	εκεί πίσω από την πόρτα	there behind the door	grupo	alternativoj	prononco
level	aliaj, aliaj homoj	άλλοι, άλλοι άνθρωποι	others, other people	grupo	alternativoj	prononco
level	leteroj de aliaj	επιστολές από άλλους	letters from others	grupo	alternativoj	prononco
level	falis el la mano	έπεσε από το χέρι	fell out of the hand	grupo	alternativoj	prononco
level	sur la tablo, sur la tablon	στο τραπέζι, πάνω στο τραπέζι	on the table, onto the table	grupo	alternativoj	prononco
level	ĝi falis sur la tablon	έπεσε στο τραπέζι	it fell on the table	grupo	alternativoj	prononco
level	petis pardonon	ζήτησε χάρη	asked for pardon	grupo	alternativoj	prononco
level	serĉis kvin librojn	έψαχνε για πέντε βιβλία	was searching for five books	grupo	alternativoj	prononco
level	pardonu, mi serĉis mian libron	συγγνώμη, έψαχνα το βιβλίο μου.	sorry, I was looking for my book.	grupo	alternativoj	prononco
level	sed vi bone scias	αλλά ξέρεις καλά	but you know well	grupo	alternativoj	prononco
level	ne estas sur mia tablo	δεν είναι στο τραπέζι μου	is not on my table	grupo	alternativoj	prononco
level	viaj libroj ne estas sur mia tablo	τα βιβλία σου δεν είναι στο τραπέζι μου	your books are not on my table	grupo	alternativoj	prononco
level	ree donis, redonis	πάλι έδωσε, επέστρεψε	again gave, returned	grupo	alternativoj	prononco
level	redonu la leteron al mi.	επιστρέψτε μου το γράμμα	return the letter to me	grupo	alternativoj	prononco
level	ricevis bonan lecionon	πήρε ένα καλό μάθημα	received a good lesson	grupo	alternativoj	prononco
level	plu lavis, ne plu manĝis	πλύθηκε περαιτέρω, έφαγε άλλο	further washed, ate any more	grupo	alternativoj	prononco
level	ne plu legos	δεν θα διαβάζει πλέον	will no longer read	grupo	alternativoj	prononco
level	ankaŭ mi ricevis	έλαβα κι εγώ	I also received	grupo	alternativoj	prononco
level	devas fermi	πρέπει να κλείσει	has to close	grupo	alternativoj	prononco
level	mi devas bone fermi	Πρέπει να κλείσω καλά	I have to close well	grupo	alternativoj	prononco
level	bone fermis la pordon	έκλεισε ερμητικά την πόρτα	closed the door tightly	grupo	alternativoj	prononco
level	trankvila, trankviliĝu	ηρέμησε, ηρέμησε	calm, calm down	grupo	alternativoj	prononco
level	aŭdis sed ne aŭskultis	άκουσε αλλά δεν άκουσε	heard but did not listen	grupo	alternativoj	prononco
level	aŭdis trankvilan sonon	άκουσε έναν ήρεμο ήχο	heard a calm sound	grupo	alternativoj	prononco
level	ĉe mi estis kvar poŝoj	σε μένα, υπάρχουν 4 τσέπες	at me, there are 4 pockets	grupo	alternativoj	prononco
level	dek tagoj post la lasta leciono	δέκα μέρες μετά το τελευταίο μάθημα	ten days after the last lesson	grupo	alternativoj	prononco
level	inter la du tabloj	ανάμεσα στα δύο τραπέζια	between the two tables	grupo	alternativoj	prononco
level	tri leteroj, ses paperoj	τρία γράμματα, έξι χαρτιά	three letters, six papers	grupo	alternativoj	prononco
level	de kapo ĝis piedo	από το κεφάλι μέχρι τα πόδια	from head to foot	grupo	alternativoj	prononco
level	kvar, kvara, kvaropo, kvarono	τέσσερα, τέταρτα, ένα κουαρτέτο, ένα τέταρτο	four, fourth, a quartet, a quarter	grupo	alternativoj	prononco
level	kien iris la triopo?	πού πήγε η τριάδα	where did the trio go	grupo	alternativoj	prononco
level	kvin fingroj en ambaŭaj manoj	πέντε δάχτυλα και στα δύο χέρια	five fingers in both hands	grupo	alternativoj	prononco
level	si mem, sia poŝo	από μόνος του, την τσέπη του	by oneself, one's own pocket	grupo	alternativoj	prononco
level	meti, kunmeti, kunmetaĵo	βάζω, βάζω μαζί, ένα σύνθετο	put, put together, a compound	grupo	alternativoj	prononco
level	metis en sian poŝon	βάζει κανείς στην τσέπη του	put in one's own pocket	grupo	alternativoj	prononco
level	du cent nacioj en la mondo	διακόσια έθνη στον κόσμο	two hundred nations in the world	grupo	alternativoj	prononco
level	prenis, forprenis	πήρε, αφαίρεσε	took, took away	grupo	alternativoj	prononco
level	prenis sep el siaj naŭ libroj	πήρε επτά από τα εννιά δικά του βιβλία	took seven out of his own nine books	grupo	alternativoj	prononco
level	lasi, forlasita	να φύγει, εγκαταλελειμμένος	to leave, abandoned	grupo	alternativoj	prononco
level	lasu min sola kaj trankvila	άσε με ήσυχο και ήσυχο	leave me alone and calm	grupo	alternativoj	prononco
level	mil ok cent ok dek sep	χίλια οκτακόσια ογδόντα επτά (1887)	thousand eight hundred and eighty seven (1887)	grupo	alternativoj	prononco
level	taso da teo	ένα φλιτζάνι του τσαγιού	a cup of tea	grupo	alternativoj	prononco
level	oni lavis ok tasojn	κάποιος έπλυνε οκτώ φλιτζάνια	somebody washed eight cups	grupo	alternativoj	prononco
level	du mil dek naŭ	δύο χιλιάδες δεκαεννέα (2019)	two thousand nineteen (2019)	grupo	alternativoj	prononco
level	li lavis sin	πλύθηκε	he washed himself	grupo	alternativoj	prononco
level	sia korpo, sia propra posedo	το σώμα κάποιου, την ιδιοκτησία του	one's body, one's own possession	grupo	alternativoj	prononco
level	sur la tablo, la kato dormis	στο τραπέζι, η γάτα κοιμήθηκε	on the table, the cat slept	grupo	alternativoj	prononco
level	la kato saltis sur la tablon	η γάτα πήδηξε στο τραπέζι	the cat jumped onto the table	grupo	alternativoj	prononco
level	en la halo, en la halon	στην αίθουσα, στην αίθουσα	in the hall, into the hall	grupo	alternativoj	prononco
level	enfalis en lian manon	έπεσε στο χέρι του	fell into his hand	grupo	alternativoj	prononco
level	labori, ellabori	να δουλέψει, να επεξεργαστεί	to work, to elaborate	grupo	alternativoj	prononco
level	ellabori por tiu libro	για να επεξεργαστούμε αυτό το βιβλίο	to elaborate for that book	grupo	alternativoj	prononco
level	scias, scivolas, scivolo	ξέρει, θέλει να μάθει, περιέργεια	knows, wants to know, curiosity	grupo	alternativoj	prononco
level	dulingva, dulingveco	διγλωσσία, διγλωσσία	bilingual, bilingualism	grupo	alternativoj	prononco
level	scivolas pri trilingva lernanto	αναρωτιέται για έναν τρίγλωσσο μαθητή	wonders about a trilingual learner	grupo	alternativoj	prononco
level	iris, reiris	πήγε, επέστρεψε	went, returned	grupo	alternativoj	prononco
level	la katoj reiris al siaj domoj	οι γάτες επέστρεψαν στα (δικά τους) σπίτια	the cats returned to their (own) homes	grupo	alternativoj	prononco
level	en la sako, en la sakon	στην τσάντα, στην τσάντα	in the bag, into the bag	grupo	alternativoj	prononco
level	enmetu ĝin en vian sakon	βάλτε το στην τσάντα σας	put it into your bag	grupo	alternativoj	prononco
level	piedo, piediras, piediranto	ένα πόδι, βόλτες, ένας πεζός	a foot, walks, a pedestrian	grupo	alternativoj	prononco
level	dek-tage ili piediris	για δέκα μέρες περπατούσαν	for ten days, they walked	grupo	alternativoj	prononco
level	preni, elpreni	παίρνω, βγάζω	to take, to take out	grupo	alternativoj	prononco
level	belaj floroj, prenis belajn florojn	όμορφα λουλούδια, πήρε όμορφα λουλούδια	beautiful flowers, took beautiful flowers	grupo	alternativoj	prononco
level	li elprenis nur belajn florojn	έβγαλε μόνο όμορφα λουλούδια	he took out only beautiful flowers	grupo	alternativoj	prononco
level	malfermis, sed tuj fermis	άνοιξε, αλλά έκλεισε αμέσως	opened, but immediately closed	grupo	alternativoj	prononco
level	malfermis internacian kunvenon	άνοιξε μια διεθνή συνάντηση	opened an international meeting	grupo	alternativoj	prononco
level	eldonis kaj disdonis	δημοσιεύεται και διανέμεται	published and distributed	grupo	alternativoj	prononco
level	la eldonisto eldonis dudek tri librojn	ο εκδότης εξέδωσε είκοσι τρία βιβλία	the publisher published twenty-three books	grupo	alternativoj	prononco
level	revenis kaj revidis sian filon	γύρισε και ξαναείδε τον δικό του γιο	returned and saw one's own son again	grupo	alternativoj	prononco
level	en la jaro dumil dudek tri	το έτος δύο χιλιάδες είκοσι τρία (2023)	in the year two thousand and twenty three (2023)	grupo	alternativoj	prononco
level	sinjoro eniris la vendejon	ένας κύριος μπήκε (στο) μαγαζί	a gentleman entered (into) the store	grupo	alternativoj	prononco
level	la vendejo de aŭtoj	το κατάστημα των αυτοκινήτων	the store of cars	grupo	alternativoj	prononco
level	tie li vidas sinjorinon	εκεί βλέπει μια κυρία	there he sees a lady	grupo	alternativoj	prononco
level	karaj gesinjoroj	αγαπητές κυρίες και κύριοι	dear ladies and gentlemen	grupo	alternativoj	prononco
level	tio plaĉis al mi	που με ευχαριστησε (μου αρεσει)	that pleased me (I like that)	grupo	alternativoj	prononco
level	la sinjorino plaĉis al li	η κυρία τον ευχαριστούσε (του άρεσε η κυρία)	the lady pleased him (he liked the lady)	grupo	alternativoj	prononco
level	vidis la belan sinjorinon	είδε την όμορφη κυρία	saw the beautiful lady	grupo	alternativoj	prononco
level	kiu plaĉis al li?	ποιος τον ευχαριστησε (ποιος του άρεσε;)	who pleased him? (whom did he like?)	grupo	alternativoj	prononco
level	la virino, kiu plaĉis al mi	η γυναίκα, που με ευχαριστούσε	the woman, who pleased me	grupo	alternativoj	prononco
level	tiu, kiu eniris la domon	αυτός που μπήκε στο σπίτι	the one who entered the house	grupo	alternativoj	prononco
level	la viro, kiu donacis ĝin	ο άνθρωπος που το δώρισε	the man who donated it	grupo	alternativoj	prononco
level	li donacis ringon al lia edzino	έδωσε ένα δαχτυλίδι στη γυναίκα του	he gave a ring to his wife	grupo	alternativoj	prononco
level	la ringo plaĉis al ŝi	της άρεσε το δαχτυλίδι	she liked the ring	grupo	alternativoj	prononco
level	la edzino, al kiu la ringo plaĉis	η γυναίκα που της άρεσε το δαχτυλίδι	the wife who liked the ring	grupo	alternativoj	prononco
level	vendisto laboras en la vendejo	ένας πωλητής εργάζεται στο κατάστημα	a salesman works in the store	grupo	alternativoj	prononco
level	vendisto de aŭtoj	ένας πωλητής αυτοκινήτων	a salesman of cars	grupo	alternativoj	prononco
level	la sinjoro demandis al la vendisto	ρώτησε ο κύριος τον πωλητή	the gentleman asked the salesman	grupo	alternativoj	prononco
level	kiu aŭto plaĉas al vi?	ποιο αυτοκίνητο σου αρέσει;	which car do you like?	grupo	alternativoj	prononco
level	kiun aŭton vi elektos?	ποιο αυτοκίνητο θα διαλέξεις;	which car will you choose?	grupo	alternativoj	prononco
level	mi elektis tiun aŭton	Διάλεξα αυτό το αυτοκίνητο	I chose that car	grupo	alternativoj	prononco
level	ĝi estas pli bona	είναι καλύτερα	it is better	grupo	alternativoj	prononco
level	pli bona ol ĉi tio	καλύτερο από αυτό	better than this	grupo	alternativoj	prononco
level	plej bona el ili	το καλύτερο από αυτά	best of them	grupo	alternativoj	prononco
level	estas la plej bona	ειναι το καλυτερο	is the best	grupo	alternativoj	prononco
level	kiu aŭto estas la plej bona?	ποιο αυτοκίνητο είναι το καλύτερο;	which car is the best?	grupo	alternativoj	prononco
level	tiu ĉi aŭto estas pli bona	αυτό το αυτοκίνητο είναι καλύτερο	this car is better	grupo	alternativoj	prononco
level	tiu ĉi estas la plej bona	αυτό είναι το καλύτερο	this one is the best	grupo	alternativoj	prononco
level	vidis ĉiujn aŭtojn	είδε όλα τα αυτοκίνητα	saw all the cars	grupo	alternativoj	prononco
level	la plej bona el ĉiuj	το καλύτερο απ 'όλα	the best of all	grupo	alternativoj	prononco
level	ĉu ĝi estas rapida?	είναι γρήγορο;	is it fast?	grupo	alternativoj	prononco
level	pli rapida ol aliaj	πιο γρήγορα από άλλα	faster than others	grupo	alternativoj	prononco
level	estas ankaŭ forta	είναι επίσης ισχυρή	is also strong	grupo	alternativoj	prononco
level	ho jes, kompreneble!	ω, ναι, φυσικά!	oh yes, of course!	grupo	alternativoj	prononco
level	estas tre forta	είναι πολύ δυνατό	is very strong	grupo	alternativoj	prononco
level	certe ĝi estas forta	σίγουρα είναι δυνατό	certainly it is strong	grupo	alternativoj	prononco
level	estas ankaŭ multekosta	είναι επίσης ακριβό	is also expensive	grupo	alternativoj	prononco
level	la plej multekosta el ĉiuj	το πιο ακριβό από όλα	the most expensive of all	grupo	alternativoj	prononco
level	malmultekosta sed forta	φθηνό αλλά δυνατό	cheap but strong	grupo	alternativoj	prononco
level	bedaŭras kaj bedaŭrindas	λυπάται και λυπάται (αξίζει να λυπηθείς)	feels sorry and is pityful (worth feeling sorry)	grupo	alternativoj	prononco
level	bedaŭrinde mi ne aĉetos	δυστυχώς δεν θα αγοράσω	unfortunately I will not buy	grupo	alternativoj	prononco
level	estas bedaŭrinda afero	είναι ατυχές πράγμα	is an unfortunate thing	grupo	alternativoj	prononco
level	li aĉetis novan aŭton	αγόρασε ένα καινούργιο αυτοκίνητο	he bought a new car	grupo	alternativoj	prononco
level	ĉar mi ne havas monon	γιατί δεν έχω λεφτά	because I do not have money	grupo	alternativoj	prononco
level	mia malnova aŭto	το παλιό μου αυτοκίνητο	my old car	grupo	alternativoj	prononco
level	la plej malmultekosta el ĉiuj	το φθηνότερο όλων	the cheapest of all	grupo	alternativoj	prononco
level	mi veturos tien	Θα οδηγήσω εκεί	I'll drive there	grupo	alternativoj	prononco
level	ankoraŭ veturos per ĝi	θα εξακολουθεί να οδηγεί μαζί του	will still drive with it	grupo	alternativoj	prononco
level	dum la tuta tago	όλη μέρα	all day long	grupo	alternativoj	prononco
level	dum li diris tion	ενώ είπε ότι	while he said that	grupo	alternativoj	prononco
level	li denove rigardis ŝin	την κοίταξε ξανά	he looked at her again	grupo	alternativoj	prononco
level	sed la vendisto diris	αλλά είπε ο πωλητής	but the salesman said	grupo	alternativoj	prononco
level	estus pli bone, ke ~	θα ήταν καλύτερα που ~	it would be better that ~	grupo	alternativoj	prononco
level	rigardu tiun ĉi sinjorinon	κοίτα αυτή την κυρία	look at this lady	grupo	alternativoj	prononco
level	ankaŭ tio estas tre multekosta	που είναι επίσης πολύ ακριβό	that is also very expensive	grupo	alternativoj	prononco
level	mi estas ŝia edzo	Είμαι ο άντρας της	I am her husband	grupo	alternativoj	prononco
level	kiom via vojaĝo kostis?	πόσο κόστισε το ταξίδι σας;	how much did your trip cost?	grupo	alternativoj	prononco
level	aŭskultu la kanton de via edzino	ακούστε το τραγούδι της γυναίκας σας	listen to your wife's song	grupo	alternativoj	prononco
level	ne forgesu, ke ĝi tre multe kostas	μην ξεχνάτε ότι κοστίζει πολύ	don’t forget that it costs a lot	grupo	alternativoj	prononco
level	li helpis la vendiston dum du horoj	βοήθησε τον πωλητή για δύο ώρες	he helped the salesman for two hours	grupo	alternativoj	prononco
level	jam pli ol tri jaroj	για περισσότερα από τρία χρόνια	for more than three years	grupo	alternativoj	prononco
level	kovri, kovrilo, malkovri	καλύπτω, καλύπτω, αποκαλύπτω (ανακαλύπτω)	cover, cover, uncover (discover)	grupo	alternativoj	prononco
level	la kialon li ankoraŭ ne malkovris	τον λόγο που δεν έχει ανακαλύψει ακόμα	the reason he has not yet discovered	grupo	alternativoj	prononco
level	kial vi komencis sendi leterojn?	γιατί άρχισες να στέλνεις γράμματα;	why did you start sending letters?	grupo	alternativoj	prononco
level	dum ok monatoj li vivis tie	οκτώ μήνες έζησε εκεί	for eight months he lived there	grupo	alternativoj	prononco
level	ne havis tempon por aŭskulti	δεν είχα χρόνο να ακούσω	didn't have time to listen	grupo	alternativoj	prononco
level	la aŭto estis jam plena	το αυτοκίνητο ήταν ήδη γεμάτο	the car was already full	grupo	alternativoj	prononco
level	kion vi manĝas?	τι τρως	what are you eating	grupo	alternativoj	prononco
level	kia estas la vetero?	πώς είναι ο καιρός?	what's the weather like?	grupo	alternativoj	prononco
level	kian aŭton vi havas?	τι είδους αυτοκίνητο έχεις;	what kind of car do you have?	grupo	alternativoj	prononco
level	kiaj estis ŝiaj leteroj?	πώς ήταν τα γράμματά της;	what were her letters like?	grupo	alternativoj	prononco
level	kie ni estas?	που είμαστε?	where are we?	grupo	alternativoj	prononco
level	kien vi iras?	που πας?	where are you going to?	grupo	alternativoj	prononco
level	al kiu vi donis ĝin?	σε ποιον το εδωσες	to whom did you give it?	grupo	alternativoj	prononco
level	la viro, kun kiu vi vojaĝis	ο άντρας με τον οποίο ταξίδεψες	the man whom you traveled with	grupo	alternativoj	prononco
level	pli granda ol la aŭto	μεγαλύτερο από το αυτοκίνητο	bigger than the car	grupo	alternativoj	prononco
level	la plej alta el tiuj homoj	ο ψηλότερος από αυτούς τους ανθρώπους	the tallest of those people	grupo	alternativoj	prononco
level	li sidis dum la manĝo	καθόταν στο δείπνο	he was sitting at dinner	grupo	alternativoj	prononco
level	ŝi skribas dum li legas	εκείνη γράφει ενώ εκείνος διαβάζει	she writes while he reads	grupo	alternativoj	prononco
level	ĉi tie, en ĉi tiu ĉambro	εδώ, σε αυτό το δωμάτιο	here, in this room	grupo	alternativoj	prononco
level	tiu ĉi sinjoro	αυτός ο κύριος	this gentleman	grupo	alternativoj	prononco
level	aŭskultinda novaĵo	μια είδηση που αξίζει να ακούσετε	a news worth listening	grupo	alternativoj	prononco
level	la libro estas vere leginda	το βιβλίο αξίζει πραγματικά να διαβαστεί	the book is really worth reading	grupo	alternativoj	prononco
level	bedaŭra afero	ένα ατυχές πράγμα	an unfortunate thing	grupo	alternativoj	prononco
level	bedaŭrinde, mi ne povas	δυστυχώς, δεν μπορώ	unfortunately, I can't	grupo	alternativoj	prononco
level	nedankinde. estis mia plezuro	Παρακαλώ. ήταν χαρά μου	you are welcome. it was my pleasure	grupo	alternativoj	prononco
level	eta belulino ege belas	μικρό όμορφο κορίτσι είναι πολύ όμορφο	small pretty girl is very beautiful	grupo	alternativoj	prononco
level	ĉiuj amikoj amas ŝin	όλοι οι φίλοι την αγαπούν	all friends love her	grupo	alternativoj	prononco
level	antaŭ tri monatoj	τρεις μήνες πριν	three months ago	grupo	alternativoj	prononco
level	okazis malbono al ŝi	κάτι κακό της συνέβη	something bad happened to her	grupo	alternativoj	prononco
level	ŝi falis pro aŭto	έπεσε εξαιτίας ενός αυτοκινήτου	she fell because of a car	grupo	alternativoj	prononco
level	malsaniĝis kaj temperaturo altiĝis	αρρώστησε και η θερμοκρασία ανέβηκε	became ill and temperature rose	grupo	alternativoj	prononco
level	patrino diris, ke ŝi devas ripozi	η μητέρα είπε ότι πρέπει να ξεκουραστεί	mother said she should rest	grupo	alternativoj	prononco
level	ŝi devas resti hejme	πρέπει να μείνει σπίτι	she has to stay home	grupo	alternativoj	prononco
level	ŝi vokos doktoron	θα καλέσει γιατρό	she will call a doctor	grupo	alternativoj	prononco
level	je la naŭa horo	στις εννεα ακριβως	at nine o'clock	grupo	alternativoj	prononco
level	matene venis je la oka	το πρωί ήρθε στις οκτώ	in the morning came at eight o'clock	grupo	alternativoj	prononco
level	je la sepa morgaŭ vespere	στις επτά αύριο το απόγευμα	at seven tomorrow evening	grupo	alternativoj	prononco
level	montris liajn manojn	έδειξε τα χέρια του	showed his hands	grupo	alternativoj	prononco
level	vesto, vestiĝas	φόρεμα, ντύνεται	dress, is getting dressed	grupo	alternativoj	prononco
level	vestiĝu kaj varmigu vian korpon	ντύσου και ζέστανε το σώμα σου	get dressed and warm your body	grupo	alternativoj	prononco
level	hejme tuj malvestis kaj duŝis	στο σπίτι αμέσως γδύθηκε και έκανε ντους	at home immediately undressed and showered	grupo	alternativoj	prononco
level	doktoro rigardis ĉion	ένας γιατρός κοίταξε τα πάντα	a doctor looked at everything	grupo	alternativoj	prononco
level	bone rigardis kaj fine diris	κοίταξε καλά και είπε τελικά	looked throughly and finally said	grupo	alternativoj	prononco
level	unu semajnon restu hejme	μείνε σπίτι για μια εβδομάδα	stay home for a week	grupo	alternativoj	prononco
level	deziras, ke vi estu trankvila	θέλει να είσαι ήρεμος	wants you to be calm	grupo	alternativoj	prononco
level	post unu semajno	μετά από μία εβδομάδα	after one week	grupo	alternativoj	prononco
level	vi fartos pli bone	θα αισθανθείτε καλύτερα	you will feel better	grupo	alternativoj	prononco
level	trinku multe da teo	πίνετε άφθονο τσάι	drink plenty of tea	grupo	alternativoj	prononco
level	venos por revidi vin	θα έρθω να σε ξαναδώ	will come to see you again	grupo	alternativoj	prononco
level	ankaŭ li estu trankvila	ας είναι και αυτός ήρεμος	let him be calm too	grupo	alternativoj	prononco
level	sana homo, sanulo	υγιής άνθρωπος, υγιής άνθρωπος	healthy man, healthy person	grupo	alternativoj	prononco
level	zorgis pri si mem	φρόντισε τον εαυτό του	took care of oneself	grupo	alternativoj	prononco
level	tuta afero tuje utilis al mi	το όλο πράγμα μου ήταν χρήσιμο αμέσως	the whole thing was useful to me at once	grupo	alternativoj	prononco
level	rimarkis, ke teruraĵo proksimas	παρατήρησε ότι το φρικτό πράγμα είναι κοντά	noticed that horrible thing is near	grupo	alternativoj	prononco
level	petis tuj rimarki ĝin	ζήτησε να το παρατηρήσει αμέσως	asked to notice it immediately	grupo	alternativoj	prononco
level	pensis, ke tio ne necesas	σκέφτηκε ότι δεν ήταν απαραίτητο	thought that was not necessary	grupo	alternativoj	prononco
level	loĝis proksime, kaj tio utilis	ζούσε κοντά, και αυτό ήταν χρήσιμο	lived nearby, and that was useful	grupo	alternativoj	prononco
level	nia lando hodiaŭ teruriĝis	η χώρα μας τρομοκρατήθηκε σήμερα	our country became terrified today	grupo	alternativoj	prononco
level	karaj infanoj el ĉiuj familioj	αγαπητά παιδιά από όλες τις οικογένειες	dear children from all families	grupo	alternativoj	prononco
level	unu fojon hieraŭ, du fojojn morgaŭ	μια φορά χθες, δύο φορές αύριο	once yesterday, twice tomorrow	grupo	alternativoj	prononco
level	hodiaŭ familioj bezonas infanojn	σήμερα οι οικογένειες χρειάζονται παιδιά	today families need children	grupo	alternativoj	prononco
level	esperis, ke li fartos bone morgaŭ	ήλπιζε ότι θα ήταν καλά αύριο	hoped he would be well tomorrow	grupo	alternativoj	prononco
level	li fartis ege trankvila	ένιωθε (ήταν) πολύ ήρεμος	he was feeling (has been) very calm	grupo	alternativoj	prononco
level	tri etuloj altigis la monton	τρία πιτσιρίκια σήκωσαν το βουνό	three little ones raised the mountain	grupo	alternativoj	prononco
level	gravuloj ne petis helpon	σημαντικοί άνθρωποι δεν ζήτησαν βοήθεια	important people did not ask for help	grupo	alternativoj	prononco
level	piediris tien por helpi	περπάτησε εκεί για να βοηθήσει	walked there to help	grupo	alternativoj	prononco
level	restu hejme se temperaturo altas	μείνετε σπίτι εάν η θερμοκρασία είναι υψηλή	stay home if temperature is high	grupo	alternativoj	prononco
level	temperaturo restis simila hodiaŭ	Η θερμοκρασία παρέμεινε παρόμοια και σήμερα	temperature remained similar today	grupo	alternativoj	prononco
level	voku la doktoron je la naŭa	τηλεφώνησε στο γιατρό στις εννιά	call the doctor at nine	grupo	alternativoj	prononco
level	montru ĝin al via doktoro	δείξτε το στον γιατρό σας	show it to your doctor	grupo	alternativoj	prononco
level	por montri vian piedon	να δείξεις το πόδι σου	to show your foot	grupo	alternativoj	prononco
level	vestu ĉi tiun ĉemizon	φορέστε αυτό το πουκάμισο	wear this shirt	grupo	alternativoj	prononco
level	semajnfine ĉio trankviliĝos	το Σαββατοκύριακο όλα θα ηρεμήσουν	on the weekend everything will calm down	grupo	alternativoj	prononco
level	sub la te-taso kion vi trovis?	κάτω από το φλιτζάνι του τσαγιού τι βρήκατε;	under the tea-cup what did you find?	grupo	alternativoj	prononco
level	mi deziras matenan teon	Θέλω πρωινό τσάι	I want morning tea	grupo	alternativoj	prononco
level	esperis trankvilan vesperon	ήλπιζε για ένα ήσυχο βράδυ	hoped for a quiet evening	grupo	alternativoj	prononco
level	deziras, ke vi lernu	θέλει να μάθεις	wants that you learn	grupo	alternativoj	prononco
level	insistis, ke mi iru	επέμενε να πάω	insisted that I go	grupo	alternativoj	prononco
level	je kioma horo?	σε ποια ώρα;	at what hour?	grupo	alternativoj	prononco
level	je la sesa, li venos	στις έξι θα έρθει	at six he will come	grupo	alternativoj	prononco
level	la libreto estis ĉarma	το λιμπρέτο ήταν γοητευτικό	the libretto was charming	grupo	alternativoj	prononco
level	estu trankvila	Κάνε ησυχία	be quiet	grupo	alternativoj	prononco
level	li estu trankvila	ας είναι ήσυχος	let him be quiet	grupo	alternativoj	prononco
level	ankaŭ li	αυτός επίσης	he too	grupo	alternativoj	prononco
level	mi deziras	θέλω (επιθυμώ)	I want (desire)	grupo	alternativoj	prononco
level	mi deziras, ke ~	εύχομαι (επιθυμώ) ότι ~	I wish (desire) that ~	grupo	alternativoj	prononco
level	ke vi lernu	που μαθαίνεις	that you learn	grupo	alternativoj	prononco
level	mi deziras, ke vi lernu	Θέλω να μάθεις	I want you to learn	grupo	alternativoj	prononco
level	patro insistas	επιμένει ο πατέρας	father insists	grupo	alternativoj	prononco
level	patro insistas, ke ~	πατέρας επιμένει ότι ~	father insists that ~	grupo	alternativoj	prononco
level	ke mi iru	που πάω	that I go	grupo	alternativoj	prononco
level	patro insistas, ke mi iru	ο πατέρας επιμένει να πάω	father insists that I go	grupo	alternativoj	prononco
level	je kioma horo	σε ποια ώρα	at what hour	grupo	alternativoj	prononco
