B.hu content.tsv
Level	Esperanto	hu	en-us	Grupo	Alternativoj	Pronoco
level	estas ke la partoprenantoj venas de diversaj landoj	az, hogy a résztvevők különböző országokból érkeznek	is that the participants come from different countries	grupo	alternativoj	prononco
level	pro tiu mikso de diversaj homoj	a különböző emberek keveréke miatt	because of that mix of different people	grupo	alternativoj	prononco
level	estas bona etoso, kiu tre plaĉas al mi	ez egy jó hangulat, amit nagyon szeretek	it's a good atmosphere that I like very much	grupo	alternativoj	prononco
level	bone, sonas interese	rendben, érdeklődésnek hangzik	all right, sounds like interest	grupo	alternativoj	prononco
level	mi pripensos	gondolkodni fogok	I will think about	grupo	alternativoj	prononco
level	certe	biztosan	for sure	grupo	alternativoj	prononco
level	tamen, problemo estas ~	probléma azonban a ~	however, a problem is ~	grupo	alternativoj	prononco
level	tiom da mono	ennyi pénzt	that much money	grupo	alternativoj	prononco
level	mi ne havas tiom da mono nun	Nincs most annyi pénzem	I don't have that much money right now	grupo	alternativoj	prononco
level	problemo estas ke mi ne havas tiom da mono	az a baj, hogy nincs annyi pénzem	problem is I don't have that much money	grupo	alternativoj	prononco
level	mi komprenas, sed ne estus multe-koste	Értem, de nem kerülne sokba	I understand, but it wouldn't cost much	grupo	alternativoj	prononco
level	ne estus multe-koste, mia-krede	nem lenne túl drága, azt hiszem	it would not be much expensive, I believe	grupo	alternativoj	prononco
level	tabelo de kotizo de programeroj	a programok díjainak táblázata	a table of fees of programs	grupo	alternativoj	prononco
level	jen, se vi rigardas la kotiztabelon	vagyis ha megnézed a részvény/díjtáblázatot	that is, if you look at the share/fees table	grupo	alternativoj	prononco
level	la kotiztabelo de la IJK-invitilo	az IJK-meghívó részesedés/díjtáblázata	the share/fees table of IJK-invitation	grupo	alternativoj	prononco
level	vi vidas, ke ~	úgy találja, hogy ~	you find that ~	grupo	alternativoj	prononco
level	temas pri entute nur 50 eŭroj	ez összesen csak 50 euró	it's only 50 euros in total	grupo	alternativoj	prononco
level	vi vidas, ke por vi temas pri entute nur 50 eŭroj	látod, hogy neked ez összesen csak 50 euró	you see that for you it's only 50 euros in total	grupo	alternativoj	prononco
level	se ni dormas surplanke	ha a földön alszunk	if we sleep on the floor	grupo	alternativoj	prononco
level	en ordo	rendben	all right	grupo	alternativoj	prononco
level	bone, tio sonas en ordo	nos, ez jól hangzik	well, that sounds fine	grupo	alternativoj	prononco
level	sed kio pri la vojaĝo	de mi van az utazással	but what about the travel	grupo	alternativoj	prononco
level	trajno kostus ĉirkaŭ 70 eŭrojn	egy vonat körülbelül 70 euróba kerülne	a train would cost around 70 euros	grupo	alternativoj	prononco
level	ĉu tio eblus por vi?	ez lehetséges lenne számodra?	would that be possible for you?	grupo	alternativoj	prononco
level	espereble	remélhetőleg	hopefully	grupo	alternativoj	prononco
level	sed daŭrus sufiĉe longe per trajno	de elég sokáig bírná vonattal	but would last long enough by train	grupo	alternativoj	prononco
level	jes, sed ni povas halti en unu aŭ du urboj	igen, de egy-két városban megállhatunk	yes, but we can stop in one or two cities	grupo	alternativoj	prononco
level	dum la vojo	az út mentén	along the way	grupo	alternativoj	prononco
level	kaj la tranoktado?	és az éjszakai tartózkodás?	and the night stay?	grupo	alternativoj	prononco
level	ĉu vi pagus por ĝi?	fizetnél érte?	would you pay for it?	grupo	alternativoj	prononco
level	ne, ne mi, sed ne estas problemo	nem, nem én, de ez nem probléma	no, not me, but it's not a problem	grupo	alternativoj	prononco
level	ĉu vere, ke tio ne estas problemo?	ez tényleg nem probléma?	is it really that this is not a problem?	grupo	alternativoj	prononco
level	kiel vi planas solvi tion?	hogy tervezed megoldani?	how do you plan to solve that?	grupo	alternativoj	prononco
level	montris la oran kronon	megmutatta az arany koronát	showed the golden crown	grupo	alternativoj	prononco
level	nu, mi baldaŭ montros al vi	nos, mindjárt megmutatom	well, I will show you soon	grupo	alternativoj	prononco
level	sed unue pli da teo	de először több teát	but first more tea	grupo	alternativoj	prononco
level	ĉu ankaŭ vi volas?	te is akarod?	do you want too?	grupo	alternativoj	prononco
level	jes, dankon	igen, köszönöm	yes, thank you	grupo	alternativoj	prononco
level	en la sama kafejo	ugyanabban a kávézóban&quot;	in the same cafe'	grupo	alternativoj	prononco
level	io daŭras, daŭrigas tion	valami megy, folyamatosan (csinálja) azt	something goes on, keeps (doing) that on	grupo	alternativoj	prononco
level	plano, plani, planado	terv, tervezni, tervezés	a plan, to plan, planning	grupo	alternativoj	prononco
level	ŝi kaj li daŭrigas la planadon	ő és ő folytatja a tervezést	she and he continue the planning	grupo	alternativoj	prononco
level	bonvolu, jen via teo	kérem, itt a teája	please, here's your tea	grupo	alternativoj	prononco
level	mi dume rigardis la invitilon	közben megnéztem a meghívót	meanwhile I looked at the invitation	grupo	alternativoj	prononco
level	rigardis la invitilon por IJK	nézett az IJK meghívására	looked at the invitation of IJK	grupo	alternativoj	prononco
level	mi multon komprenas, sed ne ĉion	Sok mindent értek, de nem mindent	I understand much, but not all	grupo	alternativoj	prononco
level	bone bone, nur demandu	jól van, csak kérdezz	all right all right, just ask	grupo	alternativoj	prononco
level	jen la aferoj	itt vannak a dolgok	here are the things	grupo	alternativoj	prononco
level	klaraj aferoj	tiszta dolgokat	clear things	grupo	alternativoj	prononco
level	la aferoj kiuj estas malklaraj	a zavaró dolgokat	the things that are confusing	grupo	alternativoj	prononco
level	estas malklaraj por mi	zavaróak számomra	are confusing to me	grupo	alternativoj	prononco
level	aliĝi, aliĝilo	a csatlakozáshoz egy regisztrációs űrlapot	to join, a registration form	grupo	alternativoj	prononco
level	TEJO (la organizo)	Az Eszperantó Ifjúsági Világszervezet	The World Esperanto Youth Organization	grupo	alternativoj	prononco
level	Pepo (la TEJO-birdo)	Pepo, egy madár, amely a TEJO-t képviseli	Pepo, a bird that represents the TEJO	grupo	alternativoj	prononco
level	loĝi, loĝejo	megszállni, szállás (szállás)	to stay, a place to stay (a lodging)	grupo	alternativoj	prononco
level	amasloĝejo	tömeges emberek szállása	a lodging for mass people	grupo	alternativoj	prononco
level	aliĝilo estas ilo por al-iĝi	a regisztrációs űrlap a regisztráció eszköze	a registration form is a tool for registering	grupo	alternativoj	prononco
level	aliĝilo en kiu vi skribas vian nomon, adreson ktp	egy tagsági űrlapot, amelybe beírod a neved, címed stb	a membership form in which you write your name, address, etc	grupo	alternativoj	prononco
level	longa, mallongigo	hosszú, egy rövidítés	long, an abbreviation	grupo	alternativoj	prononco
level	mallongigo de Tutmonda Esperantista Junulara Organizo	az Eszperantó Ifjúsági Világszervezet rövidítése	an abbreviation of the World Esperanto Youth Organization	grupo	alternativoj	prononco
level	Pepo estas la amuza birdo de TEJO	Pepo a TEJO vicces madara	Pepo is the funny bird of TEJO	grupo	alternativoj	prononco
level	amasloĝejo estas ejo kie amaso de homoj loĝas	a tömegszálló az a hely, ahol sok ember megszáll	a mass-lodging is a place where a lot of people stay	grupo	alternativoj	prononco
level	dormo, dormigilo, dormosako	altatót, altatót, hálózsákot	a sleep, a sleeping pill, a sleeping bag	grupo	alternativoj	prononco
level	kutime oni bezonas dormosakon tie	általában ott kell egy hálózsák	usually one needs a sleeping bag there	grupo	alternativoj	prononco
level	vi klarigis tro rapide	túl gyorsan magyaráztál	you explained too quickly	grupo	alternativoj	prononco
level	mi ne kaptis ĉion	Nem fogtam fel mindent	I didn't catch everything	grupo	alternativoj	prononco
level	ne tre gravas	nem olyan fontos	is not that important	grupo	alternativoj	prononco
level	mi pensas ke ne tre gravas nun	Szerintem ez most nem túl fontos	I think it's not very important now	grupo	alternativoj	prononco
level	poste ni povas pli paroli	később még beszélhetünk	later we can talk more	grupo	alternativoj	prononco
level	pli paroli pri la IJK-invitilo	bővebben az IJK-meghívásról	more to talk about the IJK invitation	grupo	alternativoj	prononco
level	do, vi volas plani la vojaĝon nun, ĉu?	szóval most szeretnéd megtervezni az utazást, igaz?	so you want to plan the travel now, right?	grupo	alternativoj	prononco
level	jes, volonte	igen, szívesen	yes, gladly	grupo	alternativoj	prononco
level	tiel vi vidos ke ~	így látni fogja, hogy ~	so you will see that ~	grupo	alternativoj	prononco
level	kostos tiom multe	ennyibe fog kerülni	will cost that much	grupo	alternativoj	prononco
level	vidos ke la vojaĝo ne kostos tiom multe	látni fogja, hogy az utazás nem kerül annyiba	will see that the travel will not cost that much	grupo	alternativoj	prononco
level	mi volas scii	tudni akarom	I want to know	grupo	alternativoj	prononco
level	mi scivolas pri ~	~-ről szeretnék tudni	I want to know about ~	grupo	alternativoj	prononco
level	kiel vi solvos la tranoktadon	hogyan oldja meg az éjszakázást	how you will solve the night-staying	grupo	alternativoj	prononco
level	ĉar mi ne havas monon	mert nincs pénzem	because I don't have money	grupo	alternativoj	prononco
level	junulara gastejo	egy ifjúsági szálló	a youth hostel	grupo	alternativoj	prononco
level	havas monon por hotelo aŭ junulargastejo	van pénze szállodára vagy ifjúsági szállóra	has money for a hotel or a youth-hostel	grupo	alternativoj	prononco
level	jen la solvo!	itt a megoldás	here's the solution	grupo	alternativoj	prononco
level	pasporto	egy útlevél	a passport	grupo	alternativoj	prononco
level	Pasporta Servo	Útlevélszolgáltatás, Eszperantisták Otthonos tartózkodása	Passport Service, Esperantists' Home Stay	grupo	alternativoj	prononco
level	libreto kun la nomo "Pasporta Servo"	füzet az &quot;Útlevélszolgálat&quot; névvel	booklet with the name "Passport Service"	grupo	alternativoj	prononco
level	servo por kio?	szolgáltatás minek?	service for what?	grupo	alternativoj	prononco
level	por homoj kiel ni	olyan embereknek, mint mi	for people like us	grupo	alternativoj	prononco
level	sperti, spertulo	tapasztalni, szakértő	to experience, an expert	grupo	alternativoj	prononco
level	homoj kiuj ŝatas vojaĝi kaj sperti landojn	akik szeretnek utazni és országokat megtapasztalni	people who like to travel and experience countries	grupo	alternativoj	prononco
level	enspezi kaj elspezi	keresni és költeni	to earn and to spend	grupo	alternativoj	prononco
level	sen elspezi multe da mono	sok pénz kiadása nélkül	without spending a lot of money	grupo	alternativoj	prononco
level	servo, la servo, tiu servo	szolgáltatás, szolgáltatás, szolgáltatás	a service, the service, that service	grupo	alternativoj	prononco
level	bone, kaj kiel funkcias tiu servo?	nos, és hogy működik ez a szolgáltatás?	well, and how does that service work?	grupo	alternativoj	prononco
level	mi vidas ke en la libreto estas ~	Látom, hogy a füzetben ~ van	I see that in the booket there is ~	grupo	alternativoj	prononco
level	multe da adresoj	sok cím	lots of addresses	grupo	alternativoj	prononco
level	estas multe da adresoj de pluraj landoj	sok cím van több országból	there are many addresses from several countries	grupo	alternativoj	prononco
level	ĝuste, jes!	igaz, igen!	right, yes!	grupo	alternativoj	prononco
level	je via dispono	az Ön rendelkezésére	at your disposal	grupo	alternativoj	prononco
level	ili ĉiuj	mindannyian, mindannyian	they all, all of them	grupo	alternativoj	prononco
level	fakte ili ĉiuj estas je via dispono!	valójában mind a rendelkezésedre állnak!	in fact they are all at your disposal!	grupo	alternativoj	prononco
level	signifis, signifo	jelentette, jelentése	meant, meaning	grupo	alternativoj	prononco
level	"je mia dispono", kion signifas tio?	&quot;rendelkezésemre áll&quot;, mit jelent ez?	"at my disposal", what does that mean?	grupo	alternativoj	prononco
level	signifas ke ~	azt jelenti, hogy ~	means that ~	grupo	alternativoj	prononco
level	gasti, gasto, gastigi	vendégnek, vendégnek, vendéget fogadni	to guest, a guest, to host a guest	grupo	alternativoj	prononco
level	estas preta, pretas, pretiĝu!	kész, kész, készülj!	is ready, is prepared, get ready!	grupo	alternativoj	prononco
level	homoj ĉe tiuj adresoj pretas gastigi vin	ezeken a címeken az emberek készek fogadni Önt	people at those addresses are ready to host you	grupo	alternativoj	prononco
level	koni, konata, konatiĝi	megismerni (személyt), ismert, megismerni	to know (a person), known, to get to be known	grupo	alternativoj	prononco
level	kaj helpi vin konatiĝi kun ilia regiono	és segít megismerkedni a régiójukkal	and help you get acquainted with their region	grupo	alternativoj	prononco
level	signifas ke homoj pretas gastigi vin kaj helpi	azt jelenti, hogy az emberek készek fogadni és segíteni	means people are willing to host you and help	grupo	alternativoj	prononco
level	sonas interese!	érdekesen hangzik!	sounds interesting!	grupo	alternativoj	prononco
level	do	így	so	grupo	alternativoj	prononco
level	oni loĝas en la hejmo de aliaj Esperantistoj, ĉu?	valaki más eszperantisták otthonában marad, igaz?	somebody stays in the home of other Esperantists, right?	grupo	alternativoj	prononco
level	pluraj spertoj per Pasporta Servo	több tapasztalattal rendelkezik a Passport Service területén	several experiences with Passport Service	grupo	alternativoj	prononco
level	mi havis plurajn interesajn spertojn	Több érdekes élményben volt részem	I had several interesting experiences	grupo	alternativoj	prononco
level	mi uzis ĝin en tri kontinentoj	Három kontinensen használtam	I have used it on three continents	grupo	alternativoj	prononco
level	malbone funkcias	(ez) rosszul működik	(it) works poorly	grupo	alternativoj	prononco
level	kaj ĝis nun funkciis tre bone	és eddig (ez) nagyon jól működött	and so far (it) has worked very well	grupo	alternativoj	prononco
level	bonege! kien ni iru?	nagy! hová megyünk?	great! where are we going?	grupo	alternativoj	prononco
level	do, mia plano estas ke ni ~	szóval az a tervem, hogy mi ~	so, my plan is that we ~	grupo	alternativoj	prononco
level	venas, alvenis	jön, megérkezett	comes, arrived	grupo	alternativoj	prononco
level	post sukcesa vojaĝo	sikeres utazás után	after a successful trip	grupo	alternativoj	prononco
level	post uzado de Pasporta Servo en du urboj	miután két városban használta a Passport Service-t	after using Passport Service in two cities	grupo	alternativoj	prononco
level	ili alvenas post sukcesa vojaĝo	sikeres utazás után érkeznek	they arrive after a successful trip	grupo	alternativoj	prononco
level	jen, vidu!	íme, nézd!	behold, look!	grupo	alternativoj	prononco
level	tie estas granda Esperanto-flago	ott van egy nagy eszperantó zászló	there's a big Esperanto flag over there	grupo	alternativoj	prononco
level	ŝildo kun la teksto "Bonvenon al IJK!"	egy tábla a következő szöveggel: &quot;Üdvözöljük az IJK-ban!&quot;	a sign with the text "Welcome to IJK!"	grupo	alternativoj	prononco
level	jes, kaj sub ĝi estas ~	igen, és alatta van a ~	yes, and below it there is ~	grupo	alternativoj	prononco
level	hu ra!	Hurrá!	Hooray!	grupo	alternativoj	prononco
level	ni do finfine alvenis	így végre megérkeztünk	so we finally arrived	grupo	alternativoj	prononco
level	mi estas tre laca kaj malsata	Nagyon fáradt és éhes vagyok	I am very tired and hungry	grupo	alternativoj	prononco
level	ĉu vi pensas ke ni povas ~	szerinted képesek vagyunk ~ ?	do you think we can ~ ?	grupo	alternativoj	prononco
level	manĝi ion	enni valamit	to eat something	grupo	alternativoj	prononco
level	ĉu vi pensas ke ni povas tuj ion manĝi?	szerinted azonnal ehetünk valamit?	do you think we can eat something right away?	grupo	alternativoj	prononco
level	mi dubas pri tio	kétlem	I doubt that	grupo	alternativoj	prononco
level	unue ni devas akceptiĝi	először el kell fogadnunk	we must first be accepted	grupo	alternativoj	prononco
level	devas akceptiĝi ĉe la akceptejo	át kell venni a recepción	must be accepted at the reception desk	grupo	alternativoj	prononco
level	kaj tio povas daŭri longe	és ez sokáig tarthat	and that can last a long time	grupo	alternativoj	prononco
level	daŭri longe miasperte	tapasztalatom szerint sokáig tart	to last long in my experience	grupo	alternativoj	prononco
level	ho ve!	Jaj!	alas!	grupo	alternativoj	prononco
level	ĉu tio estas la vico por la akceptejo?	ez a sor a fogadásra?	is that the line for the reception?	grupo	alternativoj	prononco
level	mi timas ke jes	Attól tartok	I'm afraid so	grupo	alternativoj	prononco
level	ne estas tute perfekte fari ~	csinálni ~ nem teljesen tökéletes	to do ~ is not totally perfect	grupo	alternativoj	prononco
level	tute perfekte alveni vespere	teljesen tökéletes az esti érkezéshez	is totally perfect to arrive in the evening	grupo	alternativoj	prononco
level	ni povas babili kun homoj	cseveghetünk az emberekkel	we can chat with people	grupo	alternativoj	prononco
level	sed ni povas babili kun homoj en la vico	de sorban cseveghetünk az emberekkel	but we can chat with people in line	grupo	alternativoj	prononco
level	jen, mi vidas amikon de rusio!	íme, látok egy barátot Oroszországnak!	behold, I see a friend of Russia!	grupo	alternativoj	prononco
level	mi estas malsata, mi volas manĝi	Éhes vagyok, enni akarok	I'm hungry, I want to eat	grupo	alternativoj	prononco
level	post ĉirkaŭ 2 horoj	kb 2 óra múlva	after about 2 hours	grupo	alternativoj	prononco
level	en la vico kun novaj kaj malnovaj amikoj	új és régi barátokkal összhangban	in line with new and old friends	grupo	alternativoj	prononco
level	LKK (Loka Kongresa Komitato)	helyi kongresszusi bizottság	local congress commitee	grupo	alternativoj	prononco
level	LKK-ano	a helyi kongresszusi bizottság tagja	a member in the local congress commitee	grupo	alternativoj	prononco
level	bonvenon, kiu vi estas?	üdv, ki vagy?	welcome, who are you?	grupo	alternativoj	prononco
level	de kiu lando?	melyik országból?	from which country?	grupo	alternativoj	prononco
level	ĉu vi antaŭpagis?	előre fizettél?	did you prepay?	grupo	alternativoj	prononco
level	bonvolu montri	Mutasd meg, légy szíves	please show	grupo	alternativoj	prononco
level	se jes, bonvolu montri la kvitancon	ha igen, mutassa be a nyugtát	if so, please show the receipt	grupo	alternativoj	prononco
level	ĉu vi estas TEJO-membro?	tagja vagy a TEJO-nak?	are you a member of TEJO?	grupo	alternativoj	prononco
level	membriĝi ĉe la budo	tagjává válni egy standon	to become a member at a booth	grupo	alternativoj	prononco
level	se ne, vi povas membriĝi ĉe la venonta budo	ha nem, akkor a következő standnál csatlakozhatsz	if not, you can join at the next booth	grupo	alternativoj	prononco
level	jen kvitancoj de antaŭpagoj	itt vannak az előlegfizetésről szóló bizonylatok	here are receipts of advance payments	grupo	alternativoj	prononco
level	membrokartoj kaj niaj pasportoj	tagsági kártyáink és útleveleink	membership cards and our passports	grupo	alternativoj	prononco
level	tre bone	nagyon jó	very good	grupo	alternativoj	prononco
level	do, mi vidas ke vi loĝos en amasloĝejo	szóval, úgy látom, tömegszálláson fogsz lakni (rohamtérben)	so, I see you will live in a mass-lodging (crash space)	grupo	alternativoj	prononco
level	kaj manĝos en la junulargastejo	és az ifjúsági szállóban fog enni	and will eat in the youth hostel	grupo	alternativoj	prononco
level	ĉu ĝustas tiuj informoj?	ezek az adatok helyesek?	are those information correct?	grupo	alternativoj	prononco
level	jes, perfekte	igen, tökéletes	yes, perfect	grupo	alternativoj	prononco
level	sako kun programo, mapo ktp	egy táska programmal, térképpel stb	a bag with program, map etc	grupo	alternativoj	prononco
level	vi povas pagi kaj ricevi sakon kun programo, mapo ktp	fizethet és kaphat egy táskát programmal, térképpel stb	you can pay and receive a bag with program, map etc	grupo	alternativoj	prononco
level	ĉe la ruĝa budo, tie	a piros fülkében, ott	at the red booth, there	grupo	alternativoj	prononco
level	bone, dankon	jó köszönöm	good, thank you	grupo	alternativoj	prononco
level	aspektas laca sed sana	fáradtnak, de egészségesnek tűnik	looks tired but healthy	grupo	alternativoj	prononco
level	tiuj personoj vere aspektis lacaj	azok az emberek tényleg fáradtnak tűntek	those people really looked tired	grupo	alternativoj	prononco
level	kaj ne estis tre afablaj	és nem voltak túl kedvesek	and were not very kind	grupo	alternativoj	prononco
level	vi pravas	igazad van	you are right	grupo	alternativoj	prononco
level	sed memoru ke ~	de ne feledd, hogy ~	but remember that ~	grupo	alternativoj	prononco
level	laboras dum ok horoj	8 órát dolgoznak	are working for 8 hours	grupo	alternativoj	prononco
level	la LKK laboras jam dum eble ok horoj	az LKK talán nyolc órája dolgozik	the LKK has been working for maybe eight hours	grupo	alternativoj	prononco
level	sen multe da paŭzoj	nagy szünet nélkül	without much pause	grupo	alternativoj	prononco
level	sed memoru ke la LKK laboras sen paŭzoj	de ne feledje, hogy az LKK szünet nélkül működik	but remember that the LKK works without breaks	grupo	alternativoj	prononco
level	babilema dum la semajno	beszélgetős a héten	chatty during the week	grupo	alternativoj	prononco
level	mi certas ke ~	Biztos vagyok benne, hogy ~	I'm sure that ~	grupo	alternativoj	prononco
level	mi certas ke ili estos pli afablaj	Biztosan kedvesebbek lesznek	I'm sure they'll be kinder	grupo	alternativoj	prononco
level	ili estos pli afablaj kaj babilemaj	kedvesebbek és beszédesebbek lesznek	they will be kinder and more talkative	grupo	alternativoj	prononco
level	ni trovu ĝin	keressük meg	let's find it	grupo	alternativoj	prononco
level	bone, nun ni trovu la amasloĝejon	nos, most keressük meg a tömegszállót	well, now let's find the mass-lodging place	grupo	alternativoj	prononco
level	kaj poste mi ŝatus ion manĝi	és akkor szeretnék enni valamit	and then I would like something to eat	grupo	alternativoj	prononco
level	ĉu vi vidis la knabinon ĉe la TEJO-budo?	láttad a lányt a TEJO standjánál?	did you see the girl at the TEJO booth?	grupo	alternativoj	prononco
level	jes, kio pri ŝi?	igen, mi van vele?	yes, what about her?	grupo	alternativoj	prononco
level	ĉu vi konas ŝin?	ismered őt?	do you know her?	grupo	alternativoj	prononco
level	bedaŭrinde ne	Sajnos nincs	unfortunately no	grupo	alternativoj	prononco
level	sed ŝi estas ege bela, ĉu ne?	de nagyon csinos, nem?	but she's very pretty, isn't she?	grupo	alternativoj	prononco
level	mi konsentas	Egyetértek	I agree	grupo	alternativoj	prononco
level	tamen ne bone komprenas	azonban nem érti jól	however does not understand well	grupo	alternativoj	prononco
level	mi konsentas tamen ne komprenas	Egyetértek, de nem értem	I agree but I don't understand	grupo	alternativoj	prononco
level	ĉu al vi plaĉas inoj?	szereted a nőstényeket?	do you like females?	grupo	alternativoj	prononco
level	jes, mi volis diri al vi antaŭe	igen, szeretném elmondani előtte	yes, I want tell you before	grupo	alternativoj	prononco
level	sed ial ne faris	de valamiért nem	but for some reason did not	grupo	alternativoj	prononco
level	virinoj plaĉas al mi pli ol viroj	virinoj plaĉas al mi pli ol viroj	virinoj plaĉas al mi pli ol viroj	grupo	alternativoj	prononco
level	aspekte ktp	szempont stb	aspect etc	grupo	alternativoj	prononco
level	ĉu, ĉu vi estas ?	te vagy, ugye?	are you, are you?	grupo	alternativoj	prononco
level	jes, mi estas samseksemulo	igen, homoszexuális vagyok	yes, I am a homosexual	grupo	alternativoj	prononco
level	oni ankaŭ povas diri lesbo	lehet mondani leszbikus is	one can also say lesbian	grupo	alternativoj	prononco
level	bone, mi tute ne sciis	hát, egyáltalán nem tudtam	well, I didn't know at all	grupo	alternativoj	prononco
level	sed mi ĝojas ke vi diris	de örülök, hogy mondtad	but I'm glad you said	grupo	alternativoj	prononco
level	fakte mi ankaŭ ĝojas ke vi estas samseksemulo	valójában örülök, hogy homoszexuális vagy	in fact I am glad that you are a homosexual	grupo	alternativoj	prononco
level	vi estas la plej afabla kaj agrabla lesbo	te vagy a legkedvesebb és legkedvesebb leszbikus	you are the kindest and nicest lesbian	grupo	alternativoj	prononco
level	la plej agrabla lesbo kiun mi konas	a legkedvesebb leszbikus, akit ismerek	the nicest lesbian I know	grupo	alternativoj	prononco
level	dankon! ĉu vi konas aliajn?	köszönöm! ismersz másokat?	thank you! do you know others?	grupo	alternativoj	prononco
level	sed kiel vi scias tion?	de ezt honnan tudod?	but how do you know that?	grupo	alternativoj	prononco
level	tiu knabino preferas virojn!	az a lány jobban szereti a férfiakat!	that girl prefers men!	grupo	alternativoj	prononco
level	ĉiukaze mi kredas ke tiu knabino preferas virojn!	mindenesetre szerintem a lány jobban szereti a férfiakat!	in any case I believe that girl prefer men!	grupo	alternativoj	prononco
level	tiu knabino pri kiu vi parolis	az a lány, akiről beszéltél	that girl whom you were talking about	grupo	alternativoj	prononco
level	ni vidos	meglátjuk	we'll see	grupo	alternativoj	prononco
level	en la amasloĝejo	a tömegszálláson (rohamtér)	in the mass lodging place (a crash space)	grupo	alternativoj	prononco
level	bonan matenon!	jó reggelt kívánok!	good morning!	grupo	alternativoj	prononco
level	ĉu vi bone dormis?	Jól aludtál?	did you sleep well?	grupo	alternativoj	prononco
level	apenaŭ vidas	alig látni	hardly see	grupo	alternativoj	prononco
level	male, mi apenaŭ dormis	ellenkezőleg, alig tudtam aludni	on the contrary, I could hardly sleep	grupo	alternativoj	prononco
level	sed kial?	de miért?	but why?	grupo	alternativoj	prononco
level	eble vi estis nervoza pri via unua IJK-tago?	talán ideges volt az első IJK-napod miatt?	maybe you were nervous about your first IJK day?	grupo	alternativoj	prononco
level	ne vere	nem igazán	not really	grupo	alternativoj	prononco
level	la tutan nokton, dum la tuta nokto	egész éjszaka, egész éjjel	all night, all night long	grupo	alternativoj	prononco
level	tre laŭte ronkis	nagyon hangosan horkolt	snored very loudly	grupo	alternativoj	prononco
level	simple iu tre laŭte ronkis la tutan nokton	csak valaki egész éjjel nagyon hangosan horkolt	just someone snored very loudly all night	grupo	alternativoj	prononco
level	ne ĝenu min	ne zavarj	don't bother me	grupo	alternativoj	prononco
level	kaj tio ege ĝenis min	és ez nagyon zavart	and that bothered me greatly	grupo	alternativoj	prononco
level	ĉu vi ne aŭdis tion?	nem hallottad ezt	didn't you hear that	grupo	alternativoj	prononco
level	tute ne, mi profunde dormis	egyáltalán nem, mélyen aludtam	not at all, I slept deeply	grupo	alternativoj	prononco
level	ĉu mi forgesis diri al vi ke ~?	elfelejtettem mondani, hogy ~?	did I forget to tell you that ~?	grupo	alternativoj	prononco
level	orelo, ŝtopi, orelŝtopiloj	fül, dugó, füldugó	ear, to plug, ear plugs	grupo	alternativoj	prononco
level	indas uzi orelŝtopilojn	érdemes füldugót használni	it is worth using earplugs	grupo	alternativoj	prononco
level	indas uzi ~	érdemes használni a ~-t	is worth using ~	grupo	alternativoj	prononco
level	diris al vi ke indas uzi orelŝtopilojn	azt mondta, hogy érdemes füldugót használni	told you it's worth using earplugs	grupo	alternativoj	prononco
level	kiam vi dormas en amasloĝejo	amikor tömegszállón alszol (összeomlási helyen)	when you sleep at a mass lodging (crash place)	grupo	alternativoj	prononco
level	evidente jes	nyilván igen	obviously yes	grupo	alternativoj	prononco
level	ho, kompatinda Kaĉjo!	ó, szegény Katty!	oh, poor Katty!	grupo	alternativoj	prononco
level	pri kiu vi parolas?	kiről beszélsz?	who are you talking about?	grupo	alternativoj	prononco
level	pri vi	rólad	about you	grupo	alternativoj	prononco
level	karesi, karesa nomo, karesnomo	simogatni, simogató név, becenév	to caress, caressing name, nickname	grupo	alternativoj	prononco
level	per -ĉjo aŭ -njo eblas krei karesnomojn en Esperanto	-ĉjo vagy -njo, lehetőség van eszperantó nyelvű becenevek létrehozására	with -ĉjo or -njo, it is possible to create nicknames in Esperanto	grupo	alternativoj	prononco
level	ha, jes, mi iam legis pri tio	á, igen, egyszer olvastam róla	ah, yes, I once read about it	grupo	alternativoj	prononco
level	kaj vi do estus Injo?	és akkor te lennél Injo?	and then you would be Injo?	grupo	alternativoj	prononco
level	se vi volas iri tien	ha akarsz menj oda	if you want go there	grupo	alternativoj	prononco
level	kioma horo estas nun?	mennyi az idő most?	what time is it now?	grupo	alternativoj	prononco
level	jam estas kvin minutoj antaŭ la deka	már öt perc van tízig	it's already five minutes to ten	grupo	alternativoj	prononco
level	kvin minutoj antaŭ la deka, aŭ naŭa kvindek kvin	öt perccel tíz vagy kilenc ötvenöt előtt	five minutes before ten, or nine fifty-five	grupo	alternativoj	prononco
level	trafis aŭ maltrafis?	találat vagy kihagyás?	hit or missed?	grupo	alternativoj	prononco
level	vi maltrafis la matenmanĝon	lemaradtál a reggeliről	you missed breakfast	grupo	alternativoj	prononco
level	o, fek!	A francba!	oh, shit!	grupo	alternativoj	prononco
level	ĉu vi estas sata?	elégedett vagy ?	are you satisfied ?	grupo	alternativoj	prononco
level	kaj mi kiu estas ege malsata	és én, aki rendkívül éhes vagyok	and I who am extremely hungry	grupo	alternativoj	prononco
level	se vi hastos	ha sietsz	if you hurry	grupo	alternativoj	prononco
level	povas almenaŭ trafi la malfermon	legalább eltalálhatja a nyílást	can at least hit the opening	grupo	alternativoj	prononco
level	la malfermo de la kongreso	a kongresszus megnyitója	the opening of the congress	grupo	alternativoj	prononco
