B.cs content.tsv
Level	Esperanto	cs	en-us	Grupo	Alternativoj	Pronoco
level	mi pripensos	budu o tom přemýšlet	I will think about	grupo	alternativoj	prononco
level	certe	určitě	for sure	grupo	alternativoj	prononco
level	tamen, problemo estas ~	problém je však ~	however, a problem is ~	grupo	alternativoj	prononco
level	tiom da mono	tolik peněz	that much money	grupo	alternativoj	prononco
level	mi ne havas tiom da mono nun	Tolik peněz teď nemám	I don't have that much money right now	grupo	alternativoj	prononco
level	problemo estas ke mi ne havas tiom da mono	problém je, že nemám tolik peněz	problem is I don't have that much money	grupo	alternativoj	prononco
level	mi komprenas, sed ne estus multe-koste	Chápu, ale nestálo by to moc	I understand, but it wouldn't cost much	grupo	alternativoj	prononco
level	ne estus multe-koste, mia-krede	nebylo by to moc drahé, věřím	it would not be much expensive, I believe	grupo	alternativoj	prononco
level	tabelo de kotizo de programeroj	tabulka poplatků za programy	a table of fees of programs	grupo	alternativoj	prononco
level	jen, se vi rigardas la kotiztabelon	tedy pokud se podíváte na tabulku podílů/poplatků	that is, if you look at the share/fees table	grupo	alternativoj	prononco
level	la kotiztabelo de la IJK-invitilo	tabulka akcií/poplatků IJK-invitation	the share/fees table of IJK-invitation	grupo	alternativoj	prononco
level	vi vidas, ke ~	zjistíte, že ~	you find that ~	grupo	alternativoj	prononco
level	temas pri entute nur 50 eŭroj	je to dohromady jen 50 eur	it's only 50 euros in total	grupo	alternativoj	prononco
level	vi vidas, ke por vi temas pri entute nur 50 eŭroj	vidíte, že pro vás je to celkem jen 50 eur	you see that for you it's only 50 euros in total	grupo	alternativoj	prononco
level	se ni dormas surplanke	pokud spíme na podlaze	if we sleep on the floor	grupo	alternativoj	prononco
level	en ordo	dobře	all right	grupo	alternativoj	prononco
level	bone, tio sonas en ordo	no, to zní dobře	well, that sounds fine	grupo	alternativoj	prononco
level	sed kio pri la vojaĝo	ale co to cestování	but what about the travel	grupo	alternativoj	prononco
level	trajno kostus ĉirkaŭ 70 eŭrojn	vlak by stál kolem 70 eur	a train would cost around 70 euros	grupo	alternativoj	prononco
level	ĉu tio eblus por vi?	bylo by to pro tebe možné?	would that be possible for you?	grupo	alternativoj	prononco
level	espereble	doufejme	hopefully	grupo	alternativoj	prononco
level	sed daŭrus sufiĉe longe per trajno	ale vlakem by to vydrželo dost dlouho	but would last long enough by train	grupo	alternativoj	prononco
level	jes, sed ni povas halti en unu aŭ du urboj	ano, ale můžeme se zastavit v jednom nebo dvou městech	yes, but we can stop in one or two cities	grupo	alternativoj	prononco
level	dum la vojo	při cestě	along the way	grupo	alternativoj	prononco
level	kaj la tranoktado?	a nocleh?	and the night stay?	grupo	alternativoj	prononco
level	ĉu vi pagus por ĝi?	zaplatili byste za to?	would you pay for it?	grupo	alternativoj	prononco
level	ne, ne mi, sed ne estas problemo	ne, já ne, ale to není problém	no, not me, but it's not a problem	grupo	alternativoj	prononco
level	ĉu vere, ke tio ne estas problemo?	opravdu to není problém?	is it really that this is not a problem?	grupo	alternativoj	prononco
level	kiel vi planas solvi tion?	jak to plánuješ vyřešit?	how do you plan to solve that?	grupo	alternativoj	prononco
level	montris la oran kronon	ukázal zlatou korunu	showed the golden crown	grupo	alternativoj	prononco
level	nu, mi baldaŭ montros al vi	no, brzy vám ukážu	well, I will show you soon	grupo	alternativoj	prononco
level	sed unue pli da teo	ale nejdřív ještě čaj	but first more tea	grupo	alternativoj	prononco
level	ĉu ankaŭ vi volas?	chceš taky?	do you want too?	grupo	alternativoj	prononco
level	jes, dankon	Ano, děkuji	yes, thank you	grupo	alternativoj	prononco
level	en la sama kafejo	ve stejné kavárně&quot;	in the same cafe'	grupo	alternativoj	prononco
level	io daŭras, daŭrigas tion	něco se děje, pokračuje (dělá) to dál	something goes on, keeps (doing) that on	grupo	alternativoj	prononco
level	plano, plani, planado	plán, plánovat, plánovat	a plan, to plan, planning	grupo	alternativoj	prononco
level	ŝi kaj li daŭrigas la planadon	ona a on pokračují v plánování	she and he continue the planning	grupo	alternativoj	prononco
level	bonvolu, jen via teo	prosím, tady je váš čaj	please, here's your tea	grupo	alternativoj	prononco
level	mi dume rigardis la invitilon	mezitím jsem se podíval na pozvánku	meanwhile I looked at the invitation	grupo	alternativoj	prononco
level	rigardis la invitilon por IJK	podíval se na pozvání IJK	looked at the invitation of IJK	grupo	alternativoj	prononco
level	mi multon komprenas, sed ne ĉion	Rozumím mnohému, ale ne všemu	I understand much, but not all	grupo	alternativoj	prononco
level	bone bone, nur demandu	v pořádku v pořádku, jen se ptejte	all right all right, just ask	grupo	alternativoj	prononco
level	jen la aferoj	tady jsou věci	here are the things	grupo	alternativoj	prononco
level	klaraj aferoj	jasné věci	clear things	grupo	alternativoj	prononco
level	la aferoj kiuj estas malklaraj	věci, které jsou matoucí	the things that are confusing	grupo	alternativoj	prononco
level	estas malklaraj por mi	jsou pro mě matoucí	are confusing to me	grupo	alternativoj	prononco
level	aliĝi, aliĝilo	pro připojení, registrační formulář	to join, a registration form	grupo	alternativoj	prononco
level	TEJO (la organizo)	Světová organizace esperantské mládeže	The World Esperanto Youth Organization	grupo	alternativoj	prononco
level	Pepo (la TEJO-birdo)	Pepo, pták, který představuje TEJO	Pepo, a bird that represents the TEJO	grupo	alternativoj	prononco
level	loĝi, loĝejo	zůstat, místo k pobytu (ubytování)	to stay, a place to stay (a lodging)	grupo	alternativoj	prononco
level	amasloĝejo	ubytování pro masy lidí	a lodging for mass people	grupo	alternativoj	prononco
level	aliĝilo estas ilo por al-iĝi	registrační formulář je nástroj pro registraci	a registration form is a tool for registering	grupo	alternativoj	prononco
level	aliĝilo en kiu vi skribas vian nomon, adreson ktp	členský formulář, do kterého napíšete své jméno, adresu atd	a membership form in which you write your name, address, etc	grupo	alternativoj	prononco
level	longa, mallongigo	dlouhý, zkratka	long, an abbreviation	grupo	alternativoj	prononco
level	mallongigo de Tutmonda Esperantista Junulara Organizo	zkratka Světové esperantské mládežnické organizace	an abbreviation of the World Esperanto Youth Organization	grupo	alternativoj	prononco
level	Pepo estas la amuza birdo de TEJO	Pepo je legrační pták TEJO	Pepo is the funny bird of TEJO	grupo	alternativoj	prononco
level	amasloĝejo estas ejo kie amaso de homoj loĝas	hromadné ubytování je místo, kde se ubytuje hodně lidí	a mass-lodging is a place where a lot of people stay	grupo	alternativoj	prononco
level	dormo, dormigilo, dormosako	spánek, prášek na spaní, spací pytel	a sleep, a sleeping pill, a sleeping bag	grupo	alternativoj	prononco
level	kutime oni bezonas dormosakon tie	většinou tam člověk potřebuje spacák	usually one needs a sleeping bag there	grupo	alternativoj	prononco
level	vi klarigis tro rapide	vysvětlil jsi to moc rychle	you explained too quickly	grupo	alternativoj	prononco
level	mi ne kaptis ĉion	Nestihl jsem všechno	I didn't catch everything	grupo	alternativoj	prononco
level	ne tre gravas	není tak důležité	is not that important	grupo	alternativoj	prononco
level	mi pensas ke ne tre gravas nun	Myslím, že to teď není moc důležité	I think it's not very important now	grupo	alternativoj	prononco
level	poste ni povas pli paroli	později si můžeme povídat víc	later we can talk more	grupo	alternativoj	prononco
level	pli paroli pri la IJK-invitilo	více mluvit o pozvání IJK	more to talk about the IJK invitation	grupo	alternativoj	prononco
level	do, vi volas plani la vojaĝon nun, ĉu?	takže chceš naplánovat cestu hned, ne?	so you want to plan the travel now, right?	grupo	alternativoj	prononco
level	jes, volonte	ano, rád	yes, gladly	grupo	alternativoj	prononco
level	tiel vi vidos ke ~	tak to uvidíš ~	so you will see that ~	grupo	alternativoj	prononco
level	kostos tiom multe	bude stát tolik	will cost that much	grupo	alternativoj	prononco
level	vidos ke la vojaĝo ne kostos tiom multe	uvidí, že cesta nebude stát tolik	will see that the travel will not cost that much	grupo	alternativoj	prononco
level	mi volas scii	chci vědět	I want to know	grupo	alternativoj	prononco
level	mi scivolas pri ~	Chci vědět o ~	I want to know about ~	grupo	alternativoj	prononco
level	kiel vi solvos la tranoktadon	jak budete řešit nocování	how you will solve the night-staying	grupo	alternativoj	prononco
level	ĉar mi ne havas monon	protože nemám peníze	because I don't have money	grupo	alternativoj	prononco
level	junulara gastejo	ubytovna pro mládež	a youth hostel	grupo	alternativoj	prononco
level	havas monon por hotelo aŭ junulargastejo	má peníze na hotel nebo mládežnický hostel	has money for a hotel or a youth-hostel	grupo	alternativoj	prononco
level	jen la solvo!	tady je řešení	here's the solution	grupo	alternativoj	prononco
level	pasporto	cestovní pas	a passport	grupo	alternativoj	prononco
level	Pasporta Servo	Pasová služba, domácí pobyt esperantistů	Passport Service, Esperantists' Home Stay	grupo	alternativoj	prononco
level	libreto kun la nomo "Pasporta Servo"	brožurka s názvem „Pasová služba“	booklet with the name "Passport Service"	grupo	alternativoj	prononco
level	servo por kio?	služba za co?	service for what?	grupo	alternativoj	prononco
level	por homoj kiel ni	pro lidi jako jsme my	for people like us	grupo	alternativoj	prononco
level	sperti, spertulo	zažít, odborník	to experience, an expert	grupo	alternativoj	prononco
level	homoj kiuj ŝatas vojaĝi kaj sperti landojn	lidé, kteří rádi cestují a poznávají země	people who like to travel and experience countries	grupo	alternativoj	prononco
level	enspezi kaj elspezi	vydělávat a utrácet	to earn and to spend	grupo	alternativoj	prononco
level	sen elspezi multe da mono	aniž byste utratili spoustu peněz	without spending a lot of money	grupo	alternativoj	prononco
level	servo, la servo, tiu servo	služba, služba, ta služba	a service, the service, that service	grupo	alternativoj	prononco
level	bone, kaj kiel funkcias tiu servo?	no a jak ta služba funguje?	well, and how does that service work?	grupo	alternativoj	prononco
level	mi vidas ke en la libreto estas ~	Vidím, že v knížce je ~	I see that in the booket there is ~	grupo	alternativoj	prononco
level	multe da adresoj	spoustu adres	lots of addresses	grupo	alternativoj	prononco
level	estas multe da adresoj de pluraj landoj	existuje mnoho adres z několika zemí	there are many addresses from several countries	grupo	alternativoj	prononco
level	ĝuste, jes!	správně, ano!	right, yes!	grupo	alternativoj	prononco
level	je via dispono	k dispozici	at your disposal	grupo	alternativoj	prononco
level	ili ĉiuj	oni všichni, všichni	they all, all of them	grupo	alternativoj	prononco
level	fakte ili ĉiuj estas je via dispono!	ve skutečnosti jsou vám všichni k dispozici!	in fact they are all at your disposal!	grupo	alternativoj	prononco
level	signifis, signifo	míněno, míněno	meant, meaning	grupo	alternativoj	prononco
level	"je mia dispono", kion signifas tio?	&quot;k dispozici&quot;, co to znamená?	"at my disposal", what does that mean?	grupo	alternativoj	prononco
level	signifas ke ~	znamená, že ~	means that ~	grupo	alternativoj	prononco
level	gasti, gasto, gastigi	hostovat, hostovat, hostit hosta	to guest, a guest, to host a guest	grupo	alternativoj	prononco
level	estas preta, pretas, pretiĝu!	je připraven, je připraven, připravte se!	is ready, is prepared, get ready!	grupo	alternativoj	prononco
level	homoj ĉe tiuj adresoj pretas gastigi vin	lidé na těchto adresách jsou připraveni vás hostit	people at those addresses are ready to host you	grupo	alternativoj	prononco
level	koni, konata, konatiĝi	poznat (člověk), známý, poznat se	to know (a person), known, to get to be known	grupo	alternativoj	prononco
level	kaj helpi vin konatiĝi kun ilia regiono	a pomohou vám seznámit se s jejich regionem	and help you get acquainted with their region	grupo	alternativoj	prononco
level	signifas ke homoj pretas gastigi vin kaj helpi	znamená, že lidé jsou ochotni vás hostit a pomáhat	means people are willing to host you and help	grupo	alternativoj	prononco
level	sonas interese!	zní to zajímavě!	sounds interesting!	grupo	alternativoj	prononco
level	do	tak	so	grupo	alternativoj	prononco
level	oni loĝas en la hejmo de aliaj Esperantistoj, ĉu?	někdo zůstává v domě jiných esperantistů, že?	somebody stays in the home of other Esperantists, right?	grupo	alternativoj	prononco
level	pluraj spertoj per Pasporta Servo	několik zkušeností s Passport Service	several experiences with Passport Service	grupo	alternativoj	prononco
level	mi havis plurajn interesajn spertojn	Měl jsem několik zajímavých zážitků	I had several interesting experiences	grupo	alternativoj	prononco
level	mi uzis ĝin en tri kontinentoj	Používal jsem to na třech kontinentech	I have used it on three continents	grupo	alternativoj	prononco
level	malbone funkcias	(to) funguje špatně	(it) works poorly	grupo	alternativoj	prononco
level	kaj ĝis nun funkciis tre bone	a zatím (to) fungovalo velmi dobře	and so far (it) has worked very well	grupo	alternativoj	prononco
level	bonege! kien ni iru?	skvělý! kam jdeme?	great! where are we going?	grupo	alternativoj	prononco
level	do, mia plano estas ke ni ~	takže můj plán je, že jsme ~	so, my plan is that we ~	grupo	alternativoj	prononco
level	venas, alvenis	přichází, přichází	comes, arrived	grupo	alternativoj	prononco
level	post sukcesa vojaĝo	po úspěšné cestě	after a successful trip	grupo	alternativoj	prononco
level	post uzado de Pasporta Servo en du urboj	po použití služby Passport ve dvou městech	after using Passport Service in two cities	grupo	alternativoj	prononco
level	ili alvenas post sukcesa vojaĝo	dorazí po úspěšné cestě	they arrive after a successful trip	grupo	alternativoj	prononco
level	jen, vidu!	hle, podívej!	behold, look!	grupo	alternativoj	prononco
level	tie estas granda Esperanto-flago	je tam velká vlajka esperanta	there's a big Esperanto flag over there	grupo	alternativoj	prononco
level	ŝildo kun la teksto "Bonvenon al IJK!"	ceduli s textem &quot;Vítejte v IJK!&quot;	a sign with the text "Welcome to IJK!"	grupo	alternativoj	prononco
level	jes, kaj sub ĝi estas ~	ano a pod ním je ~	yes, and below it there is ~	grupo	alternativoj	prononco
level	hu ra!	Hurá!	Hooray!	grupo	alternativoj	prononco
level	ni do finfine alvenis	tak jsme konečně dorazili	so we finally arrived	grupo	alternativoj	prononco
level	mi estas tre laca kaj malsata	Jsem velmi unavený a hladový	I am very tired and hungry	grupo	alternativoj	prononco
level	ĉu vi pensas ke ni povas ~	myslíš, že můžeme ~?	do you think we can ~ ?	grupo	alternativoj	prononco
level	manĝi ion	něco sníst	to eat something	grupo	alternativoj	prononco
level	ĉu vi pensas ke ni povas tuj ion manĝi?	myslíš, že můžeme hned něco sníst?	do you think we can eat something right away?	grupo	alternativoj	prononco
level	mi dubas pri tio	pochybuji že	I doubt that	grupo	alternativoj	prononco
level	unue ni devas akceptiĝi	nejprve musíme být přijati	we must first be accepted	grupo	alternativoj	prononco
level	devas akceptiĝi ĉe la akceptejo	nutno přijmout na recepci	must be accepted at the reception desk	grupo	alternativoj	prononco
level	kaj tio povas daŭri longe	a to může trvat dlouho	and that can last a long time	grupo	alternativoj	prononco
level	daŭri longe miasperte	aby podle mých zkušeností vydržel dlouho	to last long in my experience	grupo	alternativoj	prononco
level	ho ve!	Běda!	alas!	grupo	alternativoj	prononco
level	ĉu tio estas la vico por la akceptejo?	to je linka na recepci?	is that the line for the reception?	grupo	alternativoj	prononco
level	mi timas ke jes	Obávám se, že ano	I'm afraid so	grupo	alternativoj	prononco
level	ne estas tute perfekte fari ~	dělat ~ není úplně dokonalé	to do ~ is not totally perfect	grupo	alternativoj	prononco
level	tute perfekte alveni vespere	je naprosto perfektní na to, abyste dorazili večer	is totally perfect to arrive in the evening	grupo	alternativoj	prononco
level	ni povas babili kun homoj	můžeme chatovat s lidmi	we can chat with people	grupo	alternativoj	prononco
level	sed ni povas babili kun homoj en la vico	ale můžeme chatovat s lidmi ve frontě	but we can chat with people in line	grupo	alternativoj	prononco
level	jen, mi vidas amikon de rusio!	hle, vidím přítele Ruska!	behold, I see a friend of Russia!	grupo	alternativoj	prononco
level	mi estas malsata, mi volas manĝi	Mám hlad, chci jíst	I'm hungry, I want to eat	grupo	alternativoj	prononco
level	post ĉirkaŭ 2 horoj	po cca 2 hodinách	after about 2 hours	grupo	alternativoj	prononco
level	en la vico kun novaj kaj malnovaj amikoj	v souladu s novými i starými přáteli	in line with new and old friends	grupo	alternativoj	prononco
level	LKK (Loka Kongresa Komitato)	místní kongresový výbor	local congress commitee	grupo	alternativoj	prononco
level	LKK-ano	členem místního kongresového výboru	a member in the local congress commitee	grupo	alternativoj	prononco
level	bonvenon, kiu vi estas?	vítej, kdo jsi?	welcome, who are you?	grupo	alternativoj	prononco
level	de kiu lando?	z jaké země?	from which country?	grupo	alternativoj	prononco
level	ĉu vi antaŭpagis?	zaplatil jsi předem?	did you prepay?	grupo	alternativoj	prononco
level	bonvolu montri	prosím Ukaž	please show	grupo	alternativoj	prononco
level	se jes, bonvolu montri la kvitancon	pokud ano, ukažte účtenku	if so, please show the receipt	grupo	alternativoj	prononco
level	ĉu vi estas TEJO-membro?	jsi členem TEJO?	are you a member of TEJO?	grupo	alternativoj	prononco
level	membriĝi ĉe la budo	stát se členem na stánku	to become a member at a booth	grupo	alternativoj	prononco
level	se ne, vi povas membriĝi ĉe la venonta budo	pokud ne, můžete se přidat na dalším stánku	if not, you can join at the next booth	grupo	alternativoj	prononco
level	jen kvitancoj de antaŭpagoj	zde jsou potvrzení o zaplacení záloh	here are receipts of advance payments	grupo	alternativoj	prononco
level	membrokartoj kaj niaj pasportoj	členské karty a naše pasy	membership cards and our passports	grupo	alternativoj	prononco
level	tre bone	velmi dobře	very good	grupo	alternativoj	prononco
level	do, mi vidas ke vi loĝos en amasloĝejo	takže vidím, že budeš bydlet v hromadném ubytování (crash space)	so, I see you will live in a mass-lodging (crash space)	grupo	alternativoj	prononco
level	kaj manĝos en la junulargastejo	a bude jíst v ubytovně mládeže	and will eat in the youth hostel	grupo	alternativoj	prononco
level	ĉu ĝustas tiuj informoj?	jsou ty informace správné?	are those information correct?	grupo	alternativoj	prononco
level	jes, perfekte	ano, perfektní	yes, perfect	grupo	alternativoj	prononco
level	sako kun programo, mapo ktp	tašku s programem, mapou atd	a bag with program, map etc	grupo	alternativoj	prononco
level	vi povas pagi kaj ricevi sakon kun programo, mapo ktp	můžete zaplatit a dostat tašku s programem, mapou atd	you can pay and receive a bag with program, map etc	grupo	alternativoj	prononco
level	ĉe la ruĝa budo, tie	v červené budce, tam	at the red booth, there	grupo	alternativoj	prononco
level	bone, dankon	dobře, děkuji	good, thank you	grupo	alternativoj	prononco
level	aspektas laca sed sana	vypadá unaveně, ale zdravě	looks tired but healthy	grupo	alternativoj	prononco
level	tiuj personoj vere aspektis lacaj	ti lidé opravdu vypadali unaveně	those people really looked tired	grupo	alternativoj	prononco
level	kaj ne estis tre afablaj	a nebyli moc milí	and were not very kind	grupo	alternativoj	prononco
level	vi pravas	máš pravdu	you are right	grupo	alternativoj	prononco
level	sed memoru ke ~	ale pamatuj si to ~	but remember that ~	grupo	alternativoj	prononco
level	laboras dum ok horoj	pracují 8 hodin	are working for 8 hours	grupo	alternativoj	prononco
level	la LKK laboras jam dum eble ok horoj	LKK funguje snad osm hodin	the LKK has been working for maybe eight hours	grupo	alternativoj	prononco
level	sen multe da paŭzoj	bez velké pauzy	without much pause	grupo	alternativoj	prononco
level	sed memoru ke la LKK laboras sen paŭzoj	ale nezapomeňte, že LKK funguje bez přestávek	but remember that the LKK works without breaks	grupo	alternativoj	prononco
level	babilema dum la semajno	povídat během týdne	chatty during the week	grupo	alternativoj	prononco
level	mi certas ke ~	Jsem si jistý, že ~	I'm sure that ~	grupo	alternativoj	prononco
level	mi certas ke ili estos pli afablaj	Jsem si jistý, že budou laskavější	I'm sure they'll be kinder	grupo	alternativoj	prononco
level	ili estos pli afablaj kaj babilemaj	budou milejší a hovornější	they will be kinder and more talkative	grupo	alternativoj	prononco
level	ni trovu ĝin	pojďme to najít	let's find it	grupo	alternativoj	prononco
level	bone, nun ni trovu la amasloĝejon	no, teď pojďme najít místo pro hromadné ubytování	well, now let's find the mass-lodging place	grupo	alternativoj	prononco
level	kaj poste mi ŝatus ion manĝi	a pak bych si dal něco k jídlu	and then I would like something to eat	grupo	alternativoj	prononco
level	ĉu vi vidis la knabinon ĉe la TEJO-budo?	viděl jsi tu holku na stánku TEJO?	did you see the girl at the TEJO booth?	grupo	alternativoj	prononco
level	jes, kio pri ŝi?	ano, co s ní?	yes, what about her?	grupo	alternativoj	prononco
level	ĉu vi konas ŝin?	Znáte ji?	do you know her?	grupo	alternativoj	prononco
level	bedaŭrinde ne	bohužel ne	unfortunately no	grupo	alternativoj	prononco
level	sed ŝi estas ege bela, ĉu ne?	ale je moc hezká, že?	but she's very pretty, isn't she?	grupo	alternativoj	prononco
level	mi konsentas	souhlasím	I agree	grupo	alternativoj	prononco
level	tamen ne bone komprenas	však dobře nerozumí	however does not understand well	grupo	alternativoj	prononco
level	mi konsentas tamen ne komprenas	Souhlasím, ale nerozumím	I agree but I don't understand	grupo	alternativoj	prononco
level	ĉu al vi plaĉas inoj?	máš rád ženy?	do you like females?	grupo	alternativoj	prononco
level	jes, mi volis diri al vi antaŭe	ano, chci ti to říct předtím	yes, I want tell you before	grupo	alternativoj	prononco
level	sed ial ne faris	ale z nějakého důvodu ne	but for some reason did not	grupo	alternativoj	prononco
level	virinoj plaĉas al mi pli ol viroj	virinoj plaĉas al mi pli ol viroj	virinoj plaĉas al mi pli ol viroj	grupo	alternativoj	prononco
level	aspekte ktp	aspekt atd	aspect etc	grupo	alternativoj	prononco
level	ĉu, ĉu vi estas ?	jsi, jsi?	are you, are you?	grupo	alternativoj	prononco
level	jes, mi estas samseksemulo	ano, jsem homosexuál	yes, I am a homosexual	grupo	alternativoj	prononco
level	oni ankaŭ povas diri lesbo	dá se říct i lesbička	one can also say lesbian	grupo	alternativoj	prononco
level	bone, mi tute ne sciis	no to jsem vůbec nevěděl	well, I didn't know at all	grupo	alternativoj	prononco
level	sed mi ĝojas ke vi diris	ale jsem rád, že jsi řekl	but I'm glad you said	grupo	alternativoj	prononco
level	fakte mi ankaŭ ĝojas ke vi estas samseksemulo	vlastně jsem rád, že jsi homosexuál	in fact I am glad that you are a homosexual	grupo	alternativoj	prononco
level	vi estas la plej afabla kaj agrabla lesbo	jsi ta nejlaskavější a nejhezčí lesba	you are the kindest and nicest lesbian	grupo	alternativoj	prononco
level	la plej agrabla lesbo kiun mi konas	nejhezčí lesba, kterou znám	the nicest lesbian I know	grupo	alternativoj	prononco
level	dankon! ĉu vi konas aliajn?	Děkuji! znáš další?	thank you! do you know others?	grupo	alternativoj	prononco
level	sed kiel vi scias tion?	ale jak to víš?	but how do you know that?	grupo	alternativoj	prononco
level	tiu knabino preferas virojn!	ta holka má radši muže!	that girl prefers men!	grupo	alternativoj	prononco
level	ĉiukaze mi kredas ke tiu knabino preferas virojn!	v každém případě věřím, že dívka dává přednost mužům!	in any case I believe that girl prefer men!	grupo	alternativoj	prononco
level	tiu knabino pri kiu vi parolis	ta dívka, o které jsi mluvil	that girl whom you were talking about	grupo	alternativoj	prononco
level	ni vidos	uvidíme	we'll see	grupo	alternativoj	prononco
level	en la amasloĝejo	v místě hromadného ubytování (místo havárie)	in the mass lodging place (a crash space)	grupo	alternativoj	prononco
level	bonan matenon!	dobré ráno!	good morning!	grupo	alternativoj	prononco
level	ĉu vi bone dormis?	spal jsi dobře?	did you sleep well?	grupo	alternativoj	prononco
level	apenaŭ vidas	sotva vidět	hardly see	grupo	alternativoj	prononco
level	male, mi apenaŭ dormis	naopak jsem skoro nemohl spát	on the contrary, I could hardly sleep	grupo	alternativoj	prononco
level	sed kial?	ale proč?	but why?	grupo	alternativoj	prononco
level	eble vi estis nervoza pri via unua IJK-tago?	možná jsi byl nervózní ze svého prvního dne IJK?	maybe you were nervous about your first IJK day?	grupo	alternativoj	prononco
level	ne vere	spíš ne	not really	grupo	alternativoj	prononco
level	la tutan nokton, dum la tuta nokto	celou noc, celou noc	all night, all night long	grupo	alternativoj	prononco
level	tre laŭte ronkis	velmi hlasitě chrápal	snored very loudly	grupo	alternativoj	prononco
level	simple iu tre laŭte ronkis la tutan nokton	jen někdo celou noc velmi hlasitě chrápal	just someone snored very loudly all night	grupo	alternativoj	prononco
level	ne ĝenu min	neobtěžuj mě	don't bother me	grupo	alternativoj	prononco
level	kaj tio ege ĝenis min	a to mě hodně štvalo	and that bothered me greatly	grupo	alternativoj	prononco
level	ĉu vi ne aŭdis tion?	neslyšeli jste to?	didn't you hear that	grupo	alternativoj	prononco
level	tute ne, mi profunde dormis	vůbec ne, spal jsem hluboce	not at all, I slept deeply	grupo	alternativoj	prononco
level	ĉu mi forgesis diri al vi ke ~?	zapomněl jsem ti to říct ~?	did I forget to tell you that ~?	grupo	alternativoj	prononco
level	orelo, ŝtopi, orelŝtopiloj	ucho, ucpat, špunty do uší	ear, to plug, ear plugs	grupo	alternativoj	prononco
level	indas uzi orelŝtopilojn	vyplatí se používat špunty do uší	it is worth using earplugs	grupo	alternativoj	prononco
level	indas uzi ~	stojí za to použít ~	is worth using ~	grupo	alternativoj	prononco
level	diris al vi ke indas uzi orelŝtopilojn	řekl jsem, že se vyplatí používat špunty do uší	told you it's worth using earplugs	grupo	alternativoj	prononco
level	kiam vi dormas en amasloĝejo	když spíte v hromadném ubytování (místo havárie)	when you sleep at a mass lodging (crash place)	grupo	alternativoj	prononco
level	evidente jes	evidentně ano	obviously yes	grupo	alternativoj	prononco
level	ho, kompatinda Kaĉjo!	ach, chudák Katty!	oh, poor Katty!	grupo	alternativoj	prononco
level	pri kiu vi parolas?	o kom mluvíš?	who are you talking about?	grupo	alternativoj	prononco
level	pri vi	o tobě	about you	grupo	alternativoj	prononco
level	karesi, karesa nomo, karesnomo	pohladit, pohladit jméno, přezdívka	to caress, caressing name, nickname	grupo	alternativoj	prononco
level	per -ĉjo aŭ -njo eblas krei karesnomojn en Esperanto	s -ĉjo nebo -njo je možné vytvářet přezdívky v esperantu	with -ĉjo or -njo, it is possible to create nicknames in Esperanto	grupo	alternativoj	prononco
level	ha, jes, mi iam legis pri tio	aha, jednou jsem o tom četl	ah, yes, I once read about it	grupo	alternativoj	prononco
level	kaj vi do estus Injo?	a pak bys byl Injo?	and then you would be Injo?	grupo	alternativoj	prononco
level	se vi volas iri tien	jestli tam chceš jít	if you want go there	grupo	alternativoj	prononco
level	kioma horo estas nun?	jaký je teď čas?	what time is it now?	grupo	alternativoj	prononco
level	jam estas kvin minutoj antaŭ la deka	už je za pět minut deset	it's already five minutes to ten	grupo	alternativoj	prononco
level	kvin minutoj antaŭ la deka, aŭ naŭa kvindek kvin	pět minut před desátou nebo devět padesát pět	five minutes before ten, or nine fifty-five	grupo	alternativoj	prononco
level	trafis aŭ maltrafis?	trefil nebo minul?	hit or missed?	grupo	alternativoj	prononco
level	vi maltrafis la matenmanĝon	zmeškal jsi snídani	you missed breakfast	grupo	alternativoj	prononco
level	o, fek!	oh, sakra!	oh, shit!	grupo	alternativoj	prononco
level	ĉu vi estas sata?	jsi spokojený ?	are you satisfied ?	grupo	alternativoj	prononco
level	kaj mi kiu estas ege malsata	a já, který mám velký hlad	and I who am extremely hungry	grupo	alternativoj	prononco
level	se vi hastos	pokud si pospíš	if you hurry	grupo	alternativoj	prononco
level	povas almenaŭ trafi la malfermon	může alespoň zasáhnout otvor	can at least hit the opening	grupo	alternativoj	prononco
level	la malfermo de la kongreso	zahájení kongresu	the opening of the congress	grupo	alternativoj	prononco
level	vi povas almenaŭ trafi la malfermon de la kongreso	můžete se alespoň trefit do zahájení sjezdu	you can at least hit the opening of the convention	grupo	alternativoj	prononco
level	kiam ĝi estos?	kdy to bude?	when will it be?	grupo	alternativoj	prononco
level	je kvarono post la deka	ve čtvrt na deset	at a quarter past ten	grupo	alternativoj	prononco
level	ĝi daŭros horon	bude trvat hodinu	it will last an hour	grupo	alternativoj	prononco
level	kaj je la dek dua eblos manĝi	a ve dvanáct bude možné jíst	and at twelve it will be possible to eat	grupo	alternativoj	prononco
level	bele mi antaŭĝojas	krásně už se těším	beautifully I'm looking forward to it	grupo	alternativoj	prononco
level	diru, kio okazas dum la malfermo?	řekni mi, co se stane během otevření?	tell me, what happens during the opening?	grupo	alternativoj	prononco
level	ĉu ĝi estas vizitinda entute?	stojí to vůbec za návštěvu?	is it worth visiting at all?	grupo	alternativoj	prononco
level	laŭ mi jes	podle mého názoru ano	in my opinion yes	grupo	alternativoj	prononco
