eo	en-us	ko-kr	fr	ja-jp	zh-cn	zh-tw	vi-vn	mn	th	ms	id	hi	fa	ne	ur	tr	he	ar	de	es	it	pt	ru	pl
partopreni	to participate, to take part	참가하다, 같이하다 (parto-)	participer, prendre part	参加する、一緒にする（parto-）	参与，参与	參與，參與	tham gia, tham gia	оролцох, оролцох	มีส่วนร่วม, มีส่วนร่วม	untuk mengambil bahagian, untuk mengambil bahagian	untuk berpartisipasi, untuk mengambil bagian	भाग लेना, भाग लेना	شرکت کردن، شرکت کردن	भाग लिन, भाग लिन	حصہ لینا، حصہ لینا	katılmak, katılmak	להשתתף, לקחת חלק	للمشاركة، للمشاركة	teilnehmen, teilnehmen	participar, tomar parte	partecipare, prendere parte	participar, participar	участвовать, принимать участие	brać udział, brać udział
kastelo	a castle, a citadel	성	un château, une citadelle	城	一座城堡，一座要塞	一座城堡，一座要塞	một lâu đài, một tòa thành	цайз, цайз	ปราสาทป้อมปราการ	sebuah istana, sebuah benteng	sebuah kastil, sebuah benteng	एक महल, एक गढ़	یک قلعه، یک ارگ	एक महल, एक किल्ला	ایک قلعہ، ایک قلعہ	bir kale, bir hisar	טירה, מצודה	قلعة، قلعة	eine Burg, eine Zitadelle	un castillo, una ciudadela	un castello, una cittadella	um castelo, uma cidadela	замок, цитадель	zamek, cytadela
-op-	(suffix)  a group in numbers	(접미사)  숫자의 집합(집단)	(suffix) un groupe en chiffres	＜サフィックス＞数字の集合（集団）	(词尾) 一组数字	&lt;詞尾&gt;一組數字	(hậu tố) một nhóm về số lượng	(suffix) тооны бүлэг	(suffix) กลุ่มตัวเลข	(suffix) kumpulan dalam nombor	(suffix) sekelompok dalam jumlah	(suffix) संख्या में एक समूह	(suffix) یک گروه به تعداد	(suffix) संख्यामा एक समूह	(suffix) تعداد میں ایک گروپ	(suffix) sayılardan oluşan bir grup	(suffix) קבוצה במספרים	(suffix) مجموعة بالأرقام	(Suffix) eine Gruppe in Zahlen	(sufijo) un grupo en números	(suffisso) un gruppo di numeri	(sufixo) um grupo em números	(суффикс) группа в цифрах	(przyrostek) grupa w liczbach
ĉeesti	to attend, to be present at	출석하다, 참석하다, 자리에 있다	assister, être présent à	出席する、出席する、席にいる	出席，出席	出席，出席	tham dự, có mặt tại	оролцох, оролцох	ที่จะเข้าร่วม, ที่จะนำเสนอที่	untuk menghadiri, untuk hadir di	untuk hadir, untuk hadir di	भाग लेना, उपस्थित होना	حضور داشتن، حضور در	उपस्थित हुन, उपस्थित हुन	حاضر ہونا، حاضر ہونا	katılmak, orada bulunmak	להשתתף, להיות נוכח	للحضور، للحضور في	dabei sein, dabei sein	asistir, estar presente en	frequentare, essere presente a	assistir, estar presente em	присутствовать, присутствовать на	uczestniczyć, być obecnym na
televido	TV, television	텔레비젼	Télévision, télévision	テレビ	电视，电视	電視，電視	Tivi, tivi	ТВ, телевиз	ทีวีโทรทัศน์	TV, televisyen	TV, televisi	टीवी, टेलीविजन	تلویزیون، تلویزیون	टिभी, टेलिभिजन	ٹی وی، ٹیلی ویژن	televizyon, televizyon	טלוויזיה, טלוויזיה	تلفزيون، تلفزيون	Fernsehen, Fernsehen	televisión, televisión	Televisione, televisione	televisão, televisão	ТВ, телевидение	Telewizja, telewizja
studento	a student (university)	학생, 대학생	un étudiant (université)	学生、大学生	学生（大学）	學生（大學）	một sinh viên (đại học)	оюутан (их сургууль)	นักศึกษา (มหาวิทยาลัย)	seorang pelajar (universiti)	seorang mahasiswa (universitas)	एक छात्र (विश्वविद्यालय)	یک دانشجو (دانشگاه)	एक विद्यार्थी (विश्वविद्यालय)	ایک طالب علم (یونیورسٹی)	öğrenci (üniversite)	סטודנט (אוניברסיטה)	طالب (جامعة)	ein Student (Universität)	un estudiante (universidad)	uno studente (università)	um estudante (universidade)	студент (университета)	student (uniwersytet)
impreso	an impression	인상	une impression	印象	一个印象	一個印象	sự ấn tượng	сэтгэгдэл	ความประทับใจ	satu kesan	sebuah kesan	एक प्रभाव	یک اثر	एक छाप	ایک تاثر	bir izlenim	רושם	انطباع	ein Eindruck	una impresión	un'impressione	uma impressão	впечатление	wrażenie
pupo	a doll, a puppet	인형	une poupée, une marionnette	人形	一个洋娃娃，一个木偶	一個洋娃娃，一個木偶	một con búp bê, một con rối	хүүхэлдэй, хүүхэлдэй	ตุ๊กตาหุ่นเชิด	anak patung, boneka	boneka, boneka	एक गुड़िया, एक कठपुतली	یک عروسک، یک عروسک	एक पुतली, एक कठपुतली	ایک گڑیا، ایک کٹھ پتلی	bir oyuncak bebek, bir kukla	בובה, בובה	دمية، دمية	eine Puppe, eine Marionette	una muñeca, una marioneta	una bambola, un burattino	uma boneca, um fantoche	кукла, марионетка	lalka, marionetka
konstanta	constant, continual, permanent	변함없는, 한결같은	constant, continu, permanent	変わらない、一貫した	恒定的，持续的，永久的	恆定的，持續的，永久的	liên tục, liên tục, thường trực	байнгын, байнгын, байнгын	คงที่, ต่อเนื่อง, ถาวร	berterusan, berterusan, kekal	konstan, terus-menerus, permanen	निरंतर, लगातार, स्थाई	ثابت، مستمر، دائمی	स्थिर, निरन्तर, स्थायी	مستقل، مستقل، مستقل	sürekli, sürekli, daimi	קבוע, מתמשך, קבוע	ثابت، مستمر، دائم	konstant, kontinuierlich, dauerhaft	constante, continuo, permanente	costante, continuo, permanente	constante, contínuo, permanente	постоянный, постоянный, постоянный	stały, ciągły, trwały
ebena	flat, even, plane, level	평평한	plat, égal, plan, niveau	平らな	平坦的、均匀的、平面的、水平的	平坦的、均勻的、平面的、水平的	phẳng, chẵn, mặt phẳng, mức độ	хавтгай, тэгш, хавтгай, түвшин	แบน, สม่ำเสมอ, ระนาบ, ระดับ	rata, sekata, satah, aras	datar, rata, bidang, rata	समतल, सम, समतल, समतल	مسطح، مسطح، مسطح، تراز	समतल, समतल, समतल, स्तर	فلیٹ، برابر، ہوائی جہاز، سطح	düz, düzgün, düzgün, düz	שטוח, אפילו, מישור, רמה	مسطحة، حتى، الطائرة، المستوى	flach, eben, eben, eben	plano, parejo, plano, nivelado	piatto, uniforme, piano, livellato	plano, uniforme, plano, nivelado	ровный, ровный, плоскость, уровень	płaski, równy, płaski, równy
jaraĝa	~ years old	~ 살의 (나이)	~ ans	〜歳（年齢）	〜岁	〜歲	~ tuổi	~ настай	~ ปี	~ tahun	~ tahun	~वर्ष पुराना	~ ساله	~ वर्ष पुरानो	~ سال پرانا	~ yaşında	~ שנים	~ سنة	~ Jahre alt	~ años	~ anni	~ anos de idade	~ лет	~ lat
blovi	to blow	(바람이) 불다	souffler	（風）吹く	吹	吹	thổi	үлээх	ที่จะระเบิด	untuk meniup	untuk meniup	झोंका देना	دمیدن	उडाउनु	اڑا دینا	üflemek	לפוצץ	لتفجير	Blasen	soplar	soffiare	para explodir	взорвать	dmuchać
konfesi	to confess, to admit	고백하다	avouer, admettre	告白する	承认，承认	承認，承認	thú nhận, thừa nhận	хүлээн зөвшөөрөх, хүлээн зөвшөөрөх	ที่จะสารภาพที่จะยอมรับ	mengaku, mengaku	untuk mengaku, mengakui	कबूल करना, स्वीकार करना	اعتراف کردن، اعتراف کردن	स्वीकार गर्न, स्वीकार गर्न	اعتراف کرنا، اعتراف کرنا	itiraf etmek, itiraf etmek	להודות, להודות	للاعتراف، للاعتراف	gestehen, zugeben	confesar, admitir	confessare, ammettere	confessar, admitir	признаться, признаться	wyznać, przyznać się
ekstere	outside, abroad	밖에(서), 외부에	dehors, à l'étranger	外に、外に	外面，国外	外面，國外	bên ngoài, ở nước ngoài	гадаа, гадаадад	ภายนอกต่างประเทศ	luar, luar negara	di luar, di luar negeri	बाहर, विदेश में	خارج، خارج از کشور	बाहिर, विदेश	باہر، بیرون ملک	dışarıda, yurt dışında	בחוץ, בחו&quot;ל	في الخارج، في الخارج	draußen, im Ausland	afuera, en el extranjero	fuori, all'estero	fora, no exterior	снаружи, за границей	na zewnątrz, za granicą
remi	to row	노를 젓다	à ramer	漕ぐ	划船	划船	chèo	эгнээ хийх	พายเรือ	untuk mendayung	untuk mendayung	पंक्ति	ردیف کردن	पङ्क्ति लगाउन	قطار کرنا	kürek çekmek	לחתור	إلى صف	Rudern	remar	remare	remar	грести	wiosłować
kaserolo	a casserole, a pan, a saucepan	냄비	une cocotte, une poêle, une casserole	鍋	一个砂锅，一个平底锅，一个平底锅	一個砂鍋，一個平底鍋，一個平底鍋	cái nồi, cái chảo, cái chảo	хайруулын таваг, тогоо, таваг	หม้อปรุงอาหาร กระทะ หม้อด้าม	kaserol, kuali, periuk	casserole, wajan, panci	एक पुलाव, एक पैन, एक सॉसपैन	یک قابلمه، یک تابه، یک قابلمه	एक क्यासरोल, एक प्यान, एक सॉसपैन	ایک کیسرول، ایک پین، ایک ساس پین	bir güveç, bir tava, bir tencere	תבשיל, מחבת, סיר	طبق خزفي، مقلاة، قدر	eine Kasserolle, eine Pfanne, ein Topf	una cazuela, una sartén, una cacerola	una casseruola, una padella, una casseruola	uma caçarola, uma panela, uma caçarola	кастрюля, кастрюля, кастрюля	zapiekanka, patelnia, rondelek
gepatroj	(both) parents	양친, 양부모	(les deux parents	両親、両親	（双方）父母	（雙方）父母	(cả hai) bố mẹ	(хоёул) эцэг эх	(ทั้งสอง) ผู้ปกครอง	(kedua ibubapa	(kedua orang tua	(दोनों माता पिता	(هر دو) والدین	(दुबै) आमाबाबु	(دونوں) والدین	(ebeveynlerin ikisi de	(שני ההורים	(كلا الوالدين	(beide Eltern	(ambos padres	(entrambi i genitori	(ambos os pais	(оба родителя	(oboje rodziców
geedziĝi	to get married, to marry	결혼하다	se marier, se marier	結婚する	结婚，结婚	結婚，結婚	kết hôn, kết hôn	гэрлэх, гэрлэх	ที่จะแต่งงานจะแต่งงาน	untuk berkahwin, untuk berkahwin	untuk menikah, menikah	शादी करना, शादी करना	ازدواج کردن، ازدواج کردن	विवाह गर्न, विवाह गर्न	شادی کرنا، شادی کرنا	evlenmek, evlenmek	להתחתן, להתחתן	للزواج، للزواج	heiraten, heiraten	casarse, casarse	sposarsi, sposarsi	casar, casar	жениться, жениться	wyjść za mąż, wyjść za mąż
vundo	a wound, an injury	상처	une blessure, une blessure	傷	伤口，受伤	傷口，受傷	một vết thương, một vết thương	шарх, гэмтэл	บาดแผล, อาการบาดเจ็บ	luka, kecederaan	sebuah luka, sebuah luka	एक घाव, एक चोट	یک زخم، یک جراحت	घाउ, चोट	ایک زخم، ایک چوٹ	bir yara, bir yara	פצע, פציעה	جرح، إصابة	eine Wunde, eine Verletzung	una herida, una herida	una ferita, un infortunio	uma ferida, uma lesão	рана, травма	rana, kontuzja
scienco	science, a science	과학, 전반적인 학문	la science, une science	科学、全体的な調査	科学，一门科学	科學，一門科學	khoa học, một khoa học	шинжлэх ухаан, шинжлэх ухаан	วิทยาศาสตร์วิทยาศาสตร์	sains, sains	sains, sebuah sains	विज्ञान, एक विज्ञान	علم، یک علم	विज्ञान, एक विज्ञान	سائنس، ایک سائنس	bilim, bir bilim	מדע, מדע	العلم، العلم	Wissenschaft, eine Wissenschaft	ciencia, una ciencia	scienza, una scienza	ciência, uma ciência	наука, наука	nauka, nauka
monero	a coin	동전	une pièce	コイン	一枚硬币	一枚硬幣	một đồng xu	зоос	เหรียญ	duit syiling	sebuah koin	सिक्का	یک سکه	एक सिक्का	ایک سکہ	bir jeton	מטבע	عملة	eine Münze	una moneda	una moneta	uma moeda	монета	moneta
kompari	to compare	비교하다	comparer	比較する	比较	比較	để so sánh	харьцуулах	เปรียบเทียบ	untuk membandingkan	untuk membandingkan	तुलना करने के लिए	برای مقایسه	तुलना गर्नु	موازنہ کرنے کے لئے	karşılaştırmak	להשוות	لمقارنة	vergleichen	comparar	per confrontare	comparar	сравнивать	porównywać
arko	an arc (of a curve)	원호, 아치형	un arc (d'une courbe)	円弧、アーチ型	（曲线的）弧线	（曲線的）弧線	một cung (của một đường cong)	нум (муруй)	ส่วนโค้ง (ของเส้นโค้ง)	lengkok (lengkung)	busur (kurva)	एक चाप (वक्र का)	یک قوس (یک منحنی)	एक चाप (वक्र को)	ایک قوس (وکر کا)	bir yay (bir eğrinin)	קשת (של עקומה)	قوس (منحنى)	ein Bogen (einer Kurve)	un arco (de una curva)	un arco (di curva)	um arco (de uma curva)	дуга (кривой)	łuk (krzywej)
sperta	experienced, expert	경험이 있는, 능숙한	expérimenté, expert	経験豊富な、上手な	有经验的，专家	有經驗的，專家	có kinh nghiệm, chuyên gia	туршлагатай, мэргэжилтэн	มีประสบการณ์ผู้เชี่ยวชาญ	berpengalaman, pakar	berpengalaman, ahli	अनुभवी, विशेषज्ञ	با تجربه، متخصص	अनुभवी, विशेषज्ञ	تجربہ کار، ماہر	deneyimli, uzman	מנוסה, מומחה	من ذوي الخبرة والخبير	erfahren, Experte	experimentado, experto	esperto, esperto	experiente, especialista	опытный, эксперт	doświadczony, ekspert
sankta	holy, sacred	신성한, 거룩한	saint, sacré	神聖な聖なる	神圣的，神圣的	神聖的，神聖的	thánh thiện, thiêng liêng	ариун, ариун	ศักดิ์สิทธิ์ศักดิ์สิทธิ์	suci, suci	suci, sakral	पवित्र, पवित्र	مقدس، مقدس	पवित्र, पवित्र	مقدس، مقدس	kutsal, kutsal	קדוש, קדוש	مقدس، مقدس	heilig, heilig	santo, sagrado	santo, sacro	santo, sagrado	святой, священный	święty, święty
lavujo	a washbasin	대야	un lavabo	大夜	一个洗脸盆	一個洗臉盆	một chậu rửa	угаалгын сав	อ่างล้างหน้า	sebuah singki	sebuah wastafel	वाशबेसन	یک دستشویی	एक धुने बेसिन	ایک واش بیسن	bir lavabo	כיור רחצה	مغسلة	ein Waschbecken	un lavabo	un lavabo	um lavatório	умывальник	Umywalka
trajno	a train	기차	un train	電車	一列火车	一列火車	một chuyến tàu	галт тэрэг	รถไฟ	keretapi	kereta	एक रेल	قطار	रेल	ایک ریل گاڑی	Bir tren	רכבת	قطار	ein Zug	un tren	un treno	um trem	поезд	Pociąg
domaĝo	a pity, something regrettable	애석한 일, 아까운 손실	dommage, quelque chose de regrettable	愛情のある仕事、残念な損失	遗憾的事，令人遗憾的事	遺憾的事，令人遺憾的事	đáng tiếc, điều đáng tiếc	харамсалтай, харамсах зүйл	น่าเสียดาย บางสิ่งบางอย่างที่น่าเสียใจ	sayang, sesuatu yang dikesali	sayang sekali, sesuatu yang disesalkan	अफ़सोस की बात है, कुछ अफ़सोस की बात है	حیف، چیزی تاسف بار	एक दया, केहि खेदजनक	افسوس، کچھ افسوسناک	yazık, üzücü bir şey	חבל, משהו מצער	من المؤسف، شيء مؤسف	schade, etwas Bedauerliches	una lastima, algo lamentable	un peccato, qualcosa di deplorevole	uma pena, algo lamentável	жаль, что-то прискорбное	szkoda, coś godnego pożałowania
akra	sharp, abrasive	날카로운	pointu, abrasif	鋭い	锋利的、磨蚀性的	鋒利的、磨蝕性的	sắc nét, mài mòn	хурц, зүлгүүр	คมและมีฤทธิ์กัดกร่อน	tajam, kasar	tajam, abrasif	तीक्ष्ण, अपघर्षक	تیز، ساینده	तीखो, घर्षण	تیز، کھرچنے والا	keskin, aşındırıcı	חד, שוחק	حاد وكاشط	scharf, abrasiv	afilado, abrasivo	tagliente, abrasivo	afiado, abrasivo	острый, абразивный	ostry, ścierny
meriti	to deserve, to merit, to be worthy of	받을만하다, 가질만하다, ~할 자격이 있다	mériter, mériter, être digne de	受け取る、持つことができる、〜する資格がある	值得，值得，值得	值得，值得，值得	xứng đáng, xứng đáng, đáng được	гавъяатай байх, гавьяа байгуулах, зохистой байх	สมควร, สมควร, สมควร	untuk layak, untuk merit, untuk menjadi layak	untuk pantas, untuk pantas, untuk menjadi layak	योग्य होना, योग्य होना, योग्य होना	سزاوار بودن، لیاقت داشتن، شایسته بودن	योग्य हुनु, योग्य हुनु, योग्य हुनु	قابل ہونا، قابلیت کا، لائق ہونا	hak etmek, layık olmak, layık olmak	ראוי, לזכות, להיות ראוי	أن تستحق، أن تستحق، أن تكون جديرًا	verdienen, verdienen, würdig sein	merecer, merecer, ser digno de	meritare, meritare, essere degno	merecer, merecer, ser digno de	заслужить, заслужить, быть достойным	zasługiwać, zasługiwać, być godnym
ekparoli	to start speaking	말하기를 시작하다, 말을 꺼내다	commencer à parler	話し始める、言葉を取り出す	开始说话	開始說話	bắt đầu nói	ярьж эхлэх	เพื่อเริ่มพูด	untuk mula bercakap	untuk mulai berbicara	बोलना शुरू करने के लिए	برای شروع صحبت کردن	बोल्न सुरु गर्न	بولنا شروع کرنے کے لیے	konuşmaya başlamak	להתחיל לדבר	لبدء التحدث	anfangen zu sprechen	para empezar a hablar	per iniziare a parlare	para começar a falar	начать говорить	zacząć mówić
ekscii	to get to know, to realise, to learn	알게 되다 (사실을)	connaître, réaliser, apprendre	知るようになる（事実を）	去认识、去领悟、去学习	去認識、去領悟、去學習	làm quen, nhận ra, học hỏi	мэдэх, ухаарах, сурах	เพื่อทำความรู้จัก, ตระหนัก, เพื่อเรียนรู้	untuk mengenali, untuk menyedari, untuk belajar	untuk mengetahui, untuk menyadari, untuk belajar	जानना, महसूस करना, सीखना	دانستن، درک کردن، آموختن	जान्न, बुझ्न, सिक्न	جاننا، احساس کرنا، سیکھنا	tanımak, farkına varmak, öğrenmek	להכיר, להבין, ללמוד	للتعرف، لتحقيق، للتعلم	kennenlernen, erkennen, lernen	conocer, darse cuenta, aprender	conoscere, realizzare, apprendere	conhecer, perceber, aprender	узнать, осознать, изучить	poznać, uświadomić sobie, nauczyć się
semo	a seed	씨앗	une graine	種子	一粒种子	一粒種子	một hạt giống	үр	เมล็ดพืช	sebiji benih	sebuah biji	एक बीज	یک دانه	एक बीउ	ایک بیج	bir tohum	זרע	بذرة	ein Samen	una semilla	un seme	uma semente	семя	ziarno
reveni	to come back, to return	되돌아오다	revenir, revenir	戻る	回来，回来	回來，回來	trở lại, trở lại	буцаж ирэх, буцах	ที่จะกลับมาเพื่อกลับมา	untuk kembali, untuk kembali	untuk kembali, untuk kembali	वापस आना, लौटना	برگشتن، برگشتن	फिर्ता आउन, फर्कन	واپس آنا، واپس آنا	geri dönmek, geri dönmek	לחזור, לחזור	ليعود، ليعود	zurückkommen, zurückkehren	volver, volver	ritornare, ritornare	voltar, voltar	вернуться, вернуться	wrócić, wrócić
lupo	a wolf	늑대	un loup	オオカミ	一只狼	一隻狼	một con sói	чоно	หมาป่า	seekor serigala	seekor serigala	एक भेड़िया	یک گرگ	एउटा ब्वाँसो	ایک بھیڑیا	bir kurt	זאב	ذئب	ein Wolf	un lobo	un lupo	um lobo	волк	Wilk
elefanto	an elephant	코끼리	un éléphant	象	一头大象	一頭大象	một con voi	заан	ช้าง	Gajah	seekor gajah	एक हाथी	یک فیل	हात्ती	ایک ہاتھی	bir fil	פיל	فيل	ein Elefant	un elefante	un elefante	um elefante	слон	Słoń
karoto	a carrot	당근	une carotte	ニンジン	一个红萝卜	一紅蘿蔔	một củ cà rốt	лууван	แครอท	lobak merah	sebuah wortel	गाजर	یک هویج	एक गाजर	ایک گاجر	havuç	גזר	جزرة	eine Karotte	una zanahoria	una carota	uma cenoura	морковка	marchewka
haŭto	skin, a skin	피부	une peau, une peau	肌	皮肤，皮肤	皮膚，皮膚	da, một làn da	арьс, арьс	ผิวหนัง, ผิวหนัง	kulit, kulit	kulit, kulit	त्वचा, एक त्वचा	پوست، یک پوست	छाला, छाला	جلد، ایک جلد	bir deri, bir deri	עור, עור	جلد، جلد	Haut, eine Haut	piel, una piel	pelle, una pelle	pele, uma pele	кожа, кожа	skóra, skóra
palaco	a palace	궁궐	un palais	宮殿	一座宫殿	一座宮殿	một cung điện	ордон	พระราชวัง	sebuah istana	sebuah istana	एक महल	یک کاخ	एउटा दरबार	ایک محل	bir saray	ארמון	قصر	ein Palast	Un palacio	un palazzo	um palácio	дворец	Pałac
eksidi	to get sit down	앉는다 (앉다)	s'asseoir	座る（座る）	坐下来	坐下來	ngồi xuống	суухын тулд	ที่จะนั่งลง	untuk duduk	untuk duduk	बैठने के लिए	برای نشستن	बस्नको लागि	بیٹھنے کے لیے	oturmak için	להתיישב	للحصول على الجلوس	sich hinsetzen	para sentarse	per sedersi	para sentar	чтобы сесть	żeby usiąść
mamo	a breast (of a woman), boob	유방	un sein (d'une femme), sein	おっぱい	（女人的）乳房，布布	（女人的）乳房，布布	vú (của phụ nữ), ngực	хөх (эмэгтэй хүний), хөх	เต้านม (ของผู้หญิง), คนโง่	payudara (wanita), payudara	payudara (seorang wanita), payudara	एक स्तन (एक महिला का), उल्लू	سینه (زن)، سینه	स्तन (महिलाको), स्तन	ایک چھاتی (عورت کا)، چھاتی	(bir kadının) memesi, meme	חזה (של אישה), ציץ	ثدي (امرأة)، المعتوه	eine Brust (einer Frau), boob	un pecho (de mujer), teta	un seno (di donna), tetta	um seio (de uma mulher), peito	грудь (женщины), сиська	pierś (kobieca), cycek
urso	a bear	곰	un ours	クマ	一只熊	一隻熊	một chú gấu	баавгай	หมี	seekor beruang	seekor beruang	एक भालू	یک خرس	भालु	ایک ریچھ	bir ayı	דוב	دب	ein Bär	un oso	un orso	um urso	медведь	Niedźwiedź
vulpo	a fox	여우	un renard	キツネ	一只狐狸	一隻狐狸	một con cáo	үнэг	สุนัขจิ้งจอก	seekor musang	rubah	एक लोमड़ी	یک روباه	एक स्याल	ایک لومڑی	bir tilki	שועל	الثعلب	ein Fuchs	un zorro	una volpe	uma raposa	лиса	Lis
kuracisto	a (medical) doctor, a physician	의사	un médecin (médecin), un médecin	医者	（医学）医生，医生	（醫學）醫生，醫生	bác sĩ (y khoa), bác sĩ	(эмнэлгийн) эмч, эмч	แพทย์ (แพทย์) แพทย์	seorang doktor (perubatan), seorang doktor	seorang dokter (medis), seorang dokter	एक (चिकित्सा) डॉक्टर, एक चिकित्सक	یک پزشک (پزشکی)، یک پزشک	एक (चिकित्सा) डाक्टर, एक चिकित्सक	ایک (طبی) ڈاکٹر، ایک طبیب	(tıp) doktor, doktor	רופא (רפואי), רופא	طبيب (طبي)، طبيب	ein (medizinischer) Arzt, ein Arzt	un médico (médico), un médico	un (medico) dottore, un medico	um médico (médico), um médico	(медицинский) врач, врач	lekarz (medyczny), lekarz
kurteno	a curtain, a screen, a veil	커텐, 막, 장막	un rideau, un paravent, un voile	カーテン、幕、幕屋	帘子、屏风、面纱	簾子、屏風、面紗	một tấm màn, một tấm màn, một tấm màn che	хөшиг, дэлгэц, хөшиг	ผ้าม่าน, มุ้งลวด, ผ้าคลุมหน้า	tirai, skrin, tudung	tirai, layar, kerudung	एक परदा, एक परदा, एक घूँघट	یک پرده، یک پرده، یک حجاب	पर्दा, पर्दा, पर्दा	ایک پردہ، ایک پردہ، ایک پردہ	bir perde, perde, peçe	וילון, מסך, צעיף	ستارة، شاشة، حجاب	ein Vorhang, ein Schirm, ein Schleier	una cortina, una pantalla, un velo	una tenda, uno schermo, un velo	uma cortina, uma tela, um véu	занавес, ширма, вуаль	zasłona, parawan, welon
venki	to conquer, to conquest, to win, to overcome	이기다, 승리하다	conquérir, conquérir, gagner, vaincre	勝つ、勝つ	征服、征服、胜利、克服	征服、征服、勝利、克服	chinh phục, chinh phục, chiến thắng, vượt qua	байлдан дагуулах, ялах, ялах, давах	ที่จะพิชิต, พิชิต, ชนะ, เอาชนะ	untuk menakluk, untuk menakluk, untuk menang, untuk mengatasi	untuk menaklukkan, untuk menaklukkan, untuk menang, untuk mengatasi	जीतना, जीतना, जीतना, जीतना	تسخیر کردن، تسخیر کردن، برنده شدن، غلبه کردن	जित्नु, जित्नु, जित्नु, जित्नु	فتح کرنا، فتح کرنا، جیتنا، فتح کرنا	fethetmek, fethetmek, yenmek, yenmek	לכבוש, לכבוש, לנצח, להתגבר	لقهر، لغزو، للفوز، للتغلب	erobern, erobern, gewinnen, überwinden	conquistar, conquistar, vencer, vencer	conquistare, conquistare, vincere, superare	conquistar, conquistar, vencer, superar	побеждать, побеждать, побеждать, преодолевать	podbijać, podbijać, zwyciężać, zwyciężać
soldato	a soldier	군인	un soldat	兵士	一个士兵	一個士兵	một người lính	цэрэг	ทหาร	seorang askar	seorang tentara	एक सैनिक	یک سرباز	एक सिपाही	ایک سپاہی	Bir asker	חייל	جندي	ein Soldat	un soldado	un soldato	um soldado	солдат	żołnierz
trunko	a trunk, a shaft, a torso	(나무) 줄기, 원뿔대	un tronc, une hampe, un torse	（木）茎、円錐台	躯干、躯干、躯干	軀幹、軀幹、軀幹	thân cây, thân cây, thân cây	их бие, гол, их бие	ลำตัว, เพลา, เนื้อตัว	batang, batang, batang tubuh	bagasi, poros, batang tubuh	एक सूंड, एक शाफ्ट, एक धड़	یک تنه، یک شفت، یک تنه	एक ट्रंक, एक शाफ्ट, एक धड़	ایک ٹرنک، ایک شافٹ، ایک دھڑ	bir gövde, bir şaft, bir gövde	תא מטען, פיר, פלג גוף עליון	الجذع، رمح، الجذع	ein Rumpf, ein Schaft, ein Torso	un tronco, un eje, un torso	un tronco, un'asta, un torso	um tronco, uma haste, um torso	туловище, стержень, туловище	tułów, trzon, tułów
ŝtelisto	a thief	도둑	Un voleur	泥棒	一个小偷	一個小偷	một tên trộm	хулгайч	ขโมย	pencuri	seorang pencuri	एक चोर	یک دزد	चोर	ایک چور	Bir hırsız	גנב	لص	ein Dieb	un ladrón	un ladro	um ladrão	вор	złodziej
miksi	to mix, to blend, to shuffle	섞다, 혼합하다	mélanger, mélanger, mélanger	混ぜる、混ぜる	混合、混合、洗牌	混合、混合、洗牌	trộn, pha trộn, xáo trộn	холих, холих, холих	ผสม, ผสม, สับเปลี่ยน	mengadun, mengadun, mengocok	untuk mencampur, untuk memadukan, untuk mengocok	मिलाना, मिलाना, मिलाना	مخلوط کردن، مخلوط کردن، به هم زدن	मिलाउन, मिलाउन, फेरबदल गर्न	ملانا، ملاوٹ کرنا، بدلنا	karıştırmak, harmanlamak, karıştırmak	לערבב, לערבב, לערבב	لخلط، لمزج، لخلط	mischen, mischen, mischen	mezclar, combinar, barajar	mescolare, mischiare, mischiare	misturar, misturar, embaralhar	смешивать, перемешивать, перемешивать	mieszać, mieszać, tasować
preciza	precise, accurate	정확한	précis, exact	正確	精确的，准确的	精確的，準確的	chính xác, chính xác	нарийн, үнэн зөв	แม่นยำแม่นยำ	tepat, tepat	tepat, akurat	सटीक, सटीक	دقیق، دقیق	सटीक, सटीक	عین مطابق، درست	kesin, doğru	מדויק, מדויק	دقيق، دقيق	präzise, genau	preciso, exacto	preciso, accurato	preciso, preciso	точный, точный	dokładny, dokładny
instruisto	a teacher, an instructor	선생님	un professeur, un instructeur	先生	一位老师，一位导师	一位老師，一位導師	một giáo viên, một người hướng dẫn	багш, багш	ครูผู้สอน	seorang guru, seorang pengajar	seorang guru, seorang instruktur	एक शिक्षक, एक प्रशिक्षक	یک معلم، یک مربی	एक शिक्षक, एक प्रशिक्षक	ایک استاد، ایک انسٹرکٹر	bir öğretmen, bir eğitmen	מורה, מדריך	معلم، معلم	ein Lehrer, ein Ausbilder	un maestro, un instructor	un insegnante, un istruttore	um professor, um instrutor	учитель, инструктор	nauczyciel, instruktor
tedi	to bore	권태를 느끼게하다, 지루하게 하다	ennuyer	倦怠を感じさせる、退屈させる	无聊	無聊	chán	уйдах	เบื่อ	membosankan	membosankan	उबा देना	به مته سوراخ	बोर गर्न	بور کرنا	deliğe	לשעמם	لتحمل	langweilen	aburrir	annoiare	entediar	утомлять	nudzić
gaso	gas	기체, 가스	gaz	ガス、ガス	气体	氣體	khí ga	хий	แก๊ส	gas	gas	गैस	گاز	ग्यास	گیس	gaz	גַז	غاز	Gas	gas	gas	gás	газ	gaz
