eo	en-us	ko-kr	fr	ja-jp	zh-cn	zh-tw	vi-vn	mn	th	ms	id	hi	fa	ne	ur	tr	he	ar	de	es	it	pt	ru	pl	km	my	bn	ta	pa	mr	te	uk	sv	sw	nl	no	da	lv	ro	lt	bg	sk	sl	et	cs	fi	hu	el
perfekte!	perfect!	완벽해요!	parfait!	完璧です！	完美的！	完美的！	hoàn hảo!	төгс!	สมบูรณ์แบบ!	sempurna!	sempurna!	उत्तम!	کامل!	सिद्ध!	کامل!	mükemmel!	מושלם!	ممتاز!	perfekt!	¡perfecto!	perfetto!	perfeito!	идеальный!	doskonały!	ល្អឥតខ្ចោះ!	ပြီးပြည့်စုံသော!	নিখুঁত!	சரியான!	ਸੰਪੂਰਣ!	परिपूर्ण!	పరిపూర్ణమైనది!	ідеально!	perfekt!	kamili!	perfect!	perfekt!	Perfekt!	ideāls!	perfect!	puikus!	перфектно!	perfektné!	popoln!	täiuslik!	perfektní!	täydellinen!	tökéletes!	τέλειος!
do, ĝis tiam!	well, see you then!	자, 그때까지!	eh bien, à bientôt alors !	では、それまで！	好吧，到时候见！	好吧，到時候見！	ừ, hẹn gặp lại nhé!	за тэгвэл уулзацгаая!	แล้วเจอกัน!	nah, jumpa lagi!	baiklah, sampai jumpa lagi!	अच्छा, फिर मिलेंगे!	خوب، پس می بینمت!	ठीक छ, त्यसपछि भेटौंला!	ٹھیک ہے، پھر ملتے ہیں!	peki, görüşürüz o zaman!	טוב, אז נתראה!	حسنا، أراك بعد ذلك!	na ja, bis dann!	Bueno, ¡nos vemos entonces!	beh, ci vediamo allora!	bem, até lá!	ну, увидимся тогда!	cóż, do zobaczenia!	អញ្ចឹងជួបគ្នា!	ဒါဆိုတွေ့မယ်!	আচ্ছা, তাহলে দেখা হবে!	சரி, பிறகு சந்திப்போம்!	ਖੈਰ, ਫਿਰ ਮਿਲਾਂਗੇ!	बरं, मग भेटू!	బాగా, అప్పుడు కలుద్దాం!	ну тоді до зустрічі!	ja, vi ses då!	basi, tuonane!	nou, tot dan!	vel, vi sees da!	jamen så ses vi!	nu tad tiekamies!	bine, ne vedem atunci!	na, iki pasimatymo!	добре, ще се видим тогава!	no, tak sa vidíme!	no, potem se vidimo!	no näeme siis!	no, tak se uvidíme!	no, nähdään sitten!	na akkor viszlát!	Λοιπόν, τα λέμε!
ĝis poste!	see you later!	다음까지!	à plus tard!	では後ほど！	回头见！	回頭見！	hẹn gặp lại!	дараа уулзацгаая!	แล้วพบกันใหม่!	jumpa lagi!	sampai jumpa lagi!	बाद में मिलते हैं!	بعدا میبینمت!	पछि भेटौँला!	بعد میں ملتے ہیں!	sonra görüşürüz!	נתראה אחר כך!	أراك لاحقًا!	bis später!	¡hasta luego!	arrivederci!	até mais!	увидимся позже!	do zobaczenia później!	ជួប​គ្នា​ពេល​ក្រោយ!	နောက်မှတွေ့မယ်!	পরে দেখা হবে!	பிறகு சந்திப்போம்!	ਫਿਰ ਮਿਲਦੇ ਹਾਂ!	पुन्हा भेटू!	తర్వాత కలుద్దాం!	побачимось!	vi ses senare!	tutaonana baadaye!	doei!	ser deg senere!	vi ses senere!	tiksimies vēlāk!	Ne vedem mai târziu!	pasimatysime vėliau!	до скоро!	vidíme sa neskôr!	se vidimo kasneje!	Näeme hiljem!	uvidíme se později!	nähdään myöhemmin!	Később találkozunk!	τα λέμε αργότερα!
vespere, ankaŭ ĉe la tujmesaĝilo	in the evening, also at the instant messenger	저녁에, 메신저에서도	le soir, également sur la messagerie instantanée	夕方、メッセンジャーでも	晚上，在即时通讯软件上	晚上，也在即時通訊工具上	vào buổi tối, cũng tại tin nhắn tức thời	орой, мөн мессенжерээр	ในตอนเย็นยังส่งสารทันที	pada waktu petang, juga pada utusan segera	di malam hari, juga di instant messenger	शाम को, तत्काल दूत पर भी	در شب، همچنین در پیام رسان فوری	बेलुका, तत्काल मेसेन्जरमा पनि	شام کو، فوری میسنجر پر بھی	akşamları, ayrıca anlık mesajlaşma programında	בערב, גם במסנג'ר המיידי	وفي المساء أيضًا على برنامج المراسلة الفورية	Abends auch im Instant Messenger	por la noche, también en mensajería instantánea	la sera, anche tramite la messaggistica istantanea	à noite, também no mensageiro instantâneo	вечером также в мессенджере	wieczorem także przez komunikator	នៅពេលល្ងាចក៏នៅអ្នកនាំសារភ្លាមៗដែរ។	ညဦးယံ၌လည်း instant messenger မှာ	সন্ধ্যায়, তাৎক্ষণিক মেসেঞ্জারেও	மாலையில், உடனடி தூதரிலும்	ਸ਼ਾਮ ਨੂੰ, ਤਤਕਾਲ ਮੈਸੇਂਜਰ 'ਤੇ ਵੀ	संध्याकाळी, इन्स्टंट मेसेंजरवर देखील	సాయంత్రం, తక్షణ మెసెంజర్ వద్ద కూడా	ввечері також в месенджері	på kvällen, även på instant messenger	jioni, pia kwa mjumbe wa papo hapo	s avonds ook via de instant messenger	om kvelden, også på instant messenger	om aftenen, også ved instant messenger	vakarā arī pie tūlītējās vēstneses	seara, tot la mesagerul instant	vakare, taip pat pas momentinį pasiuntinį	вечер също в месинджъра	večer aj na instant messenger	zvečer pa tudi na instant messengerju	õhtul ka kiirsõnumis	večer také na instant messengeru	illalla myös pikaviestinnässä	este az azonnali üzenetküldőnél is	το βράδυ, επίσης στο instant messenger
resaluton!	hello again! (re-)	또 안녕! (re-)	bonjour à nouveau! (concernant-)	またこんにちは！ おかえり／ただいま	再一次问好！ （关于-）	再一次問好！ （關於-）	xin chào lần nữa! (nốt Rê-)	дахин сайн уу! (дахин)	สวัสดีอีกครั้ง! (อีกครั้ง-)	Hello lagi! (semula)	Halo lagi! (ulang-)	फिर से हैलो! (दोबारा-)	دوباره سلام! (دوباره)	फेरी अभिवादन! (पुन-)	ہیلو دوبارہ! (دوبارہ)	tekrar merhaba! (tekrar-)	שוב שלום! (מִחָדָשׁ-)	مرحبا مجددا! (يكرر-)	Hallo wieder! (Re-)	¡Hola de nuevo! (re-)	Ciao di nuovo! (Rif-)	Olá de novo! (ré-)	и снова здравствуйте! (повторно)	Witam ponownie! (Odnośnie-)	ជំរាបសួរ​ជា​ថ្មី​ម្តង​ទៀត! (ឡើងវិញ-)	ထပ်မံနှုတ်ခွန်းဆက်ပါတယ်! (ပြန်လည်-)	আবারো স্বাগতম! (পুনরায়-)	மீண்டும் வணக்கம்! (மறு-)	ਹੈਲੋ ਦੁਬਾਰਾ! (ਦੁਬਾਰਾ-)	हॅलो पुन्हा! (पुन्हा)	మళ్ళీ హలో! (తిరిగి)	Привіт знову! (повторно)	Hej igen! (re-)	habari tena! (tena-)	welkom terug! (met betrekking tot-)	Hallo igjen! (re-)	Hej igen! (gen-)	Sveiks atkal! (atkārtoti)	buna din nou! (re-)	Labas dar kartą! (pakartotinai)	Здравей отново! (повторно)	Ahoj zas! (znovu-)	še enkrat pozdravljeni! (ponovno)	Tere jälle! (re-)	Ahoj znovu! (re-)	Hei taas! (uudelleen-)	Szia ismét! (újra-)	Γεια σου και πάλι! (σχετικά με-)
saluton denove!	hello again!	안녕 다시!	bonjour à nouveau!	また来ました！	再一次问好！	再一次問好！	xin chào lần nữa!	дахин сайн уу!	สวัสดีอีกครั้ง!	Hello lagi!	Halo lagi!	फिर से हैलो!	دوباره سلام!	फेरी अभिवादन!	ہیلو دوبارہ!	tekrar merhaba!	שוב שלום!	مرحبا مجددا!	Hallo wieder!	¡Hola de nuevo!	Ciao di nuovo!	Olá de novo!	и снова здравствуйте!	Witam ponownie!	ជំរាបសួរ​ជា​ថ្មី​ម្តង​ទៀត!	ထပ်မံနှုတ်ခွန်းဆက်ပါတယ်!	আবারো স্বাগতম!	மீண்டும் வணக்கம்!	ਹੈਲੋ ਦੁਬਾਰਾ!	हॅलो पुन्हा!	మళ్ళీ హలో!	Привіт знову!	Hej igen!	habari tena!	welkom terug!	Hallo igjen!	Hej igen!	Sveiks atkal!	buna din nou!	Labas dar kartą!	Здравей отново!	Ahoj zas!	še enkrat pozdravljeni!	Tere jälle!	Ahoj znovu!	Hei taas!	Szia ismét!	Γεια σου και πάλι!
mi rigardis preskaŭ ĉiujn paĝojn de la paĝaro	I looked almost all pages from the site	나는 이 사이트의 거의 모든 페이지를 다 봤다	J'ai regardé presque toutes les pages du site	私はこのサイトのほぼすべてのページを見ました。	我浏览了该网站的几乎所有页面	我瀏覽了該網站的幾乎所有頁面	Tôi đã xem gần như tất cả các trang từ trang web	Би сайтын бараг бүх хуудсыг үзсэн	ฉันดูเกือบทุกหน้าจากเว็บไซต์	Saya melihat hampir semua halaman dari tapak	Saya melihat hampir semua halaman dari situs ini	मैंने साइट के लगभग सभी पृष्ठ देखे	تقریباً تمام صفحات سایت را نگاه کردم	मैले साइटबाट लगभग सबै पृष्ठहरू हेरे	میں نے سائٹ کے تقریباً تمام صفحات دیکھے۔	Sitenin neredeyse tüm sayfalarına baktım	הסתכלתי כמעט בכל הדפים מהאתר	نظرت تقريبا كل الصفحات من الموقع	Ich habe fast alle Seiten der Website durchgesehen	Miré casi todas las páginas del sitio.	Ho guardato quasi tutte le pagine del sito	Procurei quase todas as páginas do site	Просмотрел почти все страницы сайта	Przejrzałem prawie wszystkie strony serwisu	ខ្ញុំបានមើលទំព័រស្ទើរតែទាំងអស់ពីគេហទំព័រ	ဆိုက်ကနေ စာမျက်နှာအားလုံးနီးပါးကို ကြည့်လိုက်တယ်။	আমি সাইট থেকে প্রায় সব পৃষ্ঠা দেখেছি	தளத்தில் இருந்து கிட்டத்தட்ட எல்லா பக்கங்களையும் பார்த்தேன்	ਮੈਂ ਸਾਈਟ ਤੋਂ ਲਗਭਗ ਸਾਰੇ ਪੰਨਿਆਂ ਨੂੰ ਦੇਖਿਆ	मी साइटवरील जवळजवळ सर्व पृष्ठे पाहिली	నేను సైట్ నుండి దాదాపు అన్ని పేజీలను చూసాను	Я переглянув майже всі сторінки сайту	Jag tittade på nästan alla sidor från webbplatsen	Niliangalia karibu kurasa zote kutoka kwa wavuti	Ik heb bijna alle pagina's van de site bekeken	Jeg så nesten alle sidene fra nettstedet	Jeg kiggede næsten alle sider fra siden	Es apskatīju gandrīz visas vietnes lapas	Am căutat aproape toate paginile de pe site	Peržiūrėjau beveik visus svetainės puslapius	Разгледах почти всички страници от сайта	Pozrel som si takmer všetky stránky z webu	Pogledal sem skoraj vse strani spletnega mesta	Vaatasin saidilt peaaegu kõik lehed	Prohlédl jsem si téměř všechny stránky z webu	Katsoin melkein kaikki sivut sivustolta	Szinte az összes oldalt megnéztem az oldalról	Κοίταξα σχεδόν όλες τις σελίδες από τον ιστότοπο
bonege!	quite good! awesome!	대단히 좋아요!	Excellent ! (Super !)	すごくいいですね！	很好！惊人的！	很好！驚人的！	khá tốt! tuyệt vời!	маш сайн! гайхалтай!	ค่อนข้างดี! สุดยอด!	agak baik! hebat!	lumayan bagus! luar biasa!	काफी अच्छा! बहुत बढ़िया!	بسیار خوب! عالی!	एकदम राम्रो! अति उत्तम!	بہت اچھا! خوفناک!	oldukça iyi! Mükemmel!	די טוב! מדהים!	جيد نوعا ما! مذهل!	ziemlich gut! Eindrucksvoll!	¡Bastante bien! ¡impresionante!	abbastanza buono! Eccezionale!	muito bom! incrível!	довольно хорошо! потрясающий!	całkiem dobry! Wspaniały!	ល្អណាស់! អស្ចារ្យមែន!	အတော်လေးကောင်း! အရမ်းကောင်း!	বেশ ভাল! অসাধারণ!	மிகவும் நல்லது! அருமை!	ਕਾਫ਼ੀ ਚੰਗਾ! ਸ਼ਾਨਦਾਰ!	खूप चांगले! छान!	చాలా మంచి! అద్భుతం!	досить добре! приголомшливо!	ganska bra! grymt bra!	nzuri kabisa! kushangaza!	best goed! geweldig!	ganske bra! Rått!	ret godt! fantastisk!	diezgan labi! satriecošs!	destul de bun! minunat!	Gana gerai! nuostabu!	доста добре! страхотно!	celkom dobre! úžasné!	precej dobro! super!	päris hea! vinge!	celkem dobrý! skvělý!	melko hyvä! mahtava!	egész jó! fantasztikus!	αρκετά καλά! φοβερός!
mi havas kelkajn demandojn	I have several questions	몇개의 질문이 있습니다	j'ai quelques questions	いくつかの質問があります	我有几个问题	我有幾個問題	Tôi có một số câu hỏi	Надад хэд хэдэн асуулт байна	ฉันมีคำถามหลายข้อ	Saya ada beberapa soalan	Saya punya beberapa pertanyaan	मेरे पास कई प्रश्न हैं	من چندین سوال دارم	मसँग धेरै प्रश्नहरू छन्	میرے کئی سوالات ہیں۔	birkaç sorum var	יש לי מספר שאלות	لدي عدة أسئلة	Ich habe mehrere Fragen	tengo varias preguntas	Ho diverse domande	Eu tenho várias perguntas	у меня есть несколько вопросов	Mam kilka pytań	ខ្ញុំមានសំណួរជាច្រើន។	ငါ့မှာ မေးခွန်းပေါင်းများစွာရှိတယ်။	আমার বেশ কিছু প্রশ্ন আছে	என்னிடம் பல கேள்விகள் உள்ளன	ਮੇਰੇ ਕਈ ਸਵਾਲ ਹਨ	माझे अनेक प्रश्न आहेत	నాకు అనేక ప్రశ్నలు ఉన్నాయి	У мене кілька запитань	Jag har flera frågor	Nina maswali kadhaa	Ik heb verschillende vragen	Jeg har flere spørsmål	Jeg har flere spørgsmål	Man ir vairāki jautājumi	Am mai multe întrebări	Turiu kelis klausimus	Имам няколко въпроса	mam viacero otazok	Imam več vprašanj	Mul on mitu küsimust	Mám několik otázek	Minulla on useita kysymyksiä	Több kérdésem is van	Έχω αρκετές ερωτήσεις
ĉu vi havas tempon?	Do you have time?	시간이 있으신가요?	As-tu du temps?	時間がありますか？	你有时间吗？	你有時間嗎？	Bạn có thời gian không?	Танд зав байна уу?	คุณมีเวลาไหม?	Adakah anda mempunyai masa?	Apakah kamu punya waktu?	क्या आपके पास समय है?	وقت داری؟	के तपाइँसँग समय छ?	کیا اپ کے پاس وقت ہے؟	Zamanın varmı?	יש לך זמן?	هل لديك وقت؟	Habt ihr Zeit?	¿Tienes tiempo?	Hai tempo?	Tens tempo?	У тебя есть время?	Czy masz czas?	តើ​អ្នក​មាន​ពេលទំនេរ​ទេ?	မင်းအချိန်ရလား?	তোমার কি সময় আছে?	உனக்கு நேரம் உள்ளதா?	ਕੀ ਤੁਹਾਡੇ ਕੋਲ ਸਮਾਂ ਹੈ?	तुमच्याकडे वेळ आहे का?	నీకు సమయం ఉందా?	Ти маєш час?	Har du tid?	Je! una wakati?	Heb je tijd?	Har du tid?	Har du tid?	Vai tev ir laiks?	Ai timp?	Ar turi laiko?	Имаш ли време?	Máš čas?	Imaš čas?	Kas teil on aega?	Máš čas?	Onko sinulla aikaa?	Van időd?	Εχεις χρόνο?
jes, mi havas liberan vesperon	yes, I am free in the evening	예, 저녁시간이 여유가 있습니다	oui, j'ai une soirée libre	はい、夕方は空いてます	是的，我晚上有空	是的，我晚上有空	vâng, buổi tối tôi rảnh	тиймээ, би орой чөлөөтэй байна	ใช่ ตอนเย็นฉันว่าง	ya, saya free pada waktu petang	ya, saya ada waktu luang di malam hari	हां, मैं शाम को फ्री हूं	بله، من شب آزاد هستم	हो, म साँझ खाली छु	ہاں، میں شام کو فارغ ہوں۔	evet akşamları boşum	כן, אני פנוי בערב	نعم أنا حر في المساء	Ja, ich habe abends frei	Sí, estoy libre por la noche.	sì, sono libero la sera	sim, estou livre à noite	да, я свободен вечером	tak, wieczorem jestem wolny	បាទ ខ្ញុំទំនេរនៅពេលល្ងាច	ဟုတ်တယ် ညနေ လွတ်တယ်။	হ্যাঁ, আমি সন্ধ্যায় ফ্রি আছি	ஆம், நான் மாலையில் சுதந்திரமாக இருக்கிறேன்	ਹਾਂ, ਮੈਂ ਸ਼ਾਮ ਨੂੰ ਖਾਲੀ ਹਾਂ	होय, मी संध्याकाळी मोकळा आहे	అవును, నేను సాయంత్రం ఖాళీగా ఉన్నాను	так, я вільний ввечері	ja, jag är ledig på kvällen	ndio, niko huru jioni	ja, ik ben 's avonds vrij	ja, jeg har fri om kvelden	ja, jeg har fri om aftenen	jā, es esmu brīvs vakarā	da, sunt liber seara	taip, vakare esu laisva	да, свободен съм вечерта	áno, večer mám voľno	ja, zvečer sem prosta	jah, ma olen õhtul vaba	ano, večer mám volno	kyllä, olen vapaa illalla	igen, este szabad vagyok	ναι, το βράδυ είμαι ελεύθερος
do, skribu viajn demandojn	so, write your questions	자, 당신의 질문들을 적어 보세요	alors, écris tes questions	さて、あなたの質問を書いてください。	那，写下你的问题	所以，寫下你的問題	vì vậy, hãy viết câu hỏi của bạn	За асуултаа бичээрэй	ดังนั้นเขียนคำถามของคุณ	jadi, tulis soalan anda	jadi, tulis pertanyaanmu	तो, अपने प्रश्न लिखें	پس سوالات خود را بنویسید	त्यसैले, आफ्नो प्रश्न लेख्नुहोस्	تو اپنے سوالات لکھیں۔	peki, sorularınızı yazın	אז כתוב את השאלות שלך	لذلك، اكتب أسئلتك	Also, schreiben Sie Ihre Fragen	Entonces, escribe tus preguntas.	quindi, scrivi le tue domande	então, escreva suas perguntas	так что пишите свои вопросы	więc napisz swoje pytania	ដូច្នេះ សរសេរសំណួររបស់អ្នក។	ဒါကြောင့် သင့်မေးခွန်းတွေကို ရေးပါ။	তাই, আপনার প্রশ্ন লিখুন	எனவே, உங்கள் கேள்விகளை எழுதுங்கள்	ਇਸ ਲਈ, ਆਪਣੇ ਸਵਾਲ ਲਿਖੋ	त्यामुळे तुमचे प्रश्न लिहा	కాబట్టి, మీ ప్రశ్నలను వ్రాయండి	тож пишіть свої запитання	så skriv dina frågor	kwa hivyo, andika maswali yako	dus schrijf uw vragen	så skriv spørsmålene dine	så skriv dine spørgsmål	tāpēc rakstiet savus jautājumus	deci, scrie-ti intrebarile	taigi, parašykite savo klausimus	така че, напишете вашите въпроси	tak píšte otázky	torej napišite svoja vprašanja	nii et kirjutage oma küsimused	tak pište otázky	niin, kirjoita kysymyksesi	szóval írd meg a kérdéseidet	λοιπόν, γράψτε τις ερωτήσεις σας
mi provos respondi	I will try to answer	제가 대답하도록 해 보겠습니다	je vais essayer de répondre	私は答えることが出来ます。	我会试试回答	我會嘗試回答	Tôi sẽ cố gắng trả lời	Би хариулахыг хичээх болно	ฉันจะพยายามตอบ	Saya akan cuba jawab	Saya akan mencoba menjawab	मैं उत्तर देने का प्रयास करूंगा	سعی میکنم جواب بدم	जवाफ दिने प्रयास गर्नेछु	میں جواب دینے کی کوشش کروں گا۔	cevaplamaya çalışacağım	אנסה לענות	سأحاول الإجابة	Ich werde versuchen zu antworten	intentaré responder	Proverò a rispondere	vou tentar responder	Я постараюсь ответить	Spróbuję odpowiedzieć	ខ្ញុំនឹងព្យាយាមឆ្លើយ	ငါကြိုးစားပြီးဖြေမယ်။	আমি উত্তর দেওয়ার চেষ্টা করব	பதில் சொல்ல முயற்சிப்பேன்	ਮੈਂ ਜਵਾਬ ਦੇਣ ਦੀ ਕੋਸ਼ਿਸ਼ ਕਰਾਂਗਾ	मी उत्तर देण्याचा प्रयत्न करेन	నేను సమాధానం చెప్పడానికి ప్రయత్నిస్తాను	Спробую відповісти	Jag ska försöka svara	Nitajaribu kujibu	Ik zal proberen te antwoorden	Jeg skal prøve å svare	Jeg vil prøve at svare	Es mēģināšu atbildēt	Voi încerca să răspund	pabandysiu atsakyti	Ще се опитам да отговоря	pokúsim sa odpovedať	Poskušal bom odgovoriti	Püüan vastata	pokusím se odpovědět	Yritän vastata	Megpróbálok válaszolni	Θα προσπαθήσω να απαντήσω
mi legis ke Esperanto havas kulturon	I read that Esperanto has a culture	나는 에스페란토에 문화가 있다고 읽었습니다	J'ai lu que l'espéranto a une culture	エスペラントには文化があると読んだ	我读过世界语有自己的文化	我讀到世界語有一種文化	Tôi đọc được rằng Esperanto có một nền văn hóa	Эсперанто хэл соёлтой гэж уншсан	ฉันอ่านเจอว่าภาษาเอสเปรันโตมีวัฒนธรรม	Saya membaca bahawa Esperanto mempunyai budaya	Saya membaca bahwa Esperanto memiliki budaya	मैंने पढ़ा कि एस्पेरान्तो की एक संस्कृति है	خواندم که اسپرانتو دارای فرهنگ است	मैले पढें कि एस्पेरान्तोको संस्कृति छ	میں نے پڑھا کہ ایسپرانٹو کی ثقافت ہے۔	Esperanto'nun bir kültürü olduğunu okudum	קראתי שלאספרנטו יש תרבות	قرأت أن الإسبرانتو لديها ثقافة	Ich habe gelesen, dass Esperanto eine Kultur hat	Leí que el esperanto tiene una cultura.	Ho letto che l'esperanto ha una cultura	Li que o Esperanto tem uma cultura	Я читал, что у эсперанто есть культура.	Czytałem, że esperanto ma swoją kulturę	ខ្ញុំបានអានថា Esperanto មានវប្បធម៌មួយ។	အက်စပရန်တိုမှာ ယဉ်ကျေးမှုရှိတယ်လို့ ဖတ်ရတယ်။	আমি পড়েছি যে এস্পেরান্তোর একটি সংস্কৃতি আছে	எஸ்பெராண்டோவுக்கு ஒரு கலாச்சாரம் உண்டு என்று படித்தேன்	ਮੈਂ ਪੜ੍ਹਿਆ ਕਿ ਐਸਪੇਰਾਂਟੋ ਦਾ ਸੱਭਿਆਚਾਰ ਹੈ	मी वाचले की एस्पेरांतोची संस्कृती आहे	ఎస్పరాంటోకు ఒక సంస్కృతి ఉందని నేను చదివాను	Я читав, що есперанто має культуру	Jag läste att esperanto har en kultur	Nilisoma kwamba Kiesperanto kina utamaduni	Ik las dat Esperanto een cultuur heeft	Jeg leste at esperanto har en kultur	Jeg læste, at esperanto har en kultur	Es lasīju, ka esperanto ir kultūra	Am citit că Esperanto are o cultură	Skaičiau, kad esperanto turi savo kultūrą	Четох, че есперанто има култура	Čítal som, že esperanto má kultúru	Prebral sem, da ima esperanto kulturo	Lugesin, et esperantol on kultuur	Četl jsem, že esperanto má kulturu	Luin, että esperantolla on kulttuuria	Azt olvastam, hogy az eszperantónak van kultúrája	Διάβασα ότι η Εσπεράντο έχει κουλτούρα
tamen mi ne komprenas ~	however I don't understand ~	하지만 나는 ~를 이해할 수 없습니다	mais je ne comprends pas ~	しかし、私は〜を理解できません	但是我不明白~	然而我不懂~	tuy nhiên tôi không hiểu ~	гэхдээ би ойлгохгүй байна ~	แต่ฉันไม่เข้าใจ~	namun saya tidak faham ~	namun aku tidak mengerti ~	हालाँकि मुझे समझ नहीं आता ~	با این حال من نمی فهمم ~	यद्यपि मैले बुझिन ~	تاہم میں نہیں سمجھتا ~	ancak anlamıyorum ~	עם זאת אני לא מבין ~	لكنني لا أفهم ~	allerdings verstehe ich das nicht ~	sin embargo no entiendo ~	tuttavia non capisco ~	porém eu não entendo ~	однако я не понимаю ~	jednak nie rozumiem ~	ទោះ​ជា​យ៉ាង​ណា​ខ្ញុំ​មិន​យល់ ~	သို့​သော်​ နားမလည်​ဘူး~	যদিও আমি বুঝতে পারছি না ~	இருப்பினும் எனக்கு புரியவில்லை ~	ਹਾਲਾਂਕਿ ਮੈਂ ਨਹੀਂ ਸਮਝਦਾ ~	तथापि मला समजले नाही ~	అయితే నాకు అర్థం కాలేదు~	однак я не розумію ~	men jag förstår inte ~	hata hivyo sielewi ~	maar ik begrijp het niet ~	men jeg forstår ikke ~	dog forstår jeg ikke ~	tomēr es nesaprotu ~	totusi nu inteleg ~	bet aš nesuprantu ~	обаче не разбирам ~	ale nerozumiem ~	vendar ne razumem ~	aga ma ei mõista ~	ale nerozumím ~	en kuitenkaan ymmärrä ~	azonban nem értem ~	ωστόσο δεν καταλαβαίνω ~
kie mi povas trovi tiun kulturon	where I can find such a culture	내가 어디서 그런 문화를 찾을 지	où puis-je trouver cette culture ?	私はどこでそのような文化を見つけられるか	我在哪里可以找到这样的文化	我可以在哪裡找到這樣的文化	nơi tôi có thể tìm thấy một nền văn hóa như vậy	Би ийм соёлыг хаанаас олох вэ	ฉันสามารถหาวัฒนธรรมแบบนี้ได้ที่ไหน	di mana saya boleh menemui budaya sedemikian	di mana saya dapat menemukan budaya seperti itu	जहां मुझे ऐसी संस्कृति मिल सकती है	جایی که بتوانم چنین فرهنگی را پیدا کنم	जहाँ म यस्तो संस्कृति पाउन सक्छु	مجھے ایسی ثقافت کہاں مل سکتی ہے۔	böyle bir kültürü nerede bulabilirim	איפה אני יכול למצוא תרבות כזו	حيث يمكنني أن أجد مثل هذه الثقافة	wo ich eine solche Kultur finden kann	donde puedo encontrar tal cultura	dove posso trovare una tale cultura	onde posso encontrar essa cultura	где я могу найти такую культуру	gdzie mogę znaleźć taką kulturę	កន្លែងដែលខ្ញុំអាចរកឃើញវប្បធម៌បែបនេះ	ဒီလိုယဉ်ကျေးမှုမျိုးကို ဘယ်မှာ ရှာတွေ့နိုင်မလဲ။	যেখানে আমি এমন একটি সংস্কৃতি খুঁজে পেতে পারি	அத்தகைய கலாச்சாரத்தை நான் எங்கே காணலாம்	ਜਿੱਥੇ ਮੈਨੂੰ ਅਜਿਹਾ ਸੱਭਿਆਚਾਰ ਮਿਲ ਸਕਦਾ ਹੈ	जिथे मला अशी संस्कृती मिळेल	అటువంటి సంస్కృతిని నేను ఎక్కడ కనుగొనగలను	де я можу знайти таку культуру	var jag kan hitta en sådan kultur	ambapo naweza kupata utamaduni kama huo	waar ik zo'n cultuur kan vinden	hvor jeg kan finne en slik kultur	hvor jeg kan finde sådan en kultur	kur es varu atrast šādu kultūru	unde pot găsi o astfel de cultură	kur galiu rasti tokią kultūrą	къде мога да намеря такава култура	kde nájdem takúto kultúru	kje najdem tako kulturo	kust ma leian sellise kultuuri	kde najdu takovou kulturu	mistä löydän sellaisen kulttuurin	hol találok olyan kultúrát	όπου μπορώ να βρω μια τέτοια κουλτούρα
vi trovos ĝin ĉie, kie estas ~	you'll find everwhere, where ~ is	당신은 ~가 있는 곳에서는 어디든지 그걸 발견할 겁니다	tu trouveras partout, où que se trouve ~	あなたは〜のどこでもそれを見つけるでしょう。	你在~里, 到处都能找到它	你會發現到處都是~在哪裡	bạn sẽ tìm thấy ở mọi nơi, ở đâu ~	чи хаана ч, хаана ч олох болно	คุณจะพบทุกที่ที่ ~ อยู่	anda akan dapati di mana-mana, di mana ~ adalah	Anda akan menemukannya di mana pun, di mana ~ berada	आप हर जगह पाएंगे, जहां ~ है	شما در هر کجا، جایی که ~ است پیدا خواهید کرد	तपाईले जहिले पनि फेला पार्नुहुनेछ, जहाँ ~ छ	آپ کو ہر جگہ مل جائے گا، جہاں ~ ہے	~'in nerede olduğunu her yerde bulacaksın	תמצא בכל מקום, איפה ~ נמצא	ستجد في أي مكان، حيث ~	Du wirst überall finden, wo ~ ist	lo encontrarás en todas partes, donde ~ está	troverai ovunque, dov'è ~	você encontrará em qualquer lugar, onde ~ está	ты найдешь везде, где есть ~	znajdziesz wszędzie, gdzie ~ jest	អ្នក​នឹង​រក​ឃើញ​គ្រប់​ទី​កន្លែង, where ~ is	ဘယ်နေရာမှာ ~ ဘယ်နေရာမှာ တွေ့ရမလဲ။	আপনি সর্বত্র খুঁজে পাবেন, যেখানে ~ আছে	நீங்கள் எங்கும், எங்கு ~ உள்ளது என்பதைக் காண்பீர்கள்	ਤੁਸੀਂ ਕਿਤੇ ਵੀ ਲੱਭੋਗੇ, ਜਿੱਥੇ ~ ਹੈ	तुम्हाला कुठेही सापडेल, कुठे आहे ~	మీరు ఎక్కడైనా, ఎక్కడ ~ ఉందో కనుగొంటారు	ви знайдете всюди, де ~ є	du hittar överallt där ~ är	utapata popote, where ~ is	je zult overal vinden waar ~ is	du finner overalt hvor ~ er	du finder overalt, hvor ~ er	jūs atradīsit visur, kur ir ~	vei găsi oriunde, unde este ~	rasite visur, kur yra ~	ще намерите навсякъде, където ~ е	nájdete všade, kde ~ je	povsod boste našli, kje ~ je	leiate kõikjalt, kus ~ on	najdete všude, kde ~ je	löydät kaikkialta, missä ~ on	mindenhol megtalálod, hol van a ~	θα βρεις παντού, όπου είναι το ~
