eo	en-us	ko-kr	fr	ja-jp	zh-cn	zh-tw	vi-vn
ŝi estis malĝoja	she was sad	그녀는 슬펐다	elle était triste	彼女は悲しかった	她很伤心	她很傷心	cô ấy đã buồn
fine kaj finfine	in the end and finally at last	끝내 그리고 결국	à la fin et enfin enfin	最後にそして最終的に	最后最后最后	最後最後最後	cuối cùng và cuối cùng cuối cùng
via forta voĉo	your strong voice	당신의 강한 목소리	ta voix forte	あなたの強い声で	你强有力的声音	你強而有力的聲音	giọng nói mạnh mẽ của bạn
en malforta voĉo	in weak voice	약한 목소리로	d'une voix faible	弱い声で	用微弱的声音	用微弱的聲音	bằng giọng yếu ớt
ne havas monon	doesn't have money	돈을 가지고 있지 않다	il n'a pas d'argent	お金を持っていない	没有钱	沒有錢	không có tiền
kio okazis tie?	what did happen there?	거기에서 무엇이 일어났는가?	que s'est-il passé là-bas ?	そこで何が起こったのか？	那里发生了什么？	那裡發生了什麼事？	chuyện gì đã xảy ra ở đó vậy?
akcidento okazis poste	an accident happened later	사건이 그후에 일어났다	un accident s'est produit plus tard	事件はその後起こった	后来发生了意外	後來發生了意外	một tai nạn xảy ra sau đó
ĉu vi scias, kiam ĝi okazis?	do you know when did it happen?	당신은 아는가, 그게 언제 발생했는지?	tu sais quand est-ce arrivé ?	あなたは知っていますか、それがいつ起こったのか？	你知道什么时候发生的吗？	你知道什麼時候發生的嗎？	bạn có biết nó xảy ra khi nào không?
scias pri la afero	knows about the matter	그 사건에 대해서 안다	est au courant du sujet	その事件について知っている	知道此事	知道此事	biết về vấn đề này
ankoraŭ unu afero restas	still one thing remains	아직 한가지가 남아 있다	il reste encore une chose	まだ一つのことが残っている	还剩下一件事	還剩下一件事	vẫn còn một điều
vi aŭ ŝi, ajna homo	you or she, any person	당신 또는 그녀, 누구든	vous ou elle, toute personne	あなたまたは彼女、誰であれ	你或她，任何人	你或她，任何人	bạn hoặc cô ấy, bất kỳ người nào
kiel kantisto	like a singer, as a signer	가수처럼, 가수로서	comme un chanteur, comme un chanteur	歌手のように、歌手として	像歌手一样，像签名者一样	像歌手一樣，像簽名者一樣	như một ca sĩ, như một người ký tên
kantis kiel profesia kantisto	sang like a professional singer	전문 가수처럼 노래했다	chanté comme un chanteur professionnel	プロの歌手のように歌った	像专业歌手一样唱歌	像專業歌手一樣唱歌	hát như ca sĩ chuyên nghiệp
tie, kie ŝi loĝis	a the place, where she lived	거기, 그녀가 살았던 그 곳에	l'endroit où elle vivait	そこ、彼女が住んでいたその場所に	a 她住的地方	a 她住的地方	một nơi, nơi cô ấy sống
kiel vi scias pri la aŭto?	how do you know about the car?	어떻게 당신은 그 차에 대해서 아는가?	comment tu connais la voiture ?	どうしてあなたはその車について知っているのですか？	你怎么知道这辆车的？	你怎麼知道這輛車的？	làm thế nào bạn biết về chiếc xe?
nu, vidu la rapidan aŭton	well, look at the fast car	음, 그 빠른 차를 보세요	eh bien, regarde la voiture rapide	まあ、その速いお茶を見てください	好吧，看看那辆快车	好吧，看看那輛快車	ừ, nhìn chiếc xe chạy nhanh quá
suko sen sukero	a juice without sugar	설탕 없는 주스	un jus sans sucre	無糖ジュース	不加糖的果汁	不加糖的果汁	nước trái cây không đường
li havis rapidan veturilon	he has a fast vehicle	그는 빠른 탈것(차)을 가졌다	il a un véhicule rapide	彼は速い乗り物（お茶）を持っていた	他有一辆很快的车	他有一輛很快的車	anh ấy có một chiếc xe nhanh
tro forte	too strongly	너무 강하게	trop fort	とても強く	太强烈了	太強烈了	quá mạnh
li tro forte malfermis	he opened too hard	그는 너무 세게 열었다	il a ouvert trop fort	彼は強く開けすぎた	他打开得太用力了	他打開得太用力了	anh ấy mở quá mạnh
veturis tro rapide	drove (traveled) too fast	너무 빠르게 운전했다	conduit (voyagé) trop vite	彼は速く運転しすぎた	开车（行驶）太快	開車（行駛）太快	lái xe (đi) quá nhanh
manĝis per kulero	ate with a spoon	숟가락으로 먹었다	mangé avec une cuillère	スプーンで食べた	用勺子吃	用湯匙吃	ăn bằng thìa
ni forte dubas	we strongly doubt	우리는 강하게 의심한다	nous en doutons fortement	私たちは強く疑う	我们强烈怀疑	我們強烈懷疑	chúng tôi thực sự nghi ngờ
vera letero de li	a true letter from him	그로부터 온 진짜 편지	une vraie lettre de lui	彼からの本当の手紙	他的一封真实的信	他的一封真實的信	một lá thư thực sự từ anh ấy
amletero kun kvin fotoj	a love letter with five photos	5장의 사진을 동봉한 연애 편지	une lettre d'amour avec cinq photos	5枚の写真を添えたラブレター	一封带有五张照片的情书	一封帶有五張照片的情書	một bức thư tình với năm bức ảnh
revenis, revenintoj	returned, the people who returned	되돌아왔다, 되돌아 왔던 사람들	sont revenus, les gens qui sont revenus	戻ってきた、戻ってきた人たち	回来了，回来的人	回來了，回來的人	đã trở về, những người đã trở về
ankaŭ ses leteroj revenis	also six letters returned	또한 편지 6통이 되돌아왔다	aussi six lettres retournées	また、6通の手紙が返ってきた	还退回了六封信	還退回了六封信	sáu lá thư cũng được trả lại
volis vidi la foton	wanted to see the photo	그 사진을 보고 싶어했다	je voulais voir la photo	その写真を見たがっていた	想看照片	想看照片	muốn xem bức ảnh
revenis el la lernejo	came back from the school	그 학교로부터 되돌아왔다	je suis revenu de l'école	その学校から戻ってきた	从学校回来	從學校回來	trở về từ trường học
kiam revenos la fratino?	when will the sister return?	그 자매는 언제 되돌아올까요?	quand la sœur reviendra-t-elle ?	あの姉妹はいつ戻ってくるのでしょうか？	姐姐什么时候回来？	姐姐什麼時候回來？	khi nào chị sẽ về?
volis legi denove	wanted to read again	다시 읽기를 원했다	je voulais relire	再読を望んだ	想再读一遍	想再讀一遍	muốn đọc lại
faris, fariĝis	made (did), became	했다 (만들었다), 되었다	fait (fait), est devenu	した（作った）、なった	做了（做），成为	做了（做），成為	đã làm (đã), trở thành
rapide fariĝis ruĝa	rapidly became red	빠르게 빨갛게 되었다	est rapidement devenu rouge	すぐに赤くなった	迅速变红	迅速變紅	nhanh chóng trở nên đỏ
en ĉambro, en ĉambron	in a room, into a room	방안에서, 방안으로	dans une pièce, dans une pièce	部屋から、部屋へ	在一个房间里，进入一个房间	在一個房間裡，進入一個房間	trong một căn phòng, vào một căn phòng
staris kaj sidis	stood and sat	서있었다 그리고 앉아있었다	se leva et s'assit	立っていた そして座っていた	站着又坐着	站著又坐著	đứng và ngồi
tie staris antaŭ la foto	there stood in front of the photo	거기에 서 있었다 사진앞에	il y avait devant la photo	そこに立っていた写真の前に	照片前面站着	照片前面站著	đứng trước bức ảnh
mi havas tion	I have that	나는 그것을 가지고 있다	je l'ai	私はそれを持っている	我有这个	我有這個	tôi có cái đó
kion vi havas en via mano?	what do you have in your hand?	당신 손안에 뭐를 가지고 있나요?	qu'est-ce que tu as dans la main ?	あなたの手の中に何を持っていますか？	你手里有什么？	你手上有什麼？	bạn có gì trong tay?
antaŭ aŭ malantaŭ?	in front or behind?	앞의 또는 뒤의?	devant ou derrière ?	前のまたは後の？	在前面还是后面？	在前面還是後面？	ở phía trước hay phía sau?
antaŭ aŭ post?	before or after?	이전의 혹은 그 후의?	avant ou après?	前のあるいは後の？	之前还是之后？	之前還是之後？	trước hay sau?
tie malantaŭ la pordo	there behind the door	그곳에, 그 문 뒤에 (그 문뒤 그곳에)	là derrière la porte	あそこに、そのドアの後ろに（そのドアの後ろのあそこに）	门后面有	門後面有	ở đằng sau cánh cửa
aliaj, aliaj homoj	others, other people	다른 (복수형), 다른 사람들	d'autres, d'autres personnes	他の（複数形）、他の人たち	其他人，其他人	其他人，其他人	những người khác, những người khác
leteroj de aliaj	letters from others	다른 사람들의 편지들	lettres des autres	他の人たちの手紙	别人的来信	別人的來信	thư từ người khác
falis el la mano	fell out of the hand	손에서 떨어졌다	est tombé des mains	手から落ちた	从手中掉下来	從手中掉下來	rơi khỏi tay
sur la tablo, sur la tablon	on the table, onto the table	그 탁자 위에, 그 탁자 위로	sur la table, sur la table	そのテーブルの上に、そのテーブルの上に	桌子上，桌子上	桌子上，桌子上	trên bàn, trên bàn
ĝi falis sur la tablon	it fell on the table	그것은 테이블위로 떨어졌다	il est tombé sur la table	それはテーブルの上に落ちた	它掉在桌子上	它掉在桌上	nó rơi xuống bàn
petis pardonon	asked for pardon	용서를 빌었다	demandé pardon	許しを求めた	请求原谅	請求原諒	xin sự tha thứ
serĉis kvin librojn	was searching for five books	다섯 권의 책을 찾고 있었다	je cherchais cinq livres	五冊の本を探していた	正在寻找五本书	正在尋找五本書	đang tìm kiếm năm cuốn sách
pardonu, mi serĉis mian libron	sorry, I was looking for my book.	미안해, 나는 내 책을 찾고 있었어	désolé, je cherchais mon livre.	ごめんなさい、私は私の本を探していました	抱歉，我正在寻找我的书。	抱歉，我正在尋找我的書。	xin lỗi, tôi đang tìm cuốn sách của tôi.
sed vi bone scias	but you know well	그러나 당신은 잘 알고 있잖아요	mais tu sais bien	しかし、あなたはよく知っています	但你很清楚	但你很清楚	nhưng bạn biết rõ
ne estas sur mia tablo	is not on my table	나의 테이블 위에 있지 않다	n'est pas sur ma table	私のテーブルの上にない	不在我的桌子上	不在我的桌子上	không có trên bàn của tôi
viaj libroj ne estas sur mia tablo	your books are not on my table	너의 책들은 내 테이블 위에 없다.	tes livres ne sont pas sur ma table	あなたの本は私のテーブルの上にない	你的书不在我的桌子上	你的書不在我的桌子上	sách của bạn không có trên bàn của tôi
ree donis, redonis	again gave, returned	다시 주었다, 되돌려 줬다	encore donné, rendu	私はそれを返した、私はそれを返した	再次给予，回报	再次給予，回報	một lần nữa cho, trả lại
redonu la leteron al mi.	return the letter to me	그 편지를 나에게 되돌려줘	rends-moi la lettre	その手紙を私に返してください	把信还给我	把信還給我	trả lại lá thư cho tôi
ricevis bonan lecionon	received a good lesson	좋은 교훈을 얻었다	reçu une bonne leçon	良い教訓を得た	受到了很好的教训	受到了很好的教訓	đã nhận được một bài học tốt
plu lavis, ne plu manĝis	further washed, ate any more	더 씻었다, 더이상 먹지 않았다	encore lavé, mangé plus	もっと洗った、もう食べなかった	又洗了，又吃了	又洗了，又吃了	rửa sạch thêm, ăn nữa
ne plu legos	will no longer read	더이상 읽지 않을 것이다	je ne lirai plus	もう読まないだろう	将不再阅读	將不再閱讀	sẽ không đọc nữa
ankaŭ mi ricevis	I also received	나도 받았다	j'ai aussi reçu	私も受け取った	我也收到了	我也收到了	Tôi cũng nhận được
devas fermi	has to close	닫아야 한다	doit fermer	閉じなければならない	必须关闭	必須關閉	phải đóng cửa
mi devas bone fermi	I have to close well	나는 잘 닫아야 한다	je dois bien fermer	私はよく閉めなければならない	我必须好好关闭	我必須好好關閉	Tôi phải đóng tốt
bone fermis la pordon	closed the door tightly	그 문을 잘 닫았다	a bien fermé la porte	その扉をよく閉じた	把门关紧	把門關緊	đóng cửa thật chặt
trankvila, trankviliĝu	calm, calm down	고요한, 진정해	calme-toi, calme-toi	静かに、落ち着いて	冷静，冷静	冷靜，冷靜	bình tĩnh, bình tĩnh
aŭdis sed ne aŭskultis	heard but did not listen	들리기는 했으나 듣지는 않았다	entendu mais n'a pas écouté	聞こえはしたが、聞こえなかった	听到但没听	聽到但沒聽	nghe nhưng không nghe
aŭdis trankvilan sonon	heard a calm sound	고요한 소리가 들렸다	j'ai entendu un son calme	静かな音が聞こえた	听到平静的声音	聽到平靜的聲音	nghe thấy một âm thanh bình tĩnh
ĉe mi estis kvar poŝoj	at me, there are 4 pockets	나에게 4개의 호주머니들이 있다	chez moi, il y a 4 poches	私には4つのポケットがある	对我来说，有 4 个口袋	對我來說，有4 個口袋	ở tôi có 4 túi
dek tagoj post la lasta leciono	ten days after the last lesson	마지막 과 이후 10일	dix jours après le dernier cours	前回から10日後	上一课后十天	上一課後十天	mười ngày sau bài học cuối cùng
inter la du tabloj	between the two tables	그 두 테이블 사이에	entre les deux tables	その二つのテーブルの間に	两张桌子之间	兩張桌子之間	giữa hai bảng
tri leteroj, ses paperoj	three letters, six papers	편지 3통, 종이 6장	trois lettres, six papiers	3通の手紙、6枚の紙	三封信，六篇论文	三封信，六篇論文	ba lá thư, sáu tờ giấy
de kapo ĝis piedo	from head to foot	머리에서 발까지	de la tête aux pieds	頭から足まで	从头到脚	從頭到腳	từ đầu đến chân
kvar, kvara, kvaropo, kvarono	four, fourth, a quartet, a quarter	4, 4번째의, 4인조, 4분의1	quatre, quatrième, un quatuor, un quart	4、4番目の、4人組、4分の1	四、第四、四重奏、四分之一	四、第四、四重奏、四分之一	bốn, thứ tư, một bộ tứ, một phần tư
kien iris la triopo?	where did the trio go	그 3인조는 어디로 갔는가?	où est passé le trio	その3人組はどこへ行ったのか？	三人去哪儿了	三人去哪了	bộ ba đã đi đâu
kvin fingroj en ambaŭaj manoj	five fingers in both hands	양 손에 다섯 손가락	cinq doigts dans les deux mains	両手に五本の指	双手五个手指	雙手五根手指	năm ngón tay ở cả hai tay
si mem, sia poŝo	by oneself, one's own pocket	자기자신 스스로, 자신의 호주머니	tout seul, sa propre poche	自分自身、自分のポケット	自己掏腰包	自己掏腰包	một mình, túi riêng của mình
meti, kunmeti, kunmetaĵo	put, put together, a compound	두다, 같이 두다, 합성물	mettre, assembler, un composé	置く, 一緒に置く, 合成物	把，放在一起，化合物	把，放在一起，化合物	đặt, ghép lại với nhau, một hợp chất
metis en sian poŝon	put in one's own pocket	자기자신의 호주머니 속에 두었다	mettre dans sa propre poche	自分自身のポケットに入れた	放进自己的口袋	放進自己的口袋	bỏ vào túi riêng
du cent nacioj en la mondo	two hundred nations in the world	세상의 200개의 나라들	deux cents nations dans le monde	世界の200の国々	世界上两百个国家	世界上兩百個國家	hai trăm quốc gia trên thế giới
prenis, forprenis	took, took away	잡았다(취했다, 택했다), 빼앗아 가버렸다	pris, emporté	取った(取った, 取った), 奪ってしまった	拿走，拿走	拿走，拿走	lấy đi, lấy đi
prenis sep el siaj naŭ libroj	took seven out of his own nine books	자신의 아홉권의 책에서 일곱을 집어들었다	a pris sept de ses neuf livres	自分の九冊の本の中から七冊を取り上げた	从他自己的九本书中拿走了七本	從他自己的九本書中拿走了七本	lấy bảy trong số chín cuốn sách của riêng mình
lasi, forlasita	to leave, abandoned	남겨두다, 버려진	partir, abandonné	残しておく、捨てられた	离开，被遗弃	離開，被遺棄	rời đi, bị bỏ rơi
lasu min sola kaj trankvila	leave me alone and calm	나를 혼자 조용히 내버려두세요.	laisse-moi tranquille et calme	私をひとりで静かにしておいてください。	让我一个人安静	讓我一個人安靜	để tôi yên và bình tĩnh
mil ok cent ok dek sep	thousand eight hundred and eighty seven (1887)	천 팔백 팔십 칠 (1887)	mille huit cent quatre vingt sept (1887)	千八百八十七 (1887)	一千八百八十七 (1887)	一千八百八十七(1887)	nghìn tám trăm tám mươi bảy (1887)
taso da teo	a cup of tea	한잔의 차	une tasse de thé	一杯のお茶	一杯茶	一杯茶	một tách trà
oni lavis ok tasojn	somebody washed eight cups	누군가가 8개의 컵을 씼었다	quelqu'un a lavé huit tasses	誰かが八つのカップを包んだ	有人洗了八个杯子	有人洗了八個杯子	ai đó đã rửa tám chiếc cốc
du mil dek naŭ	two thousand nineteen (2019)	이천 십구 (2019)	deux mille dix-neuf (2019)	二千九十九 (2019)	2019 (2019)	2019 (2019)	hai nghìn mười chín (2019)
li lavis sin	he washed himself	그는 자기자신을 씻었다	il s'est lavé	彼は自分自身を洗った	他自己洗了	他自己洗了	anh ấy đã tự tắm rửa
sia korpo, sia propra posedo	one's body, one's own possession	자신의 신체, 자기 자신의 소유	son corps, sa propre possession	自分の身体、自分の所有物	自己的身体，自己的财产	自己的身體，自己的財產	cơ thể của một người, sở hữu của riêng mình
sur la tablo, la kato dormis	on the table, the cat slept	테이블 위에서, 그 고양이는 잤다	sur la table, le chat dormait	テーブルの上で、その猫は寝た	桌子上，猫睡着了	桌子上，貓睡著了	trên bàn, con mèo đang ngủ
la kato saltis sur la tablon	the cat jumped onto the table	그 고양이는 그 테이블위로 뛰어들었다	le chat a sauté sur la table	その猫はそのテーブルの上に飛び乗った	猫跳到桌子上	貓跳到桌子上	con mèo nhảy lên bàn
en la halo, en la halon	in the hall, into the hall	그 홀 안에서, 그 홀 안으로	dans le hall, dans le hall	そのホールの中で、そのホールの中に	大厅里，大厅里	大廳裡，大廳裡	trong hội trường, trong hội trường
enfalis en lian manon	fell into his hand	그의 손 안으로 떨어졌다	est tombé entre ses mains	彼の手の中に落ちた	落到他手里	落到他手裡	rơi vào tay anh
labori, ellabori	to work, to elaborate	일하다, 공을 들여 일하다	travailler, élaborer	作業する、手間をかけて作業する	去工作，去详细说明	去工作，去詳細說明	làm việc, làm chi tiết
ellabori por tiu libro	to elaborate for that book	그 책에 정성을 들여 끝까지 만들다	élaborer pour ce livre	その本に心を込めて最後まで作る	详细说明那本书	詳細說明那本書	để giải thích cho cuốn sách đó
scias, scivolas, scivolo	knows, wants to know, curiosity	안다, 알고싶어 한다, 호기심	sait, veut savoir, curiosité	知る, 知りたがる, 好奇心が強い	知道、想知道、好奇	知道、想知道、好奇	biết, muốn biết, tò mò
dulingva, dulingveco	bilingual, bilingualism	2개언어의, 이중언어	bilingue, bilinguisme	2言語の, バイリンガル	双语的，双语的	雙語的，雙語的	song ngữ, song ngữ
scivolas pri trilingva lernanto	wonders about a trilingual learner	3개언어 학생에 대해서 궁금해 한다	s'interroge sur un apprenant trilingue	3ヶ国語の学生について気になる	对三语学习者感到好奇	對三語學習者感到好奇	điều kỳ diệu về một người học song ngữ
iris, reiris	went, returned	갔다, 되돌아 갔다	je suis parti, je suis revenu	行った, 戻った	去了，回来了	去了，回來了	đã đi, đã trở lại
la katoj reiris al siaj domoj	the cats returned to their (own) homes	그 고양이들은 자신들의 집으로 되돌아갔다	les chats sont rentrés chez eux	その猫たちは自分の家に戻っていった	猫们回到了自己的家	貓咪們回到了自己的家	những con mèo đã trở về nhà của chúng
en la sako, en la sakon	in the bag, into the bag	가방안에, 가방안으로	dans le sac, dans le sac	バッグの中、バッグの中へ	在袋子里，在袋子里	在袋子裡，在袋子裡	trong túi, trong túi
enmetu ĝin en vian sakon	put it into your bag	그것을 너의 가방 안에 넣어둬	mets-le dans ton sac	それを君のカバンの中に入れておけ	把它放进你的包里	把它放進你的包包裡	bỏ nó vào túi của bạn
piedo, piediras, piediranto	a foot, walks, a pedestrian	발, 걸어간다, 보행자	un pied, des promenades, un piéton	足、歩く、歩行者	一只脚，步行，行人	一隻腳，步行，行人	một bàn chân, bước đi, người đi bộ
dek-tage ili piediris	for ten days, they walked	10일간 그들은 걸었다	pendant dix jours, ils ont marché	10日間彼らは歩いた	他们走了十天	他們走了十天	trong mười ngày, họ đi bộ
preni, elpreni	to take, to take out	취하다, ~로 부터 선택하여 취하다	prendre, retirer	酔う, ~から選んで酔う	拿走，取出	拿走，取出	lấy, lấy ra
belaj floroj, prenis belajn florojn	beautiful flowers, took beautiful flowers	아름다운 꽃들, 아름다운 꽃들을 취했다	belles fleurs, j'ai pris de belles fleurs	美しい花々、美しい花々を取った	美丽的花，美丽的花	美麗的花，美麗的花	hoa đẹp, chụp hoa đẹp
li elprenis nur belajn florojn	he took out only beautiful flowers	그는 아름다운 꽃들만 취했다 골라택했다	il n'a sorti que de belles fleurs	彼は美しい花だけを選んだ、選んだ、選んだ	他只拿出美丽的花	他只拿出美麗的花	anh ấy chỉ lấy ra những bông hoa đẹp
malfermis, sed tuj fermis	opened, but immediately closed	열었다, 하지만 곧바로 닫았다	ouvert, mais immédiatement fermé	開いた, しかしすぐに閉じた	打开，但立即关闭	打開，但立即關閉	đã mở nhưng đóng ngay lập tức
malfermis internacian kunvenon	opened an international meeting	국제 대회를 개막했다	a ouvert une réunion internationale	国際大会を開幕した	召开国际会议	召開國際會議	khai mạc hội nghị quốc tế
eldonis kaj disdonis	published and distributed	출판했고 배포했다	publié et distribué	出版し、配布した	出版和发行	出版發行	được xuất bản và phân phối
la eldonisto eldonis dudek tri librojn	the publisher published twenty-three books	그 출판업자는 23권의 책을 출간했다	l'éditeur a publié vingt-trois livres	その出版業者は23冊の本を出版した	出版商出版了二十三本书	出版商出版了二十三本書	nhà xuất bản đã xuất bản hai mươi ba cuốn sách
revenis kaj revidis sian filon	returned and saw one's own son again	되돌아 와서 자신의 아들을 다시 봤다	je suis revenu et j'ai revu son propre fils	彼は戻ってきて、自分の息子に再会した	回来又见到了自己的儿子	回來又見到了自己的兒子	trở về và gặp lại con trai mình
en la jaro dumil dudek tri	in the year two thousand and twenty three (2023)	2023년에	en l'an deux mille vingt-trois (2023)	2023年に	2023年（2023年）	2023年（2023年）	vào năm hai nghìn hai mươi ba (2023)
sinjoro eniris la vendejon	a gentleman entered (into) the store	신사는 상점안으로 들어갔다	un monsieur est entré (dans) le magasin	紳士は店の中に入った	一位绅士进入了商店	一位紳士進入了商店	một quý ông bước vào (vào) cửa hàng
la vendejo de aŭtoj	the store of cars	그 자동차들의 상점	le magasin de voitures	その車たちの店	汽车商店	汽車商店	cửa hàng ô tô
tie li vidas sinjorinon	there he sees a lady	거기서 그는 숙녀를 보았다	là, il voit une dame	そこで彼は女性を見た	他在那里看到一位女士	他在那裡看到一位女士	ở đó anh ấy nhìn thấy một người phụ nữ
karaj gesinjoroj	dear ladies and gentlemen	친애하는 신사숙녀 여러분	chers mesdames et messieurs	親愛なる紳士淑女の皆さん	亲爱的女士们，先生们	親愛的女士們，先生們	kính thưa các quý ông và quý bà
tio plaĉis al mi	that pleased me (I like that)	그것은 나의 맘에 들었다	ça m'a plu (j'aime ça)	それは私の好みだった	这让我很高兴（我喜欢）	這讓我很高興（我喜歡）	điều đó làm tôi hài lòng (tôi thích điều đó)
la sinjorino plaĉis al li	the lady pleased him (he liked the lady)	그 숙녀는 그의 맘에 들었다	la dame lui plaisait (il aimait la dame)	その女性は彼の気に入った	这位女士令他高兴（他喜欢这位女士）	這位女士令他高興（他喜歡這位女士）	người phụ nữ làm anh ấy hài lòng (anh ấy thích người phụ nữ đó)
vidis la belan sinjorinon	saw the beautiful lady	그 아름다운 숙녀를 봤다	j'ai vu la belle dame	彼はその美しい女性を見た	看到了那位美丽的女士	看到了那位美麗的女士	nhìn thấy người phụ nữ xinh đẹp
kiu plaĉis al li?	who pleased him? (whom did he like?)	누가 그의 맘에 들었는가? (그는 누구를 좋아했는가?)	qui lui a plu ? (qui aimait-il ?)	誰が彼の好きだったのか（彼は誰のことが好きだったのか？）	谁让他高兴了？ （他喜欢谁？）	誰讓他高興了？ （他喜歡誰？）	ai đã làm hài lòng anh ấy? (anh ấy đã thích ai?)
la virino, kiu plaĉis al mi	the woman, who pleased me	그 여인, 나의 맘에 든	la femme qui m'a plu	その女性、私の気に入った	那个让我高兴的女人	那個讓我高興的女人	người phụ nữ làm tôi hài lòng
tiu, kiu eniris la domon	the one who entered the house	그사람, 그 집으로 들어간	celui qui est entré dans la maison	その人、その家に入った	进屋的人	進屋的人	người đã vào nhà
la viro, kiu donacis ĝin	the man who donated it	그 남자, 그것을 선물로 준	l'homme qui l'a donné	その男、それをプレゼントした	捐赠者	捐贈者	người đàn ông đã tặng nó
li donacis ringon al lia edzino	he gave a ring to his wife	그는 그의 아내에게 반지를 선물했다	il a donné une bague à sa femme	彼は妻に指輪をプレゼントした	他给了他妻子一枚戒指	他給了他妻子一枚戒指	anh ấy đã tặng nhẫn cho vợ mình
la ringo plaĉis al ŝi	she liked the ring	그 반지가 그녀 맘에 들었다	elle a aimé la bague	その指輪が彼女の気に入った	她喜欢这枚戒指	她喜歡這枚戒指	cô ấy thích chiếc nhẫn
la edzino, al kiu la ringo plaĉis	the wife who liked the ring	그 아내, 그 반지가 맘에 들었던	la femme qui aimait la bague	その妻、その指輪が気に入っていた	喜欢这枚戒指的妻子	喜歡這枚戒指的妻子	người vợ thích chiếc nhẫn
vendisto laboras en la vendejo	a salesman works in the store	판매원은 그 상점에서 일한다	un vendeur travaille dans le magasin	セールスマンはその店で働いている	一名推销员在商店工作	一名推銷員在商店工作	một nhân viên bán hàng làm việc trong cửa hàng
vendisto de aŭtoj	a salesman of cars	자동차들의 판매자	un vendeur de voitures	車の売り手	汽车推销员	汽車推銷員	một nhân viên bán xe ô tô
la sinjoro demandis al la vendisto	the gentleman asked the salesman	그 신사는 그 판매자에게 질문했다	le monsieur a demandé au vendeur	その紳士はその販売員に質問した	这位先生问推销员	這位先生問推銷員	người đàn ông hỏi người bán hàng
kiu aŭto plaĉas al vi?	which car do you like?	어느 차가 당신 맘에 드나요?	quelle voiture aimes-tu ?	どの車があなたの好みですか？	你喜欢哪辆车？	你喜歡哪輛車？	bạn thích chiếc xe nào?
kiun aŭton vi elektos?	which car will you choose?	어느 차를 당신은 선택할 것인가요?	quelle voiture choisirez-vous ?	どの車をあなたは選びますか？	你会选择哪辆车？	你會選擇哪一輛車？	bạn sẽ chọn chiếc xe nào?
mi elektis tiun aŭton	I chose that car	나는 저 차를 선택했다	J'ai choisi cette voiture	私はあの車を選びました	我选择了那辆车	我選擇了那輛車	Tôi đã chọn chiếc xe đó
ĝi estas pli bona	it is better	그것이 더 좋다	il est préférable	その方が良い	这个比较好	這個比較好	tốt hơn là
pli bona ol ĉi tio	better than this	이것 보다 더 좋은	meilleur que ça	これより良い	比这个更好	比這個更好	tốt hơn thế này
plej bona el ili	best of them	그것들 중에서 가장 좋은	le meilleur d'entre eux	それらの中で一番良い	其中最好的	其中最好的	tốt nhất trong số họ
estas la plej bona	is the best	가장 좋다	est le meilleur	一番良い	是最好的	是最好的	là tốt nhất
kiu aŭto estas la plej bona?	which car is the best?	어느 자동차가 가장 좋은 것인가?	quelle voiture est la meilleure ?	どの車が一番いいのか？	哪辆车最好？	哪輛車最好？	xe nào tốt nhất?
tiu ĉi aŭto estas pli bona	this car is better	이 자동차가 더 좋다	cette voiture est meilleure	この車の方が良い	这辆车更好	這輛車更好	chiếc xe này tốt hơn
tiu ĉi estas la plej bona	this one is the best	이것이 가장 좋다	Celui-ci est le meilleur	これが一番良い	这是最好的	這是最好的	cái này là tốt nhất
vidis ĉiujn aŭtojn	saw all the cars	모든 자동차를 봤다	j'ai vu toutes les voitures	すべての車を見た	看到了所有的车	看到了所有的車	đã nhìn thấy tất cả những chiếc xe
la plej bona el ĉiuj	the best of all	모든 것들 중에서 가장 좋은	le meilleur de tous	すべてのものの中で一番良い	最好的	最好的	tốt nhất trong tất cả
ĉu ĝi estas rapida?	is it fast?	그것은 빠른가?	est-ce rapide ?	それは速いか？	快吗？	快嗎？	nó có nhanh không?
pli rapida ol aliaj	faster than others	다른 것들보다 더 빠른	plus vite que les autres	他のものより速い	比别人快	比別人快	nhanh hơn những người khác
estas ankaŭ forta	is also strong	또한 강력하다	est aussi fort	また、強力です	也很强	也很強	cũng mạnh mẽ
ho jes, kompreneble!	oh yes, of course!	오, 예. 물론이죠!	Oh oui bien sûr!	はい、もちろんです	哦，是的，当然！	哦，是的，當然！	ồ vâng tất nhiên rồi!
estas tre forta	is very strong	매우 강력하다	est très fort	とても強力だ	非常强	非常強	rất mạnh
certe ĝi estas forta	certainly it is strong	확실히 그것은 강력하다	c'est sûr que c'est fort	確かにそれは強力です	当然它很强大	當然它很強大	chắc chắn là nó mạnh
estas ankaŭ multekosta	is also expensive	또한 비싸다	c'est aussi cher	また、高価です	也很贵	也很貴	cũng đắt
la plej multekosta el ĉiuj	the most expensive of all	모든 것들 중에서 가장 비싼 것	le plus cher de tous	すべてのものの中で最も高価なもの	最贵的	最貴的	đắt nhất trong tất cả
malmultekosta sed forta	cheap but strong	싸지만 강한	pas cher mais solide	安いが強い	便宜但坚固	便宜但堅固	rẻ nhưng mạnh mẽ
