eo	en-us	ko-kr	fr	ja-jp	zh-cn	zh-tw	vi-vn	mn	th	ms	id	hi	fa	ne	ur	tr	he	ar	de	es	it	pt	ru	pl	km	my	bn	ta	pa	mr	te	uk	sv	sw
volas trinki akvon	wants to drink water	물 마시기를 원한다	veut boire de l'eau	水を飲みたい	想喝水	想喝水	muốn uống nước	ус уухыг хүсдэг	อยากดื่มน้ำ	nak minum air	ingin minum air	पानी पीना चाहता है	می خواهد آب بخورد	पानी पिउन चाहन्छ	پانی پینا چاہتا ہے؟	su içmek istiyor	רוצה לשתות מים	يريد أن يشرب الماء	möchte Wasser trinken	quiere beber agua	vuole bere acqua	quer beber água	хочет пить воду	chce się napić wody	ចង់ផឹកទឹក។	ရေသောက်ချင်တယ်။	পানি খেতে চায়	தண்ணீர் குடிக்க வேண்டும்	ਪਾਣੀ ਪੀਣਾ ਚਾਹੁੰਦਾ ਹੈ	पाणी प्यायचे आहे	నీళ్లు తాగాలనిపిస్తుంది	хоче пити воду	vill dricka vatten	anataka kunywa maji
patro kaj patrino, gepatroj	a father and a mother; parents	아버지, 어머니; 부모님들	un père et une mère ; parents	父、母;両親	父亲和母亲；父母	父親和母親；父母	một người cha và một người mẹ; cha mẹ	аав, ээж; эцэг эх	พ่อและแม่; ผู้ปกครอง	seorang ayah dan seorang ibu; ibu bapa	seorang ayah dan seorang ibu; orang tua	एक पिता और एक माँ; अभिभावक	یک پدر و یک مادر؛ والدین	एक बुबा र आमा; आमाबाबु	ایک باپ اور ایک ماں؛ والدین	bir baba ve bir anne; ebeveynler	אבא ואמא; הורים	الأب والأم. آباء	ein Vater und eine Mutter; Eltern	un padre y una madre; padres	un padre e una madre; genitori	um pai e uma mãe; pais	отец и мать; родители	ojciec i matka; rodzice	ឪពុកនិងម្តាយមួយ; ឪពុកម្តាយ	အဖေနှင့်အမေ၊ မိဘများ	একজন বাবা এবং একজন মা; পিতামাতা	ஒரு தந்தை மற்றும் ஒரு தாய்; பெற்றோர்கள்	ਇੱਕ ਪਿਤਾ ਅਤੇ ਇੱਕ ਮਾਤਾ; ਮਾਪੇ	वडील आणि आई; पालक	ఒక తండ్రి మరియు ఒక తల్లి; తల్లిదండ్రులు	батько і мати; батьки	en far och en mor; föräldrar	baba na mama; wazazi
frato kaj fratino, gefratoj	a bother and a sister, siblings	형제와 자매, 형제자매	un frère et une sœur, frères et sœurs	兄弟と姉妹、兄弟姉妹	一个麻烦和一个姐妹，兄弟姐妹	一個麻煩和一個姊妹，兄弟姊妹	một người phiền toái và một người chị, anh chị em	зовоосон эгч, дүү нар	ความรำคาญและน้องสาวพี่น้อง	seorang yang menyusahkan dan seorang kakak, adik beradik	seorang pengganggu dan saudara perempuan, saudara kandung	एक परेशान और एक बहन, भाई-बहन	یک مزاحم و یک خواهر، خواهر و برادر	एक कष्ट र बहिनी, दाजुभाइ	ایک پریشانی اور ایک بہن، بہن بھائی	bir dert ve bir kız kardeş, kardeşler	מטרידה ואחות, אחים	عناء وأخت، إخوة	eine Schwester und eine Schwester, Geschwister	una molestia y una hermana, hermanos	un fastidio e una sorella, fratelli	um incômodo e uma irmã, irmãos	брат и сестра, братья и сестры	kłopot i siostra, rodzeństwo	រំខាន និងបងស្រី បងប្អូន	နှမ နှမ၊	একটি বিরক্ত এবং একটি বোন, ভাইবোন	ஒரு தொந்தரவு மற்றும் ஒரு சகோதரி, உடன்பிறப்புகள்	ਇੱਕ ਪਰੇਸ਼ਾਨੀ ਅਤੇ ਇੱਕ ਭੈਣ, ਭੈਣ-ਭਰਾ	एक त्रास आणि एक बहीण, भावंडे	ఒక ఇబ్బంది మరియు ఒక సోదరి, తోబుట్టువులు	клопіт і сестра, брати і сестри	en besvär och en syster, syskon	kusumbua na dada, ndugu
viaj gepatroj kaj gefratoj	your parents and siblings	당신의 부모님들과 형제자매들	tes parents et tes frères et sœurs	あなたの両親と兄弟姉妹	你的父母和兄弟姐妹	你的父母和兄弟姊妹	bố mẹ và anh chị em của bạn	эцэг эх, ах дүү нар чинь	พ่อแม่และพี่น้องของคุณ	ibu bapa dan adik-beradik anda	orang tua dan saudara kandungmu	आपके माता-पिता और भाई-बहन	پدر و مادر و خواهر و برادر شما	आफ्नो आमाबुबा र भाइबहिनीहरू	آپ کے والدین اور بہن بھائی	ebeveynleriniz ve kardeşleriniz	ההורים והאחים שלך	والديك وإخوتك	deine Eltern und Geschwister	tus padres y hermanos	i tuoi genitori e i tuoi fratelli	seus pais e irmãos	твои родители и братья и сестры	twoi rodzice i rodzeństwo	ឪពុកម្តាយ និងបងប្អូនរបស់អ្នក។	မင်းရဲ့မိဘတွေနဲ့ မောင်နှမတွေ	আপনার বাবা-মা এবং ভাইবোনরা	உங்கள் பெற்றோர் மற்றும் உடன்பிறந்தவர்கள்	ਤੁਹਾਡੇ ਮਾਤਾ-ਪਿਤਾ ਅਤੇ ਭੈਣ-ਭਰਾ	तुमचे पालक आणि भावंड	మీ తల్లిదండ్రులు మరియు తోబుట్టువులు	ваших батьків і братів і сестер	dina föräldrar och syskon	wazazi na ndugu zako
estas en via hejmo	is in your home	당신의 집에 있다	est chez toi	あなたの家にいる	在你家里	在你家裡	đang ở trong nhà bạn	таны гэрт байна	อยู่ในบ้านของคุณ	berada di rumah anda	ada di rumahmu	आपके घर में है	در خانه شما است	तपाईको घरमा छ	آپ کے گھر میں ہے	senin evinde	נמצא בבית שלך	هو في منزلك	ist bei Ihnen zu Hause	esta en tu casa	è a casa tua	está em sua casa	у тебя дома	jest w twoim domu	គឺនៅក្នុងផ្ទះរបស់អ្នក។	မင်းအိမ်မှာရှိတယ်။	আপনার বাড়িতে আছে	உங்கள் வீட்டில் உள்ளது	ਤੁਹਾਡੇ ਘਰ ਵਿੱਚ ਹੈ	तुमच्या घरात आहे	మీ ఇంట్లో ఉంది	знаходиться у вашому домі	är i ditt hem	iko nyumbani kwako
jen la kafo	here is the coffee	여기 커피 있어요	voici le café	ここにコーヒーがあります。	这是咖啡	這是咖啡	đây là cà phê	энд кофе байна	นี่คือกาแฟ	inilah kopinya	ini kopinya	यहाँ कॉफ़ी है	اینجا قهوه است	यहाँ कफी छ	یہاں کافی ہے	işte kahve	הנה הקפה	هنا القهوة	Hier ist der Kaffee	aqui esta el cafe	ecco il caffè	aqui está o café	вот кофе	oto kawa	នៅទីនេះគឺកាហ្វេ	ဒီမှာ ကော်ဖီ	এখানে কফি	இதோ காபி	ਇੱਥੇ ਕੌਫੀ ਹੈ	इथे कॉफी आहे	ఇదిగో కాఫీ	ось кава	här är kaffet	hapa ni kahawa
ankoraŭ ne trinkis	didn't drink yet	아직 마시지 않았다	je n'ai pas encore bu	まだ飲んでいない	还没喝	還沒喝	vẫn chưa uống	хараахан уугаагүй байна	ยังไม่ได้ดื่ม	belum minum lagi	belum minum	अभी तक नहीं पीया	هنوز مشروب نخورد	अझै पिउनुभएको छैन	ابھی تک نہیں پیا؟	henüz içmedim	עדיין לא שתה	لم يشرب بعد	noch nicht getrunken	no bebí todavía	non ho ancora bevuto	ainda não bebi	еще не пил	jeszcze nie piłem	មិនទាន់បានផឹកទេ។	မသောက်ရသေးဘူး။	এখনো পান করেননি	இன்னும் குடிக்கவில்லை	ਅਜੇ ਤੱਕ ਨਹੀਂ ਪੀਤਾ	अजून प्यायले नाही	ఇంకా తాగలేదు	ще не пив	har inte druckit ännu	bado hakunywa
estas ankoraŭ varma	is still warm	여전히 덥다	il fait encore chaud	まだ暑い	仍然温暖	仍然溫暖	vẫn còn ấm	дулаахан хэвээр байна	ยังอบอุ่นอยู่	masih hangat	masih hangat	अभी भी गर्म है	هنوز گرم است	अझै तातो छ	اب بھی گرم ہے	hala sıcak	עדיין חם	لا يزال دافئا	ist noch warm	todavía está caliente	è ancora caldo	ainda está quente	все еще тепло	jest jeszcze ciepły	នៅតែក្តៅ	နွေးနေတုန်းပဲ။	এখনও উষ্ণ	இன்னும் சூடாக இருக்கிறது	ਅਜੇ ਵੀ ਗਰਮ ਹੈ	अजूनही उबदार आहे	ఇంకా వెచ్చగా ఉంది	ще теплий	är fortfarande varmt	bado ni joto
hieraŭ kuiris ĝin	cooked it yesterday	어제 그것을 요리했다	je l'ai cuisiné hier	昨日それを調理した	昨天煮的	昨天煮的	đã nấu nó ngày hôm qua	өчигдөр болгосон	ปรุงมันเมื่อวานนี้	dah masak semalam	memasaknya kemarin	कल इसे पकाया	دیروز پختش	हिजो पकाएको	کل اسے پکایا	dün pişirdim	בישל את זה אתמול	طهيها أمس	habe es gestern gekocht	lo cociné ayer	cucinato ieri	cozinhei ontem	приготовила это вчера	ugotowane wczoraj	ចម្អិនវាកាលពីម្សិលមិញ	မနေ့က ချက်ထားတာ	গতকাল রান্না করেছি	நேற்று சமைத்தேன்	ਕੱਲ ਇਸਨੂੰ ਪਕਾਇਆ	काल शिजवले	నిన్న వండింది	вчора готувала	lagade den igår	alipika jana
mi nun kuiris	I now cooked	내가 지금 요리했다	J'ai maintenant cuisiné	私は今調理しました	我现在煮了	我現在煮了	bây giờ tôi đã nấu ăn	Би одоо хоол хийсэн	ตอนนี้ฉันปรุงสุกแล้ว	Saya sekarang memasak	Saya sekarang memasak	मैंने अब खाना बनाया	الان پختم	अहिले पकाएको छु	اب میں نے پکایا ہے۔	şimdi pişirdim	עכשיו בישלתי	لقد طهيت الآن	Ich habe jetzt gekocht	ahora cocino	Adesso ho cucinato	agora eu cozinhei	я сейчас приготовила	Teraz gotowałem	ឥឡូវនេះខ្ញុំចម្អិន	ငါအခုချက်ပြီးသား	আমি এখন রান্না করেছি	இப்போது சமைத்தேன்	ਮੈਂ ਹੁਣ ਪਕਾਇਆ	मी आता स्वयंपाक केला	ఇప్పుడు వండుకున్నాను	Я зараз приготувала	Nu har jag lagat mat	Sasa nilipika
dankon. tiel li diris	thank you. so he said.	감사합니다. 그렇게 그는 말했다	merci. alors il a dit.	ありがとうございます。だから彼は言った	谢谢。他说。	謝謝。他說。	Cảm ơn. vì vậy anh ấy nói.	баярлалаа. гэж тэр хэлэв.	ขอบคุณ. ดังนั้นเขาจึงพูด	terima kasih. jadi katanya.	Terima kasih. begitu katanya.	धन्यवाद। तो उसने कहा.	متشکرم. بنابراین او گفت.	धन्यवाद। त्यसैले उहाँले भन्नुभयो।	شکریہ تو اس نے کہا.	Teşekkürler. öyle dedi.	תודה. אז הוא אמר.	شكرًا لك. هكذا قال.	Danke. so sagte er.	gracias. Asi que el dijo.	Grazie. così ha detto.	obrigado. então ele disse.	Спасибо. так он сказал.	Dziękuję. więc powiedział.	សូមអរគុណ។ ដូច្នេះគាត់បាននិយាយ។	ကျေးဇူးတင်ပါသည်။ ဒါကြောင့်သူကပြောပါတယ်။	ধন্যবাদ. তাই তিনি বলেন.	நன்றி. அதனால் அவர் கூறினார்.	ਤੁਹਾਡਾ ਧੰਨਵਾਦ. ਇਸ ਲਈ ਉਸ ਨੇ ਕਿਹਾ.	धन्यवाद. म्हणून तो म्हणाला.	ధన్యవాదాలు. కాబట్టి అతను చెప్పాడు.	Дякую тобі. так він сказав.	tack. så sa han.	Asante. hivyo alisema.
povas trinki kaj manĝi	can drink and eat	마실 수 있고 먹을 수 있다	peut boire et manger	飲んで食べることができる	能喝能吃	能喝能吃	có thể uống và ăn	ууж идэж болно	สามารถดื่มและกินได้	boleh minum dan makan	bisa minum dan makan	पी सकते हैं और खा सकते हैं	می تواند بنوشد و بخورد	पिउन र खान सक्छ	پی سکتے ہیں اور کھا سکتے ہیں۔	içebilir ve yiyebilir	יכול לשתות ולאכול	يمكن أن تشرب وتأكل	kann trinken und essen	puede beber y comer	può bere e mangiare	pode beber e comer	можно пить и есть	można pić i jeść	អាចផឹកនិងញ៉ាំ	စားသောက်နိုင်သည်။	পান এবং খেতে পারেন	குடிக்கவும் சாப்பிடவும் முடியும்	ਪੀ ਅਤੇ ਖਾ ਸਕਦਾ ਹੈ	पिऊ आणि खाऊ शकतो	త్రాగవచ్చు మరియు తినవచ్చు	можна пити і їсти	kan dricka och äta	anaweza kunywa na kula
trinkis malvarman kafon	drank cold coffee	차가운 커피를 마셨다	bu du café froid	冷たいコーヒーを飲んだ	喝了冷咖啡	喝了冷咖啡	uống cà phê lạnh	хүйтэн кофе уусан	ดื่มกาแฟเย็น	minum kopi sejuk	minum kopi dingin	कोल्ड कॉफ़ी पी ली	قهوه سرد نوشید	चिसो कफी पिए	کولڈ کافی پیی	soğuk kahve içtim	שתה קפה קר	شربت القهوة الباردة	trank kalten Kaffee	bebí café frío	bevuto caffè freddo	tomei café frio	выпил холодный кофе	pił zimną kawę	ផឹកកាហ្វេត្រជាក់	ကော်ဖီအေးသောက်တယ်။	ঠান্ডা কফি পান	குளிர்ந்த காபி குடித்தார்	ਠੰਡੀ ਕੌਫੀ ਪੀਤੀ	कोल्ड कॉफी प्यायली	కోల్డ్ కాఫీ తాగాడు	пив холодну каву	drack kallt kaffe	alikunywa kahawa baridi
ankaŭ varma kafo	still warm coffee	뜨거운 커피도	café encore chaud	ホットコーヒーも	仍然温热的咖啡	仍然溫熱的咖啡	cà phê vẫn còn ấm	халуун кофе хэвээр байна	กาแฟอุ่นๆยังอยู่	kopi masih hangat	kopi yang masih hangat	अभी भी गर्म कॉफ़ी	قهوه هنوز گرم	अझै तातो कफी	اب بھی گرم کافی	hala sıcak kahve	עדיין קפה חם	لا تزال القهوة دافئة	noch warmer Kaffee	café todavía caliente	caffè ancora caldo	café ainda quente	еще теплый кофе	jeszcze ciepłą kawę	កាហ្វេក្តៅ	ကော်ဖီပူတုန်း	এখনও উষ্ণ কফি	இன்னும் சூடான காபி	ਅਜੇ ਵੀ ਗਰਮ ਕੌਫੀ	अजूनही उबदार कॉफी	ఇప్పటికీ వెచ్చని కాఫీ	ще тепла кава	fortfarande varmt kaffe	kahawa bado ya joto
trinkas ankaŭ malvarman kafon	drinks cold coffee too	차가운 커피도 마신다	il boit aussi du café froid	冷たいコーヒーも飲む	也喝冷咖啡	也喝冷咖啡	cũng uống cà phê lạnh	бас хүйтэн кофе уудаг	ดื่มกาแฟเย็นด้วย	minum kopi sejuk juga	minum kopi dingin juga	कोल्ड कॉफ़ी भी पीते हैं	قهوه سرد هم می نوشد	चिसो कफी पनि पिउने	کولڈ کافی بھی پیتے ہیں	soğuk kahve de içer	שותה גם קפה קר	يشرب القهوة الباردة أيضا	trinkt auch kalten Kaffee	bebe café frío también	beve anche caffè freddo	bebe café frio também	тоже пьет холодный кофе	pije też zimną kawę	ផឹកកាហ្វេត្រជាក់ផងដែរ។	ကော်ဖီအေးလည်း သောက်တယ်။	কোল্ড কফিও খায়	குளிர் காபியும் அருந்துகிறார்	ਕੋਲਡ ਕੌਫੀ ਵੀ ਪੀਂਦਾ ਹੈ	कोल्ड कॉफी पण पितात	కోల్డ్ కాఫీ కూడా తాగుతుంది	теж п'є холодну каву	dricker kallt kaffe också	hunywa kahawa baridi pia
povas trinki ankaŭ malvarman kafon	can also drink cold coffee	차가운 커피도 마실 수 있다	peut aussi boire du café froid	冷たいコーヒーも飲める	还可以喝冷咖啡	還可以喝冷咖啡	cũng có thể uống cà phê lạnh	Мөн хүйтэн кофе ууж болно	สามารถดื่มกาแฟเย็นได้	boleh juga minum kopi sejuk	bisa juga minum kopi dingin	कोल्ड कॉफी भी पी सकते हैं	همچنین می توانید قهوه سرد بنوشید	चिसो कफी पनि पिउन सकिन्छ	کولڈ کافی بھی پی سکتے ہیں۔	soğuk kahve de içebilir	יכול גם לשתות קפה קר	ويمكن أيضًا شرب القهوة الباردة	kann auch kalten Kaffee trinken	También puedo tomar café frío.	può anche bere caffè freddo	também pode beber café frio	можно также пить холодный кофе	można też pić zimną kawę	ក៏អាចផឹកកាហ្វេត្រជាក់បានដែរ។	ကော်ဖီအေးလည်း သောက်နိုင်ပါတယ်။	কোল্ড কফিও পান করতে পারেন	குளிர் காபி கூட குடிக்கலாம்	ਕੋਲਡ ਕੌਫੀ ਵੀ ਪੀ ਸਕਦੇ ਹੋ	कोल्ड कॉफी देखील पिऊ शकता	కోల్డ్ కాఫీ కూడా తాగవచ్చు	також можна пити холодну каву	kan även dricka kallt kaffe	unaweza pia kunywa kahawa baridi
rigardas ŝian okulon	looks at her eye	그녀의 눈을 바라본다	regarde ses yeux	彼女の目を見る	看着她的眼睛	看著她的眼睛	nhìn vào mắt cô ấy	түүний нүд рүү хардаг	มองตาเธอ	memandang matanya	menatap matanya	उसकी आंख को देखता है	به چشم او نگاه می کند	उसको आँखामा हेर्छ	اس کی آنکھ کو دیکھتا ہے	onun gözüne bakar	מביטה בעין שלה	ينظر إلى عينها	schaut ihr ins Auge	mira su ojo	la guarda negli occhi	olha nos olhos dela	смотрит ей в глаза	patrzy jej w oczy	មើលភ្នែករបស់នាង	သူမ၏မျက်လုံးကိုကြည့်	তার চোখের দিকে তাকায়	அவள் கண்ணைப் பார்க்கிறான்	ਉਸਦੀ ਅੱਖ ਵੱਲ ਵੇਖਦਾ ਹੈ	तिच्या डोळ्याकडे पाहतो	ఆమె కన్ను వైపు చూస్తుంది	дивиться їй в очі	ser på hennes öga	anaangalia jicho lake
la plej bela okulo	the most beautiful eye	가장 아름다운 눈	le plus bel œil	最も美しい目	最美丽的眼睛	最美麗的眼睛	con mắt đẹp nhất	хамгийн үзэсгэлэнтэй нүд	ดวงตาที่สวยที่สุด	mata yang paling indah	mata yang paling indah	सबसे खूबसूरत आंख	زیباترین چشم	सबैभन्दा सुन्दर आँखा	سب سے خوبصورت آنکھ	en güzel göz	העין הכי יפה	اجمل عيون	das schönste Auge	el ojo mas hermoso	l'occhio più bello	o olho mais lindo	самые красивые глаза	najpiękniejsze oko	ភ្នែកដ៏ស្រស់ស្អាតបំផុត។	အလှဆုံးမျက်လုံး	সবচেয়ে সুন্দর চোখ	மிக அழகான கண்	ਸਭ ਸੁੰਦਰ ਅੱਖ	सर्वात सुंदर डोळा	అత్యంత అందమైన కన్ను	найкрасивіше око	det vackraste ögat	jicho zuri zaidi
la belaj okuloj	the beautiful eyes	그 아름다운 눈들	les beaux yeux	その美しい目	美丽的眼睛	美麗的眼睛	đôi mắt đẹp	сайхан нүд	ดวงตาที่สวยงาม	mata yang cantik	mata yang indah	सुन्दर आँखें	چشم های زیبا	सुन्दर आँखाहरु	خوبصورت آنکھیں	güzel gözler	העיניים היפות	العيون الجميلة	die schönen Augen	los hermosos ojos	gli occhi belli	os lindos olhos	красивые глаза	piękne oczy	ភ្នែកដ៏ស្រស់ស្អាត	လှပသောမျက်လုံးများ	সুন্দর চোখ	அழகான கண்கள்	ਸੁੰਦਰ ਅੱਖਾਂ	सुंदर डोळे	అందమైన కళ్ళు	красиві очі	de vackra ögonen	macho mazuri
rigardis la belajn okulojn	looked the beautiful eyes	그 아름다운 눈들을 바라보았다	j'ai regardé ces beaux yeux	その美しい目を眺めた	看着美丽的眼睛	看著美麗的眼睛	nhìn đôi mắt đẹp	сайхан нүд рүү харав	มองดวงตาที่สวยงาม	memandang mata yang cantik	menatap mata indah itu	सुन्दर आँखें देखीं	به چشمان زیبا نگاه کرد	सुन्दर आँखा देखे	خوبصورت آنکھوں کو دیکھا	güzel gözlere baktım	הסתכלו בעיניים היפות	بدت العيون الجميلة	sah die schönen Augen	miraron los hermosos ojos	guardò gli occhi belli	olhou os lindos olhos	посмотрел красивые глаза	spojrzał pięknymi oczami	បានមើលភ្នែកដ៏ស្រស់ស្អាត	လှပသော မျက်လုံးများကို ကြည့်လိုက်သည်။	সুন্দর চোখ দেখলাম	அழகான கண்கள் பார்த்தன	ਸੁੰਦਰ ਅੱਖਾਂ ਨੂੰ ਦੇਖਿਆ	सुंदर डोळे दिसले	అందమైన కళ్ళు చూశారు	подивилася красивими очима	såg de vackra ögonen	inaonekana macho mazuri
la belaj okuloj de ŝi	the beautiful eyes of her	그녀의 아름다운 눈들	ses beaux yeux	彼女の美しい目	她美丽的眼睛	她美麗的眼睛	đôi mắt đẹp của cô ấy	түүний сайхан нүд	ดวงตาที่สวยงามของเธอ	cantiknya mata dia	mata indahnya	उसकी खूबसूरत आंखें	چشمان زیبای او	उनको सुन्दर आँखा	اس کی خوبصورت آنکھیں	onun güzel gözleri	העיניים היפות שלה	عيونها الجميلة	die schönen Augen von ihr	los hermosos ojos de ella	i suoi bellissimi occhi	os lindos olhos dela	ее красивые глаза	jej piękne oczy	ភ្នែកដ៏ស្រស់ស្អាតរបស់នាង	သူမ၏လှပသောမျက်လုံးများ	তার সুন্দর চোখ	அவளுடைய அழகான கண்கள்	ਉਸ ਦੀਆਂ ਸੁੰਦਰ ਅੱਖਾਂ	तिचे सुंदर डोळे	ఆమె యొక్క అందమైన కళ్ళు	її гарні очі	hennes vackra ögon	macho yake mazuri
vidas kaj komprenas	sees and understands	~를 본다, 그리고 이해한다.	voit et comprend	〜を見る、そして理解する。	看到并理解	看到並理解	nhìn thấy và hiểu	харж, ойлгодог	มองเห็นและเข้าใจ	melihat dan memahami	melihat dan memahami	देखता और समझता है	می بیند و می فهمد	देख्छ र बुझ्छ	دیکھتا اور سمجھتا ہے۔	görüyor ve anlıyor	רואה ומבין	يرى ويفهم	sieht und versteht	ve y entiende	vede e capisce	vê e entende	видит и понимает	widzi i rozumie	ឃើញ និងយល់	မြင်ပြီး နားလည်သည်။	দেখে এবং বোঝে	பார்த்து புரிந்து கொள்கிறது	ਦੇਖਦਾ ਅਤੇ ਸਮਝਦਾ ਹੈ	पाहतो आणि समजतो	చూస్తాడు మరియు అర్థం చేసుకుంటాడు	бачить і розуміє	ser och förstår	anaona na kuelewa
mi vidas, ke ~	I see that ~	나는 ~라는 것을 본다	Je vois ça ~	私は〜ということを見る	我看到了~	我看到了~	Tôi thấy điều đó ~	Би үүнийг харж байна ~	ฉันเห็นแล้ว~	Saya nampak itu ~	Saya melihatnya ~	मैं उसे देखता हूं ~	من میبینم که ~	म त्यो देख्छु ~	میں دیکھ رہا ہوں کہ ~	Bunu görüyorum ~	אני רואה את זה ~	أرى أن ~	Ich sehe das ~	Ya veo eso ~	Lo vedo ~	Eu vejo isso ~	Я вижу это ~	Widzę to ~	ខ្ញុំ​ឃើញ​ថា ~	ငါမြင်တယ် ~	আমি দেখতে পাচ্ছি ~	நான் அதை பார்க்கிறேன் ~	ਮੈਂ ਦੇਖਦਾ ਹਾਂ ਕਿ ~	मला ते दिसत आहे ~	నేను చూస్తున్నాను ~	Я бачу, що ~	Jag ser att ~	Naona hiyo ~
ke li amas ŝin	that he loves her	그가 그녀를 사랑한다는 것을	qu'il l'aime	彼が彼女を愛していること	他爱她	他愛她	rằng anh ấy yêu cô ấy	тэр түүнд хайртай гэж	ว่าเขารักเธอ	bahawa dia mencintainya	bahwa dia mencintainya	कि वह उससे प्यार करता है	که او را دوست دارد	कि उसले उसलाई माया गर्छ	کہ وہ اس سے محبت کرتا ہے	onu sevdiğini	שהוא אוהב אותה	أنه يحبها	dass er sie liebt	que el la ama	che lui la ama	que ele a ama	что он любит ее	że ją kocha	ថាគាត់ស្រឡាញ់នាង	သူမကိုချစ်တယ်။	যে সে তাকে ভালবাসে	அவன் அவளை காதலிக்கிறான் என்று	ਕਿ ਉਹ ਉਸਨੂੰ ਪਿਆਰ ਕਰਦਾ ਹੈ	की तो तिच्यावर प्रेम करतो	అతను ఆమెను ప్రేమిస్తున్నాడని	що він любить її	att han älskar henne	kwamba anampenda
ŝi sentis, ke li amas ŝin	she feels that he loves her	그녀는 느꼈다, 그가 그녀를 사랑한다는 것을	elle sent qu'il l'aime	彼女は感じた、彼が彼女を愛していることを	她感觉他爱她	她覺得他愛她	cô ấy cảm thấy rằng anh ấy yêu cô ấy	тэр түүнд хайртай гэдгээ мэдэрдэг	เธอรู้สึกว่าเขารักเธอ	dia rasa dia sayang dia	dia merasa bahwa dia mencintainya	उसे लगता है कि वह उससे प्यार करता है	او احساس می کند که او را دوست دارد	उसलाई लाग्छ कि उसले उसलाई माया गर्छ	اسے لگتا ہے کہ وہ اس سے محبت کرتا ہے۔	onu sevdiğini hissediyor	היא מרגישה שהוא אוהב אותה	تشعر أنه يحبها	sie hat das Gefühl, dass er sie liebt	ella siente que el la ama	sente che lui la ama	ela sente que ele a ama	она чувствует, что он любит ее	czuje, że on ją kocha	នាងមានអារម្មណ៍ថាគាត់ស្រឡាញ់នាង	သူ့ကို ချစ်တယ်လို့ ခံစားရတယ်။	সে অনুভব করে যে সে তাকে ভালবাসে	அவன் அவளை காதலிப்பதாக அவள் உணர்கிறாள்	ਉਸਨੂੰ ਲੱਗਦਾ ਹੈ ਕਿ ਉਹ ਉਸਨੂੰ ਪਿਆਰ ਕਰਦਾ ਹੈ	तिला वाटते की तो तिच्यावर प्रेम करतो	అతను తనను ప్రేమిస్తున్నాడని ఆమె భావిస్తుంది	вона відчуває, що він любить її	hon känner att han älskar henne	anahisi kwamba anampenda
demandas, ĉu tio estis granda	asks whether that was big	질문한다, 그것이 커다랐었는지를	demande si c'était gros	質問する、それが大きくなったかどうか	问那是否很大	問那是否很大	hỏi nó có lớn không	том байсан уу гэж асуув	ถามว่ามันใหญ่ไหม	bertanya sama ada itu besar	bertanya apakah itu besar	पूछता है कि क्या वह बड़ा था?	می پرسد که آیا بزرگ بود؟	त्यो ठूलो थियो कि भनेर सोध्छ	پوچھتا ہے کہ کیا یہ بڑا تھا؟	bunun büyük olup olmadığını sorar	שואל אם זה היה גדול	يسأل ما إذا كان ذلك كبيرا	fragt, ob das groß war	pregunta si eso era grande	chiede se era grande	pergunta se isso foi grande	спрашивает, было ли это большим	pyta, czy to było duże	សួរថាតើវាធំឬទេ?	ကြီးသလားလို့ မေးတယ်။	এটা বড় ছিল কিনা জিজ্ঞাসা	அது பெரியதா என்று கேட்கிறார்	ਪੁੱਛਦਾ ਹੈ ਕਿ ਕੀ ਇਹ ਵੱਡਾ ਸੀ	ते मोठे होते का ते विचारतो	అది పెద్దదా అని అడుగుతుంది	питає, чи це було велико	frågar om det var stort	anauliza kama hiyo ilikuwa kubwa
pri facila demando	about an easy question	쉬운 질문에 대해서	à propos d'une question facile	簡単な質問について	关于一个简单的问题	關於一個簡單的問題	về một câu hỏi dễ	хялбар асуултын талаар	เกี่ยวกับคำถามง่ายๆ	tentang soalan mudah	tentang pertanyaan mudah	एक आसान सवाल के बारे में	در مورد یک سوال آسان	सजिलो प्रश्नको बारेमा	ایک آسان سوال کے بارے میں	kolay bir soru hakkında	לגבי שאלה קלה	عن سؤال سهل	über eine einfache Frage	sobre una pregunta fácil	su una domanda facile	sobre uma pergunta fácil	о простом вопросе	o łatwym pytaniu	អំពីសំណួរងាយស្រួលមួយ។	လွယ်ကူသောမေးခွန်းတစ်ခုအကြောင်း	একটি সহজ প্রশ্ন সম্পর্কে	ஒரு எளிதான கேள்வி பற்றி	ਇੱਕ ਆਸਾਨ ਸਵਾਲ ਬਾਰੇ	एका सोप्या प्रश्नाबद्दल	సులభమైన ప్రశ్న గురించి	про легке питання	om en lätt fråga	kuhusu swali rahisi
