A.zh-tw content.tsv
Level	Esperanto	zh-tw	en-us	Grupo	Alternativoj	Pronoco
level	ne plu legos	將不再閱讀	will no longer read	grupo	alternativoj	prononco
level	ankaŭ mi ricevis	我也收到了	I also received	grupo	alternativoj	prononco
level	devas fermi	必須關閉	has to close	grupo	alternativoj	prononco
level	mi devas bone fermi	我必須好好關閉	I have to close well	grupo	alternativoj	prononco
level	bone fermis la pordon	把門關緊	closed the door tightly	grupo	alternativoj	prononco
level	trankvila, trankviliĝu	冷靜，冷靜	calm, calm down	grupo	alternativoj	prononco
level	aŭdis sed ne aŭskultis	聽到但沒聽	heard but did not listen	grupo	alternativoj	prononco
level	aŭdis trankvilan sonon	聽到平靜的聲音	heard a calm sound	grupo	alternativoj	prononco
level	ĉe mi estis kvar poŝoj	對我來說，有4 個口袋	at me, there are 4 pockets	grupo	alternativoj	prononco
level	dek tagoj post la lasta leciono	上一課後十天	ten days after the last lesson	grupo	alternativoj	prononco
level	inter la du tabloj	兩張桌子之間	between the two tables	grupo	alternativoj	prononco
level	tri leteroj, ses paperoj	三封信，六篇論文	three letters, six papers	grupo	alternativoj	prononco
level	de kapo ĝis piedo	從頭到腳	from head to foot	grupo	alternativoj	prononco
level	kvar, kvara, kvaropo, kvarono	四、第四、四重奏、四分之一	four, fourth, a quartet, a quarter	grupo	alternativoj	prononco
level	kien iris la triopo?	三人去哪了	where did the trio go	grupo	alternativoj	prononco
level	kvin fingroj en ambaŭaj manoj	雙手五根手指	five fingers in both hands	grupo	alternativoj	prononco
level	si mem, sia poŝo	自己掏腰包	by oneself, one's own pocket	grupo	alternativoj	prononco
level	meti, kunmeti, kunmetaĵo	把，放在一起，化合物	put, put together, a compound	grupo	alternativoj	prononco
level	metis en sian poŝon	放進自己的口袋	put in one's own pocket	grupo	alternativoj	prononco
level	du cent nacioj en la mondo	世界上兩百個國家	two hundred nations in the world	grupo	alternativoj	prononco
level	prenis, forprenis	拿走，拿走	took, took away	grupo	alternativoj	prononco
level	prenis sep el siaj naŭ libroj	從他自己的九本書中拿走了七本	took seven out of his own nine books	grupo	alternativoj	prononco
level	lasi, forlasita	離開，被遺棄	to leave, abandoned	grupo	alternativoj	prononco
level	lasu min sola kaj trankvila	讓我一個人安靜	leave me alone and calm	grupo	alternativoj	prononco
level	mil ok cent ok dek sep	一千八百八十七(1887)	thousand eight hundred and eighty seven (1887)	grupo	alternativoj	prononco
level	taso da teo	一杯茶	a cup of tea	grupo	alternativoj	prononco
level	oni lavis ok tasojn	有人洗了八個杯子	somebody washed eight cups	grupo	alternativoj	prononco
level	du mil dek naŭ	2019 (2019)	two thousand nineteen (2019)	grupo	alternativoj	prononco
level	li lavis sin	他自己洗了	he washed himself	grupo	alternativoj	prononco
level	sia korpo, sia propra posedo	自己的身體，自己的財產	one's body, one's own possession	grupo	alternativoj	prononco
level	sur la tablo, la kato dormis	桌子上，貓睡著了	on the table, the cat slept	grupo	alternativoj	prononco
level	la kato saltis sur la tablon	貓跳到桌子上	the cat jumped onto the table	grupo	alternativoj	prononco
level	en la halo, en la halon	大廳裡，大廳裡	in the hall, into the hall	grupo	alternativoj	prononco
level	enfalis en lian manon	落到他手裡	fell into his hand	grupo	alternativoj	prononco
level	labori, ellabori	去工作，去詳細說明	to work, to elaborate	grupo	alternativoj	prononco
level	ellabori por tiu libro	詳細說明那本書	to elaborate for that book	grupo	alternativoj	prononco
level	scias, scivolas, scivolo	知道、想知道、好奇	knows, wants to know, curiosity	grupo	alternativoj	prononco
level	dulingva, dulingveco	雙語的，雙語的	bilingual, bilingualism	grupo	alternativoj	prononco
level	scivolas pri trilingva lernanto	對三語學習者感到好奇	wonders about a trilingual learner	grupo	alternativoj	prononco
level	iris, reiris	去了，回來了	went, returned	grupo	alternativoj	prononco
level	la katoj reiris al siaj domoj	貓咪們回到了自己的家	the cats returned to their (own) homes	grupo	alternativoj	prononco
level	en la sako, en la sakon	在袋子裡，在袋子裡	in the bag, into the bag	grupo	alternativoj	prononco
level	enmetu ĝin en vian sakon	把它放進你的包包裡	put it into your bag	grupo	alternativoj	prononco
level	piedo, piediras, piediranto	一隻腳，步行，行人	a foot, walks, a pedestrian	grupo	alternativoj	prononco
level	dek-tage ili piediris	他們走了十天	for ten days, they walked	grupo	alternativoj	prononco
level	preni, elpreni	拿走，取出	to take, to take out	grupo	alternativoj	prononco
level	belaj floroj, prenis belajn florojn	美麗的花，美麗的花	beautiful flowers, took beautiful flowers	grupo	alternativoj	prononco
level	li elprenis nur belajn florojn	他只拿出美麗的花	he took out only beautiful flowers	grupo	alternativoj	prononco
level	malfermis, sed tuj fermis	打開，但立即關閉	opened, but immediately closed	grupo	alternativoj	prononco
level	malfermis internacian kunvenon	召開國際會議	opened an international meeting	grupo	alternativoj	prononco
level	eldonis kaj disdonis	出版發行	published and distributed	grupo	alternativoj	prononco
level	la eldonisto eldonis dudek tri librojn	出版商出版了二十三本書	the publisher published twenty-three books	grupo	alternativoj	prononco
level	revenis kaj revidis sian filon	回來又見到了自己的兒子	returned and saw one's own son again	grupo	alternativoj	prononco
level	en la jaro dumil dudek tri	2023年（2023年）	in the year two thousand and twenty three (2023)	grupo	alternativoj	prononco
level	sinjoro eniris la vendejon	一位紳士進入了商店	a gentleman entered (into) the store	grupo	alternativoj	prononco
level	la vendejo de aŭtoj	汽車商店	the store of cars	grupo	alternativoj	prononco
level	tie li vidas sinjorinon	他在那裡看到一位女士	there he sees a lady	grupo	alternativoj	prononco
level	karaj gesinjoroj	親愛的女士們，先生們	dear ladies and gentlemen	grupo	alternativoj	prononco
level	tio plaĉis al mi	這讓我很高興（我喜歡）	that pleased me (I like that)	grupo	alternativoj	prononco
level	la sinjorino plaĉis al li	這位女士令他高興（他喜歡這位女士）	the lady pleased him (he liked the lady)	grupo	alternativoj	prononco
level	vidis la belan sinjorinon	看到了那位美麗的女士	saw the beautiful lady	grupo	alternativoj	prononco
level	kiu plaĉis al li?	誰讓他高興了？ （他喜歡誰？）	who pleased him? (whom did he like?)	grupo	alternativoj	prononco
level	la virino, kiu plaĉis al mi	那個讓我高興的女人	the woman, who pleased me	grupo	alternativoj	prononco
level	tiu, kiu eniris la domon	進屋的人	the one who entered the house	grupo	alternativoj	prononco
level	la viro, kiu donacis ĝin	捐贈者	the man who donated it	grupo	alternativoj	prononco
level	li donacis ringon al lia edzino	他給了他妻子一枚戒指	he gave a ring to his wife	grupo	alternativoj	prononco
level	la ringo plaĉis al ŝi	她喜歡這枚戒指	she liked the ring	grupo	alternativoj	prononco
level	la edzino, al kiu la ringo plaĉis	喜歡這枚戒指的妻子	the wife who liked the ring	grupo	alternativoj	prononco
level	vendisto laboras en la vendejo	一名推銷員在商店工作	a salesman works in the store	grupo	alternativoj	prononco
level	vendisto de aŭtoj	汽車推銷員	a salesman of cars	grupo	alternativoj	prononco
level	la sinjoro demandis al la vendisto	這位先生問推銷員	the gentleman asked the salesman	grupo	alternativoj	prononco
level	kiu aŭto plaĉas al vi?	你喜歡哪輛車？	which car do you like?	grupo	alternativoj	prononco
level	kiun aŭton vi elektos?	你會選擇哪一輛車？	which car will you choose?	grupo	alternativoj	prononco
level	mi elektis tiun aŭton	我選擇了那輛車	I chose that car	grupo	alternativoj	prononco
level	ĝi estas pli bona	這個比較好	it is better	grupo	alternativoj	prononco
level	pli bona ol ĉi tio	比這個更好	better than this	grupo	alternativoj	prononco
level	plej bona el ili	其中最好的	best of them	grupo	alternativoj	prononco
level	estas la plej bona	是最好的	is the best	grupo	alternativoj	prononco
level	kiu aŭto estas la plej bona?	哪輛車最好？	which car is the best?	grupo	alternativoj	prononco
level	tiu ĉi aŭto estas pli bona	這輛車更好	this car is better	grupo	alternativoj	prononco
level	tiu ĉi estas la plej bona	這是最好的	this one is the best	grupo	alternativoj	prononco
level	vidis ĉiujn aŭtojn	看到了所有的車	saw all the cars	grupo	alternativoj	prononco
level	la plej bona el ĉiuj	最好的	the best of all	grupo	alternativoj	prononco
level	ĉu ĝi estas rapida?	快嗎？	is it fast?	grupo	alternativoj	prononco
level	pli rapida ol aliaj	比別人快	faster than others	grupo	alternativoj	prononco
level	estas ankaŭ forta	也很強	is also strong	grupo	alternativoj	prononco
level	ho jes, kompreneble!	哦，是的，當然！	oh yes, of course!	grupo	alternativoj	prononco
level	estas tre forta	非常強	is very strong	grupo	alternativoj	prononco
level	certe ĝi estas forta	當然它很強大	certainly it is strong	grupo	alternativoj	prononco
level	estas ankaŭ multekosta	也很貴	is also expensive	grupo	alternativoj	prononco
level	la plej multekosta el ĉiuj	最貴的	the most expensive of all	grupo	alternativoj	prononco
level	malmultekosta sed forta	便宜但堅固	cheap but strong	grupo	alternativoj	prononco
level	bedaŭras kaj bedaŭrindas	感到遺憾和可憐（值得感到遺憾）	feels sorry and is pityful (worth feeling sorry)	grupo	alternativoj	prononco
level	bedaŭrinde mi ne aĉetos	不幸的是我不會買	unfortunately I will not buy	grupo	alternativoj	prononco
level	estas bedaŭrinda afero	是一件不幸的事	is an unfortunate thing	grupo	alternativoj	prononco
level	li aĉetis novan aŭton	他買了一輛新車	he bought a new car	grupo	alternativoj	prononco
level	ĉar mi ne havas monon	因為我沒有錢	because I do not have money	grupo	alternativoj	prononco
level	mia malnova aŭto	我的舊車	my old car	grupo	alternativoj	prononco
level	la plej malmultekosta el ĉiuj	最便宜的	the cheapest of all	grupo	alternativoj	prononco
level	mi veturos tien	我會開車去那裡	I'll drive there	grupo	alternativoj	prononco
level	ankoraŭ veturos per ĝi	仍會駕駛它	will still drive with it	grupo	alternativoj	prononco
level	dum la tuta tago	整天	all day long	grupo	alternativoj	prononco
level	dum li diris tion	當他這麼說的時候	while he said that	grupo	alternativoj	prononco
level	li denove rigardis ŝin	他又看了她一眼	he looked at her again	grupo	alternativoj	prononco
level	sed la vendisto diris	但推銷員說	but the salesman said	grupo	alternativoj	prononco
level	estus pli bone, ke ~	那就更好了~	it would be better that ~	grupo	alternativoj	prononco
level	rigardu tiun ĉi sinjorinon	看看這位女士	look at this lady	grupo	alternativoj	prononco
level	ankaŭ tio estas tre multekosta	那也很貴	that is also very expensive	grupo	alternativoj	prononco
level	mi estas ŝia edzo	我是她丈夫	I am her husband	grupo	alternativoj	prononco
level	kiom via vojaĝo kostis?	你的旅行花了多少錢？	how much did your trip cost?	grupo	alternativoj	prononco
level	aŭskultu la kanton de via edzino	聽你妻子的歌	listen to your wife's song	grupo	alternativoj	prononco
level	ne forgesu, ke ĝi tre multe kostas	別忘了這要花很多錢	don’t forget that it costs a lot	grupo	alternativoj	prononco
level	li helpis la vendiston dum du horoj	他幫忙推銷員兩個小時	he helped the salesman for two hours	grupo	alternativoj	prononco
level	jam pli ol tri jaroj	三年多	for more than three years	grupo	alternativoj	prononco
level	kovri, kovrilo, malkovri	覆蓋，覆蓋，揭開（發現）	cover, cover, uncover (discover)	grupo	alternativoj	prononco
level	la kialon li ankoraŭ ne malkovris	他還沒有發現的原因	the reason he has not yet discovered	grupo	alternativoj	prononco
level	kial vi komencis sendi leterojn?	為什麼開始寄信？	why did you start sending letters?	grupo	alternativoj	prononco
level	dum ok monatoj li vivis tie	他在那裡住了八個月	for eight months he lived there	grupo	alternativoj	prononco
level	ne havis tempon por aŭskulti	沒時間聽	didn't have time to listen	grupo	alternativoj	prononco
level	la aŭto estis jam plena	車子已經滿了	the car was already full	grupo	alternativoj	prononco
level	kion vi manĝas?	你在吃什麼	what are you eating	grupo	alternativoj	prononco
level	kia estas la vetero?	天氣如何？	what's the weather like?	grupo	alternativoj	prononco
level	kian aŭton vi havas?	你有什麼類型的車？	what kind of car do you have?	grupo	alternativoj	prononco
level	kiaj estis ŝiaj leteroj?	她的信是什麼樣的？	what were her letters like?	grupo	alternativoj	prononco
level	kie ni estas?	我們在哪裡？	where are we?	grupo	alternativoj	prononco
level	kien vi iras?	你去哪裡？	where are you going to?	grupo	alternativoj	prononco
level	al kiu vi donis ĝin?	你把它給了誰？	to whom did you give it?	grupo	alternativoj	prononco
level	la viro, kun kiu vi vojaĝis	和你一起旅行的男人	the man whom you traveled with	grupo	alternativoj	prononco
level	pli granda ol la aŭto	比汽車大	bigger than the car	grupo	alternativoj	prononco
level	la plej alta el tiuj homoj	這些人中最高的	the tallest of those people	grupo	alternativoj	prononco
level	li sidis dum la manĝo	他正坐著吃晚餐	he was sitting at dinner	grupo	alternativoj	prononco
level	ŝi skribas dum li legas	他讀書時她寫作	she writes while he reads	grupo	alternativoj	prononco
level	ĉi tie, en ĉi tiu ĉambro	在這裡，在這個房間裡	here, in this room	grupo	alternativoj	prononco
level	tiu ĉi sinjoro	這位先生	this gentleman	grupo	alternativoj	prononco
level	aŭskultinda novaĵo	值得一聽的新聞	a news worth listening	grupo	alternativoj	prononco
level	la libro estas vere leginda	這本書確實值得一讀	the book is really worth reading	grupo	alternativoj	prononco
level	bedaŭra afero	一件不幸的事	an unfortunate thing	grupo	alternativoj	prononco
level	bedaŭrinde, mi ne povas	不幸的是，我不能	unfortunately, I can't	grupo	alternativoj	prononco
level	nedankinde. estis mia plezuro	不客氣。這是我的榮幸	you are welcome. it was my pleasure	grupo	alternativoj	prononco
level	eta belulino ege belas	小美女很漂亮	small pretty girl is very beautiful	grupo	alternativoj	prononco
level	ĉiuj amikoj amas ŝin	所有的朋友都愛她	all friends love her	grupo	alternativoj	prononco
level	antaŭ tri monatoj	三個月前	three months ago	grupo	alternativoj	prononco
level	okazis malbono al ŝi	她發生了一些不好的事	something bad happened to her	grupo	alternativoj	prononco
level	ŝi falis pro aŭto	她因為汽車跌倒了	she fell because of a car	grupo	alternativoj	prononco
level	malsaniĝis kaj temperaturo altiĝis	生病了，體溫升高	became ill and temperature rose	grupo	alternativoj	prononco
level	patrino diris, ke ŝi devas ripozi	媽媽說她該休息了	mother said she should rest	grupo	alternativoj	prononco
level	ŝi devas resti hejme	她必須待在家裡	she has to stay home	grupo	alternativoj	prononco
level	ŝi vokos doktoron	她會打電話給醫生	she will call a doctor	grupo	alternativoj	prononco
level	je la naŭa horo	九點鐘	at nine o'clock	grupo	alternativoj	prononco
level	matene venis je la oka	早上八點鐘來	in the morning came at eight o'clock	grupo	alternativoj	prononco
level	je la sepa morgaŭ vespere	明天晚上七點	at seven tomorrow evening	grupo	alternativoj	prononco
level	montris liajn manojn	展示了他的雙手	showed his hands	grupo	alternativoj	prononco
level	vesto, vestiĝas	衣服，正在穿衣服	dress, is getting dressed	grupo	alternativoj	prononco
level	vestiĝu kaj varmigu vian korpon	穿好衣服並溫暖身體	get dressed and warm your body	grupo	alternativoj	prononco
level	hejme tuj malvestis kaj duŝis	回到家立刻脫衣服洗澡	at home immediately undressed and showered	grupo	alternativoj	prononco
level	doktoro rigardis ĉion	醫生檢查了一切	a doctor looked at everything	grupo	alternativoj	prononco
level	bone rigardis kaj fine diris	看透了最後說	looked throughly and finally said	grupo	alternativoj	prononco
level	unu semajnon restu hejme	在家待一周	stay home for a week	grupo	alternativoj	prononco
level	deziras, ke vi estu trankvila	希望你冷靜	wants you to be calm	grupo	alternativoj	prononco
level	post unu semajno	一星期後	after one week	grupo	alternativoj	prononco
level	vi fartos pli bone	你會感覺好點的	you will feel better	grupo	alternativoj	prononco
level	trinku multe da teo	多喝茶	drink plenty of tea	grupo	alternativoj	prononco
level	venos por revidi vin	會再來看你	will come to see you again	grupo	alternativoj	prononco
level	ankaŭ li estu trankvila	讓他也冷靜	let him be calm too	grupo	alternativoj	prononco
level	sana homo, sanulo	健康的人，健康的人	healthy man, healthy person	grupo	alternativoj	prononco
level	zorgis pri si mem	照顧好自己	took care of oneself	grupo	alternativoj	prononco
level	tuta afero tuje utilis al mi	整件事立刻對我有用	the whole thing was useful to me at once	grupo	alternativoj	prononco
level	rimarkis, ke teruraĵo proksimas	注意到可怕的事情就在附近	noticed that horrible thing is near	grupo	alternativoj	prononco
level	petis tuj rimarki ĝin	要求立即註意	asked to notice it immediately	grupo	alternativoj	prononco
level	pensis, ke tio ne necesas	認為沒有必要	thought that was not necessary	grupo	alternativoj	prononco
level	loĝis proksime, kaj tio utilis	住在附近，很有用	lived nearby, and that was useful	grupo	alternativoj	prononco
level	nia lando hodiaŭ teruriĝis	我們的國家今天變得恐懼	our country became terrified today	grupo	alternativoj	prononco
level	karaj infanoj el ĉiuj familioj	親愛的所有家庭的孩子們	dear children from all families	grupo	alternativoj	prononco
level	unu fojon hieraŭ, du fojojn morgaŭ	昨天一次，明天兩次	once yesterday, twice tomorrow	grupo	alternativoj	prononco
level	hodiaŭ familioj bezonas infanojn	今天的家庭需要孩子	today families need children	grupo	alternativoj	prononco
level	esperis, ke li fartos bone morgaŭ	希望他明天一切都好	hoped he would be well tomorrow	grupo	alternativoj	prononco
level	li fartis ege trankvila	他感覺（一直）非常平靜	he was feeling (has been) very calm	grupo	alternativoj	prononco
level	tri etuloj altigis la monton	三個小傢伙把山舉起來	three little ones raised the mountain	grupo	alternativoj	prononco
level	gravuloj ne petis helpon	重要的人沒有尋求幫助	important people did not ask for help	grupo	alternativoj	prononco
level	piediris tien por helpi	走到那裡幫忙	walked there to help	grupo	alternativoj	prononco
level	restu hejme se temperaturo altas	如果溫度高，請待在家裡	stay home if temperature is high	grupo	alternativoj	prononco
level	temperaturo restis simila hodiaŭ	今天氣溫保持相似	temperature remained similar today	grupo	alternativoj	prononco
level	voku la doktoron je la naŭa	九點打電話給醫生	call the doctor at nine	grupo	alternativoj	prononco
level	montru ĝin al via doktoro	給你的醫生看	show it to your doctor	grupo	alternativoj	prononco
level	por montri vian piedon	展示你的腳	to show your foot	grupo	alternativoj	prononco
level	vestu ĉi tiun ĉemizon	穿這件襯衫	wear this shirt	grupo	alternativoj	prononco
level	semajnfine ĉio trankviliĝos	週末一切都會平靜下來	on the weekend everything will calm down	grupo	alternativoj	prononco
level	sub la te-taso kion vi trovis?	在茶杯下面你發現了什麼？	under the tea-cup what did you find?	grupo	alternativoj	prononco
level	mi deziras matenan teon	我要早茶	I want morning tea	grupo	alternativoj	prononco
level	esperis trankvilan vesperon	希望有個安靜的夜晚	hoped for a quiet evening	grupo	alternativoj	prononco
level	deziras, ke vi lernu	希望你學習	wants that you learn	grupo	alternativoj	prononco
level	insistis, ke mi iru	堅持要我去	insisted that I go	grupo	alternativoj	prononco
level	je kioma horo?	什麼時間？	at what hour?	grupo	alternativoj	prononco
level	je la sesa, li venos	六點他會來	at six he will come	grupo	alternativoj	prononco
level	la libreto estis ĉarma	歌詞很迷人	the libretto was charming	grupo	alternativoj	prononco
level	estu trankvila	安靜	be quiet	grupo	alternativoj	prononco
level	li estu trankvila	讓他安靜	let him be quiet	grupo	alternativoj	prononco
level	ankaŭ li	他也是	he too	grupo	alternativoj	prononco
level	mi deziras	我想要（慾望）	I want (desire)	grupo	alternativoj	prononco
level	mi deziras, ke ~	我希望（渴望）~	I wish (desire) that ~	grupo	alternativoj	prononco
level	ke vi lernu	你學到的	that you learn	grupo	alternativoj	prononco
level	mi deziras, ke vi lernu	我想讓你學習	I want you to learn	grupo	alternativoj	prononco
level	patro insistas	父親堅持	father insists	grupo	alternativoj	prononco
level	patro insistas, ke ~	爸爸堅持說~	father insists that ~	grupo	alternativoj	prononco
level	ke mi iru	我去	that I go	grupo	alternativoj	prononco
level	patro insistas, ke mi iru	父親堅持要我去	father insists that I go	grupo	alternativoj	prononco
level	je kioma horo	什麼時間	at what hour	grupo	alternativoj	prononco
level	je kioma horo vi venos?	你什麼時候來？	what time do you come?	grupo	alternativoj	prononco
level	je la kvina	在五點鐘）	at five (o'clock)	grupo	alternativoj	prononco
level	je la kvina horo	在五點	at five o'clock	grupo	alternativoj	prononco
level	kiel li fartas?	他怎麼樣？	how does he doing?	grupo	alternativoj	prononco
level	kiel vi fartis lastatempe?	你最近怎麼樣？	how have you been lately?	grupo	alternativoj	prononco
level	etaj libroj belas	小書很漂亮	little books are beautiful	grupo	alternativoj	prononco
level	libreto, belaj libroj	一本小冊子，漂亮的書	a booklet, beautiful books	grupo	alternativoj	prononco
level	bela, beleta, belega	漂亮，有點漂亮，非常漂亮	beautiful, a little pretty, very beautiful	grupo	alternativoj	prononco
level	varma, varmeta, varmega	溫暖、不冷不熱、非常熱	warm, lukewarm, very hot	grupo	alternativoj	prononco
level	librego, libreto	一本大書，一本小冊子	a big book, a booklet	grupo	alternativoj	prononco
level	bona, bonega, bonege	好，很好，好	good, great, well	grupo	alternativoj	prononco
level	riĉa, riĉiĝi, riĉulo	有錢，變得有錢，成為有錢人	rich, become rich, a rich person	grupo	alternativoj	prononco
level	trankvila, trankviliĝi, trankviliĝu	冷靜，冷靜下來，冷靜下來	calm, to calm down, calm down	grupo	alternativoj	prononco
level	sana, resaniĝi, resaniĝis	健康，痊癒，痊癒	healthy, to become healed, became healed	grupo	alternativoj	prononco
level	edzo, edziĝo, geedziĝis	丈夫、婚姻、已婚	a husband, marriage, married	grupo	alternativoj	prononco
level	leterportisto	一個信郵差	a letter postman	grupo	alternativoj	prononco
level	hejmlando	一個祖國	a homeland	grupo	alternativoj	prononco
level	iom, iomete	有點，一點點	somewhat, a little	grupo	alternativoj	prononco
level	ni bonege vespermanĝis	我們吃了一頓豐盛的晚餐	we had a great dinner	grupo	alternativoj	prononco
level	espereble, prizorgu vin	希望，照顧好自己	hopefully, take care of yourself	grupo	alternativoj	prononco
level	mi zorgis pri la altkvalita loĝejo	我關心高品質的住房	I cared about the high-quality housing	grupo	alternativoj	prononco
level	pripensu dufoje, multfoje	三思而後行	think twice, many times	grupo	alternativoj	prononco
level	kiu deprenis la libreton?	誰拿走了小冊子？	who took down the booklet?	grupo	alternativoj	prononco
level	kato, kiu nomiĝas Cezaro	一隻名叫凱撒的貓	a cat named Caesar	grupo	alternativoj	prononco
level	kuko, kiu estas sur la tablo	桌上的蛋糕	a cake which is on the table	grupo	alternativoj	prononco
level	manĝu kukon, kiu estas sur la tablo	吃桌上的蛋糕	eat a cake that is on the table	grupo	alternativoj	prononco
level	fariĝis varmega kaj ruĝiĝis	變得又熱又紅	became hot and blushed	grupo	alternativoj	prononco
level	patro volas, ke lia infano manĝu	父親想讓他的孩子吃飯	a father wants his child to eat	grupo	alternativoj	prononco
level	en malgranda ĉambro	在一個小房間裡	in a small room	grupo	alternativoj	prononco
level	ni loĝas en ~	我們住在~	we live in ~	grupo	alternativoj	prononco
level	mi fariĝis maltrankvila	我變得焦慮起來	I became anxious	grupo	alternativoj	prononco
level	tiam, kiam mi vidis vin	當我看到你的時候	at that time when I saw you	grupo	alternativoj	prononco
level	ĉiuj rimarkis tion	大家都注意到了	everyone noticed that	grupo	alternativoj	prononco
level	tion, ke ŝi estas belega	她很漂亮的事實	the fact that she is beautiful	grupo	alternativoj	prononco
level	ĉu vi deziras, ke ~ ?	你想要那個嗎~？ （德茲裡）	do you want that ~ ? (deziri)	grupo	alternativoj	prononco
level	ke mi montru al vi	我可以給你看	that I may show you	grupo	alternativoj	prononco
level	ĉu vi deziras, ke mi montru?	你想讓我展示嗎？	do you want me to show?	grupo	alternativoj	prononco
level	mian plej novan libron	我的最新書（目標）	my newest book (objective)	grupo	alternativoj	prononco
level	morgaŭ matene, kion vi volas?	明天早上，你想要什麼？	tomorrow morning, what do you want?	grupo	alternativoj	prononco
level	matenmanĝis malfrue	吃早餐晚餐了	had breakfast late	grupo	alternativoj	prononco
level	kiam Marko alvenos?	馬克什麼時候到達？	when will Mark arrive?	grupo	alternativoj	prononco
level	je la kvina aŭ je la oka horo	五點或八點	at five or eight o'clock	grupo	alternativoj	prononco
level	kiam vi rimarkis, ke ~ ?	什麼時候注意到的~？	when did you notice that ~ ?	grupo	alternativoj	prononco
level	la tuta familio nomas min bonfarulo	全家人都稱我為恩人	the whole family calls me a benefactor	grupo	alternativoj	prononco
level	utila por vi	對你有用	useful for you	grupo	alternativoj	prononco
level	ĉu la libreto estis utila?	這本小冊子有用嗎？	was the booklet useful?	grupo	alternativoj	prononco
level	tiu libreto, kiun mi sendis	我寄出的小冊子	the booklet, which I sent	grupo	alternativoj	prononco
level	matene dormis tre longe	早上睡了很久	in the morning slept for a long time	grupo	alternativoj	prononco
level	kiam li vidis la sunon	當他看到太陽時	when he saw the sun	grupo	alternativoj	prononco
level	subite li eksaltis	突然他跳了起來	suddenly he jumped up	grupo	alternativoj	prononco
level	li estis ĉiam frua	他總是很早	he was always early	grupo	alternativoj	prononco
level	ĉiam li malfruas	他總是遲到	he is always late	grupo	alternativoj	prononco
level	tiam, kiam li devas iri	那時，當他必須走的時候	at that time, when he has to go	grupo	alternativoj	prononco
level	iri al la lernejo	去學校	to go to the school	grupo	alternativoj	prononco
level	li scias, ke ~	他知道，那個~	he knows, that ~	grupo	alternativoj	prononco
level	li scias tion, ke ~	他知道這個事實，那就是~	he knows the fact, that ~	grupo	alternativoj	prononco
level	tion, ke la instruisto malŝatas abelon	事實上老師討厭蜜蜂	the fact that the teacher hates bees	grupo	alternativoj	prononco
level	scias tion, ke la instruisto malŝatas abelon	知道老師討厭蜜蜂這一事實	knows the fact that the teacher hates bees	grupo	alternativoj	prononco
level	scias, ke la instruisto malŝatas tion	知道老師討厭這樣	knows that the teacher hates that	grupo	alternativoj	prononco
level	sed hodiaŭ li trinkis la kafon	但今天他喝了咖啡	but today he drank the coffee	grupo	alternativoj	prononco
level	li rapide surmetas la vestaĵon	他迅速穿上衣服	he quickly puts on the clothes	grupo	alternativoj	prononco
level	li ne volas malfrui	他不想遲到	he doesn't want to be late	grupo	alternativoj	prononco
level	rapidege kun la libroj en la mano	手上的書很快	very quickly with the books in hand	grupo	alternativoj	prononco
level	poste li kuris kaj saltis	後來他又跑又跳	later he ran and jumped	grupo	alternativoj	prononco
level	li kuris kaj saltis	他又跑又跳	he ran and jumped	grupo	alternativoj	prononco
level	laŭ la strato	沿著街道	along the street	grupo	alternativoj	prononco
level	la homoj rigardis lin	人們看著他	the people looked at him	grupo	alternativoj	prononco
level	rigardis lin kaj diris	看著他說	looked at him and said	grupo	alternativoj	prononco
level	saĝa kaj malsaĝa	聰明又愚蠢	wise and foolish	grupo	alternativoj	prononco
level	kia malsaĝa knabo!	多麼愚蠢的孩子啊！	what a foolish boy!	grupo	alternativoj	prononco
level	estis antaŭ lernejo	在學校前面	was in front of a school	grupo	alternativoj	prononco
level	baldaŭ	很快	soon	grupo	alternativoj	prononco
level	li estis antaŭ ~	他就在前面~	he was in front of ~	grupo	alternativoj	prononco
level	iri kaj eniri	去和進入	to go and to enter	grupo	alternativoj	prononco
level	li volis eniri	他想進入	he wanted to enter	grupo	alternativoj	prononco
level	eniri la lernejon	進入學校	to enter into the school	grupo	alternativoj	prononco
level	sed tamen	但無論如何	but however	grupo	alternativoj	prononco
level	sed li ne povis	但他不能	but he couldn't	grupo	alternativoj	prononco
level	fermi kaj fermita	關閉並關閉	to close and closed	grupo	alternativoj	prononco
level	ĝi estis fermita	它已關閉	it was closed	grupo	alternativoj	prononco
level	nek ~ nek ~	既不～也不～	neither ~ nor ~	grupo	alternativoj	prononco
level	nek instruisto nek gelernantoj	既不是老師，也不是男女學生	neither a teacher nor male-and-female students	grupo	alternativoj	prononco
level	vidis nek instruiston nek gelernantojn	既沒有看到老師，也沒有看到學生	saw neither a teacher nor students	grupo	alternativoj	prononco
level	sidi, eksidi	坐下，坐下	to sit, to get sitted	grupo	alternativoj	prononco
level	eksidis	已入座（已入座）	got seated (had seated)	grupo	alternativoj	prononco
level	li eksidis	他坐下了	he got seated	grupo	alternativoj	prononco
level	kaj pensis	和思想	and thought	grupo	alternativoj	prononco
level	kio okazis?	發生了什麼事？	what did happen?	grupo	alternativoj	prononco
level	diable	可怕的（像魔鬼一樣）	to the awful (like a devil)	grupo	alternativoj	prononco
level	damne	該死的	dam it	grupo	alternativoj	prononco
