C.th content.tsv
Level	Esperanto	th	en-us	Grupo	Alternativoj	Pronoco
level	laŭta	ดัง	loud	grupo	alternativoj	prononco
level	fadeno	ด้าย	a thread	grupo	alternativoj	prononco
level	gusto	รสชาติ	a taste	grupo	alternativoj	prononco
level	leginte	ก่อนอ่าน	after reading	grupo	alternativoj	prononco
level	enironte	ขณะที่กำลังจะเข้า	while about to enter	grupo	alternativoj	prononco
level	dato	วันที่, วันที่	date, a date	grupo	alternativoj	prononco
level	fundo	ด้านล่างรากฐาน	bottom, foundation	grupo	alternativoj	prononco
level	radiko	ราก	a root	grupo	alternativoj	prononco
level	bonvole -u	ได้โปรด (~คุณ)	please (~u)	grupo	alternativoj	prononco
level	signifo	ความหมาย, ความสำคัญ	a meaning, a significance	grupo	alternativoj	prononco
level	fiksi	เพื่อแก้ไขเพื่อยึด	to fix, to fasten	grupo	alternativoj	prononco
level	vana	ไร้สาระ, ไร้ประโยชน์	vain, useless	grupo	alternativoj	prononco
level	vaporo	ไอน้ำไอ	steam, vapor	grupo	alternativoj	prononco
level	rakonto	เรื่องเล่าเรื่องราว	a narrative, a story	grupo	alternativoj	prononco
level	bonvolu -i	ได้โปรด (~ฉัน)	please (~i)	grupo	alternativoj	prononco
level	figuro	รูป, รูปภาพ, รูปภาพ	a figure, a picture, an image	grupo	alternativoj	prononco
level	arĝento	เงิน	silver	grupo	alternativoj	prononco
level	ĝirafo	ยีราฟ	a giraffe	grupo	alternativoj	prononco
level	ĉarma	มีเสน่ห์	charming	grupo	alternativoj	prononco
level	rulo	ม้วนวิ่ง	a roll, a run	grupo	alternativoj	prononco
level	gitaro	กีตาร์	a guitar	grupo	alternativoj	prononco
level	miliardo	พันล้าน	a billion	grupo	alternativoj	prononco
level	eterna	นิรันดร์, นิรันดร์	eternal, everlasting	grupo	alternativoj	prononco
level	ĵurnalo (tag-)	หนังสือพิมพ์	a newspaper	grupo	alternativoj	prononco
level	memoro	ความทรงจำ	a memory	grupo	alternativoj	prononco
level	ruli	เพื่อม้วนเพื่อรันโปรแกรม	to roll, to run a program	grupo	alternativoj	prononco
level	larmo	น้ำตาน้ำตา	tear, a tear	grupo	alternativoj	prononco
level	inko	หมึก	an ink	grupo	alternativoj	prononco
level	majstro	อาจารย์, เกจิ, ปรมาจารย์ (ด้านศิลปะ)	Master, a maestro, a master (of one's art)	grupo	alternativoj	prononco
level	leono	สิงโต	a lion	grupo	alternativoj	prononco
level	tiom da ~	~ มากขนาดนั้น ~ มากขนาดนั้น ~ มากมาย	so much of ~, that much of ~, that many of ~	grupo	alternativoj	prononco
level	ventro	ท้อง, ท้อง, ท้อง	belly, abdomen, tummy	grupo	alternativoj	prononco
level	placo	จัตุรัส, พลาซ่า	a squre, a plaza	grupo	alternativoj	prononco
level	fidi	ที่จะไว้วางใจ, มีศรัทธาใน	to trust, to have faith in	grupo	alternativoj	prononco
level	iom da ~	~ จำนวนเล็กน้อย ~ บ้าง	small amount of ~, some	grupo	alternativoj	prononco
level	babili	พูดคุย, พูดพล่าม, พูดคุย	to chat, to babble, to chatter	grupo	alternativoj	prononco
level	kavo	ถ้ำ, โพรง	a cave, a cavity	grupo	alternativoj	prononco
level	ioma	บ้างก็บ้าง	of some amout, some	grupo	alternativoj	prononco
level	ŝultro	ไหล่	a shoulder	grupo	alternativoj	prononco
level	adiaŭ	ลาก่อน ลาก่อน ลาก่อน	goodbye, adieu, farewell	grupo	alternativoj	prononco
level	rezigni	ลาออก, ยอมแพ้, ยอมแพ้, ละทิ้ง	to resign, to give up, to surrender, to abandon	grupo	alternativoj	prononco
level	sekreto	ความลับ	a secret	grupo	alternativoj	prononco
level	droni	ที่จะจมน้ำ	to drown	grupo	alternativoj	prononco
level	celi	มุ่งหมาย, กำหนดเป้าหมาย, ตั้งใจ	to aim, to target, to intend	grupo	alternativoj	prononco
level	restoracio	ร้านอาหาร	a restaurant	grupo	alternativoj	prononco
level	turo	หอคอย	a tower	grupo	alternativoj	prononco
level	sablo	ทราย, ทราย	sand, a sand	grupo	alternativoj	prononco
level	tondro	ฟ้าร้อง	a thunder	grupo	alternativoj	prononco
level	ies	ของใครบางคน	someone's	grupo	alternativoj	prononco
level	tapiŝo	พรม, พรม	a carpet, a rug	grupo	alternativoj	prononco
level	bezonata	จำเป็น, จำเป็น, ต้องการ	needed, required, wanted	grupo	alternativoj	prononco
level	ilustrita	ภาพประกอบ	illustrated	grupo	alternativoj	prononco
level	razi	ที่จะโกน	to shave	grupo	alternativoj	prononco
level	standardo	แบนเนอร์, ธง	a banner, a flag	grupo	alternativoj	prononco
level	mentono	คาง, คาง	chin, a chin	grupo	alternativoj	prononco
level	valizo	กระเป๋าเดินทาง, กระเป๋าเดินทาง	a suitcase, a valise	grupo	alternativoj	prononco
level	okupata	(กำลัง) ยุ่ง, ยุ่ง	(being) occupied, busy	grupo	alternativoj	prononco
level	suko	น้ำผลไม้น้ำนม	juice, a sap	grupo	alternativoj	prononco
level	komunumo	ชุมชน	a community	grupo	alternativoj	prononco
level	fontano	น้ำพุ	a fountain	grupo	alternativoj	prononco
level	konato	คนที่รู้จัก, คนรู้จัก	a person known, an aquaintance	grupo	alternativoj	prononco
level	okupita	(เคย) ยุ่ง, ยุ่ง, ยุ่งอยู่	(having been) occupied, busy, engaged	grupo	alternativoj	prononco
level	esti okupita	ที่จะครอบครอง, มีส่วนร่วม, มีส่วนร่วม	to be occupied, to be involved, to engage upon	grupo	alternativoj	prononco
level	pino	ต้นสน	a pine tree	grupo	alternativoj	prononco
level	konstruota	(จะ) ก่อสร้าง	(will be) constructed	grupo	alternativoj	prononco
level	kaptita	(ถูก) จับเป็นเชลย	(having been) caught, captive	grupo	alternativoj	prononco
level	kaptota	(จะ)ถูกจับ	(will be) captured	grupo	alternativoj	prononco
level	rezulti	เพื่อให้ได้ผลลัพธ์	to result	grupo	alternativoj	prononco
level	kaptito	นักโทษ (ถูกจับได้)	a prisoner (had been caught)	grupo	alternativoj	prononco
level	komputi	เพื่อคำนวณ	to compute	grupo	alternativoj	prononco
level	batite	หลังจากที่ (ถูก) เฆี่ยนตีแล้ว	after (having been) beaten	grupo	alternativoj	prononco
level	kovrita	ครอบคลุม	covered	grupo	alternativoj	prononco
level	teatro	โรงละคร	a theatre	grupo	alternativoj	prononco
level	sezono	ฤดูกาล, ฤดูกาล	season, a season	grupo	alternativoj	prononco
level	kelnero	บริกร	a waiter	grupo	alternativoj	prononco
level	tabelo	ตาราง ตาราง ดัชนี	a table, a tabulation, an index	grupo	alternativoj	prononco
level	publiko	สาธารณะประชาชนสาธารณะ	public, public people	grupo	alternativoj	prononco
level	apogi	เพื่อสนับสนุนเพื่อสนับสนุน	to support, to uphold	grupo	alternativoj	prononco
level	distri	เพื่อเบี่ยงเบนความสนใจ, เพื่อความบันเทิง	to distract, to divert, to entertain	grupo	alternativoj	prononco
level	patrino	แม่	a mother	grupo	alternativoj	prononco
level	distanco	ระยะทาง	a distance	grupo	alternativoj	prononco
level	aparte	ออกจากกัน, แยกจากกัน	apart, separately	grupo	alternativoj	prononco
level	originala	ต้นฉบับ	original	grupo	alternativoj	prononco
level	bicikli	ปั่นจักรยาน, ขี่จักรยาน	to bicycle, to ride a bike	grupo	alternativoj	prononco
level	regulo	กฎข้อบังคับ	a rule, a regulation	grupo	alternativoj	prononco
level	troa	มากเกินไป, เกินควร	excessive, undue	grupo	alternativoj	prononco
level	tre agrable!	ดีมาก!	very nice!	grupo	alternativoj	prononco
level	balanci	แกว่งไปโยก	to swing, to rock	grupo	alternativoj	prononco
level	ŝtrumpo	ถุงน่อง	a stocking	grupo	alternativoj	prononco
level	kontroli	ตรวจสอบ, ตรวจสอบ, ตรวจสอบ	to check, to audit, to check up on	grupo	alternativoj	prononco
level	pasto	แป้ง	a paste, a dough	grupo	alternativoj	prononco
level	rektangulo	สี่เหลี่ยม, สี่เหลี่ยม	rectangle, a rectangle	grupo	alternativoj	prononco
level	falsa	เท็จ, ปลอม, ปลอม, ปลอมแปลง, ปลอมแปลง	false, counterfeit, fake, forged, spurious	grupo	alternativoj	prononco
level	ŝerci	ล้อเล่น, ล้อเล่น	to joke, to jest	grupo	alternativoj	prononco
level	problemo	ปัญหา, ปัญหา	a problem, a trouble	grupo	alternativoj	prononco
level	kulturi	เพื่อวัฒนธรรม (ดิน ที่ดิน)	to culture (soil, land)	grupo	alternativoj	prononco
level	lernejo	โรงเรียนสถานที่เรียนรู้	a school, a learning place	grupo	alternativoj	prononco
level	manĝejo	ร้านอาหาร, ร้านอาหาร, ห้องรับประทานอาหาร, โรงอาหาร	an eating place, a restaurant, a dining room, a canteen	grupo	alternativoj	prononco
level	flago	ธง, แบนเนอร์	a flag, a banner	grupo	alternativoj	prononco
level	universala	สากล, ทั่วไป, ทั่วโลก	universal, general, worldwide	grupo	alternativoj	prononco
level	vendejo	ร้านค้า, ร้านค้า	a store, a shop	grupo	alternativoj	prononco
level	parko	สวนสาธารณะ	a park	grupo	alternativoj	prononco
level	kesto	หีบ, กล่อง, คดี	a chest, a box, a case	grupo	alternativoj	prononco
level	preĝejo	โบสถ์ เคิร์ก	a church, a kirk	grupo	alternativoj	prononco
level	ataki	ที่จะโจมตี	to attack	grupo	alternativoj	prononco
level	fako	สาขา, ระเบียบวินัย, ความพิเศษ, ช่อง	a branch, a discipline, a specialty, a compartment	grupo	alternativoj	prononco
level	librovendejo	ร้านหนังสือ, ร้านหนังสือ	a bookshop, a bookstore	grupo	alternativoj	prononco
level	fama	มีชื่อเสียง	famous	grupo	alternativoj	prononco
level	kafejo	ร้านกาแฟ, ร้านกาแฟ	a cafe, a coffee shop	grupo	alternativoj	prononco
level	kuseno	หมอนอิง หมอนอิง	a cushion, a throw pillow	grupo	alternativoj	prononco
level	desegni	ออกแบบ, วาดเส้น, วาด	to design, to delineate, to draw	grupo	alternativoj	prononco
level	konveni	เพื่อให้เหมาะสมเพื่อให้เหมาะสม	to be appropriate, to be suitable	grupo	alternativoj	prononco
level	akceptejo	แผนกต้อนรับ	a reception desk	grupo	alternativoj	prononco
level	necesejo	ห้องน้ำ, ห้องน้ำ	a toilet, a restroom	grupo	alternativoj	prononco
level	sporto	กีฬากีฬา	sport, a sport	grupo	alternativoj	prononco
level	fridujo	ตู้เย็น, ตู้เย็น	a fridge, a refrigerator	grupo	alternativoj	prononco
level	rubujo	ถังขยะ, ถังขยะ, ถังขยะ	a trash bin, a bin, a trash can	grupo	alternativoj	prononco
level	defendi	เพื่อปกป้อง	to defend	grupo	alternativoj	prononco
level	eduki	เพื่อให้ความรู้	to educate	grupo	alternativoj	prononco
level	hejti	เพื่อให้ร้อนขึ้นเพื่ออุ่นเครื่อง	to heat up, to warm up	grupo	alternativoj	prononco
level	listo	รายการ	a list	grupo	alternativoj	prononco
level	kondiĉo	เงื่อนไข	a condition	grupo	alternativoj	prononco
level	poste	ต่อมา, หลังจากนั้น, ต่อไป	later, afterwards, next	grupo	alternativoj	prononco
level	brakumi	กอดกอด	to embrace, to hug	grupo	alternativoj	prononco
level	ĝoja	สนุกสนาน, ดีใจ, มีความสุข	joyfull, glad, happy	grupo	alternativoj	prononco
level	malvarmumo	เป็นหวัด (ติด)	a cold (caught)	grupo	alternativoj	prononco
level	salono	ห้องนั่งเล่น, เลานจ์, ร้านเสริมสวย	a sitting room, a lounge, a salon	grupo	alternativoj	prononco
level	konsisti	ประกอบ	to consist	grupo	alternativoj	prononco
level	hejme	ที่บ้าน	at home	grupo	alternativoj	prononco
level	spezo	การหมุนเวียน	a turnover	grupo	alternativoj	prononco
level	kalendaro	ปฏิทิน	a calendar	grupo	alternativoj	prononco
level	imagi	จินตนาการ	to imagine	grupo	alternativoj	prononco
level	fidela	ซื่อสัตย์เชื่อถือได้	faithful, trustworthy	grupo	alternativoj	prononco
level	partopreni	มีส่วนร่วม, มีส่วนร่วม	to participate, to take part	grupo	alternativoj	prononco
level	kastelo	ปราสาทป้อมปราการ	a castle, a citadel	grupo	alternativoj	prononco
level	-op-	(suffix) กลุ่มตัวเลข	(suffix)  a group in numbers	grupo	alternativoj	prononco
level	ĉeesti	ที่จะเข้าร่วม, ที่จะนำเสนอที่	to attend, to be present at	grupo	alternativoj	prononco
level	televido	ทีวีโทรทัศน์	TV, television	grupo	alternativoj	prononco
level	studento	นักศึกษา (มหาวิทยาลัย)	a student (university)	grupo	alternativoj	prononco
level	impreso	ความประทับใจ	an impression	grupo	alternativoj	prononco
level	pupo	ตุ๊กตาหุ่นเชิด	a doll, a puppet	grupo	alternativoj	prononco
level	konstanta	คงที่, ต่อเนื่อง, ถาวร	constant, continual, permanent	grupo	alternativoj	prononco
level	ebena	แบน, สม่ำเสมอ, ระนาบ, ระดับ	flat, even, plane, level	grupo	alternativoj	prononco
level	jaraĝa	~ ปี	~ years old	grupo	alternativoj	prononco
level	blovi	ที่จะระเบิด	to blow	grupo	alternativoj	prononco
level	konfesi	ที่จะสารภาพที่จะยอมรับ	to confess, to admit	grupo	alternativoj	prononco
level	ekstere	ภายนอกต่างประเทศ	outside, abroad	grupo	alternativoj	prononco
level	remi	พายเรือ	to row	grupo	alternativoj	prononco
level	kaserolo	หม้อปรุงอาหาร กระทะ หม้อด้าม	a casserole, a pan, a saucepan	grupo	alternativoj	prononco
level	gepatroj	(ทั้งสอง) ผู้ปกครอง	(both) parents	grupo	alternativoj	prononco
level	geedziĝi	ที่จะแต่งงานจะแต่งงาน	to get married, to marry	grupo	alternativoj	prononco
level	vundo	บาดแผล, อาการบาดเจ็บ	a wound, an injury	grupo	alternativoj	prononco
level	scienco	วิทยาศาสตร์วิทยาศาสตร์	science, a science	grupo	alternativoj	prononco
level	monero	เหรียญ	a coin	grupo	alternativoj	prononco
level	kompari	เปรียบเทียบ	to compare	grupo	alternativoj	prononco
level	arko	ส่วนโค้ง (ของเส้นโค้ง)	an arc (of a curve)	grupo	alternativoj	prononco
level	sperta	มีประสบการณ์ผู้เชี่ยวชาญ	experienced, expert	grupo	alternativoj	prononco
level	sankta	ศักดิ์สิทธิ์ศักดิ์สิทธิ์	holy, sacred	grupo	alternativoj	prononco
level	lavujo	อ่างล้างหน้า	a washbasin	grupo	alternativoj	prononco
level	trajno	รถไฟ	a train	grupo	alternativoj	prononco
level	domaĝo	น่าเสียดาย บางสิ่งบางอย่างที่น่าเสียใจ	a pity, something regrettable	grupo	alternativoj	prononco
level	akra	คมและมีฤทธิ์กัดกร่อน	sharp, abrasive	grupo	alternativoj	prononco
level	meriti	สมควร, สมควร, สมควร	to deserve, to merit, to be worthy of	grupo	alternativoj	prononco
level	ekparoli	เพื่อเริ่มพูด	to start speaking	grupo	alternativoj	prononco
level	ekscii	เพื่อทำความรู้จัก, ตระหนัก, เพื่อเรียนรู้	to get to know, to realise, to learn	grupo	alternativoj	prononco
level	semo	เมล็ดพืช	a seed	grupo	alternativoj	prononco
level	reveni	ที่จะกลับมาเพื่อกลับมา	to come back, to return	grupo	alternativoj	prononco
level	lupo	หมาป่า	a wolf	grupo	alternativoj	prononco
level	elefanto	ช้าง	an elephant	grupo	alternativoj	prononco
level	karoto	แครอท	a carrot	grupo	alternativoj	prononco
level	haŭto	ผิวหนัง, ผิวหนัง	skin, a skin	grupo	alternativoj	prononco
level	palaco	พระราชวัง	a palace	grupo	alternativoj	prononco
level	eksidi	ที่จะนั่งลง	to get sit down	grupo	alternativoj	prononco
level	mamo	เต้านม (ของผู้หญิง), คนโง่	a breast (of a woman), boob	grupo	alternativoj	prononco
level	urso	หมี	a bear	grupo	alternativoj	prononco
level	vulpo	สุนัขจิ้งจอก	a fox	grupo	alternativoj	prononco
level	kuracisto	แพทย์ (แพทย์) แพทย์	a (medical) doctor, a physician	grupo	alternativoj	prononco
level	kurteno	ผ้าม่าน, มุ้งลวด, ผ้าคลุมหน้า	a curtain, a screen, a veil	grupo	alternativoj	prononco
level	venki	ที่จะพิชิต, พิชิต, ชนะ, เอาชนะ	to conquer, to conquest, to win, to overcome	grupo	alternativoj	prononco
level	soldato	ทหาร	a soldier	grupo	alternativoj	prononco
level	trunko	ลำตัว, เพลา, เนื้อตัว	a trunk, a shaft, a torso	grupo	alternativoj	prononco
level	ŝtelisto	ขโมย	a thief	grupo	alternativoj	prononco
level	miksi	ผสม, ผสม, สับเปลี่ยน	to mix, to blend, to shuffle	grupo	alternativoj	prononco
level	preciza	แม่นยำแม่นยำ	precise, accurate	grupo	alternativoj	prononco
level	instruisto	ครูผู้สอน	a teacher, an instructor	grupo	alternativoj	prononco
level	tedi	เบื่อ	to bore	grupo	alternativoj	prononco
level	gaso	แก๊ส	gas	grupo	alternativoj	prononco
level	fervora	จริงจัง, กระตือรือร้น, เร่าร้อน, เร่าร้อน	earnest, eager, fervent, impassioned	grupo	alternativoj	prononco
level	diablo	ปีศาจ	a devil	grupo	alternativoj	prononco
level	densa	หนาแน่น, เข้มข้น, เข้มข้น	dense, thick, concentrated	grupo	alternativoj	prononco
level	stranga	แปลก, แปลก, แปลกประหลาด	strange, odd, peculiar	grupo	alternativoj	prononco
level	savi	เพื่อบันทึกเพื่อช่วยเหลือ	to save, to rescue	grupo	alternativoj	prononco
level	vico	เลี้ยว, เลี้ยว (ตามลำดับ)	turn, a turn (in a sequence)	grupo	alternativoj	prononco
level	kilometro	หนึ่งกิโลเมตร	a kilometer	grupo	alternativoj	prononco
level	puni	ลงโทษ	to punish	grupo	alternativoj	prononco
level	prunto	เงินกู้	a loan	grupo	alternativoj	prononco
level	planto	พืช, พืช	plant, a plant	grupo	alternativoj	prononco
level	praktiko	การปฏิบัติ, การปฏิบัติ	practice, a practice	grupo	alternativoj	prononco
level	kune	ด้วยกัน	together	grupo	alternativoj	prononco
level	temperaturo	อุณหภูมิ	temperature	grupo	alternativoj	prononco
level	nepo	หลานชาย	a grandson	grupo	alternativoj	prononco
level	kunveni	เพื่อประชุม, รวบรวม, พบปะ	to convene, to gather, to meet	grupo	alternativoj	prononco
level	tono	โทนเสียง	a tone	grupo	alternativoj	prononco
level	plata	แบน	flat	grupo	alternativoj	prononco
level	ekskursi	ไปเที่ยว, ไปปิกนิก, ไปเที่ยว	to excurse, to go on a picnic, to jaunt	grupo	alternativoj	prononco
level	ripari	ซ่อมแซมเพื่อแก้ไข	to repair, to fix	grupo	alternativoj	prononco
level	dramo	ละคร	a drama	grupo	alternativoj	prononco
level	sovaĝa	ดุร้ายดุร้าย	savage, wild	grupo	alternativoj	prononco
level	progresi	เพื่อความคืบหน้า	to progress	grupo	alternativoj	prononco
level	sonĝo	ฝัน	a dream	grupo	alternativoj	prononco
level	legomo	ผัก	a vegetable	grupo	alternativoj	prononco
level	proksimuma	โดยประมาณ	approximate	grupo	alternativoj	prononco
level	mapo	แผนที่	a map	grupo	alternativoj	prononco
level	foje (iu foje)	บางครั้ง (บางครั้ง)	sometimes (some times)	grupo	alternativoj	prononco
level	aŭtoritato	ผู้มีอำนาจ	an authority	grupo	alternativoj	prononco
level	distribui	เพื่อแจกจ่าย	to distribute	grupo	alternativoj	prononco
level	distingi	เพื่อแยกแยะ	to distinguish	grupo	alternativoj	prononco
level	speciala	พิเศษ	special	grupo	alternativoj	prononco
level	boli	ต้ม	to boil	grupo	alternativoj	prononco
level	osto	กระดูก	a bone	grupo	alternativoj	prononco
level	rekomendi	ที่จะแนะนำ	to recommend	grupo	alternativoj	prononco
level	postmorgaŭ	วันมะรืนนี้	the day after tomorrow	grupo	alternativoj	prononco
level	komplezi	บังคับ, ใจดี, ช่วยเหลือ	to oblige, to be kind as to, to do a favor	grupo	alternativoj	prononco
level	ĝentila	อ่อนโยน, สุภาพ, สุภาพ, มีมารยาทดี	gentle, polite, courteous, well-mannered	grupo	alternativoj	prononco
level	komforta	สะดวกสบาย	comfortable	grupo	alternativoj	prononco
level	strio	แถบ, รังสี	a stripe, a ray	grupo	alternativoj	prononco
level	tolo	ผ้าใบ ผ้า ผ้าลินิน	a canvas, a cloth, a linen	grupo	alternativoj	prononco
level	ŝnuro	เชือก, คอร์ด, เชือก	a rope, a chord, a string	grupo	alternativoj	prononco
level	imperio	อาณาจักร	an empire	grupo	alternativoj	prononco
level	ĉemizo	เสื้อ	a shirt	grupo	alternativoj	prononco
level	anaso	เป็ด	a duck	grupo	alternativoj	prononco
level	organo	อวัยวะ การวิจารณ์ แถลงการณ์อย่างเป็นทางการ	an organ, a review, an official bulletin	grupo	alternativoj	prononco
level	longe	ยาวเป็นเวลานาน	long, for a long time	grupo	alternativoj	prononco
level	biskvito	บิสกิต คุกกี้ แครกเกอร์	a biscuit, a cookie, a cracker	grupo	alternativoj	prononco
level	panjo	แม่, แม่, แม่	mom, a mom, mommy	grupo	alternativoj	prononco
level	paĉjo	พ่อ, พ่อ, พ่อ	dad, a dad, daddy	grupo	alternativoj	prononco
level	mendi	สั่งจอง	to order, to book	grupo	alternativoj	prononco
level	lingva	ภาษาศาสตร์	linguistic	grupo	alternativoj	prononco
level	biciklo	จักรยาน, จักรยาน	a bike, a bicycle	grupo	alternativoj	prononco
level	imiti	ที่จะเลียนแบบ	to imitate	grupo	alternativoj	prononco
level	abelo	ผึ้ง	a bee	grupo	alternativoj	prononco
level	konfidi	ที่จะไว้วางใจ, ที่จะไว้วางใจ	to confide, to entrust	grupo	alternativoj	prononco
level	ferio (feria tago)	วันหยุด วันหยุด (=liberago)	holiday, a holiday (=libertago)	grupo	alternativoj	prononco
level	kisi	จูบ	to kiss	grupo	alternativoj	prononco
level	nokte	ในเวลากลางคืน, เวลากลางคืน, ในตอนกลางคืน	at night, night-time, by night	grupo	alternativoj	prononco
level	transdoni	มอบให้, โอน, มอบ	to give over, to transfer, to hand over	grupo	alternativoj	prononco
level	litero	ตัวละครจดหมาย	a character, a letter	grupo	alternativoj	prononco
level	maŝino	เครื่องจักร	a machine	grupo	alternativoj	prononco
level	haveno	ท่าเรือ, ท่าเรือ	a harbor, a port	grupo	alternativoj	prononco
level	graso	จาระบีไขมัน	grease, fat	grupo	alternativoj	prononco
level	klopodi	พยายาม, พยายาม, มุ่งหมาย, ลงมือทำ	to endeavor, to attempt, to aim, to undertake	grupo	alternativoj	prononco
level	ŝanco	โอกาส, โอกาส	a chance, an opportunity	grupo	alternativoj	prononco
level	ŝiri	ฉีก, ฉีก	to tear, to rip	grupo	alternativoj	prononco
level	mantelo	เสื้อคลุม, เสื้อคลุม, เสื้อคลุม	a coat, a manteau, a cloak	grupo	alternativoj	prononco
level	programo	โปรแกรม	a program	grupo	alternativoj	prononco
level	volvi	ห่อ, ม้วน, ม้วน, ม้วน	to wrap, to roll, to wind, to roll up	grupo	alternativoj	prononco
level	prunte	ในการกู้ยืมเงิน	on loan	grupo	alternativoj	prononco
level	naskiĝtago	วันเกิด	a birthday	grupo	alternativoj	prononco
level	karbo	ถ่านหิน	coal	grupo	alternativoj	prononco
level	proponi	ที่จะเสนอที่จะเสนอ	to propose, to offer	grupo	alternativoj	prononco
level	muzeo	พิพิธภัณฑ์	a museum	grupo	alternativoj	prononco
level	metalo	โลหะโลหะ	metal, a metal	grupo	alternativoj	prononco
level	streĉi	เพื่อยืด, เพื่อกระชับ	to strech, to tighten	grupo	alternativoj	prononco
level	gustumi	เพื่อลิ้มรสเพื่อสุ่มตัวอย่าง	to taste, to sample	grupo	alternativoj	prononco
level	atenti	ที่จะดูแล, เอาใจใส่, คอยระวัง	to take care, to pay attention, to watch out for	grupo	alternativoj	prononco
level	presi	ปริ้น	to print	grupo	alternativoj	prononco
level	tabulo	กระดาน ไม้กระดาน แท็บเล็ต	a board, a plank, a tablette	grupo	alternativoj	prononco
level	tute	โดยสิ้นเชิง, โดยสิ้นเชิง, โดยสิ้นเชิง	totally, completely, entirely	grupo	alternativoj	prononco
level	serio	ชุด	a series	grupo	alternativoj	prononco
level	universitato	มหาวิทยาลัย	a university	grupo	alternativoj	prononco
level	situacio	สถานการณ์, สถานการณ์, เงื่อนไข	a situation, circumstances, a condition	grupo	alternativoj	prononco
level	paro	คู่, คู่	a pair, a couple	grupo	alternativoj	prononco
level	metio	งานฝีมือ, งานฝีมือ	craft, handicraft	grupo	alternativoj	prononco
level	meblo	ชิ้นส่วนของเฟอร์นิเจอร์	a piece of furniture	grupo	alternativoj	prononco
level	oleo	น้ำมันน้ำมัน	oil, an oil	grupo	alternativoj	prononco
level	scivola	อยากรู้อยากเห็น, อยากรู้อยากเห็น	curious, inquisitive	grupo	alternativoj	prononco
level	ĉu ne?	ไม่ใช่เหรอ? ไม่ใช่เหรอ?	isn't it? aren't they?	grupo	alternativoj	prononco
level	nepra	จำเป็น, จำเป็นอย่างยิ่ง	essential, absolutely necessary	grupo	alternativoj	prononco
level	kapabli	เพื่อให้สามารถ, สามารถที่จะ	to be able to, to be capable of	grupo	alternativoj	prononco
level	ŝranko	ตู้เก็บของ, ตู้, ตู้เสื้อผ้า, ตู้ไซด์บอร์ด	a locker, a cupboard, a closet, a sideboard	grupo	alternativoj	prononco
level	po ~	ต่อในอัตราของโดย	per, at the rate of, by	grupo	alternativoj	prononco
level	direktoro	ผู้อำนวยการ, ผู้จัดการ	a director, a manager	grupo	alternativoj	prononco
level	ve!	อนิจจา	Alas!	grupo	alternativoj	prononco
level	eviti	เพื่อหลีกเลี่ยงเพื่อหลีกเลี่ยง	to avoid, to evade	grupo	alternativoj	prononco
level	posedi	ที่จะครอบครองเพื่อเป็นเจ้าของ	to possess, to own	grupo	alternativoj	prononco
level	rubriko	ส่วนหัว ส่วน รูบริก คอลัมน์	a heading, a section, a rubric, a column	grupo	alternativoj	prononco
level	krimo	อาชญากรรม	a crime	grupo	alternativoj	prononco
level	akiri	ได้มา, บรรลุ, ได้มา, ได้มา	to acquire, to attain, to obtain, to get	grupo	alternativoj	prononco
level	fuŝi	ทำให้ยุ่งเหยิง, ทำให้เสียหาย, ทำให้เสียหาย	to mess, to bungle, to botch, to screw up	grupo	alternativoj	prononco
level	virino	ผู้หญิง	a woman	grupo	alternativoj	prononco
level	viŝi	เช็ด, ลบ, ti เช็ดออก	to wipe, to delete, ti wipe off	grupo	alternativoj	prononco
level	flanke	ด้านข้าง	at the side	grupo	alternativoj	prononco
level	oferti	เสนอ, ประมูล, เสนอ, เสนอ	to propose, to bid, to make an offer of, to offer	grupo	alternativoj	prononco
level	muŝo	แมลงวัน (แมลง)	a fly (insect)	grupo	alternativoj	prononco
level	subite	ทันใดนั้น, ทันใดนั้นทั้งหมด	suddenly, all of a sudden	grupo	alternativoj	prononco
level	spegulo	กระจก, กระจกมอง	a mirror, a looking glass	grupo	alternativoj	prononco
level	taŭga	เหมาะสม	suitable	grupo	alternativoj	prononco
level	neniel	ไม่ทางใดก็ทางหนึ่งไม่เลย	in no way, by no means, not at all	grupo	alternativoj	prononco
level	persona	ส่วนตัว	personal	grupo	alternativoj	prononco
level	rado	ล้อ	a wheel	grupo	alternativoj	prononco
level	najbaro	เพื่อนบ้าน	a neighbor	grupo	alternativoj	prononco
level	tremi	ทำให้ตัวสั่น, ตัวสั่น, ตัวสั่น	to tremble, to quiver, to shiver	grupo	alternativoj	prononco
level	familia ĉambro	ห้องครอบครัวห้องนั่งเล่น	a family room, a living room	grupo	alternativoj	prononco
level	poto	หม้อ, เหยือก	a pot, a jug	grupo	alternativoj	prononco
level	pasigi	ใช้จ่ายผ่าน	to spend, to pass	grupo	alternativoj	prononco
level	akompani	ที่จะติดตาม	to accompany	grupo	alternativoj	prononco
level	noto	บันทึก, (โรงเรียน) เกรด, เครื่องหมาย	a note, (school) grade, mark	grupo	alternativoj	prononco
level	brovo	คิ้ว	an eyebrow	grupo	alternativoj	prononco
level	infanĉambro	ห้องเด็ก	a child room	grupo	alternativoj	prononco
level	vigla	เคลื่อนไหวเร็ว	animated, brisk	grupo	alternativoj	prononco
level	simio	ลิง	a monkey	grupo	alternativoj	prononco
